date,open,high,low,close,volume
2026-06-08,"1,306.00","1,396.00","1,306.00","1,381.00","68,603,281.40"
2026-06-05,"1,306.00","1,396.00","1,306.00","1,381.00",0.51
2026-06-04,"1,388.90","1,395.00","1,365.50","1,374.00",-1.07
2026-06-03,"1,420.00","1,439.00","1,375.00","1,388.90",-0.51
2026-06-02,"1,410.00","1,460.00","1,386.00","1,396.00",0.79
2026-06-01,"1,397.00","1,415.00","1,371.10","1,385.00",-0.86
2026-05-27,"1,409.00","1,430.00","1,390.00","1,397.00",-0.21
2026-05-26,"1,400.00","1,409.90","1,394.00","1,400.00",-0.07
2026-05-25,"1,425.00","1,440.00","1,387.00","1,401.00",0.14
2026-05-22,"1,361.00","1,430.00","1,361.00","1,399.00",1.75
2026-05-21,"1,370.00","1,392.90","1,350.00","1,375.00",0.36
2026-05-20,"1,341.90","1,370.00","1,341.90","1,370.00",1.48
2026-05-19,"1,350.00","1,360.00","1,330.00","1,350.00",-0.52
2026-05-18,"1,375.00","1,416.00","1,353.00","1,357.00",-0.76
2026-05-15,"1,380.00","1,380.00","1,360.00","1,367.40",-0.11
2026-05-14,"1,370.00","1,380.00","1,360.00","1,368.90",-0.44
2026-05-13,"1,373.00","1,390.00","1,354.00","1,375.00",-0.65
2026-05-12,"1,430.00","1,430.00","1,377.00","1,384.00",-3.01
2026-05-11,"1,399.00","1,431.00","1,399.00","1,427.00",2.0
2026-05-08,"1,430.90","1,430.90","1,330.90","1,399.00",2.66
2026-05-07,"1,370.10","1,390.50","1,335.90","1,362.80",-2.52
2026-05-06,"1,387.10","1,405.00","1,371.10","1,398.00",0.79
2026-05-05,"1,395.00","1,413.00","1,383.00","1,387.00",-0.57
2026-05-04,"1,470.00","1,470.00","1,385.90","1,395.00",-3.33
2026-04-30,"1,377.50","1,490.00","1,377.50","1,443.00",-0.48
2026-04-29,"1,475.00","1,485.00","1,430.80","1,450.00",-1.69
2026-04-28,"1,480.00","1,499.00","1,457.00","1,475.00",-0.34
2026-04-27,"1,490.00","1,500.00","1,476.00","1,480.00",-0.67
2026-04-24,"1,490.00","1,505.00","1,476.00","1,490.00",-0.33
2026-04-23,"1,500.00","1,533.00","1,492.00","1,495.00",-1.32
2026-04-22,"1,503.90","1,539.00","1,489.00","1,515.00",0.74
2026-04-21,"1,534.00","1,560.00","1,491.00","1,503.90",-1.96
2026-04-20,"1,551.00","1,560.00","1,530.00","1,534.00",-2.54
2026-04-17,"1,580.00","1,589.90","1,558.00","1,574.00",-0.38
2026-04-16,"1,611.10","1,612.00","1,570.00","1,580.00",-1.56
2026-04-15,"1,618.00","1,646.00","1,594.00","1,605.00",-0.8
2026-04-13,"1,615.00","1,636.00","1,608.00","1,618.00",0.87
2026-04-10,"1,635.00","1,637.50","1,595.00","1,604.00",-1.41
2026-04-09,"1,575.00","1,648.00","1,575.00","1,627.00",2.33
2026-04-08,"1,554.00","1,590.10","1,540.10","1,590.00",2.71
2026-04-07,"1,570.00","1,578.00","1,520.00","1,548.00",-1.21
2026-04-06,"1,488.00","1,567.00","1,480.00","1,566.90",5.3
2026-04-05,"1,550.00","1,550.00","1,481.00","1,488.00",-5.52
2026-04-02,"1,516.00","1,610.00","1,510.00","1,575.00",3.08
2026-04-01,"1,603.00","1,610.00","1,510.00","1,527.90",-4.57
2026-03-31,"1,626.00","1,640.00","1,586.00","1,601.10",-1.53
2026-03-30,"1,627.00","1,656.00","1,616.00","1,626.00",-0.12
2026-03-29,"1,680.00","1,690.00","1,610.00","1,628.00",-2.51
2026-03-26,"1,641.10","1,674.90","1,588.00","1,670.00",3.79
2026-03-25,"1,611.00","1,644.00","1,604.00","1,609.00",-0.86
2026-03-24,"1,640.00","1,666.00","1,610.00","1,623.00",0.5
2026-03-23,"1,530.00","1,616.70","1,520.00","1,615.00",5.62
2026-03-22,"1,525.00","1,540.00","1,500.00","1,529.00",0.92
2026-03-19,"1,477.90","1,524.00","1,419.10","1,515.00",0.46
2026-03-17,"1,500.00","1,508.00","1,477.00","1,508.00",-0.11
2026-03-16,"1,496.00","1,509.60","1,460.20","1,509.60",0.98
2026-03-15,"1,530.00","1,530.00","1,488.10","1,495.00",-1.77
2026-03-12,"1,575.00","1,575.00","1,520.00","1,522.00",-2.12
2026-03-11,"1,600.00","1,609.00","1,544.00","1,555.00",-2.82
2026-03-10,"1,690.00","1,690.00","1,576.00","1,600.10",-4.76
2026-03-09,"1,583.00","1,680.00","1,583.00","1,680.00",8.25
2026-03-03,"1,473.00","1,552.00","1,473.00","1,552.00",4.23
2026-03-01,"1,524.90","1,524.90","1,475.00","1,489.00",-0.4
2026-02-26,"1,528.00","1,538.00","1,490.00","1,495.00",-2.16
2026-02-25,"1,521.00","1,534.20","1,505.00","1,528.00",1.58
2026-02-24,"1,475.00","1,521.00","1,475.00","1,504.20",1.72
2026-02-23,"1,444.80","1,509.00","1,444.80","1,478.80",0.31
2026-02-22,"1,520.20","1,525.00","1,472.00","1,474.20",-3.9
2026-02-17,"1,545.00","1,570.00","1,530.00","1,534.00",-1.54
2026-02-16,"1,603.00","1,603.00","1,555.00","1,558.00",-2.01
2026-02-12,"1,570.00","1,606.00","1,565.00","1,590.00",0.38
2026-02-11,"1,620.00","1,625.00","1,574.30","1,584.00",-1.0
2026-02-10,"1,640.00","1,657.00","1,595.00","1,600.00",-2.44
2026-02-09,"1,691.00","1,691.00","1,598.00","1,640.00",-3.19
2026-02-08,"1,668.00","1,694.90","1,637.00","1,694.00",2.85
2026-02-05,"1,580.00","1,649.80","1,576.00","1,647.00",5.24
2026-02-04,"1,509.20","1,565.00","1,509.20","1,565.00",1.62
2026-02-03,"1,557.00","1,558.00","1,520.00","1,540.00",0.06
2026-02-02,"1,510.00","1,560.00","1,510.00","1,539.00",-0.06
2026-02-01,"1,551.00","1,570.00","1,525.00","1,539.90",-0.33
2026-01-29,"1,600.00","1,630.00","1,545.00","1,545.00",-1.9
2026-01-28,"1,577.00","1,600.00","1,560.00","1,575.00",-0.13
2026-01-27,"1,635.00","1,649.00","1,575.00","1,577.00",-2.95
2026-01-26,"1,637.10","1,657.00","1,611.00","1,625.00",1.25
2026-01-25,"1,560.00","1,626.00","1,550.00","1,605.00",3.55
2026-01-22,"1,531.00","1,550.00","1,524.00","1,550.00",0.13
2026-01-21,"1,530.10","1,590.00","1,511.00","1,548.00",-0.13
2026-01-20,"1,430.00","1,573.90","1,430.00","1,550.00",7.04
2026-01-18,"1,383.00","1,463.70","1,381.00","1,448.00",4.74
2026-01-14,"1,390.00","1,395.00","1,368.00","1,382.50",0.88
2026-01-13,"1,366.00","1,394.00","1,366.00","1,370.50",-0.11
2026-01-12,"1,395.00","1,395.00","1,345.00","1,372.00",0.07
2026-01-08,"1,390.00","1,390.00","1,363.00","1,371.00",-1.08
2026-01-07,"1,395.00","1,395.00","1,372.10","1,386.00",-0.5
2026-01-06,"1,418.00","1,426.00","1,391.00","1,393.00",-1.35
2026-01-05,"1,360.00","1,417.00","1,360.00","1,412.00",3.44
2026-01-04,"1,350.00","1,373.00","1,350.00","1,365.00",0.18
2026-01-01,"1,351.10","1,377.00","1,351.10","1,362.60",-0.25
2025-12-31,"1,361.00","1,386.00","1,361.00","1,366.00",0.37
2025-12-29,"1,391.00","1,405.00","1,361.00","1,361.00",-2.09
2025-12-28,"1,372.10","1,391.00","1,345.00","1,390.00",3.33
2025-12-24,"1,350.00","1,365.00","1,342.00","1,345.20",-0.36
2025-12-23,"1,336.70","1,350.10","1,330.00","1,350.00",0.66
2025-12-22,"1,360.10","1,364.00","1,340.00","1,341.10",-2.18
2025-12-21,"1,390.00","1,390.00","1,361.10","1,371.00",-1.37
2025-12-18,"1,400.00","1,400.00","1,367.00","1,390.00",1.23
2025-12-17,"1,375.00","1,388.90","1,371.00","1,373.10",-0.14
2025-12-16,"1,350.00","1,381.00","1,327.00","1,375.00",1.85
2025-12-15,"1,345.00","1,359.00","1,328.00","1,350.00",0.3
2025-12-14,"1,399.00","1,399.00","1,345.90","1,345.90",-1.92
2025-12-11,"1,390.00","1,390.00","1,371.00","1,372.30",-1.27
2025-12-10,"1,387.40","1,399.00","1,368.00","1,390.00",0.19
2025-12-09,"1,419.00","1,419.00","1,386.20","1,387.40",-0.75
2025-12-08,"1,371.30","1,412.00","1,371.30","1,397.90",0.35
2025-12-07,"1,461.50","1,461.50","1,393.00","1,393.00",-2.79
2025-12-03,"1,450.00","1,461.50","1,429.00","1,433.00",0.0
2025-12-02,"1,456.10","1,474.00","1,432.00","1,433.00",-1.51
2025-12-01,"1,500.00","1,500.00","1,451.00","1,455.00",-3.0
2025-11-30,"1,530.00","1,605.00","1,480.00","1,500.00",-1.0
2025-11-27,"1,409.80","1,520.40","1,409.80","1,515.20",9.62
2025-11-26,"1,989.90","1,989.90","1,909.10","1,935.10",-2.17
2025-11-25,"2,029.80","2,029.80","1,955.00","1,978.00",-0.6
2025-11-24,"1,970.00","1,999.20","1,959.10","1,990.00",1.02
2025-11-23,"1,961.50","1,978.00","1,931.00","1,970.00",2.44
2025-11-20,"1,944.00","1,945.00","1,918.00","1,923.10",-1.13
2025-11-19,"2,004.30","2,004.30","1,902.70","1,945.00",-1.02
2025-11-18,"1,897.00","1,970.00","1,897.00","1,965.00",1.55
2025-11-17,"1,945.50","1,945.50","1,891.00","1,935.00",0.0
2025-11-16,"2,015.00","2,015.00","1,890.00","1,935.00",-2.32
2025-11-13,"2,010.00","2,014.00","1,980.00","1,981.00",-0.7
2025-11-12,"2,085.00","2,085.90","1,995.00","1,995.00",-2.44
2025-11-11,"2,090.00","2,104.00","2,045.00","2,045.00",-2.01
2025-11-10,"2,081.80","2,094.90","1,976.00","2,087.00",2.25
2025-11-09,"2,150.00","2,150.00","2,040.00","2,041.00",-4.85
2025-11-06,"2,147.70","2,175.00","2,126.20","2,145.00",0.23
2025-11-05,"2,109.00","2,150.00","2,109.00","2,140.00",0.94
2025-11-04,"2,101.00","2,168.50","2,101.00","2,120.10",1.2
2025-11-03,"2,050.00","2,099.00","2,017.00","2,095.00",2.8
2025-11-02,"2,011.10","2,074.90","2,011.10","2,038.00",0.1
2025-10-30,"1,999.00","2,064.80","1,962.10","2,036.00",2.78
2025-10-29,"1,980.00","2,067.50","1,980.00","1,981.00",0.05
2025-10-28,"1,840.00","1,980.00","1,840.00","1,980.00",7.67
2025-10-26,"1,826.50","1,840.00","1,790.00","1,839.00",0.55
2025-10-19,"1,815.10","1,830.90","1,801.30","1,829.00",-0.11
2025-10-16,"1,815.00","1,835.00","1,790.00","1,831.00",-0.81
2025-10-15,"1,835.00","1,864.00","1,800.00","1,846.00",-1.11
2025-10-14,"1,899.00","1,944.00","1,850.00","1,866.80",-1.69
2025-10-13,"1,700.00","1,901.90","1,700.00","1,898.80",9.82
2025-10-12,"1,820.00","1,820.00","1,683.00","1,729.00",-4.99
2025-10-09,"1,836.00","1,920.00","1,805.00","1,819.80",1.1
2025-10-08,"1,840.00","1,895.00","1,800.00","1,800.00",-4.05
2025-10-07,"1,955.00","1,960.00","1,870.00","1,876.00",-4.77
2025-09-28,"1,963.20","2,014.00","1,963.20","1,970.00",-0.25
2025-09-25,"1,980.00","1,980.10","1,952.20","1,974.90",0.45
2025-09-24,"2,066.00","2,067.00","1,960.00","1,966.00",-3.01
2025-09-23,"2,032.00","2,050.00","2,000.00","2,027.00",1.72
2025-09-21,"1,850.00","2,001.00","1,846.00","1,992.80",7.95
2025-09-18,"1,995.00","1,995.00","1,830.00","1,846.00",-9.18
2025-09-08,"2,075.00","2,104.00","2,021.00","2,032.64",-2.37
