date,open,high,low,close,volume
2026-06-08,851.10,860.00,851.10,857.00,"13,423,339.50"
2026-06-05,851.10,860.00,851.10,857.00,-0.31
2026-06-04,865.00,871.00,850.00,859.70,-1.18
2026-06-03,874.00,878.00,868.00,870.00,0.23
2026-06-02,860.00,871.90,860.00,868.00,0.46
2026-06-01,855.00,890.40,831.70,864.00,-4.0
2026-05-27,904.00,904.00,896.00,900.00,0.0
2026-05-26,900.00,903.00,896.10,900.00,0.17
2026-05-25,890.00,899.90,888.50,898.50,0.91
2026-05-22,892.00,892.00,889.00,890.40,0.27
2026-05-21,892.00,897.00,885.80,888.00,0.0
2026-05-20,880.00,896.00,880.00,888.00,0.16
2026-05-19,890.00,895.00,886.60,886.60,-0.44
2026-05-18,894.00,895.00,889.20,890.50,-0.17
2026-05-15,895.90,895.90,888.00,892.00,0.22
2026-05-14,890.00,893.00,888.00,890.00,0.0
2026-05-13,890.00,891.00,885.00,890.00,0.38
2026-05-12,890.00,908.00,886.60,886.60,-0.38
2026-05-11,889.00,890.00,885.00,890.00,1.14
2026-05-08,884.90,884.90,876.00,880.00,0.0
2026-05-07,875.20,883.00,870.40,880.00,0.57
2026-05-06,875.00,876.00,870.00,875.00,0.32
2026-05-05,880.00,880.00,870.00,872.20,-0.09
2026-05-04,872.00,882.00,872.00,873.00,0.11
2026-04-30,875.00,889.00,867.00,872.00,-0.23
2026-04-29,876.00,887.00,873.10,874.00,-0.23
2026-04-28,871.00,881.00,873.00,876.00,0.57
2026-04-27,870.00,885.00,860.00,871.00,0.11
2026-04-24,884.00,884.00,860.60,870.00,-0.23
2026-04-23,896.00,896.00,865.00,872.00,0.22
2026-04-22,883.00,883.00,865.00,870.10,-0.06
2026-04-21,880.10,885.00,870.50,870.60,-1.4
2026-04-20,875.00,885.00,875.00,883.00,0.34
2026-04-17,881.00,885.00,871.00,880.00,0.0
2026-04-16,879.00,881.00,870.10,880.00,0.11
2026-04-15,883.00,883.00,873.00,879.00,1.03
2026-04-13,870.40,887.30,869.90,870.00,-1.14
2026-04-10,890.00,890.00,875.50,880.00,0.02
2026-04-09,878.30,884.00,875.00,879.80,0.43
2026-04-08,894.50,894.50,872.20,876.00,-0.11
2026-04-07,890.00,890.00,873.00,877.00,0.0
2026-04-06,869.90,879.50,861.00,877.00,2.15
2026-04-05,883.30,883.30,854.20,858.50,-0.87
2026-04-02,850.70,875.00,850.70,866.00,-0.23
2026-04-01,880.00,880.00,866.00,868.00,-1.03
2026-03-31,884.90,890.00,870.00,877.00,0.23
2026-03-30,891.00,891.00,875.00,875.00,-1.89
2026-03-29,905.00,907.00,890.00,891.90,-1.44
2026-03-26,877.10,917.00,877.10,904.90,1.11
2026-03-25,932.00,932.00,895.00,895.00,-2.08
2026-03-24,920.00,920.00,908.00,914.00,0.66
2026-03-23,920.00,928.00,900.10,908.00,-0.21
2026-03-22,895.00,909.90,895.00,909.90,2.35
2026-03-19,886.00,890.00,881.00,889.00,1.11
2026-03-17,879.40,886.00,870.00,879.20,0.25
2026-03-16,893.80,893.80,870.00,877.00,-1.23
2026-03-15,890.00,898.00,887.00,887.90,0.1
2026-03-12,890.50,895.00,876.00,887.00,-0.39
2026-03-11,908.00,908.00,890.00,890.50,-1.06
2026-03-10,897.60,942.50,880.00,900.00,2.27
2026-03-09,889.40,924.00,880.00,880.00,0.92
2026-03-03,893.50,893.50,862.00,872.00,-0.46
2026-03-01,855.00,876.00,850.00,876.00,2.46
2026-02-26,870.00,870.00,853.00,855.00,0.23
2026-02-25,854.00,854.00,850.00,853.00,0.0
