date,open,high,low,close,volume
2026-06-08,806.00,806.00,777.20,790.00,"2,510,962.00"
2026-06-05,806.00,806.00,777.20,790.00,-0.38
2026-06-04,785.00,805.00,785.00,793.00,-0.14
2026-06-03,788.00,805.00,787.00,794.10,1.16
2026-06-02,788.00,795.00,785.00,785.00,-0.88
2026-06-01,851.00,851.00,791.00,792.00,-2.35
2026-05-27,805.70,817.00,805.70,811.10,0.11
2026-05-26,820.00,820.00,807.00,810.20,-1.06
2026-05-25,803.00,818.90,803.00,818.90,1.85
2026-05-22,785.10,804.00,785.10,804.00,2.16
2026-05-21,791.00,804.90,787.00,787.00,-1.63
2026-05-20,784.10,800.00,784.00,800.00,1.14
2026-05-19,787.20,798.00,787.00,791.00,-1.11
2026-05-18,780.00,800.00,780.00,799.90,1.64
2026-05-15,781.00,804.40,781.00,787.00,0.13
2026-05-14,797.00,797.00,786.00,786.00,0.13
2026-05-13,785.00,794.90,783.10,785.00,-0.88
2026-05-12,802.10,806.00,790.00,792.00,-2.34
2026-05-11,805.00,813.00,805.00,811.00,1.38
2026-05-08,773.10,800.00,773.10,800.00,2.04
2026-05-07,781.00,795.00,780.00,784.00,-0.01
2026-05-06,784.00,790.00,783.00,784.10,-1.25
2026-05-05,775.20,799.70,775.10,794.00,0.13
2026-05-04,780.00,800.00,780.00,793.00,-0.11
2026-04-30,780.00,800.00,767.00,793.90,0.75
2026-04-29,792.00,789.00,770.00,788.00,-0.51
2026-04-28,802.00,804.00,790.00,792.00,-1.25
2026-04-27,799.00,805.00,785.00,802.00,0.38
2026-04-24,785.00,800.00,785.00,799.00,0.53
2026-04-23,787.10,808.00,787.00,794.80,-1.27
2026-04-22,786.10,808.00,785.00,805.00,0.63
2026-04-21,811.00,820.00,785.00,800.00,-2.44
2026-04-20,815.10,829.70,800.00,820.00,-1.19
2026-04-17,840.00,850.10,822.90,829.90,-0.97
2026-04-16,835.10,844.00,827.00,838.00,-1.41
2026-04-15,840.00,856.00,837.50,850.00,-0.47
2026-04-13,820.00,860.00,820.00,854.00,2.93
2026-04-10,823.20,836.80,817.00,829.70,-1.23
2026-04-09,820.00,842.90,820.00,840.00,1.77
2026-04-08,810.00,825.90,810.00,825.40,3.82
2026-04-07,823.50,824.10,790.90,795.00,-1.61
2026-04-06,770.00,814.90,760.00,808.00,5.07
2026-04-05,803.60,817.50,755.00,769.00,-4.31
2026-04-02,820.00,836.40,803.60,803.60,-2.0
2026-04-01,846.00,860.00,820.00,820.00,-4.76
2026-03-31,851.00,889.00,850.00,861.00,0.12
2026-03-30,903.80,903.80,858.00,860.00,-2.95
2026-03-29,894.00,905.00,883.00,886.10,-2.85
2026-03-26,925.00,925.00,903.10,912.10,0.45
2026-03-25,915.00,918.40,897.00,908.00,-2.36
2026-03-24,920.00,932.00,907.00,929.90,1.08
2026-03-23,910.00,930.00,901.00,920.00,0.66
2026-03-22,889.90,918.70,889.90,914.00,4.46
2026-03-19,878.00,895.50,863.00,875.00,1.63
2026-03-17,887.40,889.90,860.00,861.00,-1.03
2026-03-16,871.00,904.00,869.00,870.00,-1.92
2026-03-15,898.00,899.90,872.30,887.00,-1.22
2026-03-12,880.10,920.00,870.00,898.00,0.66
2026-03-11,920.00,929.00,891.10,892.10,-3.66
2026-03-10,977.90,977.90,900.00,926.00,-3.42
2026-03-09,905.90,958.80,905.90,958.80,7.91
2026-03-03,880.00,888.50,863.00,888.50,2.69
2026-03-01,865.00,870.00,841.00,865.20,-0.44
2026-02-26,851.00,872.00,845.00,869.00,1.05
2026-02-25,840.00,901.00,840.00,860.00,1.18
2026-02-24,840.00,856.70,833.00,850.00,1.19
2026-02-23,842.10,853.50,840.00,840.00,-1.75
2026-02-22,860.10,862.00,844.00,855.00,-2.29
2026-02-17,885.00,887.50,870.00,875.00,0.56
2026-02-16,865.00,897.60,865.00,870.10,-1.13
2026-02-12,860.50,895.00,860.50,880.00,0.23
2026-02-11,865.30,879.00,860.10,878.00,0.92
2026-02-10,895.90,896.00,863.00,870.00,-1.14
2026-02-09,902.10,920.00,876.00,880.00,-4.35
2026-02-08,945.00,945.00,920.00,920.00,-2.02
2026-02-05,910.50,970.00,910.50,939.00,1.08
2026-02-04,943.00,949.90,912.00,929.00,0.43
2026-02-03,974.00,974.00,921.20,925.00,-3.24
2026-02-02,934.00,961.80,919.00,956.00,4.14
2026-02-01,946.00,984.00,918.00,918.00,-4.9
2026-01-29,999.90,"1,014.90",965.30,965.30,-1.65
2026-01-28,"1,000.00","1,016.40",962.00,981.50,-1.51
2026-01-27,"1,001.10","1,045.00",977.00,996.50,-2.3
2026-01-26,977.40,"1,039.20",940.00,"1,020.00",6.25
2026-01-25,874.10,961.40,874.10,960.00,9.84
2026-01-22,848.10,874.00,845.50,874.00,1.63
2026-01-21,851.70,885.00,843.10,860.00,-1.04
2026-01-20,882.10,886.00,851.00,869.00,0.47
2026-01-18,833.00,870.00,833.00,864.90,1.75
2026-01-14,842.80,876.70,842.80,850.00,-1.15
2026-01-13,825.10,866.90,825.10,859.90,2.14
2026-01-12,847.60,863.90,831.20,841.90,1.3
2026-01-08,831.10,846.00,829.10,831.10,-1.99
2026-01-07,855.00,865.00,836.00,848.00,-1.97
2026-01-06,902.70,902.70,853.00,865.00,-2.26
2026-01-05,839.00,885.00,839.00,885.00,6.37
2026-01-04,796.30,832.00,796.30,832.00,2.72
2026-01-01,819.00,834.00,793.90,810.00,-0.01
2025-12-31,810.00,842.00,780.30,810.10,1.9
2025-12-29,781.00,801.70,781.00,795.00,1.15
2025-12-28,766.10,789.00,766.10,786.00,1.29
2025-12-24,787.00,790.00,775.00,776.00,-1.4
2025-12-23,779.00,787.00,766.00,787.00,1.09
2025-12-22,785.00,785.00,767.00,778.50,-0.83
2025-12-21,792.10,792.10,777.00,785.00,-0.9
2025-12-18,800.10,805.00,792.00,792.10,-1.96
2025-12-17,790.00,808.00,790.00,807.90,0.99
2025-12-16,790.00,805.00,790.00,800.00,0.26
2025-12-15,785.20,797.90,783.10,797.90,-0.14
2025-12-14,816.00,816.00,786.00,799.00,-0.13
2025-12-11,791.00,805.00,791.00,800.00,-0.66
2025-12-10,800.30,810.00,800.00,805.30,-1.29
2025-12-09,824.00,824.00,782.00,815.80,0.72
2025-12-08,820.00,825.00,807.10,810.00,-1.36
2025-12-07,836.00,842.00,820.00,821.20,0.15
2025-12-03,819.00,835.60,818.30,820.00,0.11
2025-12-02,810.00,842.90,810.00,819.10,-0.61
2025-12-01,824.00,830.00,815.00,824.10,0.01
2025-11-30,839.00,855.00,824.00,824.00,-1.79
2025-11-27,815.00,841.00,815.00,839.00,2.44
2025-11-26,809.10,832.40,809.10,819.00,-0.52
2025-11-25,830.00,830.00,823.30,823.30,-1.99
2025-11-24,831.00,846.90,824.00,840.00,0.48
2025-11-23,815.10,836.00,815.10,836.00,0.7
2025-11-20,783.00,840.00,783.00,830.20,5.09
2025-11-19,800.00,808.00,785.00,790.00,-0.25
2025-11-18,780.00,795.60,780.00,792.00,1.54
2025-11-17,769.00,790.00,762.30,780.00,0.65
2025-11-16,769.00,775.00,755.00,775.00,-0.54
2025-11-13,777.00,788.00,777.00,779.20,-1.12
2025-11-12,782.00,788.00,781.00,788.00,-0.88
2025-11-11,766.50,795.00,766.50,795.00,1.79
2025-11-10,782.00,782.00,780.00,781.00,-1.14
2025-11-09,785.10,798.10,785.00,790.00,-1.37
2025-11-06,790.50,806.00,790.50,801.00,-0.37
2025-11-05,795.00,804.00,790.40,804.00,-0.85
2025-11-04,805.00,810.90,795.00,810.90,-0.14
2025-11-03,796.30,813.00,796.30,812.00,0.19
2025-11-02,812.00,825.00,796.10,810.50,1.34
2025-10-30,777.70,800.00,777.70,799.80,1.24
2025-10-29,815.00,815.00,776.50,790.00,-1.25
2025-10-28,755.40,805.00,755.00,800.00,4.44
2025-10-26,740.20,766.20,740.20,766.00,1.97
2025-10-19,750.00,779.00,750.00,751.20,0.52
2025-10-16,775.20,790.70,745.00,747.30,-1.67
2025-10-15,785.00,796.00,759.50,760.00,-3.18
2025-10-14,810.00,810.00,779.60,785.00,-1.88
2025-10-13,761.10,804.50,761.00,800.00,3.23
2025-10-12,806.10,806.10,775.00,775.00,-4.91
2025-10-09,825.60,855.00,805.00,815.00,0.68
2025-10-08,818.50,818.50,790.00,809.50,-3.05
2025-10-07,855.00,855.00,821.20,835.00,-2.57
2025-09-28,842.00,857.00,829.50,857.00,2.02
2025-09-25,836.00,848.00,836.00,840.00,-1.16
2025-09-24,877.90,877.90,828.00,849.90,-1.29
2025-09-23,800.00,861.00,800.00,861.00,6.13
2025-09-21,755.00,824.00,753.00,811.27,5.58
2025-09-18,825.70,825.70,768.40,768.40,-8.8
2025-09-08,865.90,866.00,842.00,842.52,-0.77
2025-09-07,865.50,916.00,848.20,849.04,0.06
2025-09-04,841.00,860.00,841.00,848.54,-0.66
2025-09-03,867.00,868.00,853.00,854.17,-1.49
2025-09-02,869.00,880.00,866.00,867.09,-0.38
2025-09-01,870.10,876.00,870.00,870.39,-0.83
