date,open,high,low,close,volume
2026-06-08,"1,154.00","1,165.00","1,154.00","1,155.00","1,510,512.90"
2026-06-05,"1,154.00","1,165.00","1,154.00","1,155.00",-0.86
2026-06-04,"1,165.00","1,190.00","1,155.00","1,165.00",-0.43
2026-06-03,"1,180.00","1,196.80","1,162.00","1,170.00",-0.68
2026-06-02,"1,154.00","1,178.00","1,154.00","1,178.00",1.46
2026-06-01,"1,185.00","1,194.00","1,155.00","1,161.00",-2.85
2026-05-27,"1,175.00","1,195.00","1,169.00","1,195.00",0.84
2026-05-26,"1,162.10","1,196.00","1,162.10","1,185.00",0.0
2026-05-25,"1,190.00","1,210.00","1,185.00","1,185.00",0.42
2026-05-22,"1,159.00","1,193.70","1,147.00","1,180.00",1.72
2026-05-21,"1,168.90","1,171.00","1,156.00","1,160.00",-0.68
2026-05-20,"1,120.00","1,168.00","1,120.00","1,168.00",3.35
2026-05-19,"1,130.50","1,150.00","1,130.10","1,130.10",-1.64
2026-05-18,"1,156.00","1,161.00","1,121.40","1,149.00",-0.17
2026-05-15,"1,186.00","1,221.00","1,130.00","1,151.00",-0.09
2026-05-14,"1,168.00","1,168.00","1,146.10","1,152.00",-1.37
2026-05-13,"1,155.10","1,170.00","1,145.00","1,168.00",-1.02
2026-05-12,"1,199.90","1,199.90","1,156.00","1,180.00",-0.59
2026-05-11,"1,228.50","1,228.50","1,168.30","1,187.00",1.45
2026-05-08,"1,130.00","1,180.00","1,130.00","1,170.00",2.63
2026-05-07,"1,120.10","1,150.00","1,120.10","1,140.00",0.88
2026-05-06,"1,125.00","1,140.00","1,119.00","1,130.00",-1.22
2026-05-05,"1,126.00","1,155.00","1,115.00","1,144.00",1.69
2026-05-04,"1,140.00","1,145.00","1,125.00","1,125.00",-2.59
2026-04-30,"1,102.00","1,165.00","1,102.00","1,154.90",-0.43
2026-04-29,"1,178.10","1,175.00","1,155.00","1,159.90",-1.54
2026-04-28,"1,181.80","1,205.00","1,170.20","1,178.10",-0.31
2026-04-27,"1,190.00","1,223.00","1,178.00","1,181.80",-0.69
2026-04-24,"1,205.00","1,205.00","1,180.00","1,190.00",-0.58
2026-04-23,"1,202.00","1,220.00","1,190.00","1,196.90",-1.89
2026-04-22,"1,192.50","1,228.10","1,185.00","1,220.00",1.25
2026-04-21,"1,200.00","1,235.00","1,196.00","1,204.90",-0.59
2026-04-20,"1,201.60","1,229.00","1,200.00","1,212.00",-0.82
2026-04-17,"1,224.00","1,224.00","1,200.00","1,222.00",-0.24
2026-04-16,"1,240.00","1,250.00","1,211.10","1,225.00",-2.01
2026-04-15,"1,240.00","1,269.00","1,240.00","1,250.10",0.73
2026-04-13,"1,255.00","1,260.00","1,240.90","1,241.00",-1.98
2026-04-10,"1,290.00","1,290.00","1,266.00","1,266.10",-1.85
2026-04-09,"1,263.00","1,306.00","1,260.00","1,290.00",2.16
2026-04-08,"1,195.00","1,262.70","1,186.00","1,262.70",4.36
2026-04-07,"1,201.00","1,246.50","1,196.00","1,210.00",-1.18
2026-04-06,"1,180.00","1,230.00","1,167.00","1,224.50",2.91
2026-04-05,"1,252.00","1,252.00","1,180.10","1,189.90",-5.94
2026-04-02,"1,270.00","1,275.00","1,250.00","1,265.00",0.4
2026-04-01,"1,285.00","1,292.00","1,260.00","1,260.00",-1.95
2026-03-31,"1,315.00","1,337.70","1,270.10","1,285.00",-0.77
2026-03-30,"1,320.00","1,339.20","1,295.00","1,295.00",-2.29
2026-03-29,"1,380.00","1,385.00","1,320.00","1,325.40",-3.89
2026-03-26,"1,350.00","1,393.00","1,350.00","1,379.00",0.91
2026-03-25,"1,322.00","1,366.70","1,322.00","1,366.60",1.76
2026-03-24,"1,330.00","1,370.00","1,330.00","1,343.00",-0.14
2026-03-23,"1,331.10","1,365.00","1,331.10","1,344.90",-0.53
2026-03-22,"1,334.00","1,380.00","1,334.00","1,352.10",1.36
2026-03-19,"1,321.00","1,346.90","1,321.00","1,334.00",0.98
2026-03-17,"1,307.00","1,324.00","1,300.00","1,321.00",0.49
2026-03-16,"1,328.00","1,332.00","1,308.00","1,314.50",-0.45
2026-03-15,"1,350.10","1,377.00","1,320.30","1,320.40",-2.84
2026-03-12,"1,350.00","1,377.00","1,340.00","1,359.00",0.44
2026-03-11,"1,371.10","1,400.00","1,353.00","1,353.00",-3.22
2026-03-10,"1,421.90","1,450.00","1,362.00","1,398.00",0.28
2026-03-09,"1,366.80","1,394.10","1,366.80","1,394.10",4.04
2026-03-03,"1,302.00","1,344.00","1,302.00","1,340.00",2.84
2026-03-01,"1,260.00","1,305.00","1,260.00","1,303.00",1.63
2026-02-26,"1,285.20","1,298.10","1,277.00","1,282.10",-0.24
2026-02-25,"1,298.00","1,304.00","1,280.00","1,285.20",-0.4
2026-02-24,"1,260.00","1,290.40","1,260.00","1,290.40",2.66
2026-02-23,"1,255.00","1,279.60","1,245.10","1,257.00",-0.24
2026-02-22,"1,300.00","1,300.00","1,257.00","1,260.00",-3.08
2026-02-17,"1,301.00","1,308.00","1,274.00","1,300.00",-0.76
2026-02-16,"1,326.00","1,350.00","1,290.00","1,309.90",-1.73
2026-02-12,"1,335.00","1,350.00","1,322.00","1,333.00",-0.22
2026-02-11,"1,340.00","1,389.00","1,333.00","1,336.00",-0.3
2026-02-10,"1,382.10","1,409.00","1,335.00","1,340.00",-3.46
2026-02-09,"1,390.00","1,412.00","1,378.10","1,388.00",-0.14
2026-02-08,"1,410.10","1,454.00","1,390.00","1,390.00",-1.28
2026-02-05,"1,420.00","1,441.00","1,408.00","1,408.00",-0.78
2026-02-04,"1,405.00","1,438.00","1,404.00","1,419.00",0.65
2026-02-03,"1,440.00","1,465.00","1,400.00","1,409.90",-2.16
2026-02-02,"1,415.00","1,460.00","1,400.00","1,441.00",2.93
2026-02-01,"1,438.00","1,438.00","1,391.00","1,400.00",-1.06
2026-01-29,"1,470.00","1,499.00","1,412.10","1,415.00",-3.74
2026-01-28,"1,410.00","1,480.00","1,410.00","1,470.00",2.23
2026-01-27,"1,575.90","1,575.90","1,426.20","1,438.00",-6.93
2026-01-26,"1,500.00","1,550.40","1,441.00","1,545.00",3.0
2026-01-25,"1,405.00","1,537.60","1,405.00","1,500.00",7.0
2026-01-22,"1,325.00","1,415.00","1,322.00","1,401.90",4.39
2026-01-21,"1,364.00","1,373.90","1,333.00","1,343.00",-0.53
2026-01-20,"1,320.00","1,380.00","1,320.00","1,350.10",3.14
2026-01-18,"1,280.00","1,328.00","1,280.00","1,309.00",0.85
2026-01-14,"1,325.00","1,328.00","1,285.00","1,298.00",-2.04
2026-01-13,"1,355.00","1,380.00","1,310.00","1,325.00",-2.21
2026-01-12,"1,305.00","1,395.00","1,294.60","1,354.90",4.06
2026-01-08,"1,280.00","1,302.00","1,272.30","1,302.00",1.67
2026-01-07,"1,319.00","1,329.90","1,280.40","1,280.60",-2.98
2026-01-06,"1,397.40","1,405.00","1,311.00","1,320.00",-3.65
2026-01-05,"1,320.10","1,377.00","1,320.00","1,370.00",3.01
2026-01-04,"1,265.20","1,333.10","1,260.00","1,330.00",4.23
2026-01-01,"1,267.00","1,300.00","1,263.00","1,276.00",0.71
2025-12-31,"1,263.00","1,285.00","1,231.00","1,267.00",1.21
2025-12-29,"1,255.00","1,273.00","1,237.00","1,251.90",-0.25
2025-12-28,"1,235.00","1,264.00","1,222.00","1,255.10",1.3
2025-12-24,"1,242.00","1,264.90","1,225.00","1,239.00",-0.24
2025-12-23,"1,201.00","1,244.00","1,201.00","1,242.00",1.47
2025-12-22,"1,230.00","1,238.50","1,200.20","1,224.00",0.41
2025-12-21,"1,243.00","1,243.00","1,205.60","1,219.00",-1.93
2025-12-18,"1,276.00","1,276.00","1,240.10","1,243.00",-2.65
2025-12-17,"1,244.00","1,390.00","1,244.00","1,276.90",0.62
2025-12-16,"1,261.00","1,290.00","1,257.00","1,269.00",0.92
2025-12-15,"1,200.00","1,275.00","1,200.00","1,257.40",4.09
