date,open,high,low,close,volume
2026-06-08,"1,110.00","1,110.00","1,110.00","1,110.00","27,750.00"
2026-06-05,"1,110.00","1,110.00","1,110.00","1,110.00",0.0
2026-06-04,"1,110.00","1,110.00","1,110.00","1,110.00",0.0
2026-06-03,"1,100.00","1,110.00","1,100.00","1,110.00",0.91
2026-06-02,"1,100.00","1,100.00","1,100.00","1,100.00",2.78
2026-06-01,"1,070.20","1,070.20","1,070.20","1,070.20",-1.27
2026-05-27,"1,140.00","1,140.00","1,084.00","1,084.00",-4.91
2026-05-25,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-05-20,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-05-14,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-05-13,"1,140.00","1,140.00","1,140.00","1,140.00",-0.44
2026-04-29,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-27,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-24,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-15,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-13,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-07,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-04-05,"1,145.00","1,145.00","1,145.00","1,145.00",0.0
2026-03-25,"1,145.00","1,145.00","1,145.00","1,145.00",0.44
2026-03-17,"1,130.00","1,140.00","1,130.00","1,140.00",1.79
2026-02-02,"1,120.00","1,120.00","1,120.00","1,120.00",0.0
2026-01-28,"1,120.00","1,120.00","1,120.00","1,120.00",0.0
2026-01-26,"1,133.00","1,133.00","1,120.00","1,120.00",-1.15
2026-01-25,"1,133.00","1,133.00","1,133.00","1,133.00",-1.99
2026-01-18,"1,156.40","1,156.40","1,156.00","1,156.00",-2.03
2026-01-05,"1,182.00","1,182.00","1,180.00","1,180.00",0.68
2025-12-29,"1,153.00","1,172.00","1,153.00","1,172.00",2.98
2025-12-28,"1,115.80","1,138.10","1,115.80","1,138.10",4.03
2025-12-21,"1,094.00","1,094.00","1,094.00","1,094.00",0.0
2025-12-18,"1,094.00","1,094.00","1,094.00","1,094.00",-1.66
2025-12-03,"1,112.50","1,112.50","1,112.50","1,112.50",-1.9
2025-12-01,"1,134.00","1,134.00","1,134.00","1,134.00",0.0
