date,open,high,low,close,volume
2026-06-08,749.80,850.00,749.80,780.00,"30,641,373.20"
2026-06-05,749.80,850.00,749.80,780.00,-1.17
2026-06-04,800.00,805.00,789.00,789.20,-1.35
2026-06-03,793.00,809.90,793.00,800.00,0.88
2026-06-02,763.60,811.00,763.60,793.00,-1.33
2026-06-01,815.00,818.90,800.00,803.70,-1.99
2026-05-27,800.00,839.90,800.00,820.00,-2.37
2026-05-26,854.00,865.00,833.50,839.90,-1.51
2026-05-25,827.00,860.00,815.00,852.80,3.12
2026-05-22,772.00,833.00,772.00,827.00,1.85
2026-05-21,827.00,835.90,810.00,812.00,-1.22
2026-05-20,765.00,827.00,765.00,822.00,2.11
2026-05-19,811.90,835.00,800.00,805.00,-0.85
2026-05-18,840.00,845.00,805.90,811.90,-3.32
2026-05-15,840.00,860.00,836.00,839.80,-0.38
2026-05-14,865.00,865.00,840.00,843.00,-2.54
2026-05-13,835.00,901.00,835.00,865.00,-1.14
2026-05-12,892.00,901.00,861.00,875.00,-1.91
2026-05-11,897.00,908.90,887.00,892.00,-0.56
2026-05-08,850.00,916.00,850.00,897.00,3.12
2026-05-07,860.10,890.00,860.00,869.90,-0.7
2026-05-06,897.00,918.00,875.00,876.00,-2.34
2026-05-05,888.00,916.70,850.00,897.00,1.01
2026-05-04,948.00,960.00,880.10,888.00,-6.33
2026-04-30,940.00,"1,030.00",885.10,948.00,-1.05
2026-04-29,"1,039.00","1,090.90",943.20,958.10,-7.79
2026-04-28,"1,172.90","1,280.00","1,025.00","1,039.00",-6.99
2026-04-27,"1,019.90","1,117.10","1,019.90","1,117.10",15.0
2026-04-24,886.20,971.40,886.20,971.40,15.0
2026-04-23,756.60,844.70,756.60,844.70,14.99
2026-04-22,657.90,734.60,657.90,734.60,15.0
2026-04-21,580.00,638.80,580.00,638.80,15.0
2026-04-20,507.20,555.50,507.20,555.50,14.99
2026-04-17,447.90,483.10,447.90,483.10,10.0
2026-04-16,407.20,439.20,407.20,439.20,9.99
2026-04-15,370.20,399.30,370.20,399.30,10.0
2026-04-13,330.00,363.00,330.00,363.00,10.0
2026-04-10,300.00,330.00,300.00,330.00,10.0
