date,open,high,low,close,volume
2026-06-08,374.00,392.00,370.00,390.00,"10,202,810.40"
2026-06-05,374.0,392.0,370.0,390.0,4.28
2026-06-04,387.8,387.8,373.0,374.0,-2.6
2026-06-03,390.9,391.9,380.0,384.0,-0.52
2026-06-02,375.0,387.0,375.0,386.0,4.61
2026-06-01,380.1,380.1,365.0,369.0,-1.99
2026-05-27,382.9,382.9,376.0,376.5,-0.4
2026-05-26,386.9,386.9,375.0,378.0,-0.53
2026-05-25,379.0,380.0,370.0,380.0,1.33
2026-05-22,367.0,375.0,367.0,375.0,0.0
2026-05-21,382.0,382.0,370.0,375.0,-0.5
2026-05-20,373.9,377.9,363.4,376.9,1.92
2026-05-19,366.0,370.0,362.5,369.8,1.04
2026-05-18,374.0,374.0,365.0,366.0,-0.81
2026-05-15,372.9,372.9,362.0,369.0,0.54
2026-05-14,363.0,369.8,363.0,367.0,-0.49
2026-05-13,372.0,372.0,368.0,368.8,-2.43
2026-05-12,387.9,387.9,368.7,378.0,-1.23
2026-05-11,379.0,383.4,379.0,382.7,2.33
2026-05-08,376.0,378.0,371.0,374.0,0.27
2026-05-07,375.5,377.0,373.0,373.0,-1.06
2026-05-06,382.9,382.9,376.0,377.0,-0.29
2026-05-05,384.0,384.0,376.0,378.1,-0.24
2026-05-04,374.0,386.0,373.1,379.0,-0.24
2026-04-30,378.0,379.9,372.0,379.9,0.5
2026-04-29,380.8,380.0,374.0,378.0,-0.74
2026-04-28,382.0,385.0,378.1,380.8,-0.31
2026-04-27,381.2,385.0,382.0,382.0,0.21
2026-04-24,384.0,387.0,379.0,381.2,-0.73
2026-04-23,390.0,390.0,380.0,384.0,-0.49
2026-04-22,377.5,386.0,375.0,385.9,0.49
2026-04-21,385.0,389.0,381.0,384.0,-1.29
2026-04-20,385.0,390.9,385.0,389.0,1.04
2026-04-17,393.8,393.8,383.2,385.0,-0.28
2026-04-16,390.1,394.9,384.0,386.1,-2.75
2026-04-15,399.0,399.0,392.0,397.0,1.02
2026-04-13,395.5,400.0,390.5,393.0,-0.76
2026-04-10,402.0,402.0,390.0,396.0,-0.5
2026-04-09,391.0,400.0,388.4,398.0,0.76
2026-04-08,390.0,395.0,388.0,395.0,2.07
2026-04-07,393.0,394.0,385.0,387.0,0.16
2026-04-06,368.0,392.0,368.0,386.4,4.72
2026-04-05,386.0,390.0,365.0,369.0,-5.92
2026-04-02,391.0,400.0,385.0,392.2,-0.71
2026-04-01,406.0,409.0,393.3,395.0,-3.4
2026-03-31,401.0,413.1,381.0,408.9,3.47
2026-03-30,411.0,413.2,392.0,395.2,-2.42
2026-03-29,426.0,426.0,405.0,405.0,-4.93
2026-03-26,424.6,427.0,422.0,426.0,-0.7
2026-03-25,441.0,441.0,426.0,429.0,-1.38
2026-03-24,439.0,439.0,428.0,435.0,0.0
2026-03-23,436.1,443.0,429.6,435.0,-0.23
2026-03-22,409.9,436.4,409.9,436.0,6.37
2026-03-19,405.0,411.0,398.0,409.9,2.99
2026-03-17,395.7,402.5,390.4,398.0,-0.08
2026-03-16,404.5,406.0,395.0,398.3,-2.02
2026-03-15,411.0,415.0,404.0,406.5,0.87
2026-03-12,396.0,404.9,396.0,403.0,1.0
2026-03-11,410.0,410.0,396.5,399.0,-2.25
2026-03-10,411.6,427.0,401.0,408.2,1.14
2026-03-09,395.7,403.6,395.7,403.6,4.02
2026-03-03,384.0,388.3,384.0,388.0,1.04
2026-03-01,375.0,387.0,373.0,384.0,1.05
2026-02-26,370.3,385.2,368.0,380.0,2.62
2026-02-25,374.5,375.0,368.0,370.3,0.08
2026-02-24,371.0,376.0,368.0,370.0,-0.27
2026-02-23,372.0,374.0,368.0,371.0,1.09
2026-02-22,370.0,375.0,365.1,367.0,-1.34
2026-02-17,383.8,383.8,371.0,372.0,-1.85
2026-02-16,383.0,384.5,375.0,379.0,0.29
2026-02-12,382.0,382.0,370.0,377.9,0.77
2026-02-11,380.0,380.0,373.0,375.0,0.0
2026-02-10,372.0,382.0,371.5,375.0,-1.06
2026-02-09,388.9,388.9,367.5,379.0,-1.22
2026-02-08,377.5,391.0,377.5,383.7,-0.34
2026-02-05,384.9,389.0,377.0,385.0,0.26
2026-02-04,389.0,389.0,378.0,384.0,0.52
2026-02-03,390.0,390.0,380.1,382.0,-0.78
2026-02-02,391.0,392.0,384.0,385.0,0.0
2026-02-01,383.0,392.6,380.5,385.0,2.53
2026-01-29,368.5,390.9,368.5,375.5,-0.13
2026-01-28,378.0,385.5,372.0,376.0,-1.83
2026-01-27,400.0,400.0,381.0,383.0,-2.79
2026-01-26,403.9,403.9,387.1,394.0,-1.5
2026-01-25,389.0,405.0,381.1,400.0,3.63
2026-01-22,382.0,387.0,375.0,386.0,2.39
2026-01-21,384.0,391.0,373.1,377.0,-1.82
2026-01-20,384.0,395.0,374.4,384.0,1.32
2026-01-18,365.0,383.0,360.0,379.0,5.31
2026-01-14,355.0,366.0,355.0,359.9,1.32
2026-01-13,363.8,363.8,352.8,355.2,-0.75
2026-01-12,367.0,367.0,356.1,357.9,-0.61
2026-01-08,368.0,368.0,355.8,360.1,-1.34
2026-01-07,365.9,370.0,358.0,365.0,0.55
2026-01-06,355.0,365.0,355.0,363.0,2.25
2026-01-05,360.0,363.0,354.0,355.0,-1.33
2026-01-04,360.0,364.0,356.9,359.8,-0.06
2026-01-01,364.0,364.0,357.0,360.0,-1.1
2025-12-31,368.9,368.9,361.6,364.0,0.0
2025-12-29,369.0,369.0,362.1,364.0,0.0
2025-12-28,363.0,365.0,359.0,364.0,1.68
2025-12-24,360.0,364.9,356.1,358.0,0.79
2025-12-23,370.0,370.0,355.2,355.2,-2.68
2025-12-22,373.8,373.8,363.5,365.0,-0.41
2025-12-21,363.9,372.0,363.7,366.5,-1.21
2025-12-18,372.6,375.0,369.0,371.0,-1.59
2025-12-17,377.0,377.0,373.0,377.0,1.07
2025-12-16,370.0,377.0,370.0,373.0,1.36
2025-12-15,363.3,371.0,363.3,368.0,0.55
2025-12-14,371.0,372.0,365.0,366.0,-0.27
2025-12-11,377.0,377.0,367.0,367.0,-1.61
2025-12-10,378.0,378.0,370.0,373.0,-0.51
2025-12-09,379.0,379.0,372.1,374.9,-0.03
2025-12-08,374.0,379.5,370.0,375.0,-0.53
2025-12-07,380.0,383.0,374.1,377.0,-0.26
2025-12-03,376.0,391.0,374.0,378.0,2.02
2025-12-02,376.2,383.0,369.1,370.5,-2.5
2025-12-01,383.0,384.0,376.0,380.0,0.26
2025-11-30,385.0,387.0,376.0,379.0,-1.3
2025-11-27,388.0,388.6,380.0,384.0,-1.03
2025-11-26,388.0,388.0,382.0,388.0,0.78
2025-11-25,386.0,388.0,384.0,385.0,-0.77
2025-11-24,387.0,388.3,382.0,388.0,1.49
2025-11-23,378.0,386.0,378.0,382.3,2.22
2025-11-20,374.0,381.4,374.0,374.0,-0.93
2025-11-19,384.9,384.9,377.5,377.5,-0.66
2025-11-18,381.0,388.6,378.1,380.0,1.06
2025-11-17,378.0,380.0,373.0,376.0,0.29
2025-11-16,383.9,383.9,373.0,374.9,-1.34
2025-11-13,380.0,383.0,378.0,380.0,0.0
2025-11-12,380.0,383.0,380.0,380.0,-1.43
2025-11-11,396.0,396.0,379.0,385.5,-1.41
2025-11-10,394.0,397.8,383.0,391.0,0.26
2025-11-09,397.0,397.0,387.0,390.0,-0.76
2025-11-06,404.0,405.0,393.0,393.0,-1.01
2025-11-05,394.5,404.0,381.2,397.0,2.14
2025-11-04,403.9,404.0,388.7,388.7,-3.55
2025-11-03,401.0,412.8,397.2,403.0,-0.49
2025-11-02,389.9,411.0,385.0,405.0,4.65
2025-10-30,373.0,396.0,370.8,387.0,3.75
2025-10-29,385.9,386.0,373.0,373.0,-2.1
2025-10-28,373.5,381.0,370.1,381.0,2.97
2025-10-26,365.0,372.0,365.0,370.0,-0.54
2025-10-19,372.0,373.0,368.5,372.0,1.36
2025-10-16,373.9,373.9,365.5,367.0,-0.54
2025-10-15,368.0,373.9,367.0,369.0,-0.94
2025-10-14,384.9,384.9,370.2,372.5,-2.0
2025-10-13,365.3,383.4,365.0,380.1,2.18
2025-10-12,383.0,383.2,365.0,372.0,-4.37
2025-10-09,389.7,404.9,382.0,389.0,1.81
2025-10-08,401.0,401.0,379.3,382.1,-3.27
2025-10-07,401.0,401.0,392.0,395.0,-1.5
2025-09-28,401.0,403.0,395.0,401.0,1.49
2025-09-25,400.0,408.0,395.1,395.1,-1.23
2025-09-24,406.0,409.0,398.6,400.0,-1.23
2025-09-23,400.0,410.0,397.0,405.0,1.31
2025-09-21,385.0,410.9,375.0,399.75,3.83
2025-09-18,388.0,388.0,384.0,385.0,-2.04
2025-09-08,397.0,397.0,390.0,393.0,0.4
2025-09-07,393.0,393.8,386.1,391.45,1.05
2025-09-04,400.0,400.0,387.0,387.39,-1.84
2025-09-03,403.0,403.0,394.0,394.65,-0.94
2025-09-02,408.0,408.0,398.0,398.38,-0.91
2025-09-01,406.0,406.0,400.0,402.05,-0.12
2025-08-31,407.0,407.0,400.1,402.53,0.24
2025-08-28,415.9,415.9,400.0,401.55,-2.19
2025-08-27,407.0,423.0,404.0,410.56,1.73
2025-08-26,411.9,411.9,401.1,403.57,-0.66
2025-08-25,399.0,408.0,399.0,406.25,1.86
2025-08-24,401.0,404.9,398.0,398.83,-0.6
2025-08-21,403.0,405.9,396.0,401.23,-0.68
2025-08-20,408.0,411.0,401.0,403.98,-1.0
2025-08-19,413.7,413.7,407.0,408.05,0.03
2025-08-18,412.9,412.9,405.1,407.91,0.15
2025-08-17,417.0,417.0,405.0,407.28,-0.94
2025-08-14,417.0,417.0,410.1,411.14,-0.57
2025-08-13,418.0,419.2,411.0,413.5,0.31
2025-08-12,410.0,420.0,410.0,412.22,-0.82
2025-08-11,420.0,425.0,415.0,415.61,-1.01
2025-08-07,422.0,425.0,416.7,419.86,0.62
2025-08-06,418.0,424.0,417.0,417.27,-0.18
2025-08-05,430.0,430.0,416.5,418.03,-1.63
2025-08-04,435.0,435.0,421.0,424.95,-0.81
2025-08-03,438.0,440.5,427.0,428.44,-0.8
2025-07-31,431.48,448.6,426.0,431.89,0.1
2025-07-30,448.0,448.0,430.5,431.48,-1.91
2025-07-29,450.0,452.0,438.0,439.86,-1.14
2025-07-28,440.0,446.8,429.0,444.91,2.5
2025-07-27,453.2,453.2,432.0,434.06,-2.31
2025-07-24,458.0,460.9,441.1,444.33,-2.16
2025-07-23,439.0,460.0,435.0,454.16,3.66
2025-07-22,430.0,445.0,429.0,438.13,2.09
2025-07-21,437.0,450.0,426.0,429.18,-1.87
2025-07-20,444.0,475.5,430.0,437.35,-1.34
2025-07-17,437.0,446.0,435.3,443.27,2.74
2025-07-16,438.0,440.0,429.8,431.44,-0.17
2025-07-15,420.0,435.0,420.0,432.18,3.36
2025-07-14,428.0,428.8,418.0,418.13,-2.17
2025-07-13,427.6,442.0,425.0,427.42,1.96
2025-07-10,425.8,427.8,418.0,419.22,-0.09
2025-07-09,429.0,429.0,418.0,419.59,-0.8
2025-07-08,419.0,432.0,417.5,422.97,0.77
2025-07-07,439.0,439.0,417.5,419.73,-3.79
2025-07-06,435.0,452.5,423.0,436.27,2.2
2025-07-03,411.0,435.0,409.0,426.87,4.29
2025-07-02,405.8,416.1,405.0,409.31,1.83
2025-07-01,402.0,403.5,398.0,401.95,1.49
2025-06-30,394.2,406.0,394.2,396.04,-1.53
2025-06-29,396.0,404.0,391.0,402.19,1.4
2025-06-26,397.0,402.0,396.0,396.64,0.34
2025-06-25,402.0,402.0,394.0,395.28,-0.99
2025-06-24,407.0,407.0,397.0,399.24,-0.53
2025-06-23,402.5,405.0,397.0,401.37,0.88
2025-06-22,393.9,409.7,393.9,397.88,-0.89
2025-06-19,410.0,410.0,398.0,401.47,-0.82
2025-06-18,394.8,409.9,394.8,404.79,0.5
2025-06-17,408.9,409.0,400.2,402.78,-1.32
2025-06-16,412.0,412.0,403.0,408.17,-0.02
2025-06-15,412.0,419.9,406.3,408.25,-1.03
2025-06-12,407.0,423.0,407.0,412.51,-0.39
2025-06-11,418.2,423.0,412.5,414.14,-2.09
2025-06-10,410.8,427.0,400.0,422.96,4.94
2025-06-09,399.4,409.7,395.1,403.04,0.93
2025-06-08,405.0,413.0,397.0,399.31,-1.57
2025-06-05,412.0,412.0,400.0,405.66,-0.13
2025-06-04,405.3,423.0,405.3,406.17,-0.14
2025-06-03,415.0,415.0,405.5,406.72,-1.53
2025-06-02,411.0,417.9,411.0,413.06,0.48
2025-05-28,406.0,412.0,406.0,411.07,0.66
2025-05-27,410.0,420.0,405.0,408.37,-0.94
2025-05-26,416.4,425.0,412.0,412.24,0.97
2025-05-25,420.0,422.0,406.0,408.27,-1.34
2025-05-22,420.0,420.0,413.0,413.8,-0.26
2025-05-21,428.7,445.0,414.0,414.89,-1.29
2025-05-20,411.0,423.0,405.0,420.32,2.27
2025-05-19,415.0,419.0,410.0,411.01,1.01
2025-05-18,415.0,417.0,404.5,406.91,-0.6
2025-05-15,416.9,417.0,407.7,409.36,-0.45
2025-05-14,417.0,419.2,409.0,411.2,0.04
2025-05-13,418.0,424.0,406.7,411.03,-1.79
2025-05-11,432.0,437.9,417.0,418.51,-3.01
2025-05-08,425.0,444.7,407.0,431.5,2.41
2025-05-07,391.0,422.0,387.0,421.36,7.69
2025-05-06,395.0,395.0,390.0,391.27,0.28
2025-05-05,394.0,398.8,390.0,390.19,-0.37
2025-05-04,402.0,402.0,390.2,391.63,-0.96
2025-04-30,405.0,405.0,394.1,395.41,-0.99
2025-04-29,401.0,413.2,398.0,399.36,-1.42
2025-04-28,400.0,416.0,398.0,405.13,2.02
2025-04-27,413.0,414.0,394.0,397.09,-2.67
2025-04-24,405.0,413.0,392.0,408.0,-0.55
2025-04-23,413.0,417.0,407.0,410.25,-1.07
2025-04-22,418.0,422.6,414.0,414.67,-0.7
2025-04-21,418.1,424.5,417.0,417.59,-0.53
2025-04-20,417.0,433.0,415.1,419.83,-0.58
2025-04-17,418.0,424.3,416.0,422.3,1.0
2025-04-16,425.0,425.0,416.0,418.1,-0.38
2025-04-15,420.0,424.8,413.0,419.71,1.1
2025-04-13,415.0,420.9,411.5,415.15,-0.63
2025-04-10,427.9,427.9,416.0,417.79,-1.32
2025-04-09,430.0,432.0,423.0,423.37,-0.26
2025-04-08,431.6,431.6,415.0,424.46,0.29
2025-04-07,443.0,443.0,423.0,423.22,-2.63
2025-04-03,445.0,449.5,432.0,434.63,-1.45
