date,open,high,low,close,volume
2026-06-08,338.00,339.90,337.50,338.00,"2,419,681.50"
2026-06-05,338.0,339.9,337.5,338.0,-1.34
2026-06-04,349.0,349.0,339.5,342.6,-0.12
2026-06-03,341.0,347.0,337.0,343.0,0.59
2026-06-02,337.0,343.9,336.0,341.0,-0.87
2026-06-01,347.9,348.0,340.0,344.0,-1.43
2026-05-27,358.5,359.5,346.5,349.0,-0.57
2026-05-26,350.0,357.0,344.0,351.0,0.14
2026-05-25,343.9,352.0,343.0,350.5,2.49
2026-05-22,343.9,343.9,336.1,342.0,0.29
2026-05-21,336.0,345.0,336.0,341.0,0.15
2026-05-20,341.0,342.0,333.2,340.5,1.98
2026-05-19,345.0,345.0,332.8,333.9,-1.68
2026-05-18,340.0,348.9,334.0,339.6,0.21
2026-05-15,344.8,344.8,335.0,338.9,1.22
2026-05-14,333.0,341.7,330.0,334.8,-0.06
2026-05-13,335.1,340.0,332.1,335.0,-1.03
2026-05-12,344.8,348.0,336.0,338.5,-1.83
2026-05-11,341.9,349.9,336.5,344.8,2.01
2026-05-08,335.0,340.0,332.7,338.0,0.36
2026-05-07,331.0,337.0,330.0,336.8,0.54
2026-05-06,330.1,339.0,330.1,335.0,-0.59
2026-05-05,330.1,339.0,329.0,337.0,2.12
2026-05-04,332.2,332.6,324.0,330.0,-1.2
2026-04-30,335.0,338.2,331.0,334.0,-0.3
2026-04-29,343.0,342.0,332.0,335.0,-2.33
2026-04-28,329.0,368.0,329.0,343.0,-0.38
2026-04-27,340.0,349.9,340.0,344.3,1.26
2026-04-24,341.8,344.8,339.0,340.0,-0.53
2026-04-23,359.0,359.0,341.0,341.8,-3.39
2026-04-22,350.0,357.0,342.0,353.8,1.7
2026-04-21,350.0,357.0,343.1,347.9,-0.91
2026-04-20,369.0,369.0,346.5,351.1,-2.06
2026-04-17,360.0,360.0,350.0,358.5,0.42
2026-04-16,372.0,372.0,355.8,357.0,-3.51
2026-04-15,365.0,373.0,361.1,370.0,0.95
2026-04-13,366.0,380.6,360.0,366.5,0.14
2026-04-10,351.9,378.9,351.9,366.0,1.95
2026-04-09,350.0,364.0,345.0,359.0,3.16
2026-04-08,342.5,349.3,342.2,348.0,1.61
2026-04-07,351.0,352.7,338.7,342.5,-0.72
2026-04-06,330.0,348.9,327.2,345.0,3.6
2026-04-05,343.0,346.0,325.5,333.0,-4.86
2026-04-02,348.0,360.0,341.1,350.0,-1.41
2026-04-01,380.0,380.0,352.0,355.0,-5.59
2026-03-31,379.0,380.4,368.2,376.0,-2.44
2026-03-30,384.1,413.0,375.4,385.4,-1.66
2026-03-29,396.0,396.0,375.5,391.9,-1.04
2026-03-26,419.5,419.5,387.1,396.0,-7.48
2026-03-25,382.2,428.0,382.2,428.0,9.77
2026-03-24,393.8,399.0,385.0,389.9,-0.99
2026-03-23,386.1,409.0,385.1,393.8,-0.03
2026-03-22,405.9,405.9,390.0,393.9,-1.03
2026-03-19,387.0,401.0,380.0,398.0,2.84
2026-03-17,377.0,389.0,375.0,387.0,1.31
2026-03-16,390.0,390.0,376.0,382.0,-1.52
2026-03-15,393.7,393.7,379.0,387.9,0.49
2026-03-12,390.0,393.0,384.1,386.0,-1.53
2026-03-11,407.7,407.7,385.0,392.0,-5.77
2026-03-10,398.0,416.0,377.0,416.0,4.03
2026-03-09,396.7,400.0,395.0,399.9,2.8
2026-03-03,347.0,389.0,347.0,389.0,9.89
2026-03-01,342.2,355.0,338.3,354.0,1.43
2026-02-26,339.5,366.0,339.5,349.0,0.87
