date,open,high,low,close,volume
2026-06-08,12.16,12.50,12.16,12.50,"5,346,808.70"
2026-06-05,12.16,12.5,12.16,12.5,1.63
2026-06-04,12.14,12.56,12.14,12.3,0.82
2026-06-03,12.4,12.5,12.15,12.2,-0.81
2026-06-02,12.01,12.3,12.01,12.3,2.41
2026-06-01,12.5,12.5,12.01,12.01,-4.23
2026-05-27,12.3,12.54,12.3,12.54,1.95
2026-05-26,12.2,12.3,12.2,12.3,0.0
2026-05-25,12.01,12.3,12.01,12.3,0.74
2026-05-22,12.1,12.35,12.1,12.21,-1.13
2026-05-21,12.01,12.4,12.01,12.35,2.07
2026-05-20,12.36,12.36,12.0,12.1,0.75
2026-05-19,11.87,12.02,11.87,12.01,-0.5
2026-05-18,11.81,12.15,11.81,12.07,1.17
2026-05-15,11.86,12.2,11.86,11.93,-1.57
2026-05-14,12.05,12.17,12.05,12.12,1.17
2026-05-13,11.87,11.98,11.87,11.98,-0.42
2026-05-12,12.22,12.22,12.02,12.03,-3.84
2026-05-11,11.99,12.51,11.99,12.51,1.3
2026-05-08,11.97,12.35,11.97,12.35,2.83
2026-05-07,12.28,12.3,12.0,12.01,-2.2
2026-05-06,11.7,12.28,11.7,12.28,2.93
2026-05-05,12.0,12.0,11.81,11.93,-1.81
2026-05-04,12.0,12.15,12.0,12.15,-1.22
2026-04-30,12.01,12.3,12.01,12.3,0.82
2026-04-29,12.17,12.4,11.92,12.2,0.25
2026-04-28,12.3,13.0,12.04,12.17,-1.06
2026-04-27,12.3,12.3,12.0,12.3,0.0
2026-04-24,12.13,12.38,12.13,12.3,0.24
2026-04-23,12.4,12.45,12.13,12.27,-1.37
2026-04-22,12.17,12.45,12.16,12.44,-0.08
2026-04-21,12.5,12.84,12.14,12.45,-0.32
2026-04-20,12.01,12.66,12.01,12.49,1.13
2026-04-17,12.3,12.39,12.2,12.35,-0.48
2026-04-16,12.13,12.41,12.13,12.41,0.4
2026-04-15,12.02,12.43,12.02,12.36,1.48
2026-04-13,12.0,12.18,12.0,12.18,-0.16
2026-04-10,11.96,12.24,11.96,12.2,1.16
2026-04-09,11.8,12.06,11.79,12.06,2.12
2026-04-08,11.93,11.93,11.72,11.81,0.94
2026-04-07,11.65,11.9,11.65,11.7,-1.27
2026-04-06,11.79,11.85,11.35,11.85,-1.5
2026-04-05,11.58,12.03,11.5,12.03,1.95
2026-04-02,11.71,11.8,11.71,11.8,-0.84
2026-04-01,12.4,12.4,11.9,11.9,-2.46
2026-03-31,11.62,12.2,11.62,12.2,2.95
2026-03-30,11.8,11.85,11.8,11.85,-0.5
2026-03-29,11.86,12.1,11.86,11.91,-1.16
2026-03-26,11.65,12.05,11.65,12.05,1.6
2026-03-25,11.75,11.95,11.75,11.86,-0.92
2026-03-24,11.77,12.11,11.77,11.97,-0.33
2026-03-23,11.8,12.01,11.61,12.01,0.08
2026-03-22,11.55,12.01,11.55,12.0,3.72
2026-03-19,11.38,11.65,11.38,11.57,-0.26
2026-03-17,11.44,11.6,11.42,11.6,0.52
2026-03-16,11.52,11.75,11.52,11.54,-1.7
2026-03-15,11.4,11.74,11.4,11.74,1.21
2026-03-12,11.33,11.6,11.33,11.6,0.78
2026-03-11,11.5,11.62,11.39,11.51,1.05
2026-03-10,11.04,11.56,11.04,11.39,1.7
2026-03-03,10.8,11.2,10.8,11.2,3.04
2026-03-01,10.8,10.87,10.62,10.87,-1.36
2026-02-26,11.2,11.2,11.0,11.02,-0.27
2026-02-25,11.2,11.2,10.94,11.05,0.36
2026-02-24,11.0,11.2,11.0,11.01,-0.81
2026-02-23,10.87,11.22,10.87,11.1,0.18
2026-02-22,11.0,11.1,11.0,11.08,-1.07
2026-02-17,10.86,11.2,10.86,11.2,1.08
2026-02-16,11.08,11.08,11.08,11.08,-1.95
2026-02-12,10.96,11.39,10.96,11.3,1.8
2026-02-11,10.96,11.18,10.96,11.1,-0.72
2026-02-10,11.0,11.18,11.0,11.18,0.99
2026-02-09,11.18,11.18,11.07,11.07,-2.89
2026-02-08,11.04,11.42,11.04,11.4,1.42
2026-02-05,11.1,11.24,11.08,11.24,1.54
2026-02-04,10.92,11.15,10.92,11.07,1.37
2026-02-03,11.12,11.12,10.9,10.92,-3.7
2026-02-02,11.12,11.34,11.03,11.34,1.98
2026-02-01,11.11,11.34,11.11,11.12,-1.85
2026-01-29,11.11,11.33,11.11,11.33,0.62
2026-01-28,11.04,11.26,11.04,11.26,0.27
2026-01-27,11.14,11.4,11.14,11.23,0.99
2026-01-26,10.93,11.12,10.8,11.12,-0.27
2026-01-25,10.9,11.19,10.9,11.15,0.27
2026-01-22,11.02,11.2,10.86,11.12,2.39
2026-01-21,10.94,11.01,10.77,10.86,-0.73
2026-01-20,11.09,11.31,10.9,10.94,0.55
2026-01-18,10.79,11.18,10.79,10.88,-0.82
2026-01-14,10.78,10.97,10.78,10.97,1.48
2026-01-13,11.2,11.3,10.72,10.81,-2.61
2026-01-12,10.7,11.12,10.62,11.1,3.74
2026-01-08,10.79,11.0,10.62,10.7,-0.83
2026-01-07,10.66,11.0,10.66,10.79,0.37
2026-01-06,10.66,10.8,10.66,10.75,0.19
2026-01-05,10.59,10.8,10.59,10.73,0.75
2026-01-04,10.54,10.79,10.54,10.65,0.66
2026-01-01,10.65,10.65,10.58,10.58,-2.4
2025-12-31,10.49,10.84,10.44,10.84,3.34
2025-12-29,10.49,10.5,10.42,10.49,0.0
2025-12-28,10.51,10.61,10.33,10.49,-0.38
2025-12-24,10.48,10.76,10.48,10.53,0.48
2025-12-23,10.48,10.5,10.48,10.48,0.29
2025-12-22,10.55,10.55,10.44,10.45,-1.42
2025-12-21,10.54,10.6,10.54,10.6,0.0
2025-12-18,10.45,10.6,10.45,10.6,0.0
2025-12-17,10.4,10.6,10.4,10.6,0.09
2025-12-16,10.53,10.69,10.53,10.59,0.57
2025-12-15,10.4,10.6,10.4,10.53,0.86
2025-12-14,10.29,10.6,10.29,10.44,-0.1
2025-12-11,10.4,10.5,10.4,10.45,-0.95
2025-12-10,10.33,10.55,10.33,10.55,2.13
2025-12-09,10.31,10.33,10.31,10.33,0.19
2025-12-08,10.31,10.5,10.31,10.31,-1.43
2025-12-07,10.26,10.46,10.26,10.46,0.29
2025-12-03,10.38,10.43,10.38,10.43,-1.14
2025-12-02,10.5,10.76,10.5,10.55,0.38
2025-12-01,10.27,10.52,10.27,10.51,1.55
2025-11-30,10.3,10.4,10.3,10.35,-0.48
2025-11-27,10.32,10.52,10.32,10.4,0.97
2025-11-26,10.24,10.43,10.24,10.3,0.19
2025-11-25,10.24,10.3,10.24,10.28,0.39
2025-11-24,10.2,10.37,10.2,10.24,0.69
2025-11-23,10.15,10.25,10.15,10.17,-0.29
2025-11-20,10.15,10.22,10.15,10.2,-0.29
2025-11-19,10.1,10.26,10.1,10.23,1.69
2025-11-18,10.04,10.15,10.04,10.06,-0.89
2025-11-17,10.4,10.4,10.0,10.15,-0.49
2025-11-16,10.1,10.25,10.05,10.2,0.89
2025-11-13,10.1,10.11,9.91,10.11,0.1
2025-11-12,10.04,10.16,10.04,10.1,0.3
2025-11-11,10.16,10.2,10.03,10.07,-1.76
2025-11-10,10.16,10.25,10.16,10.25,-0.97
2025-11-09,10.08,10.35,10.08,10.35,0.78
2025-11-06,10.25,10.35,10.2,10.27,-0.29
2025-11-05,10.25,10.35,10.25,10.3,0.49
2025-11-04,10.18,10.3,10.18,10.25,0.0
2025-11-03,10.18,10.25,10.18,10.25,0.49
2025-11-02,10.16,10.2,10.03,10.2,0.39
2025-10-30,10.05,10.2,10.05,10.16,0.1
2025-10-29,10.01,10.29,10.01,10.15,1.5
2025-10-28,10.0,10.0,10.0,10.0,-0.5
2025-10-26,10.3,10.48,10.05,10.05,-1.95
2025-10-19,10.44,10.5,10.25,10.25,-3.76
2025-10-16,10.6,10.65,10.4,10.65,2.4
2025-10-15,10.31,10.4,10.31,10.4,-1.05
2025-10-14,10.44,10.51,10.42,10.51,-1.13
2025-10-13,10.24,10.63,10.21,10.63,3.81
2025-10-12,10.27,10.4,10.2,10.24,-0.29
2025-10-09,10.39,10.39,10.24,10.27,-1.15
2025-10-08,10.39,10.4,10.2,10.39,0.0
2025-10-07,10.2,10.39,10.15,10.39,0.87
2025-09-28,10.2,10.3,10.04,10.3,0.59
2025-09-25,10.15,10.4,10.15,10.24,-0.58
2025-09-24,10.31,10.63,10.3,10.3,-0.1
2025-09-23,10.15,10.4,10.15,10.31,0.19
2025-09-21,10.45,10.59,10.27,10.29,-3.38
2025-09-08,10.45,10.65,10.45,10.65,0.0
2025-09-07,10.42,10.65,10.42,10.65,0.19
2025-09-04,10.52,10.8,10.4,10.63,-0.93
2025-09-03,10.42,10.83,10.42,10.73,1.04
2025-09-02,10.41,10.62,10.41,10.62,0.28
2025-09-01,10.35,10.6,10.35,10.59,0.47
2025-08-31,10.21,10.55,10.21,10.54,1.35
2025-08-28,11.33,11.64,11.33,11.6,0.96
2025-08-27,11.3,11.52,11.08,11.49,1.23
2025-08-26,11.32,11.55,11.32,11.35,-1.73
2025-08-25,11.3,11.58,11.3,11.55,0.61
2025-08-24,11.45,11.51,11.24,11.48,2.23
2025-08-21,11.36,11.42,11.16,11.23,-1.14
2025-08-20,11.32,11.43,11.32,11.36,0.53
2025-08-19,11.22,11.4,11.22,11.3,0.27
2025-08-18,11.22,11.28,11.22,11.27,0.63
2025-08-17,11.47,11.47,11.0,11.2,-3.28
2025-08-14,11.48,11.62,11.48,11.58,-1.03
2025-08-13,11.5,11.7,11.5,11.7,1.65
2025-08-12,11.5,11.84,11.49,11.51,-0.95
2025-08-11,11.65,11.75,11.62,11.62,-0.26
2025-08-07,11.5,11.67,11.5,11.65,-0.17
