date,open,high,low,close,volume
2026-06-08,"15,206.00","15,310.00","15,201.00","15,310.00","1,614,136.00"
2026-06-05,"15,206.00","15,310.00","15,201.00","15,310.00",1.24
2026-06-04,"15,449.00","15,450.00","15,122.00","15,122.00",-1.8
2026-06-03,"15,201.00","15,450.00","15,109.00","15,399.00",1.31
2026-06-02,"15,050.00","15,380.00","15,001.00","15,200.00",-0.03
2026-06-01,"15,555.00","15,600.00","15,002.10","15,205.10",-2.75
2026-05-27,"15,300.00","15,635.00","15,120.00","15,635.00",1.87
2026-05-26,"15,200.00","15,398.00","15,199.00","15,347.70",2.3
2026-05-25,"14,994.00","15,292.90","14,994.00","15,002.00",0.48
2026-05-22,"15,000.00","15,000.00","14,915.10","14,931.00",-0.46
2026-05-21,"15,000.20","15,000.20","15,000.00","15,000.00",-2.6
2026-05-20,"15,000.00","15,400.00","15,000.00","15,400.00",0.66
2026-05-19,"15,350.00","15,350.00","15,299.00","15,299.00",1.99
2026-05-18,"14,945.00","15,390.00","14,945.00","15,000.00",-2.6
2026-05-15,"15,346.00","15,400.00","14,920.00","15,400.00",3.36
2026-05-14,"15,001.10","15,001.10","14,900.00","14,900.00",-0.87
2026-05-13,"15,101.70","15,390.00","15,015.00","15,031.00",-3.03
2026-05-12,"15,200.30","15,550.00","15,200.30","15,500.00",-0.03
2026-05-11,"15,499.90","15,505.00","15,035.00","15,505.00",2.68
2026-05-08,"15,000.00","15,100.00","15,000.00","15,100.00",2.37
2026-05-07,"14,777.20","14,777.20","14,750.00","14,750.00",-1.67
2026-05-06,"14,800.00","15,000.00","14,800.00","15,000.00",1.01
2026-05-05,"15,000.00","15,000.00","14,801.00","14,850.00",-0.98
2026-05-04,"14,860.00","14,997.00","14,851.00","14,997.00",-0.02
2026-04-30,"14,712.00","15,010.00","14,712.00","15,000.00",-0.07
2026-04-29,"15,250.00","15,055.00","15,010.00","15,010.00",-1.57
2026-04-28,"15,400.00","15,488.40","15,200.00","15,250.00",-0.97
2026-04-27,"15,350.00","15,796.00","15,201.00","15,400.00",0.33
2026-04-24,"15,050.00","15,350.00","15,000.00","15,350.00",1.99
2026-04-23,"15,051.00","15,051.00","15,051.00","15,051.00",-2.27
2026-04-22,"14,710.00","15,400.00","14,710.00","15,400.00",1.91
2026-04-21,"14,921.00","15,445.00","14,921.00","15,111.10",-1.56
2026-04-20,"15,310.20","15,350.00","15,275.00","15,350.00",0.0
2026-04-17,"15,450.00","15,599.00","15,350.00","15,350.00",-1.29
2026-04-16,"15,555.00","15,555.00","15,410.00","15,550.00",-0.86
2026-04-15,"15,789.90","15,789.90","15,475.00","15,685.00",0.87
2026-04-13,"15,205.00","15,550.00","15,200.00","15,550.00",1.96
2026-04-10,"15,500.00","15,749.00","15,251.00","15,251.00",-1.54
2026-04-09,"15,400.00","15,498.00","15,315.00","15,490.00",0.26
2026-04-08,"15,200.00","15,580.00","15,030.00","15,450.00",1.64
2026-04-07,"15,199.00","15,200.00","15,001.00","15,200.00",0.66
2026-04-06,"14,944.00","15,300.00","14,900.00","15,100.00",3.06
2026-04-05,"15,150.00","15,150.00","14,651.00","14,651.00",-4.96
2026-04-02,"15,575.00","15,600.00","15,316.00","15,415.00",-1.03
2026-04-01,"15,549.00","15,600.00","15,270.30","15,575.00",0.16
2026-03-31,"15,402.10","15,650.00","15,401.00","15,550.00",0.65
2026-03-30,"15,799.00","15,799.00","15,450.00","15,450.00",-0.66
2026-03-29,"16,243.80","16,243.80","15,552.00","15,552.00",-2.43
2026-03-26,"15,932.00","15,940.00","15,930.00","15,940.00",1.53
2026-03-25,"16,240.00","16,240.00","15,700.00","15,700.00",-1.88
2026-03-24,"15,900.00","16,261.00","15,900.00","16,000.00",0.0
2026-03-23,"15,880.00","16,000.00","15,880.00","16,000.00",0.31
2026-03-22,"15,500.00","15,950.00","15,500.00","15,950.00",0.95
2026-03-19,"15,552.10","15,871.00","15,552.10","15,800.00",1.94
