date,open,high,low,close,volume
2026-06-08,280.00,280.00,274.00,274.00,"3,457,567.40"
2026-06-05,280.0,280.0,274.0,274.0,-0.72
2026-06-04,283.0,283.0,269.2,276.0,-1.11
2026-06-03,280.0,283.0,279.0,279.1,-0.32
2026-06-02,275.5,285.8,275.5,280.0,0.9
2026-06-01,295.0,295.0,276.5,277.5,-1.94
2026-05-27,285.0,287.0,281.0,283.0,-0.35
2026-05-26,290.0,290.0,281.8,284.0,0.35
2026-05-25,279.0,285.0,278.0,283.0,1.43
2026-05-22,279.0,280.0,276.1,279.0,0.0
2026-05-21,277.0,282.0,276.6,279.0,0.14
2026-05-20,275.6,282.0,275.6,278.6,0.98
2026-05-19,275.4,279.0,275.3,275.9,-1.11
2026-05-18,275.1,279.0,274.0,279.0,-0.32
2026-05-15,276.0,281.0,274.1,279.9,1.41
2026-05-14,277.0,280.0,275.1,276.0,-0.36
2026-05-13,289.9,289.9,277.0,277.0,-1.77
2026-05-12,288.0,288.0,278.2,282.0,-1.74
2026-05-11,280.0,287.0,276.2,287.0,3.31
2026-05-08,272.0,278.0,271.0,277.8,1.39
2026-05-07,275.0,278.0,272.4,274.0,-0.54
2026-05-06,275.0,277.0,275.0,275.5,-0.18
2026-05-05,275.0,276.0,271.1,276.0,0.36
2026-05-04,275.0,278.0,273.5,275.0,0.0
2026-04-30,275.2,277.0,271.1,275.0,-0.18
2026-04-29,280.0,285.8,275.2,275.5,-1.61
2026-04-28,281.0,282.1,279.2,280.0,-0.36
2026-04-27,280.4,288.4,280.0,281.0,0.21
2026-04-24,280.0,283.0,279.0,280.4,-0.46
2026-04-23,285.0,286.5,281.1,281.7,-2.19
2026-04-22,285.0,290.0,280.4,288.0,0.7
2026-04-21,282.0,293.0,282.0,286.0,-0.69
2026-04-20,287.0,293.0,285.1,288.0,-1.54
2026-04-17,288.7,294.0,286.1,292.5,-0.07
2026-04-16,300.0,300.0,289.0,292.7,-1.78
2026-04-15,295.1,301.0,294.0,298.0,1.02
2026-04-13,287.2,299.8,287.2,295.0,0.68
2026-04-10,291.0,297.0,291.0,293.0,-0.68
2026-04-09,286.2,297.0,286.2,295.0,2.4
2026-04-08,291.9,292.0,288.1,288.1,0.38
2026-04-07,290.0,292.9,285.0,287.0,0.7
2026-04-06,275.0,288.0,271.1,285.0,3.79
2026-04-05,286.2,293.6,273.0,274.6,-5.96
2026-04-02,289.2,295.0,276.1,292.0,-0.61
2026-04-01,302.9,302.9,289.5,293.8,-1.14
2026-03-31,302.0,302.0,290.0,297.2,0.24
2026-03-30,306.0,308.0,292.2,296.5,-3.1
2026-03-29,314.0,316.0,302.0,306.0,-2.61
2026-03-26,314.5,314.8,308.3,314.2,0.64
2026-03-25,322.9,322.9,312.1,312.2,-2.44
2026-03-24,316.2,325.0,316.2,320.0,1.27
2026-03-23,316.0,320.0,309.0,316.0,0.86
2026-03-22,324.0,325.0,308.0,313.3,-1.48
2026-03-19,305.0,324.0,304.0,318.0,4.33
2026-03-17,305.0,306.0,299.0,304.8,-0.07
2026-03-16,306.0,308.0,303.5,305.0,-0.39
2026-03-15,309.0,312.8,305.0,306.2,-0.55
2026-03-12,304.9,309.7,299.0,307.9,2.29
2026-03-11,301.5,307.0,297.0,301.0,-0.17
2026-03-10,318.0,318.0,299.1,301.5,-4.59
2026-03-09,298.5,321.0,298.5,316.0,7.96
2026-03-03,284.0,293.0,282.0,292.7,4.16
2026-03-01,280.1,286.8,280.0,281.0,-1.06
