date,open,high,low,close,volume
2026-06-08,470.00,477.00,470.00,474.50,"10,510,707.30"
2026-06-05,470.0,477.0,470.0,474.5,-0.32
2026-06-04,478.2,483.0,473.0,476.0,-0.46
2026-06-03,467.0,481.0,462.3,478.2,2.2
2026-06-02,466.0,469.5,460.4,467.9,0.41
2026-06-01,468.0,472.0,460.0,466.0,-0.47
2026-05-27,465.0,473.0,465.0,468.2,-0.26
2026-05-26,465.5,470.9,465.5,469.4,0.0
2026-05-25,466.0,471.0,461.0,469.4,0.95
2026-05-22,461.2,465.8,461.2,465.0,0.54
2026-05-21,464.0,465.4,462.1,462.5,-0.58
2026-05-20,458.1,470.0,458.1,465.2,1.31
2026-05-19,460.0,469.9,458.4,459.2,0.26
2026-05-18,459.0,465.0,456.2,458.0,-0.13
2026-05-15,480.9,480.9,454.2,458.6,0.13
2026-05-14,461.0,464.0,456.0,458.0,-0.65
2026-05-13,457.9,464.5,455.2,461.0,-0.54
2026-05-12,466.0,467.0,460.4,463.5,-0.75
2026-05-11,462.1,468.8,462.0,467.0,1.08
2026-05-08,459.0,468.8,459.0,462.0,0.46
2026-05-07,457.0,461.0,457.0,459.9,0.41
2026-05-06,456.0,460.0,453.0,458.0,0.44
2026-05-05,452.1,459.0,451.2,456.0,-0.02
2026-05-04,456.0,460.0,456.0,456.1,-0.87
2026-04-30,457.1,461.0,454.0,460.1,0.24
2026-04-29,461.9,470.0,456.3,459.0,-0.63
2026-04-28,469.0,465.0,460.0,461.9,-1.51
2026-04-27,458.0,469.0,455.5,469.0,2.4
2026-04-24,457.0,460.0,455.0,458.0,0.07
2026-04-23,457.1,463.0,455.0,457.7,-0.52
2026-04-22,457.0,465.0,456.8,460.1,-0.63
2026-04-21,455.0,466.0,455.0,463.0,-0.43
2026-04-20,470.0,473.0,460.0,465.0,-1.0
2026-04-17,467.0,469.7,465.0,469.7,0.19
2026-04-16,468.1,474.0,468.1,468.8,-0.3
2026-04-15,467.2,477.0,467.2,470.2,0.9
2026-04-13,465.1,473.5,465.1,466.0,-0.43
2026-04-10,474.0,475.0,467.5,468.0,-1.47
2026-04-09,479.0,479.0,465.6,475.0,0.89
2026-04-08,468.0,471.9,464.0,470.8,1.25
2026-04-07,465.0,469.9,463.0,465.0,0.0
2026-04-06,454.0,466.7,452.0,465.0,2.42
2026-04-05,461.1,464.0,453.0,454.0,-3.2
2026-04-02,460.5,472.4,460.5,469.0,0.11
2026-04-01,473.2,478.8,465.0,468.5,-1.78
2026-03-31,473.0,482.8,467.2,477.0,0.61
2026-03-30,478.0,485.0,473.7,474.1,-1.43
2026-03-29,501.9,501.9,478.3,481.0,-2.26
2026-03-26,490.0,496.2,487.0,492.1,-0.59
2026-03-25,500.0,501.0,490.3,495.0,-1.02
2026-03-24,503.0,504.0,496.4,500.1,-0.38
2026-03-23,504.0,509.8,496.0,502.0,-0.4
2026-03-22,495.0,510.0,495.0,504.0,1.82
2026-03-19,480.0,496.0,480.0,495.0,3.13
2026-03-17,485.0,485.0,479.2,480.0,0.0
2026-03-16,495.0,498.8,479.0,480.0,-2.04
2026-03-15,508.9,508.9,489.0,490.0,-1.8
2026-03-12,498.0,499.9,488.1,499.0,0.2
2026-03-11,513.0,513.0,489.0,498.0,-1.01
2026-03-10,515.0,520.0,492.0,503.1,-3.29
2026-03-09,490.6,520.2,490.6,520.2,8.15
2026-03-03,480.4,482.0,464.0,481.0,2.12
2026-03-01,468.9,472.5,457.0,471.0,0.45
2026-02-26,477.3,477.3,461.1,468.9,0.19
2026-02-25,458.0,468.9,452.0,468.0,3.2
2026-02-24,457.6,457.6,445.0,453.5,1.07
2026-02-23,459.0,459.0,447.2,448.7,-0.29
2026-02-22,462.0,462.0,448.1,450.0,-0.66
2026-02-17,462.0,462.0,451.0,453.0,-0.44
2026-02-16,464.1,464.1,451.5,455.0,0.0
2026-02-12,453.0,455.9,450.2,455.0,0.44
2026-02-11,458.0,458.0,452.2,453.0,-0.37
2026-02-10,456.5,460.1,454.7,454.7,-0.92
2026-02-09,462.0,462.0,457.0,458.9,-0.91
2026-02-08,467.0,470.4,462.3,463.1,-0.86
2026-02-05,462.0,467.1,458.0,467.1,1.1
2026-02-04,461.9,464.5,457.3,462.0,0.35
2026-02-03,460.1,464.0,460.1,460.4,-0.3
2026-02-02,462.0,465.0,460.2,461.8,0.11
2026-02-01,473.0,473.0,460.8,461.3,-1.01
2026-01-29,469.5,470.0,464.2,466.0,-0.75
2026-01-28,463.1,471.0,463.1,469.5,-0.11
2026-01-27,481.0,481.0,469.0,470.0,-2.29
2026-01-26,485.0,485.0,475.1,481.0,-0.41
2026-01-25,475.0,485.1,465.6,483.0,1.68
2026-01-22,474.0,477.0,472.0,475.0,-0.21
2026-01-21,482.8,482.8,474.5,476.0,-0.17
2026-01-20,466.0,477.8,466.0,476.8,2.32
2026-01-18,463.0,469.0,462.3,466.0,0.52
2026-01-14,463.7,466.0,462.0,463.6,-0.02
2026-01-13,464.0,470.0,462.5,463.7,-0.06
2026-01-12,460.2,467.5,460.2,464.0,-0.64
2026-01-08,451.9,467.8,451.9,467.0,1.28
2026-01-07,475.3,475.3,460.0,461.1,-1.05
2026-01-06,465.0,470.0,462.4,466.0,0.13
2026-01-05,466.5,466.5,457.2,465.4,-2.23
2026-01-04,476.1,477.0,473.0,476.0,0.02
2026-01-01,480.0,480.0,474.1,475.9,-0.02
2025-12-31,481.7,481.7,472.2,476.0,0.78
2025-12-29,484.9,484.9,472.1,472.3,-0.69
2025-12-28,470.0,479.9,469.0,475.6,1.84
2025-12-24,475.6,475.6,466.1,467.0,0.15
2025-12-23,465.0,472.0,462.0,466.3,-0.26
2025-12-22,471.0,475.0,467.0,467.5,-2.2
2025-12-21,490.0,490.2,475.0,478.0,-2.85
2025-12-18,498.9,500.0,490.0,492.0,-0.43
2025-12-17,490.0,500.0,488.0,494.1,1.25
2025-12-16,490.0,492.0,486.5,488.0,0.0
2025-12-15,482.0,491.0,482.0,488.0,0.21
2025-12-14,494.8,494.8,485.3,487.0,-0.81
2025-12-11,486.3,495.9,486.3,491.0,0.22
2025-12-10,490.0,495.3,488.0,489.9,0.31
2025-12-09,488.0,493.7,482.0,488.4,0.31
2025-12-08,483.4,491.0,480.2,486.9,0.83
2025-12-07,485.0,493.0,480.0,482.9,-0.43
2025-12-03,495.0,497.8,485.0,485.0,-1.92
2025-12-02,486.1,504.0,486.1,494.5,-0.3
2025-12-01,500.0,505.0,493.0,496.0,-0.84
2025-11-30,513.8,516.0,500.2,500.2,-0.71
2025-11-27,489.3,509.0,489.3,503.8,1.29
2025-11-26,504.0,504.0,492.0,497.4,0.08
2025-11-25,512.0,512.0,492.0,497.0,-1.0
2025-11-24,484.9,506.0,476.2,502.0,5.46
2025-11-23,473.0,480.0,473.0,476.0,1.06
2025-11-20,467.0,472.0,467.0,471.0,-0.84
2025-11-19,484.0,484.0,470.5,475.0,0.0
2025-11-18,474.0,479.0,472.5,475.0,0.25
2025-11-17,473.0,480.0,468.1,473.8,0.23
2025-11-16,460.6,475.0,460.6,472.7,1.22
2025-11-13,460.0,471.0,457.0,467.0,1.52
2025-11-12,462.0,471.2,459.8,460.0,-1.9
2025-11-11,478.0,478.0,465.0,468.9,-0.28
2025-11-10,472.1,474.0,467.0,470.2,-2.04
2025-11-09,480.0,480.0,465.1,480.0,1.27
2025-11-06,485.0,485.0,474.0,474.0,-0.84
2025-11-05,482.0,482.0,470.6,478.0,-1.04
2025-11-04,481.1,505.0,478.3,483.0,-1.0
2025-11-03,488.0,493.0,481.2,487.9,-0.63
2025-11-02,482.0,494.0,476.0,491.0,2.51
2025-10-30,464.0,482.0,463.1,479.0,1.59
2025-10-29,468.0,477.0,463.6,471.5,0.53
2025-10-28,441.1,469.0,441.1,469.0,6.83
2025-10-26,432.0,439.8,432.0,439.0,1.08
2025-10-19,440.0,440.0,431.2,434.3,-0.39
2025-10-16,434.1,441.0,434.1,436.0,-1.13
2025-10-15,436.0,445.0,436.0,441.0,-0.68
2025-10-14,442.0,449.8,442.0,444.0,-0.8
2025-10-13,430.0,447.6,430.0,447.6,2.43
2025-10-12,450.0,450.0,436.2,437.0,-3.53
2025-10-09,450.0,474.0,448.8,453.0,0.94
2025-10-08,451.0,452.0,440.1,448.8,-0.55
2025-10-07,466.1,467.0,450.0,451.3,-4.39
2025-09-28,471.0,477.9,463.2,472.0,2.19
2025-09-25,460.0,464.9,456.0,461.9,-1.41
2025-09-24,470.0,474.9,462.0,468.5,0.32
2025-09-23,447.0,480.0,440.0,467.0,4.27
2025-09-21,416.0,453.9,416.0,447.89,5.63
2025-09-18,439.5,439.5,423.0,424.0,-5.45
2025-09-08,451.0,459.0,447.0,448.43,-1.45
2025-09-07,455.5,465.9,453.3,455.04,-1.31
2025-09-04,460.2,469.4,458.7,461.1,-0.54
2025-09-03,465.1,470.0,463.0,463.6,-0.63
2025-09-02,472.66,474.0,466.0,466.56,-1.29
2025-09-01,479.1,479.1,467.0,472.66,0.62
2025-08-31,478.0,480.0,469.3,469.76,-2.12
2025-08-28,491.0,495.0,478.5,479.95,-1.9
2025-08-27,476.0,498.0,473.0,489.23,2.61
2025-08-26,475.65,482.9,472.1,476.78,0.24
2025-08-25,466.0,476.0,466.0,475.65,0.22
2025-08-24,469.0,494.0,469.0,474.59,-0.56
2025-08-21,475.0,484.5,475.0,477.27,0.26
2025-08-20,485.0,488.0,475.5,476.02,-1.51
2025-08-19,479.68,485.0,476.1,483.3,0.75
2025-08-18,464.9,482.4,464.9,479.68,1.13
2025-08-17,470.0,480.0,466.1,474.34,0.16
2025-08-14,475.0,484.1,473.0,473.57,-0.46
2025-08-13,475.0,490.0,475.0,475.75,-0.79
2025-08-12,480.0,482.0,478.3,479.54,-1.11
2025-08-11,485.1,504.3,481.1,484.94,0.02
2025-08-07,472.0,498.0,472.0,484.84,1.59
2025-08-06,485.0,485.0,476.0,477.25,-1.03
2025-08-05,489.0,490.0,480.5,482.2,-1.47
2025-08-04,485.0,490.0,481.2,489.39,0.81
2025-08-03,492.3,497.5,484.0,485.45,-2.29
2025-07-31,509.0,510.0,495.3,496.84,-1.64
2025-07-30,522.0,522.0,504.0,505.14,-2.43
2025-07-29,504.0,521.9,504.0,517.72,1.0
2025-07-28,510.1,514.9,502.4,512.59,0.02
2025-07-27,525.7,526.0,507.0,512.47,-0.59
2025-07-24,510.0,520.9,509.0,515.49,1.09
2025-07-23,520.0,520.0,493.0,509.94,-0.09
2025-07-22,492.0,513.0,492.0,510.42,3.56
2025-07-21,490.0,496.0,482.0,492.86,-0.19
2025-07-20,501.9,510.0,488.0,493.82,0.35
2025-07-17,475.0,494.0,475.0,492.08,3.23
2025-07-16,472.0,480.0,471.1,476.68,1.02
2025-07-15,468.0,474.0,461.3,471.85,0.84
2025-07-14,473.0,473.0,466.0,467.92,-1.37
2025-07-13,485.0,485.0,472.3,474.4,-0.43
2025-07-10,465.2,480.0,465.2,476.45,0.75
2025-07-09,478.0,478.0,470.5,472.92,0.05
2025-07-08,465.0,476.3,465.0,472.7,0.29
2025-07-07,480.0,480.0,468.0,471.33,-0.69
2025-07-06,480.7,485.0,473.7,474.62,-1.06
2025-07-03,464.9,480.0,455.7,479.7,4.4
2025-07-02,455.0,462.7,446.0,459.5,2.38
2025-07-01,447.9,450.0,440.0,448.83,2.06
2025-06-30,436.0,444.5,436.0,439.76,0.55
2025-06-29,431.0,439.0,430.0,437.35,1.61
2025-06-26,431.1,435.9,430.0,430.42,-0.56
2025-06-25,434.1,436.0,431.2,432.83,-0.28
2025-06-24,433.1,440.0,433.0,434.06,-0.33
2025-06-23,440.0,441.0,432.0,435.5,0.38
2025-06-22,440.0,441.0,433.2,433.84,-1.95
2025-06-19,443.0,450.0,441.0,442.48,-0.32
2025-06-18,443.7,448.5,442.4,443.9,-0.1
2025-06-17,447.0,448.0,441.2,444.36,0.04
2025-06-16,444.45,447.0,440.5,444.18,-0.06
2025-06-15,443.0,447.0,443.0,444.45,0.11
2025-06-12,445.0,447.0,442.0,443.95,-0.88
2025-06-11,454.9,454.9,446.1,447.88,-1.03
2025-06-10,446.0,457.9,446.0,452.56,1.74
2025-06-09,455.0,455.0,440.0,444.8,-1.74
2025-06-08,514.5,514.5,505.5,506.99,-0.39
2025-06-05,511.0,513.9,505.0,508.98,-0.37
2025-06-04,520.0,520.0,501.4,510.89,-0.13
2025-06-03,511.0,517.9,510.0,511.54,-0.36
2025-06-02,519.3,519.8,512.1,513.37,0.67
2025-05-28,508.0,513.9,506.1,509.95,0.25
2025-05-27,522.6,522.6,507.1,508.7,-0.74
2025-05-26,523.8,534.2,511.6,512.51,-0.21
2025-05-25,527.1,527.1,512.0,513.61,-0.62
2025-05-22,527.7,527.7,515.0,516.83,-0.1
2025-05-21,525.0,545.0,515.9,517.36,0.51
2025-05-20,506.0,518.0,497.0,514.74,3.52
2025-05-19,500.0,503.0,496.1,497.23,0.22
2025-05-18,496.1,505.9,493.4,496.13,-0.01
2025-05-15,498.0,506.8,494.3,496.2,-0.52
2025-05-14,505.0,509.9,498.0,498.81,-1.11
2025-05-13,514.0,518.0,503.3,504.43,-0.93
2025-05-11,510.9,516.9,506.6,509.14,-0.36
2025-05-08,525.0,530.0,510.0,510.96,-2.19
2025-05-07,524.2,527.5,515.1,522.38,1.63
2025-05-06,509.9,524.7,505.3,514.01,1.89
