date,open,high,low,close,volume
2026-06-08,"3,449.50","3,648.00","3,449.50","3,580.00","150,858,231.70"
2026-06-05,"3,449.50","3,648.00","3,449.50","3,580.00",-1.4
2026-06-04,"3,685.00","3,699.00","3,595.00","3,631.00",-0.58
2026-06-03,"3,468.00","3,700.00","3,468.00","3,652.00",0.33
2026-06-02,"3,685.00","3,695.00","3,621.10","3,640.00",-0.82
2026-06-01,"3,745.00","3,745.00","3,650.00","3,670.00",-2.0
2026-05-27,"3,969.00","3,969.00","3,700.00","3,745.00",-0.93
2026-05-26,"3,849.90","3,897.00","3,737.00","3,780.00",-1.18
2026-05-25,"3,700.00","3,850.00","3,700.00","3,825.00",2.55
2026-05-22,"3,720.00","3,740.00","3,683.00","3,730.00",0.4
2026-05-21,"3,744.90","3,744.90","3,675.00","3,715.00",0.41
2026-05-20,"3,640.00","3,730.00","3,640.00","3,700.00",0.54
2026-05-19,"3,700.00","3,749.90","3,650.00","3,680.00",-0.27
2026-05-18,"3,720.00","3,730.00","3,681.00","3,690.10",-0.43
2026-05-15,"3,741.90","3,777.90","3,680.00","3,706.00",0.43
2026-05-14,"3,705.00","3,787.90","3,673.00","3,690.00",-0.94
2026-05-13,"3,729.00","3,750.00","3,655.10","3,724.90",-0.11
2026-05-12,"3,899.00","3,940.00","3,680.00","3,729.00",-2.51
2026-05-11,"3,765.00","3,920.00","3,765.00","3,825.00",0.66
2026-05-08,"3,631.00","3,800.00","3,631.00","3,800.00",2.9
2026-05-07,"3,690.00","3,724.00","3,636.10","3,693.00",0.11
2026-05-06,"3,700.10","3,775.00","3,619.00","3,689.00",-1.63
2026-05-05,"3,790.00","3,839.90","3,675.00","3,750.00",0.81
2026-05-04,"3,865.00","3,949.00","3,699.00","3,720.00",-3.38
2026-04-30,"3,780.00","3,989.00","3,700.00","3,850.20",1.05
2026-04-29,"4,000.00","4,000.00","3,790.00","3,810.10",-4.75
2026-04-28,"4,239.00","4,270.00","3,981.00","4,000.00",-5.64
2026-04-27,"4,203.00","4,346.00","4,195.00","4,239.00",0.45
2026-04-24,"4,291.00","4,330.00","4,200.00","4,220.00",-2.31
2026-04-23,"4,180.00","4,425.00","4,070.00","4,320.00",2.13
2026-04-22,"4,080.00","4,326.00","4,080.00","4,230.00",-1.4
2026-04-21,"4,390.10","4,539.90","4,210.00","4,290.00",-4.22
2026-04-20,"4,700.00","4,700.00","4,465.00","4,479.00",-3.66
2026-04-17,"4,400.00","4,730.00","4,300.00","4,649.10",6.48
2026-04-16,"4,501.00","4,600.00","4,280.00","4,366.00",-3.62
2026-04-15,"4,799.00","4,896.00","4,500.00","4,530.00",-5.61
2026-04-13,"4,775.40","5,049.00","4,611.00","4,799.00",2.3
2026-04-10,"4,375.10","4,718.30","4,375.10","4,691.00",9.36
2026-04-09,"3,977.00","4,289.40","3,825.00","4,289.40",10.0
2026-04-08,"3,545.00","3,899.50","3,545.00","3,899.50",10.0
2026-04-07,"3,509.00","3,650.00","3,440.00","3,545.00",1.03
2026-04-06,"3,637.30","3,922.60","3,210.00","3,509.00",-1.6
2026-04-05,"3,306.70","3,566.00","3,306.70","3,566.00",10.0
2026-04-02,"3,006.10","3,241.90","3,006.10","3,241.90",10.0
2026-04-01,"2,678.20","2,947.20","2,678.20","2,947.20",10.0
2026-03-31,"2,430.10","2,679.30","2,430.10","2,679.30",10.0
2026-03-30,"2,203.90","2,435.80","2,203.90","2,435.80",10.0
2026-03-29,"2,009.70","2,214.40","2,009.70","2,214.40",10.0
2026-03-26,"1,821.00","2,013.10","1,821.00","2,013.10",10.0
2026-03-25,"1,697.00","1,830.10","1,697.00","1,830.10",10.0
2026-03-24,"1,494.40","1,663.80","1,494.40","1,663.80",10.0
2026-03-23,"1,361.40","1,512.60","1,361.40","1,512.60",10.0
2026-03-22,"1,235.00","1,375.10","1,235.00","1,375.10",10.0
2026-03-19,"1,120.50","1,250.10","1,120.50","1,250.10",10.0
2026-03-17,"1,017.80","1,136.50","1,017.80","1,136.50",10.0
2026-03-16,921.20,"1,033.20",921.20,"1,033.20",10.0
2026-03-15,885.20,939.30,885.20,939.30,5.15
2026-03-12,802.10,893.30,802.10,893.30,10.0
2026-03-11,735.60,812.10,735.60,812.10,9.33
2026-03-10,688.80,742.80,688.80,742.80,10.0
2026-03-09,675.30,675.30,675.30,675.30,-1.49
2026-03-03,621.10,685.50,621.10,685.50,9.82
2026-03-01,561.90,624.20,561.90,624.20,9.99
2026-02-26,514.30,567.50,514.30,567.50,9.26
2026-02-25,467.50,519.40,467.50,519.40,10.0
2026-02-24,427.90,472.20,427.90,472.20,9.31
2026-02-23,391.50,432.00,391.50,432.00,9.28
2026-02-22,358.20,395.30,358.20,395.30,9.26
2026-02-17,328.00,361.80,328.00,361.80,9.64
2026-02-16,300.00,330.00,300.00,330.00,10.0
