date,open,high,low,close,volume
2026-06-08,10.25,10.33,10.18,10.33,"402,017.00"
2026-06-05,10.25,10.33,10.18,10.33,0.78
2026-06-04,10.11,10.3,10.11,10.25,0.39
2026-06-03,10.12,10.3,10.12,10.21,-0.49
2026-06-02,10.1,10.39,10.1,10.26,0.88
2026-06-01,10.03,10.5,10.03,10.17,-0.49
2026-05-27,10.26,10.43,10.15,10.22,-1.73
2026-05-26,10.3,10.4,10.08,10.4,0.97
2026-05-25,10.04,10.45,10.04,10.3,-0.48
2026-05-22,9.95,10.37,9.95,10.35,1.87
2026-05-21,9.92,10.4,9.92,10.16,0.4
2026-05-20,10.2,10.29,9.94,10.12,-0.3
2026-05-19,9.9,10.2,9.9,10.15,0.3
2026-05-18,9.95,10.28,9.95,10.12,-1.27
2026-05-15,10.35,10.35,10.1,10.25,-1.06
2026-05-14,10.14,10.36,10.06,10.36,2.17
2026-05-13,10.1,10.3,10.03,10.14,-0.1
2026-05-12,10.0,10.39,10.0,10.15,0.2
2026-05-11,9.96,10.42,9.96,10.13,0.0
2026-05-08,9.93,10.2,9.93,10.13,0.0
2026-05-07,9.89,10.3,9.89,10.13,-0.59
2026-05-06,9.91,10.19,9.91,10.19,0.89
2026-05-05,9.9,10.15,9.9,10.1,1.0
2026-05-04,10.3,10.3,9.96,10.0,-2.91
2026-04-30,9.76,10.3,9.53,10.3,2.39
2026-04-29,9.97,10.25,9.76,10.06,0.9
2026-04-28,10.0,10.14,9.85,9.97,-0.3
2026-04-27,10.18,10.4,10.0,10.0,-1.77
2026-04-24,10.01,10.3,10.01,10.18,-1.17
2026-04-23,10.03,10.33,10.03,10.3,0.98
2026-04-22,10.2,10.35,10.01,10.2,0.0
2026-04-21,10.2,10.4,10.1,10.2,0.0
2026-04-20,10.25,10.45,10.17,10.2,-2.39
2026-04-17,10.12,10.48,10.12,10.45,1.26
2026-04-16,10.17,10.4,10.17,10.32,0.58
2026-04-15,10.04,10.46,10.04,10.26,0.2
2026-04-13,10.11,10.31,10.11,10.24,-0.58
2026-04-10,10.04,10.43,10.04,10.3,0.68
2026-04-09,10.1,10.4,10.05,10.23,0.0
2026-04-08,10.23,10.4,10.0,10.23,0.1
2026-04-07,10.0,10.4,10.0,10.22,0.2
2026-04-06,9.87,10.26,9.87,10.2,1.49
2026-04-05,10.0,10.15,10.0,10.05,-0.99
2026-04-02,10.1,10.17,9.95,10.15,0.5
2026-04-01,10.18,10.38,10.09,10.1,-0.98
2026-03-31,10.27,10.47,10.13,10.2,-0.68
