date,open,high,low,close,volume
2026-06-08,10.10,10.20,10.10,10.10,"13,675.00"
2026-06-05,10.1,10.2,10.1,10.1,-0.1
2026-06-04,10.5,11.0,10.1,10.11,-0.88
2026-06-03,10.1,10.2,10.1,10.2,0.49
2026-06-02,10.15,10.45,10.15,10.15,0.0
2026-06-01,10.0,10.4,10.0,10.15,-0.49
2026-05-27,10.2,10.2,10.2,10.2,0.0
2026-05-26,10.25,10.25,10.2,10.2,0.0
2026-05-25,10.15,10.2,10.15,10.2,0.0
2026-05-22,10.15,10.2,10.15,10.2,0.0
2026-05-21,10.2,10.5,10.2,10.2,-1.92
2026-05-20,10.14,10.4,10.1,10.4,2.46
2026-05-19,10.1,10.15,10.1,10.15,-1.46
2026-05-18,10.1,10.3,10.1,10.3,-0.96
2026-05-15,10.21,10.4,10.1,10.4,1.86
2026-05-14,10.25,10.25,10.21,10.21,-2.85
2026-05-13,10.21,10.51,10.21,10.51,2.94
2026-05-12,10.14,10.22,10.14,10.21,0.1
2026-05-11,10.0,10.45,10.0,10.2,0.49
2026-05-08,9.92,10.15,9.92,10.15,0.5
2026-05-07,9.92,10.15,9.92,10.1,1.0
2026-05-06,10.15,10.15,10.0,10.0,-1.48
2026-05-05,10.0,10.2,10.0,10.15,0.4
2026-05-04,10.0,10.11,10.0,10.11,0.1
2026-04-30,10.0,10.4,10.0,10.1,0.4
2026-04-29,10.0,10.2,10.0,10.06,-0.49
2026-04-28,10.15,10.15,10.1,10.11,-0.39
2026-04-27,10.15,10.25,10.02,10.15,0.0
2026-04-24,10.11,10.16,10.12,10.15,0.4
2026-04-23,10.0,10.2,10.0,10.11,0.8
2026-04-22,10.01,10.3,10.01,10.03,-1.47
2026-04-21,10.2,10.4,10.12,10.18,-0.2
2026-04-20,10.02,10.2,10.02,10.2,-0.49
2026-04-17,10.4,10.4,10.11,10.25,0.49
2026-04-16,10.25,10.4,10.2,10.2,-0.39
2026-04-15,10.2,10.3,10.17,10.24,-1.16
2026-04-13,10.16,10.56,10.16,10.36,0.58
2026-04-10,10.1,10.3,10.1,10.3,0.78
2026-04-09,10.06,10.22,10.06,10.22,0.49
2026-04-08,9.92,10.3,9.83,10.17,0.49
2026-04-07,9.91,10.3,9.91,10.12,0.2
2026-04-06,10.1,10.3,10.1,10.1,0.0
2026-04-05,10.05,10.3,10.05,10.1,-0.49
