date,open,high,low,close,volume
2026-06-08,"1,088.00","1,110.00","1,050.00","1,057.00","38,760,264.80"
2026-06-05,"1,088.00","1,110.00","1,050.00","1,057.00",-2.85
2026-06-04,"1,108.00","1,115.00","1,070.00","1,088.00",-1.88
2026-06-03,"1,135.00","1,135.00","1,105.50","1,108.90",-0.72
2026-06-02,"1,117.00","1,122.00","1,100.00","1,116.90",-0.01
2026-06-01,"1,183.00","1,183.00","1,110.00","1,117.00",-1.93
2026-05-27,"1,083.00","1,148.00","1,083.00","1,139.00",-0.09
2026-05-26,"1,150.00","1,158.00","1,130.10","1,140.00",-0.87
2026-05-25,"1,148.00","1,173.00","1,145.00","1,150.00",0.17
2026-05-22,"1,122.30","1,155.80","1,120.10","1,148.00",2.29
2026-05-21,"1,156.00","1,157.00","1,119.40","1,122.30",-2.15
2026-05-20,"1,125.00","1,155.00","1,125.00","1,147.00",1.68
2026-05-19,"1,102.00","1,166.00","1,102.00","1,128.00",-2.75
2026-05-18,"1,174.00","1,282.00","1,122.00","1,159.90",1.75
2026-05-15,"1,142.00","1,175.00","1,135.20","1,140.00",-1.3
2026-05-14,"1,160.00","1,183.00","1,137.00","1,155.00",-0.19
2026-05-13,"1,111.10","1,162.00","1,111.10","1,157.20",2.05
2026-05-12,"1,184.00","1,190.00","1,121.00","1,133.90",-2.5
2026-05-11,"1,150.00","1,192.00","1,137.00","1,163.00",1.57
2026-05-08,"1,105.10","1,159.00","1,105.10","1,145.00",2.42
2026-05-07,"1,113.20","1,136.00","1,106.00","1,118.00",-0.09
2026-05-06,"1,218.00","1,218.00","1,112.20","1,119.00",-3.53
2026-05-05,"1,165.90","1,175.00","1,120.00","1,160.00",-0.51
2026-05-04,"1,230.00","1,404.00","1,165.00","1,166.00",-7.68
2026-04-30,"1,100.00","1,290.30","1,080.00","1,263.00",12.57
2026-04-29,"1,155.00","1,212.70","1,120.00","1,122.00",-2.86
2026-04-28,"1,190.00","1,208.00","1,147.00","1,155.00",-2.94
2026-04-27,"1,278.90","1,278.90","1,170.00","1,190.00",-2.3
2026-04-24,"1,161.00","1,246.00","1,131.00","1,218.00",4.91
2026-04-23,"1,200.20","1,215.00","1,155.80","1,161.00",-3.65
2026-04-22,"1,204.00","1,220.00","1,180.00","1,205.00",-1.62
2026-04-21,"1,231.00","1,258.00","1,210.00","1,224.90",-0.5
2026-04-20,"1,250.00","1,275.00","1,220.00","1,231.00",-2.22
2026-04-17,"1,265.00","1,276.10","1,237.00","1,259.00",-1.25
2026-04-16,"1,286.00","1,324.10","1,249.60","1,275.00",-2.6
2026-04-15,"1,321.90","1,348.30","1,292.00","1,309.00",1.0
2026-04-13,"1,310.00","1,310.00","1,285.00","1,296.00",-1.82
2026-04-10,"1,322.00","1,395.00","1,314.00","1,320.00",-2.14
2026-04-09,"1,329.50","1,400.00","1,310.10","1,348.90",3.48
2026-04-08,"1,185.00","1,303.50","1,167.00","1,303.50",10.0
2026-04-07,"1,221.90","1,246.00","1,170.00","1,185.00",-1.09
2026-04-06,"1,178.80","1,226.00","1,156.00","1,198.00",1.63
2026-04-05,"1,274.00","1,274.00","1,170.00","1,178.80",-9.32
2026-04-02,"1,193.70","1,300.00","1,193.70","1,300.00",6.73
2026-04-01,"1,300.00","1,318.00","1,215.20","1,218.00",-6.31
2026-03-31,"1,300.00","1,352.50","1,270.00","1,300.00",0.0
2026-03-30,"1,347.40","1,347.40","1,285.20","1,300.00",-1.59
2026-03-29,"1,392.00","1,394.00","1,319.10","1,321.00",-5.1
2026-03-26,"1,370.00","1,415.00","1,345.00","1,392.00",2.35
2026-03-25,"1,333.00","1,376.50","1,318.00","1,360.00",2.03
2026-03-24,"1,315.00","1,334.00","1,305.00","1,333.00",1.37
2026-03-23,"1,300.00","1,346.00","1,300.00","1,315.00",0.38
2026-03-22,"1,330.00","1,377.00","1,310.00","1,310.00",-2.96
2026-03-19,"1,329.00","1,421.00","1,311.00","1,350.00",1.58
