date,open,high,low,close,volume
2026-06-08,628.10,646.90,628.10,645.00,"8,445,131.70"
2026-06-05,628.1,646.9,628.1,645.0,2.06
2026-06-04,645.0,679.0,630.0,632.0,-1.37
2026-06-03,619.0,650.0,617.0,640.8,4.2
2026-06-02,612.0,615.5,596.0,615.0,1.28
2026-06-01,590.0,620.0,590.0,607.2,1.54
2026-05-27,597.0,600.0,595.0,598.0,0.34
2026-05-26,592.0,598.7,591.0,596.0,0.85
2026-05-25,595.0,611.0,591.0,591.0,0.17
2026-05-22,590.0,592.0,590.0,590.0,0.68
2026-05-21,599.9,599.9,585.0,586.0,-0.98
2026-05-20,580.8,591.8,580.7,591.8,0.17
2026-05-19,589.2,591.0,586.0,590.8,0.14
2026-05-18,590.0,591.0,585.0,590.0,0.51
2026-05-15,584.0,593.9,582.0,587.0,0.69
2026-05-14,583.0,584.0,581.1,583.0,-1.02
2026-05-13,591.0,591.0,585.0,589.0,-0.34
2026-05-12,590.0,594.8,582.0,591.0,0.19
2026-05-11,581.1,594.0,581.1,589.9,0.99
2026-05-08,599.9,599.9,583.1,584.1,0.19
2026-05-07,585.0,587.5,582.1,583.0,-0.36
2026-05-06,586.0,586.0,585.0,585.1,-0.32
2026-05-05,581.0,593.9,580.0,587.0,0.34
2026-05-04,590.0,590.0,585.0,585.0,-1.2
2026-04-30,598.0,598.0,588.0,592.1,-0.32
2026-04-29,595.2,600.0,591.0,594.0,-0.2
2026-04-28,599.0,600.0,595.0,595.2,-0.63
2026-04-27,597.5,610.9,595.0,599.0,0.25
2026-04-24,600.0,603.0,596.3,597.5,-0.42
2026-04-23,601.1,607.0,600.0,600.0,-1.14
2026-04-22,606.0,606.9,600.0,606.9,-0.15
2026-04-21,602.0,608.0,600.1,607.8,-0.2
2026-04-20,605.0,609.0,601.0,609.0,0.0
2026-04-17,603.2,615.0,603.1,609.0,-0.11
2026-04-16,607.1,613.0,602.0,609.7,-0.54
2026-04-15,611.5,614.0,601.1,613.0,0.99
2026-04-13,615.0,615.0,606.0,607.0,-1.28
2026-04-10,623.9,623.9,608.1,614.9,-0.34
2026-04-09,607.1,621.9,607.1,617.0,0.16
2026-04-08,613.0,616.0,604.0,616.0,0.49
2026-04-07,625.0,625.0,605.0,613.0,-0.16
2026-04-06,598.1,619.0,598.1,614.0,3.11
2026-04-05,601.2,612.8,595.0,595.5,-2.85
2026-04-02,605.0,620.0,605.0,613.0,0.66
2026-04-01,611.3,620.0,609.0,609.0,-2.25
2026-03-31,630.0,630.0,614.0,623.0,0.47
2026-03-30,628.0,630.1,620.1,620.1,-1.74
2026-03-29,645.0,645.0,628.0,631.1,-2.16
2026-03-26,645.0,645.0,636.0,645.0,0.78
2026-03-25,640.0,652.9,635.1,640.0,0.16
2026-03-24,644.3,653.0,635.0,639.0,-0.81
2026-03-23,655.0,658.0,632.0,644.2,-0.4
2026-03-22,632.0,646.9,621.0,646.8,4.32
2026-03-19,623.0,624.9,613.5,620.0,0.73
2026-03-17,620.0,622.9,603.1,615.5,0.41
2026-03-16,599.4,614.0,599.4,613.0,0.23
2026-03-15,624.0,626.7,610.0,611.6,-0.47
2026-03-12,614.1,619.0,614.1,614.5,-0.57
2026-03-11,625.8,637.0,616.0,618.0,-1.25
2026-03-10,636.0,636.0,610.0,625.8,0.26
2026-03-09,612.0,624.2,612.0,624.2,4.03
2026-03-03,596.0,605.9,596.0,600.0,0.67
2026-03-01,581.1,596.0,580.1,596.0,1.02
2026-02-26,594.9,594.9,578.3,590.0,0.82
2026-02-25,575.09,598.0,571.2,585.2,0.72
2026-02-24,577.1,586.0,575.0,581.0,-0.34
2026-02-23,590.0,592.0,580.0,583.0,-0.03
2026-02-22,604.4,604.4,583.1,583.2,-1.82
2026-02-17,590.1,598.0,588.0,594.0,-0.5
2026-02-16,593.0,600.0,591.0,597.0,0.62
2026-02-12,600.0,600.0,592.7,593.3,-1.12
2026-02-11,607.0,611.0,585.1,600.0,0.0
2026-02-10,602.0,602.0,590.0,600.0,-0.3
2026-02-09,596.0,604.9,589.9,601.8,0.3
