date,open,high,low,close,volume
2026-06-08,693.00,705.00,680.00,689.50,"11,177,403.30"
2026-06-05,693.00,705.00,680.0,689.50,-0.51
2026-06-04,724.00,725.00,693.0,693.00,-2.39
2026-06-03,702.50,718.00,702.5,710.00,0.14
2026-06-02,710.00,719.00,700.0,709.00,0.42
2026-06-01,705.00,730.00,705.0,706.00,-2.61
2026-05-27,695.40,735.00,695.4,724.90,-0.97
2026-05-26,725.00,740.00,725.0,732.00,-1.35
2026-05-25,702.10,760.00,702.1,742.00,0.41
2026-05-22,670.70,744.00,670.7,739.00,4.69
2026-05-21,722.10,730.00,705.0,705.90,-2.9
2026-05-20,699.80,730.00,695.0,727.00,3.89
2026-05-19,680.00,705.00,676.0,699.80,2.16
2026-05-18,670.00,693.00,670.0,685.00,1.78
2026-05-15,667.30,695.00,667.3,673.00,-1.75
2026-05-14,670.00,689.00,665.0,685.00,0.51
2026-05-13,685.00,685.00,665.0,681.50,-0.35
2026-05-12,706.10,711.00,678.0,683.90,-3.14
2026-05-11,683.00,715.00,683.0,706.10,3.23
2026-05-08,660.20,690.00,660.2,684.00,2.24
2026-05-07,694.00,694.00,660.0,669.00,1.21
2026-05-06,665.00,680.00,661.0,661.00,-0.9
2026-05-05,669.30,680.00,660.0,667.00,-0.34
2026-05-04,682.20,690.00,669.3,669.30,-3.42
2026-04-30,690.50,699.00,670.0,693.00,-0.57
2026-04-29,704.00,707.00,685.0,697.00,-0.99
2026-04-28,712.80,710.00,692.0,704.00,-1.23
2026-04-27,674.50,720.00,674.5,712.80,0.39
2026-04-24,690.00,720.90,690.0,710.00,0.85
2026-04-23,711.00,729.00,698.0,704.00,-0.98
2026-04-22,720.00,723.00,690.0,711.00,-1.25
2026-04-21,710.00,751.90,703.3,720.00,-2.83
2026-04-20,787.50,787.50,731.0,741.00,-1.2
2026-04-17,741.00,753.00,727.0,750.00,1.21
2026-04-16,755.00,760.00,738.0,741.00,-3.26
2026-04-15,750.00,780.00,746.0,766.00,1.6
2026-04-13,762.00,777.00,747.0,753.90,-2.96
2026-04-10,812.90,812.90,761.1,776.90,-2.52
2026-04-09,768.00,816.00,763.0,797.00,3.64
2026-04-08,696.00,769.00,696.0,769.00,9.22
2026-04-07,706.00,733.00,698.0,704.10,-0.68
2026-04-06,672.10,737.00,667.3,708.90,4.11
2026-04-05,742.00,742.00,680.9,680.90,-9.99
2026-04-02,770.00,774.90,740.0,756.50,-1.75
2026-04-01,802.20,803.00,750.0,770.00,-4.82
2026-03-31,815.00,820.00,788.9,809.00,-0.74
2026-03-30,830.00,836.10,814.1,815.00,-1.81
2026-03-29,885.30,885.30,828.3,830.00,-4.38
2026-03-26,845.00,870.00,838.0,868.00,3.35
2026-03-25,817.00,846.00,810.0,839.90,2.8
2026-03-24,830.00,830.00,813.5,817.00,-0.24
2026-03-23,819.00,820.10,807.0,819.00,0.12
2026-03-22,838.00,838.00,816.0,818.00,-0.49
2026-03-19,815.00,840.00,815.0,822.00,0.31
2026-03-17,818.00,822.90,809.0,819.50,0.18
