date,open,high,low,close,volume
2026-06-08,872.00,875.00,846.50,848.00,"57,134,262.30"
2026-06-05,872.00,875.00,846.50,848.00,2.11
2026-06-04,795.00,894.00,795.00,830.50,2.66
2026-06-03,808.00,815.00,789.00,809.00,0.65
2026-06-02,810.00,810.00,787.10,803.80,0.73
2026-06-01,786.10,823.00,786.00,798.00,-1.27
2026-05-27,780.60,810.10,780.60,808.30,2.06
2026-05-26,804.00,808.70,785.00,792.00,-1.52
2026-05-25,795.00,814.90,795.00,804.20,0.16
2026-05-22,783.00,804.00,783.00,802.90,1.06
2026-05-21,801.00,820.00,787.00,794.50,-0.56
2026-05-20,771.40,810.00,771.40,799.00,1.91
2026-05-19,771.10,791.00,771.10,784.00,0.51
2026-05-18,782.00,794.90,775.10,780.00,0.13
2026-05-15,776.10,794.00,775.00,779.00,0.52
2026-05-14,782.10,796.00,773.20,775.00,-0.77
2026-05-13,785.00,794.00,779.00,781.00,-1.26
2026-05-12,808.10,815.00,790.10,791.00,-1.75
2026-05-11,797.80,810.00,797.80,805.10,2.69
2026-05-08,788.00,790.00,775.00,784.00,0.9
2026-05-07,781.00,789.60,775.00,777.00,-0.4
2026-05-06,795.00,800.00,780.10,780.10,-2.48
2026-05-05,785.00,807.00,785.00,799.90,0.49
2026-05-04,815.00,815.00,791.00,796.00,-2.33
2026-04-30,791.00,835.00,791.00,815.00,-2.02
2026-04-29,838.00,951.50,820.90,831.80,-0.74
2026-04-28,838.00,864.00,838.00,838.00,0.0
2026-04-27,803.00,848.00,795.00,838.00,4.36
2026-04-24,830.00,830.00,798.00,803.00,-2.07
2026-04-23,826.00,840.00,802.00,820.00,-0.61
2026-04-22,849.00,854.90,823.00,825.00,-2.83
2026-04-21,853.00,886.00,827.50,849.00,-3.19
2026-04-20,899.80,945.20,845.00,877.00,2.33
2026-04-17,857.50,870.00,850.10,857.00,-2.03
2026-04-16,866.00,914.40,855.00,874.80,0.59
2026-04-15,858.00,874.00,846.10,869.70,1.36
2026-04-13,870.00,875.00,837.90,858.00,-2.39
2026-04-10,894.90,895.00,869.00,879.00,-1.78
2026-04-09,872.20,900.00,866.20,894.90,0.56
2026-04-08,850.00,892.00,850.00,889.90,2.65
2026-04-07,880.00,880.00,848.00,866.90,0.1
2026-04-06,839.00,917.00,823.20,866.00,1.22
2026-04-05,931.60,931.60,855.60,855.60,-9.99
2026-04-02,882.00,950.60,837.00,950.60,7.42
2026-04-01,950.00,950.00,864.40,884.90,-7.28
2026-03-31,"1,027.40","1,027.40",943.50,954.40,-8.96
2026-03-30,950.00,"1,048.30",893.80,"1,048.30",9.83
2026-03-29,946.40,954.60,918.00,954.50,2.87
2026-03-26,935.00,"1,026.60",902.00,927.90,-0.58
2026-03-25,917.00,983.20,912.00,933.30,2.0
2026-03-24,912.00,930.00,897.70,915.00,0.22
2026-03-23,920.00,936.00,902.00,913.00,-2.74
2026-03-22,886.90,947.90,886.90,938.70,3.72
2026-03-19,860.10,913.00,860.10,905.00,3.12
2026-03-17,870.00,888.00,855.00,877.60,2.88
2026-03-16,831.00,860.00,822.00,853.00,2.65
2026-03-15,840.00,840.00,830.00,831.00,-0.12
2026-03-12,851.70,851.70,821.00,832.00,-0.36
2026-03-11,858.50,860.00,830.00,835.00,-2.74
2026-03-10,890.00,890.00,830.10,858.50,-3.54
2026-03-09,839.40,905.30,839.40,890.00,8.14
2026-03-03,807.20,825.50,807.00,823.00,1.11
2026-03-01,808.00,820.00,808.00,814.00,0.0
2026-02-26,810.00,826.20,810.00,814.00,-0.94
2026-02-25,805.00,832.90,805.00,821.70,0.33
2026-02-24,801.20,820.00,801.20,819.00,1.17
2026-02-23,801.10,828.00,801.10,809.50,0.06
2026-02-22,807.00,822.00,801.00,809.00,-0.61
2026-02-17,810.00,820.00,805.00,814.00,-0.37
2026-02-16,820.00,834.40,815.00,817.00,-1.33
2026-02-12,819.00,839.80,800.10,828.00,1.78
2026-02-11,805.00,833.90,805.00,813.50,-0.55
2026-02-10,815.50,847.00,799.20,818.00,-1.69
