date,open,high,low,close,volume
2026-06-08,"1,131.60","1,131.60","1,131.60","1,131.60","56,711,265.60"
2026-06-05,"1,131.60","1,131.60","1,131.60","1,131.60",1.49
2026-05-26,"1,110.00","1,115.00","1,110.00","1,115.00",0.45
2026-05-21,"1,110.00","1,110.00","1,110.00","1,110.00",1.83
2026-05-18,"1,090.00","1,090.00","1,090.00","1,090.00",0.37
2026-04-30,"1,086.00","1,086.00","1,086.00","1,086.00",0.09
2026-04-29,"1,085.00","1,085.00","1,085.00","1,085.00",0.0
2026-04-28,"1,082.00","1,085.00","1,085.00","1,085.00",0.28
2026-04-27,"1,090.10","1,082.00","1,082.00","1,082.00",-0.74
2026-04-24,"1,100.00","1,090.10","1,090.10","1,090.10",-0.9
2026-04-23,"1,100.00","1,100.00","1,100.00","1,100.00",0.82
2026-04-21,"1,091.00","1,091.00","1,091.00","1,091.00",0.93
2026-04-17,"1,081.00","1,081.00","1,081.00","1,081.00",1.22
2026-04-16,"1,068.00","1,068.00","1,068.00","1,068.00",-0.93
2026-04-13,"1,078.20","1,078.20","1,078.00","1,078.00",-2.0
2026-04-09,"1,100.00","1,100.00","1,100.00","1,100.00",0.31
2026-04-08,"1,096.60","1,096.60","1,096.60","1,096.60",2.0
2026-04-07,"1,075.10","1,075.10","1,075.10","1,075.10",-1.82
2026-03-30,"1,094.00","1,095.00","1,094.00","1,095.00",1.86
2026-03-26,"1,074.00","1,095.00","1,074.00","1,075.00",-1.83
2026-03-25,"1,095.00","1,095.00","1,095.00","1,095.00",0.0
2026-03-23,"1,117.00","1,117.00","1,117.00","1,095.00",-1.97
2026-03-22,"1,071.10","1,117.00","1,071.10","1,117.00",2.29
2026-03-16,"1,092.10","1,092.10","1,092.00","1,092.00",-1.44
2026-03-01,"1,108.00","1,108.00","1,108.00","1,108.00",-1.95
2026-02-25,"1,130.00","1,130.00","1,130.00","1,130.00",0.89
2026-02-17,"1,111.00","1,120.00","1,111.00","1,120.00",2.75
2026-02-10,"1,090.00","1,090.00","1,090.00","1,090.00",-0.55
2026-02-04,"1,096.00","1,096.00","1,096.00","1,096.00",-0.6
2026-02-02,"1,102.60","1,102.60","1,102.60","1,102.60",2.0
2026-01-28,"1,081.10","1,081.10","1,081.00","1,081.00",0.0
2026-01-27,"1,081.00","1,081.00","1,081.00","1,081.00",-1.46
2026-01-22,"1,097.00","1,097.00","1,097.00","1,097.00",1.94
2026-01-20,"1,090.00","1,090.00","1,090.00","1,076.10",-1.28
2026-01-18,"1,090.00","1,090.00","1,090.00","1,090.00",-0.91
2026-01-13,"1,100.00","1,100.00","1,100.00","1,100.00",-0.72
2026-01-12,"1,111.00","1,111.00","1,111.00","1,108.00",-0.27
2026-01-05,"1,111.00","1,111.00","1,111.00","1,111.00",-1.86
2025-12-31,"1,123.00","1,132.00","1,121.00","1,132.00",1.98
2025-12-21,"1,102.00","1,110.00","1,102.00","1,110.00",-0.1
2025-12-18,"1,101.00","1,101.00","1,101.00","1,111.10",0.01
2025-12-16,"1,095.50","1,111.00","1,095.50","1,111.00",1.92
2025-12-10,"1,090.10","1,090.10","1,090.10","1,090.10",0.0
2025-12-08,"1,097.60","1,097.60","1,090.10","1,090.10",-0.68
2025-12-07,"1,097.60","1,097.60","1,097.60","1,097.60",-2.0
2025-12-01,"1,120.00","1,120.00","1,120.00","1,120.00",-1.67
2025-11-30,"1,094.10","1,139.00","1,094.10","1,139.00",4.1
2025-11-26,"1,106.80","1,106.80","1,106.80","1,094.10",-1.15
2025-11-24,"1,106.80","1,106.80","1,106.80","1,106.80",2.0
2025-11-20,"1,096.50","1,096.50","1,096.50","1,085.10",-1.04
2025-11-18,"1,096.00","1,096.00","1,096.00","1,096.50",0.05
2025-11-13,"1,096.00","1,096.00","1,096.00","1,096.00",-1.62
2025-11-10,"1,114.00","1,114.00","1,114.00","1,114.00",1.92
2025-11-09,"1,093.10","1,093.10","1,093.00","1,093.00",-1.97
2025-11-06,"1,115.00","1,115.00","1,115.00","1,115.00",0.0
