date,open,high,low,close,volume
2026-06-08,"1,118.00","1,118.00","1,118.00","1,151.50","2,303.00"
2026-06-05,"1,118.00","1,118.00","1,118.00","1,151.50",3.0
2026-06-02,"1,150.00","1,150.00","1,118.00","1,118.00",-2.7
2026-05-20,"1,149.00","1,149.00","1,149.00","1,149.00",-3.0
2026-05-19,"1,184.00","1,184.50","1,184.00","1,184.50",3.0
2026-05-15,"1,125.00","1,150.00","1,125.00","1,150.00",2.68
2026-05-14,"1,098.00","1,120.00","1,098.00","1,120.00",2.0
2026-05-13,"1,055.00","1,098.00","1,055.00","1,098.00",1.2
2026-05-12,"1,078.40","1,085.00","1,078.40","1,085.00",2.94
2026-05-08,"1,054.00","1,054.00","1,054.00","1,054.00",-0.57
2026-05-05,"1,045.50","1,060.00","1,045.40","1,060.00",1.62
2026-05-04,"1,043.10","1,043.10","1,043.10","1,043.10",0.1
2026-04-30,"1,040.60","1,042.10","1,040.60","1,042.10",-2.15
2026-04-29,"1,075.00","1,065.00","1,043.40","1,065.00",-0.93
2026-04-28,"1,046.10","1,047.00","1,047.00","1,075.00",2.76
2026-04-24,"1,046.10","1,046.10","1,046.10","1,046.10",-0.85
2026-04-23,"1,050.00","1,055.10","1,050.00","1,055.10",-0.46
2026-04-22,"1,060.00","1,060.00","1,060.00","1,060.00",0.27
2026-04-17,"1,057.10","1,057.10","1,057.10","1,057.10",0.68
2026-04-16,"1,050.00","1,050.00","1,050.00","1,050.00",-0.94
2026-04-13,"1,060.00","1,060.00","1,060.00","1,060.00",0.09
2026-04-07,"1,040.10","1,059.00","1,040.10","1,059.00",1.98
2026-04-06,"1,038.00","1,038.40","1,038.00","1,038.40",-1.1
2026-03-31,"1,050.00","1,050.00","1,050.00","1,050.00",-0.94
2026-03-30,"1,050.00","1,060.00","1,050.00","1,060.00",1.92
2026-03-29,"1,040.10","1,040.10","1,040.00","1,040.00",-1.42
2026-03-26,"1,051.00","1,055.00","1,051.00","1,055.00",-1.22
2026-03-25,"1,068.20","1,068.20","1,068.00","1,068.00",-2.02
2026-03-24,"1,076.00","1,090.00","1,076.00","1,090.00",0.46
