date,open,high,low,close,volume
2026-06-08,405.90,405.90,399.10,401.00,"28,530,587.40"
2026-06-05,405.9,405.9,399.1,401.0,-0.72
2026-06-04,404.0,404.0,400.0,403.9,-0.02
2026-06-03,405.0,406.0,400.0,404.0,-0.22
2026-06-02,402.9,405.0,402.0,404.9,0.5
2026-06-01,406.0,406.0,396.1,402.9,-0.52
2026-05-27,400.0,406.0,400.0,405.0,1.25
2026-05-26,395.1,404.9,395.1,400.0,0.03
2026-05-25,402.0,403.0,396.5,399.9,-0.25
2026-05-22,396.0,400.9,396.0,400.9,1.24
2026-05-21,402.8,402.8,396.0,396.0,-1.22
2026-05-20,396.0,401.9,395.0,400.9,1.16
2026-05-19,394.0,398.0,393.3,396.3,0.08
2026-05-18,393.0,396.0,391.6,396.0,0.89
2026-05-15,374.0,396.0,374.0,392.5,-0.13
2026-05-14,397.5,397.5,390.0,393.0,-0.13
2026-05-13,396.5,396.5,387.0,393.5,-0.51
2026-05-12,398.5,398.5,394.1,395.5,0.1
2026-05-11,394.0,397.0,393.0,395.1,0.53
2026-05-08,392.0,393.1,389.9,393.0,0.13
2026-05-07,373.0,393.0,373.0,392.5,0.13
2026-05-06,389.0,393.9,387.0,392.0,1.03
2026-05-05,383.0,388.0,381.0,388.0,0.34
2026-05-04,387.0,390.0,385.0,386.7,-0.82
2026-04-30,368.0,391.0,368.0,389.9,0.78
2026-04-29,389.0,392.0,385.0,386.9,-0.54
2026-04-28,387.3,395.0,388.0,389.0,0.44
2026-04-27,389.9,392.9,384.1,387.3,-0.67
2026-04-24,388.0,392.0,384.0,389.9,-0.28
2026-04-23,390.0,391.0,386.0,391.0,0.13
2026-04-22,392.9,393.0,383.1,390.5,0.0
2026-04-21,391.0,395.0,388.0,390.5,-0.13
2026-04-20,376.0,401.7,376.0,391.0,-1.01
2026-04-17,394.8,395.6,390.0,395.0,0.0
2026-04-16,392.0,395.0,390.0,395.0,0.28
2026-04-15,390.0,396.8,389.1,393.9,0.48
2026-04-13,395.0,396.0,389.7,392.0,-0.25
2026-04-10,404.0,404.0,389.8,393.0,-1.01
2026-04-09,400.9,400.9,393.0,397.0,0.46
2026-04-08,402.9,402.9,390.1,395.2,0.05
2026-04-07,392.9,396.0,388.0,395.0,1.39
2026-04-06,378.0,392.0,376.1,389.6,2.8
2026-04-05,388.1,401.8,377.0,379.0,-3.81
2026-04-02,385.8,397.0,385.8,394.0,0.1
2026-04-01,399.1,402.0,392.0,393.6,-2.31
2026-03-31,401.0,406.0,394.0,402.9,-0.76
2026-03-30,400.1,409.0,397.0,406.0,-0.17
2026-03-29,412.0,415.0,402.8,406.7,-1.5
2026-03-26,415.0,415.0,408.2,412.9,0.22
2026-03-25,424.0,424.0,411.0,412.0,-0.89
2026-03-24,412.0,418.0,408.1,415.7,1.39
2026-03-23,411.1,412.0,406.2,410.0,-0.27
2026-03-22,407.0,419.0,407.0,411.1,0.96
2026-03-19,392.0,415.0,392.0,407.2,1.8
2026-03-17,400.0,403.0,395.1,400.0,0.58
2026-03-16,392.0,401.7,392.0,397.7,-0.45
2026-03-15,405.7,405.9,397.0,399.5,0.38
2026-03-12,397.9,402.9,394.4,398.0,0.53
