date,open,high,low,close,volume
2026-06-08,"1,241.00","1,241.00","1,241.00","1,241.00","31,025.00"
2026-06-05,"1,241.00","1,241.00","1,241.00","1,241.00",-2.44
2026-06-01,"1,235.00","1,235.00","1,235.00","1,272.00",1.35
2026-05-27,"1,255.00","1,255.00","1,255.00","1,255.00",-2.79
2026-05-25,"1,296.00","1,296.00","1,291.00","1,291.00",-2.93
2026-05-21,"1,330.00","1,330.00","1,330.00","1,330.00",0.76
2026-05-20,"1,320.00","1,320.00","1,320.00","1,320.00",0.38
2026-05-12,"1,250.00","1,287.50","1,250.00","1,315.00",7.79
2026-05-08,"1,250.00","1,250.00","1,250.00","1,220.00",-2.4
2026-05-07,"1,250.00","1,250.00","1,250.00","1,250.00",0.0
2026-04-27,"1,260.10","1,250.00","1,250.00","1,250.00",-0.8
2026-04-24,"1,299.00","1,260.10","1,260.10","1,260.10",-2.99
2026-04-15,"1,276.00","1,299.00","1,276.00","1,299.00",3.84
2026-04-07,"1,251.00","1,251.00","1,251.00","1,251.00",0.83
2026-03-30,"1,240.70","1,240.70","1,240.70","1,240.70",-0.74
2026-03-29,"1,240.70","1,250.00","1,240.70","1,250.00",0.77
2026-03-26,"1,240.50","1,240.50","1,240.50","1,240.50",-1.99
2026-03-17,"1,265.70","1,265.70","1,265.70","1,265.70",0.06
2026-03-16,"1,265.00","1,265.00","1,265.00","1,265.00",0.0
2026-03-12,"1,265.00","1,265.00","1,265.00","1,265.00",-1.94
2026-02-24,"1,290.00","1,290.00","1,290.00","1,290.00",0.0
2026-02-16,"1,290.00","1,290.00","1,290.00","1,290.00",-1.83
2026-02-11,"1,314.00","1,314.00","1,314.00","1,314.00",0.0
2026-01-20,"1,360.00","1,360.00","1,314.00","1,314.00",-4.23
2026-01-13,"1,372.00","1,372.00","1,372.00","1,372.00",-2.0
2025-11-19,"1,400.00","1,400.00","1,400.00","1,400.00",-1.75
2025-11-16,"1,412.00","1,450.00","1,412.00","1,425.00",2.89
2025-11-10,"1,350.00","1,385.00","1,240.00","1,385.00",0.59
2025-11-05,"1,405.00","1,405.00","1,405.00","1,376.90",-2.0
2025-10-30,"1,321.00","1,405.00","1,321.00","1,405.00",4.27
2025-10-26,"1,249.00","1,347.50","1,205.00","1,347.50",10.0
2025-10-19,"1,225.00","1,225.00","1,225.00","1,225.00",0.0
2025-10-15,"1,225.00","1,225.00","1,225.00","1,225.00",0.0
2025-10-08,"1,225.00","1,225.00","1,225.00","1,225.00",-1.61
2025-08-04,"1,245.00","1,245.00","1,245.00","1,245.00",-1.97
2025-07-09,"1,270.00","1,270.00","1,270.00","1,270.00",0.0
2025-07-08,"1,270.00","1,270.00","1,270.00","1,270.00",-0.39
2025-05-15,"1,275.00","1,275.00","1,275.00","1,275.00",-0.26
2025-04-08,"1,260.00","1,278.30","1,260.00","1,278.30",1.99
2025-04-07,"1,230.20","1,254.00","1,230.20","1,253.33",1.88
2025-04-03,"1,230.20","1,230.20","1,230.20","1,230.20",0.0
2025-04-02,"1,229.00","1,230.20","1,229.00","1,230.20",2.0
2025-03-30,"1,206.00","1,206.00","1,206.00","1,206.13",1.94
2025-03-25,"1,160.00","1,183.20","1,160.00","1,183.20",2.89
2025-03-12,"1,150.00","1,150.00","1,150.00","1,150.00",0.3
2025-03-10,"1,146.60","1,146.60","1,146.60","1,146.60",-2.0
2025-03-06,"1,150.00","1,170.00","1,150.00","1,170.00",0.6
2025-03-05,"1,163.00","1,163.00","1,163.00","1,163.00",-1.94
2025-02-23,"1,186.00","1,186.00","1,186.00","1,186.00",-0.75
2025-02-18,"1,195.00","1,195.00","1,195.00","1,195.00",0.42
2025-02-12,"1,190.00","1,190.00","1,190.00","1,190.00",-1.65
2025-02-10,"1,210.00","1,210.00","1,210.00","1,210.00",3.77
2025-02-09,"1,166.00","1,166.00","1,166.00","1,166.00",0.43
2025-02-06,"1,155.00","1,161.00","1,155.00","1,161.00",0.69
2025-02-05,"1,176.00","1,176.00","1,153.00","1,153.00",-3.92
2025-02-02,"1,180.00","1,200.00","1,180.00","1,200.00",0.04
2025-01-28,"1,180.00","1,199.50","1,176.00","1,199.50",0.04
2025-01-23,"1,199.00","1,199.00","1,199.00","1,199.00",-1.4
2025-01-22,"1,222.10","1,222.10","1,215.00","1,216.00",-2.49
2025-01-05,"1,232.00","1,247.00","1,232.00","1,247.00",2.05
2025-01-02,"1,198.50","1,222.00","1,198.50","1,222.00",4.0
2025-01-01,"1,175.00","1,175.00","1,175.00","1,175.00",-1.96
2024-12-31,"1,175.00","1,198.50","1,175.00","1,198.50",0.97
2024-12-26,"1,187.00","1,187.00","1,187.00","1,187.00",-1.98
2024-12-24,"1,211.00","1,211.00","1,211.00","1,211.00",-1.94
2024-12-23,"1,176.80","1,235.00","1,176.80","1,235.00",4.95
2024-12-10,"1,176.80","1,176.80","1,176.80","1,176.80",1.99
2024-12-09,"1,153.80","1,153.80","1,153.80","1,153.80",2.0
2024-12-08,"1,130.10","1,140.00","1,130.10","1,131.20",-1.89
2024-12-02,"1,153.00","1,153.00","1,153.00","1,153.00",-1.96
2024-11-27,"1,176.00","1,176.00","1,176.00","1,176.00",-2.0
2024-11-21,"1,200.00","1,200.00","1,200.00","1,200.00",0.0
2024-11-14,"1,200.00","1,200.00","1,200.00","1,200.00",-0.83
2024-10-30,"1,210.00","1,210.00","1,210.00","1,210.00",0.41
2024-10-29,"1,205.00","1,205.00","1,205.00","1,205.00",0.42
2024-10-27,"1,200.00","1,200.00","1,200.00","1,200.00",0.0
2024-10-23,"1,207.00","1,207.00","1,200.00","1,200.00",1.36
2024-10-22,"1,183.90","1,183.90","1,183.90","1,183.90",-2.0
2024-09-30,"1,208.00","1,208.00","1,208.00","1,208.00",0.04
2024-09-29,"1,184.00","1,207.50","1,184.00","1,207.50",2.0
2024-09-26,"1,182.00","1,182.00","1,182.00","1,182.00",2.0
2024-09-25,"1,138.10","1,160.60","1,138.10","1,160.60",1.99
2024-09-24,"1,137.90","1,137.90","1,137.90","1,137.90",-2.0
2024-09-22,"1,161.10","1,161.10","1,161.10","1,161.10",2.0
2024-09-18,"1,138.30","1,138.30","1,138.30","1,138.30",0.0
2024-09-16,"1,138.30","1,138.30","1,138.30","1,138.30",2.0
2024-09-15,"1,131.00","1,131.00","1,108.40","1,116.00",-1.24
2024-09-11,"1,130.00","1,130.00","1,130.00","1,130.00",0.89
2024-09-10,"1,109.00","1,120.00","1,109.00","1,120.00",-0.8
2024-09-08,"1,107.10","1,129.00","1,107.10","1,129.00",0.8
2024-09-05,"1,115.00","1,125.00","1,115.00","1,120.00",1.36
2024-09-03,"1,105.00","1,105.00","1,105.00","1,105.00",0.36
2024-09-01,"1,101.00","1,101.00","1,101.00","1,101.00",-1.87
2024-08-28,"1,121.90","1,122.00","1,121.90","1,122.00",2.0
2024-08-27,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2024-08-21,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2024-08-15,"1,100.00","1,100.00","1,100.00","1,100.00",0.46
2024-08-14,"1,095.00","1,095.00","1,095.00","1,095.00",-0.45
2024-08-13,"1,100.00","1,100.00","1,100.00","1,100.00",-1.06
2024-08-08,"1,111.80","1,111.80","1,111.80","1,111.80",0.0
2024-08-07,"1,111.80","1,111.80","1,111.80","1,111.80",1.07
2024-08-05,"1,100.00","1,100.00","1,100.00","1,100.00",-1.75
2024-08-01,"1,119.60","1,119.60","1,119.60","1,119.60",1.87
2024-07-31,"1,096.50","1,100.10","1,091.00","1,099.00",2.23
2024-07-18,"1,075.00","1,075.00","1,075.00","1,075.00",1.75
2024-07-16,"1,100.00","1,100.00","1,056.50","1,056.50",-3.95
2024-07-14,"1,100.00","1,100.00","1,100.00","1,100.00",0.82
2024-07-09,"1,091.00","1,091.00","1,091.00","1,091.00",0.5
2024-07-08,"1,085.70","1,085.70","1,085.60","1,085.60",-0.86
2024-07-07,"1,095.00","1,095.00","1,095.00","1,095.00",0.96
2024-06-25,"1,084.60","1,084.60","1,084.60","1,084.60",-2.0
2024-06-18,"1,104.00","1,106.70","1,104.00","1,106.70",2.0
2024-06-12,"1,085.00","1,085.00","1,085.00","1,085.00",-1.61
2024-06-06,"1,081.00","1,102.70","1,081.00","1,102.70",2.1
2024-06-03,"1,079.00","1,080.00","1,079.00","1,080.00",-1.82
2024-06-02,"1,100.00","1,100.00","1,100.00","1,100.00",-1.35
2024-05-30,"1,110.00","1,115.00","1,110.00","1,115.00",1.83
2024-05-27,"1,095.00","1,095.00","1,095.00","1,095.00",-1.62
2024-05-26,"1,113.00","1,113.00","1,113.00","1,113.00",1.92
2024-05-22,"1,092.00","1,092.00","1,092.00","1,092.00",0.0
2024-05-19,"1,080.00","1,092.00","1,080.00","1,092.00",-0.04
2024-05-15,"1,071.00","1,092.40","1,071.00","1,092.40",0.22
2024-05-14,"1,095.00","1,095.00","1,077.00","1,090.00",1.49
2024-05-12,"1,075.70","1,075.70","1,074.00","1,074.00",-1.71
2024-05-09,"1,092.70","1,092.70","1,092.70","1,092.70",0.98
2024-05-05,"1,082.10","1,082.10","1,082.10","1,082.10",1.04
2024-05-02,"1,071.00","1,071.00","1,071.00","1,071.00",-1.96
2024-04-30,"1,080.00","1,092.40","1,080.00","1,092.40",2.0
2024-04-29,"1,062.00","1,071.00","1,062.00","1,071.00",-0.37
2024-04-28,"1,075.00","1,075.00","1,075.00","1,075.00",0.47
2024-04-24,"1,068.00","1,089.00","1,068.00","1,070.00",-1.68
2024-04-22,"1,071.00","1,088.30","1,071.00","1,088.30",2.0
2024-04-21,"1,067.00","1,069.00","1,067.00","1,067.00",-1.89
2024-04-18,"1,132.00","1,132.00","1,087.50","1,087.50",-5.84
2024-04-16,"1,071.00","1,155.00","1,071.00","1,155.00",9.99
2024-04-15,"1,061.00","1,061.00","1,047.00","1,050.10",0.87
2024-04-14,"1,036.60","1,041.10","1,036.50","1,041.00",-0.54
2024-04-10,"1,046.60","1,046.60","1,046.60","1,046.60",2.0
2024-04-09,"1,026.10","1,026.10","1,026.10","1,026.10",0.99
2024-04-07,"1,010.00","1,016.00","1,010.00","1,016.00",-0.68
2024-04-04,"1,002.80","1,023.00","1,002.80","1,023.00",2.09
2024-04-03,"1,000.00","1,040.00","1,000.00","1,002.10",0.0
