date,open,high,low,close,volume
2026-06-08,655.10,662.00,653.20,657.10,"5,310,645.40"
2026-06-05,655.1,662.0,653.2,657.1,-0.21
2026-06-04,663.0,663.0,643.6,658.5,0.23
2026-06-03,656.0,660.0,652.0,657.0,0.15
2026-06-02,663.9,663.9,651.0,656.0,0.0
2026-06-01,658.0,661.0,642.0,656.0,-0.44
2026-05-27,664.9,664.9,655.0,658.9,-0.14
2026-05-26,664.8,664.8,655.1,659.8,-0.02
2026-05-25,664.3,664.3,653.1,659.9,1.03
2026-05-22,653.5,660.0,648.0,653.2,0.49
2026-05-21,653.5,659.9,642.0,650.0,-0.54
2026-05-20,655.0,655.0,637.0,653.5,1.71
2026-05-19,664.9,664.9,640.2,642.5,-0.7
2026-05-18,680.0,680.0,640.09,647.0,-0.31
2026-05-15,654.0,654.0,642.0,649.0,0.31
2026-05-14,645.9,647.0,643.0,647.0,0.17
2026-05-13,642.0,646.0,640.09,645.9,-0.17
2026-05-12,646.1,650.0,641.3,647.0,0.28
2026-05-11,650.0,650.0,644.0,645.2,0.0
2026-05-08,649.9,649.9,642.0,645.2,0.5
2026-05-07,636.1,644.6,636.1,642.0,0.17
2026-05-06,636.1,641.5,636.1,640.9,0.53
2026-05-05,627.0,642.0,626.0,637.5,-0.55
2026-05-04,639.0,647.4,634.2,641.0,0.31
2026-04-30,639.0,640.4,635.0,639.0,-0.06
2026-04-29,643.0,640.1,638.3,639.4,-0.56
2026-04-28,647.5,649.5,642.0,643.0,-0.69
2026-04-27,650.0,664.9,645.0,647.5,-0.38
2026-04-24,635.2,650.0,635.2,650.0,0.62
2026-04-23,654.0,654.0,643.2,646.0,-0.31
2026-04-22,650.0,650.0,634.1,648.0,-0.69
2026-04-21,658.0,658.0,651.0,652.5,-0.23
2026-04-20,665.1,665.1,651.0,654.0,-0.74
2026-04-17,659.9,659.9,652.1,658.9,-0.17
2026-04-16,655.0,660.0,650.3,660.0,0.17
2026-04-15,655.0,659.0,651.0,658.9,1.21
2026-04-13,655.0,657.6,648.0,651.0,-0.69
2026-04-10,650.0,656.0,649.0,655.5,0.08
2026-04-09,651.9,658.0,641.7,655.0,0.92
2026-04-08,650.0,653.5,645.0,649.0,0.15
2026-04-07,642.3,653.8,642.1,648.0,0.93
2026-04-06,640.0,655.0,639.0,642.0,0.27
2026-04-05,650.0,650.0,637.3,640.3,-2.02
2026-04-02,646.1,653.9,645.0,653.5,0.54
2026-04-01,660.0,660.0,648.0,650.0,-1.37
2026-03-31,651.0,660.0,646.3,659.0,0.61
2026-03-30,656.1,679.0,654.0,655.0,-2.09
2026-03-29,680.0,680.0,663.5,669.0,-1.18
2026-03-26,673.0,679.0,670.0,677.0,-0.28
2026-03-25,693.6,693.6,676.0,678.9,-0.16
2026-03-24,683.9,683.9,679.0,680.0,0.15
2026-03-23,684.0,684.0,673.0,679.0,0.89
2026-03-22,670.0,679.0,662.5,673.0,0.84
2026-03-19,670.0,673.0,663.8,667.4,0.66
2026-03-17,664.0,664.9,655.0,663.0,0.76
2026-03-16,653.7,669.0,653.7,658.0,-1.35
2026-03-15,675.0,675.0,663.0,667.0,-0.15
2026-03-12,665.0,669.0,660.1,668.0,0.45
2026-03-11,698.1,698.1,665.0,665.0,-2.92
2026-03-10,712.0,712.6,653.3,685.0,-1.96
2026-03-09,663.0,698.7,663.0,698.7,7.49
2026-03-03,647.2,652.0,642.1,650.0,0.43
2026-03-01,647.0,651.0,641.1,647.2,0.02
2026-02-26,643.1,652.0,643.0,647.1,0.76
2026-02-25,649.9,649.9,638.9,642.2,-0.9
2026-02-24,640.0,648.0,638.0,648.0,1.25
2026-02-23,637.0,641.0,634.1,640.0,0.47
2026-02-22,653.6,653.6,630.0,637.0,-0.59
2026-02-17,640.0,640.8,629.2,640.8,0.12
2026-02-16,640.0,640.0,636.0,640.0,0.38
2026-02-12,639.0,641.0,636.2,637.6,-0.38
2026-02-11,642.0,645.0,632.1,640.0,0.31
2026-02-10,635.0,638.0,632.1,638.0,0.46
2026-02-09,641.0,641.0,633.0,635.1,-0.45
2026-02-08,639.9,640.8,633.3,638.0,-0.3
2026-02-05,628.1,640.0,628.1,639.9,1.41
2026-02-04,621.0,635.0,621.0,631.0,-0.32
2026-02-03,631.5,634.5,631.1,633.0,0.24
2026-02-02,635.0,635.0,629.5,631.5,0.0
2026-02-01,630.0,633.9,628.1,631.5,0.24
2026-01-29,628.1,633.0,628.1,630.0,-0.74
2026-01-28,633.0,639.0,630.1,634.7,0.24
2026-01-27,635.0,640.0,630.2,633.2,-0.28
2026-01-26,635.0,640.0,632.1,635.0,-0.35
2026-01-25,631.5,642.0,631.5,637.2,0.98
2026-01-22,634.6,642.5,628.0,631.0,-1.1
2026-01-21,638.0,642.0,636.0,638.0,-0.41
2026-01-20,630.0,642.0,630.0,640.6,1.18
2026-01-18,632.5,636.0,631.4,633.1,0.27
2026-01-14,633.1,639.9,630.1,631.4,-0.27
2026-01-13,642.7,699.0,625.0,633.1,-0.46
2026-01-12,641.8,641.9,636.0,636.0,-0.63
2026-01-08,638.9,642.4,638.0,640.0,0.31
2026-01-07,635.0,641.9,630.2,638.0,0.47
2026-01-06,639.9,639.9,628.4,635.0,0.49
2026-01-05,636.0,636.0,628.2,631.9,-0.02
2026-01-04,627.0,633.0,627.0,632.0,0.0
2026-01-01,638.0,638.0,627.1,632.0,0.16
2025-12-31,630.0,634.0,624.1,631.0,0.72
2025-12-29,631.0,634.9,626.2,626.5,-0.4
2025-12-28,622.0,630.0,622.0,629.0,0.67
2025-12-24,625.0,630.0,623.0,624.8,-0.19
2025-12-23,623.0,634.0,622.0,626.0,0.45
2025-12-22,622.2,631.0,614.5,623.2,-0.61
2025-12-21,625.0,629.8,624.0,627.0,0.26
2025-12-18,625.0,628.0,621.0,625.4,-0.41
2025-12-17,629.0,629.8,625.0,628.0,0.48
2025-12-16,622.1,630.0,622.1,625.0,-0.02
2025-12-15,623.9,628.0,623.0,625.1,0.19
2025-12-14,629.9,630.0,622.1,623.9,0.31
2025-12-11,624.7,625.0,621.1,622.0,-0.16
2025-12-10,623.0,625.0,620.1,623.0,0.16
2025-12-09,625.0,625.1,620.0,622.0,0.16
2025-12-08,625.0,626.0,619.0,621.0,-0.32
2025-12-07,630.0,630.0,621.4,623.0,-1.27
2025-12-03,640.0,641.0,627.4,631.0,-1.41
2025-12-02,652.5,652.5,635.0,640.0,-3.88
2025-12-01,663.0,666.9,657.0,665.8,0.12
2025-11-30,664.9,669.0,660.4,665.0,0.76
2025-11-27,657.0,661.8,656.0,660.0,0.76
2025-11-26,650.0,656.0,648.1,655.0,0.92
2025-11-25,648.5,650.0,643.0,649.0,0.46
2025-11-24,645.0,648.8,643.0,646.0,0.78
2025-11-23,637.1,643.0,637.1,641.0,0.63
2025-11-20,643.0,643.0,633.0,637.0,0.02
2025-11-19,637.0,639.9,633.5,636.9,0.11
2025-11-18,633.0,639.5,633.0,636.2,0.03
2025-11-17,632.0,640.0,631.1,636.0,0.62
2025-11-16,635.1,640.0,630.1,632.1,-0.77
2025-11-13,635.0,639.1,635.0,637.0,-0.31
2025-11-12,642.0,642.0,635.0,639.0,-0.31
2025-11-11,645.0,645.0,637.0,641.0,0.19
2025-11-10,641.0,641.0,635.1,639.8,0.6
2025-11-09,644.0,644.0,634.5,636.0,-0.31
2025-11-06,634.1,645.0,634.1,638.0,-0.59
2025-11-05,635.0,643.0,635.0,641.8,0.75
