date,open,high,low,close,volume
2026-06-08,"1,164.90","1,164.90","1,132.00","1,132.00","20,376.00"
2026-06-05,"1,164.90","1,164.90","1,132.00","1,132.00",-2.82
2026-06-04,"1,164.00","1,164.90","1,164.00","1,164.90",2.91
2026-05-26,"1,125.00","1,132.00","1,125.00","1,132.00",1.03
2026-05-21,"1,120.50","1,120.50","1,120.50","1,120.50",0.49
2026-05-20,"1,120.00","1,120.00","1,110.30","1,115.00",-0.45
2026-05-18,"1,120.00","1,120.00","1,120.00","1,120.00",1.26
2026-05-13,"1,106.10","1,106.10","1,106.10","1,106.10",-2.12
2026-05-06,"1,130.00","1,130.00","1,130.00","1,130.00",0.18
2026-05-04,"1,128.00","1,128.00","1,128.00","1,128.00",0.02
2026-04-30,"1,095.00","1,095.00","1,095.00","1,127.80",3.0
2026-04-29,"1,142.00","1,142.00","1,142.00","1,095.00",-4.12
2026-04-27,"1,176.00","1,142.00","1,142.00","1,142.00",-2.89
2026-04-24,"1,142.00","1,142.00","1,142.00","1,176.00",2.98
2026-04-22,"1,142.00","1,142.00","1,142.00","1,142.00",0.0
2026-04-20,"1,142.00","1,142.00","1,142.00","1,142.00",-1.97
2026-04-17,"1,165.00","1,165.00","1,165.00","1,165.00",-1.94
2026-04-08,"1,188.00","1,188.00","1,188.00","1,188.00",1.97
2026-04-06,"1,150.00","1,165.00","1,150.00","1,165.00",1.75
2026-04-05,"1,145.00","1,145.00","1,145.00","1,145.00",-0.26
2026-04-02,"1,148.00","1,148.00","1,148.00","1,148.00",0.0
2026-03-30,"1,148.00","1,148.00","1,148.00","1,148.00",0.7
2026-03-25,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-03-24,"1,140.00","1,140.00","1,140.00","1,140.00",0.44
2026-03-23,"1,135.00","1,135.00","1,135.00","1,135.00",-1.39
2026-03-22,"1,151.00","1,151.00","1,151.00","1,151.00",1.86
2026-03-19,"1,130.00","1,130.00","1,130.00","1,130.00",-0.26
2026-03-17,"1,133.00","1,133.00","1,133.00","1,133.00",0.27
2026-03-16,"1,130.00","1,130.00","1,130.00","1,130.00",1.53
2026-03-15,"1,126.10","1,126.10","1,113.00","1,113.00",-1.6
2026-03-10,"1,132.10","1,132.10","1,131.10","1,131.10",-1.39
2026-03-01,"1,147.00","1,147.00","1,147.00","1,147.00",0.61
2026-02-26,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2026-02-25,"1,131.60","1,140.00","1,131.60","1,140.00",0.88
2026-02-24,"1,130.10","1,130.10","1,130.10","1,130.10",0.18
2026-02-23,"1,125.00","1,128.10","1,125.00","1,128.10",0.27
2026-02-22,"1,125.10","1,125.20","1,125.10","1,125.10",-0.89
2026-02-17,"1,113.00","1,135.20","1,113.00","1,135.20",3.85
2026-02-16,"1,115.00","1,115.00","1,093.10","1,093.10",-3.54
2026-02-12,"1,132.00","1,133.20","1,132.00","1,133.20",2.0
2026-02-04,"1,112.00","1,112.00","1,111.00","1,111.00",-1.16
2026-02-01,"1,124.00","1,124.00","1,124.00","1,124.00",0.0
2026-01-27,"1,124.00","1,124.00","1,124.00","1,124.00",-1.24
2026-01-20,"1,138.10","1,138.10","1,138.10","1,138.10",-2.0
2026-01-18,"1,185.00","1,185.00","1,185.00","1,161.30",-2.0
2026-01-13,"1,178.10","1,185.00","1,178.10","1,185.00",2.6
2026-01-08,"1,155.00","1,155.00","1,155.00","1,155.00",0.0
2026-01-06,"1,155.00","1,155.00","1,155.00","1,155.00",-0.17
2026-01-05,"1,157.00","1,157.00","1,157.00","1,157.00",-1.95
2025-12-31,"1,180.00","1,180.00","1,180.00","1,180.00",0.0
2025-12-28,"1,162.10","1,180.00","1,162.10","1,180.00",-0.24
2025-12-18,"1,159.70","1,182.80","1,159.70","1,182.80",4.03
2025-12-17,"1,137.00","1,137.00","1,137.00","1,137.00",0.35
2025-12-15,"1,133.00","1,133.00","1,133.00","1,133.00",0.18
2025-12-14,"1,131.00","1,131.00","1,131.00","1,131.00",-1.57
2025-12-11,"1,196.20","1,196.20","1,196.20","1,149.00",-3.95
2025-12-10,"1,196.20","1,196.20","1,196.20","1,196.20",1.98
2025-11-18,"1,173.00","1,173.00","1,150.00","1,173.00",0.0
2025-11-17,"1,171.00","1,173.00","1,171.00","1,173.00",2.0
2025-11-16,"1,150.00","1,150.00","1,150.00","1,150.00",0.12
2025-11-13,"1,148.60","1,148.60","1,148.60","1,148.60",2.0
2025-11-12,"1,126.00","1,148.50","1,126.00","1,126.10",1.8
2025-11-04,"1,126.00","1,126.00","1,126.00","1,106.20",-1.76
2025-11-03,"1,122.10","1,144.50","1,122.10","1,126.00",2.35
2025-11-02,"1,142.10","1,142.10","1,122.00","1,100.10",-3.68
2025-10-30,"1,165.00","1,165.00","1,165.00","1,142.10",-1.97
2025-10-13,"1,152.00","1,165.00","1,152.00","1,165.00",3.1
2025-10-12,"1,130.00","1,130.00","1,130.00","1,130.00",0.62
2025-10-09,"1,123.00","1,123.00","1,123.00","1,123.00",-1.92
2025-10-08,"1,090.50","1,145.00","1,090.50","1,145.00",7.09
2025-09-23,"1,058.50","1,069.20","1,058.40","1,069.20",-1.0
2025-09-08,"1,080.00","1,080.00","1,080.00","1,080.00",0.93
2025-09-04,"1,070.00","1,070.00","1,070.00","1,070.00",0.0
2025-09-03,"1,063.00","1,063.00","1,063.00","1,070.00",0.66
2025-09-02,"1,063.00","1,063.00","1,063.00","1,063.00",-0.65
2025-09-01,"1,070.00","1,070.00","1,070.00","1,070.00",-0.7
2025-08-26,"1,077.50","1,077.50","1,077.50","1,077.50",1.99
2025-08-21,"1,055.00","1,056.50","1,055.00","1,056.50",0.14
2025-08-19,"1,051.00","1,055.00","1,051.00","1,055.00",0.76
2025-08-17,"1,047.00","1,047.00","1,047.00","1,047.00",0.12
2025-08-14,"1,059.00","1,059.00","1,045.70","1,045.70",-3.17
2025-08-12,"1,069.00","1,080.00","1,069.00","1,079.94",3.02
2025-08-11,"1,054.00","1,054.00","1,054.00","1,048.30",-0.59
2025-08-07,"1,053.50","1,054.50","1,053.50","1,054.50",-0.05
2025-08-05,"1,055.00","1,055.00","1,055.00","1,055.00",0.03
2025-08-04,"1,056.50","1,056.50","1,051.00","1,054.66",-2.17
2025-07-30,"1,078.00","1,078.00","1,078.00","1,078.00",-2.0
2025-07-07,"1,085.00","1,100.00","1,085.00","1,100.00",-0.54
2025-06-29,"1,106.00","1,106.00","1,106.00","1,106.00",0.0
2025-06-23,"1,080.00","1,106.00","1,080.00","1,106.00",2.41
2025-06-22,"1,080.00","1,080.00","1,080.00","1,080.00",0.0
2025-06-19,"1,080.00","1,080.00","1,080.00","1,080.00",0.0
2025-06-18,"1,085.00","1,085.00","1,080.00","1,080.00",-2.35
2025-06-09,"1,100.00","1,100.00","1,100.00","1,106.00",0.55
2025-06-08,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-06-05,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-06-04,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-05-28,"1,075.10","1,100.00","1,075.10","1,100.00",0.55
2025-05-27,"1,092.10","1,092.10","1,092.10","1,094.00",1.3
2025-05-26,"1,099.50","1,099.50","1,099.50","1,080.00",-1.77
2025-05-25,"1,100.00","1,100.00","1,080.20","1,099.50",-0.92
2025-05-22,"1,105.00","1,110.00","1,105.00","1,109.76",0.89
2025-05-20,"1,099.00","1,100.00","1,099.00","1,100.00",1.65
2025-05-18,"1,082.10","1,082.10","1,082.10","1,082.10",0.84
2025-05-13,"1,072.10","1,072.10","1,072.10","1,073.10",-1.55
2025-05-08,"1,090.00","1,090.00","1,090.00","1,090.00",0.0
2025-05-07,"1,087.00","1,087.00","1,087.00","1,090.00",-1.67
2025-05-06,"1,108.00","1,109.90","1,108.00","1,108.47",0.77
2025-04-30,"1,100.00","1,100.00","1,100.00","1,100.00",0.0
2025-04-28,"1,106.00","1,106.00","1,106.00","1,100.00",-1.16
2025-04-24,"1,110.00","1,115.00","1,110.00","1,112.94",1.18
2025-04-22,"1,094.20","1,100.00","1,094.20","1,100.00",0.55
2025-04-21,"1,094.00","1,094.00","1,094.00","1,094.00",-1.8
2025-04-20,"1,103.50","1,120.00","1,103.50","1,114.00",2.96
2025-04-17,"1,080.00","1,082.00","1,080.00","1,082.00",-1.64
2025-04-16,"1,081.00","1,100.00","1,081.00","1,100.00",2.04
2025-04-15,"1,071.00","1,078.00","1,071.00","1,078.00",-1.1
2025-04-13,"1,083.00","1,090.00","1,083.00","1,090.00",2.64
2025-04-07,"1,062.00","1,062.00","1,062.00","1,062.00",0.09
2025-04-03,"1,058.00","1,058.00","1,058.00","1,061.00",0.28
2025-04-02,"1,052.00","1,056.00","1,052.00","1,058.00",-0.28
2025-03-30,"1,061.00","1,061.00","1,061.00","1,061.00",-0.06
2025-03-25,"1,061.60","1,061.60","1,061.60","1,061.60",2.0
2025-03-24,"1,059.60","1,059.60","1,040.20","1,040.80",-3.74
2025-03-23,"1,080.00","1,081.20","1,080.00","1,081.20",2.0
2025-03-20,"1,060.00","1,060.00","1,060.00","1,060.00",-0.93
2025-03-18,"1,060.00","1,069.80","1,060.00","1,069.80",0.92
2025-03-17,"1,040.00","1,060.00","1,040.00","1,060.00",-0.08
2025-03-16,"1,035.30","1,060.80","1,035.30","1,060.80",1.9
2025-03-12,"1,045.00","1,045.00","1,041.00","1,041.00",-0.39
2025-03-10,"1,045.10","1,045.50","1,045.10","1,045.10",0.01
2025-03-09,"1,034.10","1,045.00","1,034.00","1,045.00",-0.48
2025-03-05,"1,042.00","1,050.00","1,038.00","1,050.00",0.38
2025-03-03,"1,035.40","1,046.00","1,035.40","1,046.00",0.56
2025-03-02,"1,036.90","1,052.00","1,036.80","1,040.20",0.79
2025-02-25,"1,032.00","1,032.00","1,032.00","1,032.00",-1.58
2025-02-24,"1,048.60","1,048.60","1,048.60","1,048.60",-2.0
2025-02-23,"1,070.00","1,070.00","1,070.00","1,070.00",0.85
2025-02-18,"1,061.00","1,061.00","1,061.00","1,061.00",0.09
2025-02-17,"1,060.00","1,060.00","1,060.00","1,060.00",0.95
2025-02-11,"1,050.00","1,050.00","1,050.00","1,050.00",-1.34
2025-02-10,"1,055.00","1,086.00","1,055.00","1,064.30",1.46
2025-02-09,"1,049.00","1,049.00","1,049.00","1,049.00",-1.04
2025-02-06,"1,060.00","1,060.00","1,060.00","1,060.00",0.38
2025-02-04,"1,051.00","1,056.00","1,051.00","1,056.00",0.57
2025-02-03,"1,050.00","1,050.00","1,050.00","1,050.00",-1.87
2025-02-02,"1,060.00","1,070.00","1,060.00","1,070.00",2.1
2025-01-28,"1,043.00","1,048.00","1,043.00","1,048.00",-0.1
2025-01-27,"1,050.00","1,050.00","1,048.10","1,049.00",0.0
2025-01-26,"1,049.00","1,049.00","1,049.00","1,049.00",0.09
2025-01-23,"1,049.00","1,058.00","1,048.10","1,048.10",0.78
2025-01-22,"1,050.00","1,050.00","1,040.00","1,040.00",0.0
2025-01-21,"1,050.00","1,050.00","1,040.00","1,040.00",-0.95
2025-01-20,"1,030.00","1,050.00","1,030.00","1,050.00",0.1
2025-01-19,"1,069.90","1,069.90","1,049.00","1,049.00",-1.96
2025-01-13,"1,070.00","1,070.00","1,070.00","1,070.00",-0.47
2025-01-12,"1,075.00","1,075.00","1,075.00","1,075.00",-0.46
2025-01-09,"1,092.00","1,092.00","1,080.00","1,080.00",-3.05
2025-01-08,"1,092.20","1,114.00","1,092.20","1,114.00",1.27
2025-01-07,"1,099.90","1,100.00","1,099.90","1,100.00",0.0
2025-01-06,"1,096.80","1,100.00","1,096.80","1,100.00",0.31
2025-01-05,"1,100.00","1,105.00","1,075.10","1,096.60",0.15
2025-01-01,"1,095.00","1,095.00","1,095.00","1,095.00",0.92
2024-12-31,"1,085.00","1,085.00","1,085.00","1,085.00",-0.28
2024-12-26,"1,088.00","1,088.00","1,088.00","1,088.00",-1.98
2024-12-23,"1,098.50","1,110.00","1,098.50","1,110.00",2.3
2024-12-22,"1,065.00","1,085.00","1,065.00","1,085.00",1.97
2024-12-19,"1,062.00","1,064.00","1,062.00","1,064.00",0.09
2024-12-18,"1,063.00","1,063.00","1,063.00","1,063.00",0.0
2024-12-17,"1,062.00","1,063.00","1,062.00","1,063.00",0.28
2024-12-16,"1,063.00","1,063.00","1,060.00","1,060.00",-0.93
2024-12-11,"1,070.00","1,070.00","1,070.00","1,070.00",-1.96
2024-12-10,"1,090.00","1,091.40","1,090.00","1,091.40",2.0
2024-12-04,"1,065.00","1,070.00","1,065.00","1,070.00",-1.38
2024-12-02,"1,084.80","1,085.00","1,084.80","1,085.00",0.0
2024-11-26,"1,080.00","1,085.00","1,080.00","1,085.00",2.46
2024-11-25,"1,079.00","1,079.90","1,059.00","1,059.00",-1.49
2024-11-24,"1,053.00","1,075.00","1,050.00","1,075.00",2.09
2024-11-21,"1,053.00","1,053.00","1,053.00","1,053.00",-1.5
2024-11-20,"1,048.10","1,069.00","1,048.10","1,069.00",0.75
2024-11-17,"1,040.60","1,061.00","1,040.60","1,061.00",2.19
2024-11-14,"1,038.30","1,038.30","1,038.30","1,038.30",-1.11
2024-11-12,"1,050.00","1,050.00","1,050.00","1,050.00",0.48
2024-11-11,"1,060.00","1,060.00","1,045.00","1,045.00",-0.95
2024-11-10,"1,055.00","1,055.00","1,055.00","1,055.00",-0.07
2024-11-06,"1,035.00","1,055.70","1,035.00","1,055.70",2.93
2024-10-29,"1,025.60","1,025.60","1,025.60","1,025.60",-1.86
2024-10-28,"1,045.00","1,050.00","1,045.00","1,045.00",-0.47
2024-10-27,"1,049.00","1,051.00","1,049.00","1,049.90",1.83
2024-10-24,"1,031.00","1,031.00","1,031.00","1,031.00",-0.39
2024-10-23,"1,035.00","1,035.00","1,035.00","1,035.00",0.39
2024-10-21,"1,031.00","1,031.00","1,031.00","1,031.00",1.08
2024-10-20,"1,020.00","1,020.00","1,020.00","1,020.00",-0.97
2024-10-15,"1,030.10","1,030.10","1,030.00","1,030.00",-2.0
2024-10-01,"1,031.00","1,051.00","1,031.00","1,051.00",-0.1
2024-09-30,"1,042.00","1,052.00","1,042.00","1,052.00",2.63
2024-09-29,"1,034.00","1,037.00","1,025.00","1,025.00",0.78
2024-09-26,"1,013.40","1,017.10","1,013.40","1,017.10",0.1
2024-09-25,"1,016.10","1,016.10","1,016.10","1,016.10",-1.06
2024-09-23,"1,011.30","1,027.00","1,011.30","1,027.00",-0.39
2024-09-22,"1,030.00","1,031.00","1,030.00","1,031.00",0.15
2024-09-18,"1,013.10","1,029.50","1,013.10","1,029.50",1.99
2024-09-16,"1,007.30","1,009.40","1,007.30","1,009.40",-1.23
2024-09-12,"1,002.00","1,022.00","1,002.00","1,022.00",0.2
2024-09-09,"1,022.00","1,022.00","1,020.00","1,020.00",1.8
2024-09-08,"1,004.10","1,004.10","1,002.00","1,002.00",-2.15
2024-09-05,993.50,"1,024.00",993.50,"1,024.00",1.39
2024-09-03,"1,020.00","1,020.00","1,010.00","1,010.00",-0.98
2024-09-02,"1,005.00","1,020.00","1,005.00","1,020.00",0.99
2024-09-01,"1,010.00","1,010.00","1,010.00","1,010.00",-0.49
2024-08-29,"1,010.00","1,015.00",996.30,"1,015.00",0.0
2024-08-28,"1,007.00","1,015.00","1,007.00","1,015.00",-0.49
2024-08-27,"1,010.00","1,020.00","1,010.00","1,020.00",2.0
2024-08-25,"1,007.00","1,007.00","1,000.00","1,000.00",-0.7
2024-08-22,"1,000.00","1,007.00",990.00,"1,007.00",1.81
2024-08-21,989.10,989.10,989.10,989.10,0.16
2024-08-18,987.10,987.50,987.10,987.50,0.04
2024-08-15,986.10,"1,005.80",986.10,987.10,-0.82
2024-08-14,995.00,995.30,995.00,995.30,-1.46
2024-08-13,995.00,"1,010.00",995.00,"1,010.00",1.51
2024-08-12,981.10,995.00,981.10,995.00,0.49
2024-08-11,990.00,990.10,990.00,990.10,-0.99
2024-08-07,980.90,"1,000.00",980.90,"1,000.00",1.98
2024-08-06,980.30,980.60,980.30,980.60,-0.93
2024-08-05,"1,009.90","1,010.00",989.80,989.80,-0.42
2024-08-01,974.60,994.00,974.60,994.00,1.94
2024-07-31,975.10,975.10,975.10,975.10,-0.19
2024-07-30,970.00,985.00,970.00,977.00,-0.31
2024-07-29,980.00,980.00,980.00,980.00,-0.81
