date,open,high,low,close,volume
2026-06-08,10.00,10.00,9.97,9.97,"90,550.00"
2026-06-05,10.0,10.0,9.97,9.97,-1.29
2026-06-04,10.0,10.1,10.0,10.1,1.41
2026-06-03,10.0,10.0,9.96,9.96,-0.4
2026-06-02,9.97,10.3,9.97,10.0,-1.96
2026-06-01,9.97,10.2,9.97,10.2,0.0
2026-05-27,10.3,10.3,10.2,10.2,0.1
2026-05-26,9.91,10.19,9.9,10.19,0.99
2026-05-25,10.11,10.41,10.09,10.09,-2.98
2026-05-22,10.1,10.4,10.05,10.4,4.0
2026-05-21,9.9,10.0,9.9,10.0,0.0
2026-05-20,10.1,10.1,9.95,10.0,0.5
2026-05-19,9.96,10.1,9.95,9.95,0.0
2026-05-18,9.95,10.15,9.95,9.95,0.0
2026-05-15,9.9,9.95,9.85,9.95,0.51
2026-05-14,10.24,10.24,9.9,9.9,-1.0
2026-05-13,10.05,10.1,9.96,10.0,-0.5
2026-05-12,10.1,10.2,10.0,10.05,-0.89
2026-05-11,10.0,10.14,10.0,10.14,2.42
2026-05-08,10.12,10.12,9.9,9.9,0.0
2026-05-07,9.9,10.05,9.9,9.9,-1.0
2026-05-06,9.75,10.0,9.75,10.0,1.01
2026-05-05,9.92,10.1,9.8,9.9,0.81
2026-04-30,9.8,9.98,9.8,9.82,-1.7
2026-04-29,9.77,10.0,9.81,9.99,2.25
2026-04-28,9.9,9.77,9.77,9.77,-1.31
2026-04-27,9.9,10.0,9.8,9.9,0.0
2026-04-24,9.9,10.1,9.9,9.9,0.0
2026-04-23,9.8,9.9,9.8,9.9,0.0
2026-04-22,10.0,10.0,9.9,9.9,-1.0
2026-04-21,10.01,10.01,9.97,10.0,-1.19
2026-04-20,9.8,10.12,9.8,10.12,1.4
2026-04-17,9.98,9.98,9.98,9.98,-0.8
2026-04-16,10.1,10.1,9.96,10.06,-0.89
2026-04-15,9.9,10.15,9.82,10.15,4.42
2026-04-13,9.72,9.72,9.72,9.72,-1.82
2026-04-10,9.85,10.0,9.85,9.9,0.0
2026-04-09,9.9,9.9,9.9,9.9,-1.59
2026-04-08,10.08,10.08,10.0,10.06,1.62
2026-04-07,9.9,9.9,9.77,9.9,0.51
2026-04-06,9.85,9.85,9.8,9.85,1.34
2026-04-05,9.81,9.86,9.72,9.72,-2.9
2026-04-02,10.09,10.14,9.89,10.01,1.11
2026-04-01,10.1,10.1,9.9,9.9,-2.94
2026-03-31,9.9,10.3,9.9,10.2,2.2
2026-03-30,9.95,10.13,9.95,9.98,-1.19
2026-03-29,10.13,10.16,10.1,10.1,-2.13
2026-03-26,10.15,10.32,10.01,10.32,1.98
2026-03-25,10.29,10.3,10.11,10.12,-1.65
2026-03-24,10.21,10.3,10.15,10.29,0.78
2026-03-23,10.1,10.26,10.1,10.21,0.49
2026-03-22,10.3,10.3,10.1,10.16,0.59
2026-03-19,10.33,10.33,10.0,10.1,-0.39
2026-03-17,10.05,10.14,9.98,10.14,1.1
2026-03-16,10.58,11.53,10.03,10.03,-4.39
2026-03-15,9.9,10.49,9.83,10.49,3.96
2026-03-12,9.4,10.18,8.66,10.09,5.54
2026-03-11,9.9,9.99,9.56,9.56,-3.43
2026-03-10,9.89,9.94,9.6,9.9,2.06
2026-03-03,9.41,9.7,9.41,9.7,1.04
2026-03-01,9.57,9.75,9.57,9.6,0.31
2026-02-26,9.74,9.74,9.57,9.57,0.21
2026-02-25,9.7,9.7,9.51,9.55,-0.73
2026-02-24,9.44,9.62,9.44,9.62,0.1
2026-02-23,9.6,9.61,9.53,9.61,1.91
2026-02-22,9.56,9.6,9.43,9.43,-3.08
2026-02-17,9.65,9.73,9.55,9.73,0.83
2026-02-16,9.65,9.88,9.65,9.65,-1.43
2026-02-12,9.89,9.89,9.79,9.79,0.0
2026-02-11,9.6,9.86,9.6,9.79,0.93
2026-02-10,9.7,9.7,9.7,9.7,-0.92
2026-02-09,9.52,9.85,9.51,9.79,1.14
2026-02-08,9.5,9.68,9.5,9.68,1.47
2026-02-05,9.7,9.75,9.54,9.54,-1.34
2026-02-04,9.67,9.67,9.66,9.67,0.52
2026-02-03,9.81,9.81,9.62,9.62,0.0
2026-02-02,9.79,9.79,9.61,9.62,0.21
2026-02-01,9.8,9.85,9.6,9.6,-1.74
2026-01-29,9.77,9.8,9.7,9.77,1.98
2026-01-28,9.58,9.75,9.58,9.58,-1.34
2026-01-27,9.75,9.83,9.71,9.71,-2.31
2026-01-26,9.57,9.96,9.57,9.94,3.43
2026-01-25,9.59,9.7,9.56,9.61,0.21
2026-01-22,9.74,9.76,9.58,9.59,0.21
2026-01-21,9.55,9.57,9.55,9.57,-0.83
2026-01-20,9.71,9.9,9.55,9.65,-2.53
2026-01-18,9.55,9.9,9.53,9.9,1.64
2026-01-14,9.48,9.74,9.48,9.74,0.93
2026-01-13,9.54,9.65,9.54,9.65,-0.72
2026-01-12,9.6,9.72,9.5,9.72,1.99
2026-01-08,9.6,9.6,9.53,9.53,-1.45
2026-01-07,9.66,9.68,9.66,9.67,-1.83
2026-01-06,9.8,9.85,9.7,9.85,0.72
2026-01-05,9.65,9.78,9.47,9.78,-0.61
2026-01-04,9.65,9.84,9.65,9.84,2.71
2026-01-01,9.57,9.58,9.38,9.58,1.91
2025-12-31,9.3,9.4,9.3,9.4,-0.53
2025-12-29,9.42,9.58,9.25,9.45,-1.66
2025-12-28,9.59,9.85,9.59,9.61,2.13
2025-12-24,9.45,9.45,9.41,9.41,-1.26
2025-12-23,9.54,9.55,9.36,9.53,-0.21
2025-12-22,9.54,9.58,9.4,9.55,0.53
2025-12-21,9.1,9.92,9.1,9.5,3.15
2025-12-18,9.31,9.31,9.2,9.21,-0.43
2025-12-17,9.39,9.39,9.25,9.25,-1.49
2025-12-16,9.37,9.39,9.37,9.39,1.51
2025-12-15,9.42,9.42,9.25,9.25,-0.54
2025-12-14,9.26,9.38,9.26,9.3,0.43
2025-12-11,9.16,9.3,9.16,9.26,0.0
2025-12-10,9.16,9.27,9.16,9.26,1.54
2025-12-09,9.48,9.48,9.12,9.12,-1.94
2025-12-08,9.38,9.38,9.13,9.3,1.09
2025-12-07,9.48,9.48,9.12,9.2,-1.08
2025-12-03,9.38,9.4,9.2,9.3,1.09
2025-12-02,9.47,9.47,9.2,9.2,-0.97
2025-12-01,9.18,9.29,9.17,9.29,-0.11
2025-11-30,9.41,9.41,9.05,9.3,0.76
2025-11-27,9.13,9.26,9.01,9.23,3.01
2025-11-26,9.38,9.38,8.6,8.96,-2.61
2025-11-25,9.36,9.36,9.1,9.2,0.22
2025-11-24,9.02,9.19,9.01,9.18,1.21
2025-11-23,9.09,9.25,9.07,9.07,-0.22
2025-11-20,9.35,9.35,9.01,9.09,-1.41
2025-11-19,9.23,9.23,9.05,9.22,1.88
2025-11-18,9.02,9.2,9.0,9.05,0.33
2025-11-17,9.33,9.33,9.02,9.02,-1.42
2025-11-16,9.31,9.31,9.13,9.15,0.22
2025-11-13,9.43,9.43,9.13,9.13,-1.3
2025-11-12,9.5,9.5,9.2,9.25,-0.75
2025-11-11,9.23,9.4,9.23,9.32,2.98
2025-11-10,9.4,9.44,9.05,9.05,-2.69
2025-11-09,9.28,9.31,9.11,9.3,2.2
2025-11-06,9.4,9.4,9.05,9.1,-1.41
2025-11-05,9.23,9.35,9.13,9.23,1.99
2025-11-04,9.39,9.39,9.05,9.05,-1.95
2025-11-03,9.4,9.4,9.05,9.23,0.11
2025-11-02,9.38,9.38,9.04,9.22,0.22
2025-10-30,9.56,9.56,9.02,9.2,-1.92
2025-10-29,9.58,9.58,9.28,9.38,-0.21
2025-10-28,9.61,9.61,9.4,9.4,-0.32
2025-10-26,9.64,9.64,9.28,9.43,-0.32
2025-10-19,9.48,9.48,9.17,9.46,1.72
2025-10-16,9.35,9.35,9.2,9.3,-0.21
2025-10-15,9.51,9.7,9.16,9.32,-0.11
2025-10-14,9.52,9.7,9.16,9.33,-0.21
2025-10-13,9.48,9.48,9.2,9.35,0.54
2025-10-12,9.18,9.3,9.07,9.3,3.33
2025-10-09,9.35,9.35,9.0,9.0,-1.85
2025-10-08,9.21,9.21,9.17,9.17,-1.5
2025-10-07,9.5,9.5,9.31,9.31,-1.59
2025-09-28,9.47,9.47,9.29,9.46,1.83
2025-09-25,9.22,9.29,9.22,9.29,2.09
2025-09-24,9.28,9.28,9.0,9.1,-1.94
2025-09-23,9.18,9.36,9.0,9.28,3.11
2025-09-21,9.15,9.15,8.97,9.0,-3.23
2025-09-08,9.55,9.55,9.19,9.3,-1.06
2025-09-07,9.4,9.4,9.34,9.4,1.95
2025-09-04,9.07,9.35,9.07,9.22,-0.32
2025-09-03,9.25,9.43,9.05,9.25,1.98
2025-09-02,9.13,9.3,9.07,9.07,-1.41
2025-09-01,9.27,9.34,9.1,9.2,-0.76
2025-08-31,9.1,9.27,9.1,9.27,1.76
2025-08-28,9.39,9.39,9.1,9.11,-1.09
2025-08-27,9.26,9.27,9.1,9.21,-0.43
2025-08-26,9.07,9.43,9.07,9.25,2.1
2025-08-25,9.01,9.15,9.0,9.06,-1.31
2025-08-24,9.6,9.6,9.06,9.18,-3.16
2025-08-21,11.42,11.5,11.35,11.48,0.7
2025-08-20,11.15,11.46,11.15,11.4,0.26
2025-08-19,11.45,11.49,11.28,11.37,0.26
2025-08-18,11.32,11.43,11.21,11.34,0.44
2025-08-17,11.48,11.48,11.24,11.29,0.27
2025-08-14,11.21,11.45,11.21,11.26,0.27
2025-08-13,11.35,11.5,11.0,11.23,0.9
2025-08-12,11.33,11.34,11.12,11.13,0.09
2025-08-11,10.92,11.2,10.8,11.12,3.63
2025-08-07,10.41,10.76,10.41,10.73,1.51
2025-08-06,10.4,10.6,10.4,10.57,0.19
2025-08-05,10.65,10.65,10.5,10.55,-1.31
2025-08-04,10.54,10.69,10.54,10.69,0.38
2025-08-03,10.8,10.87,10.65,10.65,-1.21
2025-07-31,10.88,10.9,10.7,10.78,-0.92
2025-07-30,10.95,11.0,10.71,10.88,0.46
2025-07-29,10.68,10.95,10.68,10.83,0.74
2025-07-28,10.57,10.78,10.56,10.75,0.0
2025-07-27,10.71,10.87,10.71,10.75,0.84
2025-07-24,10.45,10.68,10.43,10.66,0.38
2025-07-23,10.45,10.65,10.45,10.62,-0.38
2025-07-22,10.46,10.73,10.46,10.66,0.47
2025-07-21,10.6,10.78,10.6,10.61,0.09
2025-07-20,10.42,10.65,10.28,10.6,1.73
2025-07-17,10.4,10.45,10.37,10.42,1.26
2025-07-16,10.34,10.54,10.0,10.29,-0.58
2025-07-15,10.27,10.35,10.27,10.35,0.78
2025-07-14,10.21,10.41,10.21,10.27,-0.77
2025-07-13,10.0,10.35,10.0,10.35,1.57
2025-07-10,10.07,10.25,10.07,10.19,0.39
2025-07-09,10.04,10.15,10.04,10.15,0.0
2025-07-08,10.1,10.15,10.05,10.15,0.5
2025-07-07,10.05,10.17,10.05,10.1,-0.59
2025-07-06,9.95,10.19,9.95,10.16,0.49
2025-07-03,10.14,10.21,10.01,10.11,0.1
2025-07-02,10.1,10.1,10.1,10.1,0.0
2025-07-01,10.1,10.14,10.1,10.1,0.3
2025-06-30,10.0,10.1,10.0,10.07,0.6
2025-06-29,10.0,10.01,9.95,10.01,-0.89
2025-06-26,9.91,10.1,9.91,10.1,0.6
2025-06-25,9.88,10.04,9.88,10.04,1.41
2025-06-24,9.86,9.9,9.85,9.9,1.96
2025-06-23,10.1,10.1,9.71,9.71,-2.22
2025-06-22,9.92,9.93,9.91,9.93,-0.7
2025-06-19,9.92,10.0,9.92,10.0,-0.2
2025-06-18,9.9,10.03,9.9,10.02,0.91
2025-06-17,10.0,10.05,9.91,9.93,-0.7
2025-06-16,9.98,10.05,9.88,10.0,0.7
2025-06-15,9.85,9.99,9.84,9.93,-0.7
2025-06-12,10.0,10.1,9.92,10.0,0.0
2025-06-11,9.87,10.1,9.87,10.0,-0.4
2025-06-10,9.6,10.09,9.6,10.04,2.55
2025-06-09,9.73,9.92,9.73,9.79,-1.11
2025-06-08,9.88,9.91,9.88,9.9,-1.49
2025-06-05,9.82,10.1,9.82,10.05,0.5
2025-06-04,10.1,10.1,9.81,10.0,0.3
2025-06-03,10.1,10.1,9.96,9.97,-0.99
2025-06-02,9.74,10.09,9.74,10.07,1.61
2025-05-28,10.0,10.02,9.85,9.91,0.81
2025-05-27,9.72,10.02,9.72,9.83,-0.3
2025-05-26,9.87,9.97,9.85,9.86,0.1
2025-05-25,9.75,9.88,9.75,9.85,-0.1
2025-05-22,9.74,9.9,9.74,9.86,0.1
2025-05-21,9.75,9.94,9.75,9.85,0.51
2025-05-20,9.8,9.8,9.8,9.8,0.0
2025-05-19,9.76,9.8,9.76,9.8,-0.51
2025-05-18,9.7,9.85,9.66,9.85,1.55
2025-05-15,9.89,9.89,9.6,9.7,0.0
2025-05-14,9.55,9.76,9.55,9.7,0.0
2025-05-13,9.72,9.92,9.7,9.7,0.0
2025-05-11,9.66,9.7,9.66,9.7,-1.42
2025-05-08,9.77,9.84,9.77,9.84,-1.01
2025-05-07,9.75,9.94,9.75,9.94,1.12
2025-05-06,9.8,9.9,9.77,9.83,-0.51
2025-05-05,9.96,9.96,9.81,9.88,-1.1
2025-05-04,9.95,9.99,9.95,9.99,0.3
2025-04-30,10.08,10.08,9.91,9.96,-0.7
2025-04-29,9.77,10.03,9.77,10.03,1.31
2025-04-28,9.67,9.9,9.67,9.9,0.41
2025-04-27,9.81,9.97,9.8,9.86,-0.6
2025-04-24,9.84,9.92,9.78,9.92,0.0
2025-04-23,9.9,10.04,9.9,9.92,0.4
2025-04-22,10.08,10.08,9.88,9.88,-0.7
2025-04-21,9.91,10.03,9.91,9.95,0.51
2025-04-20,9.87,9.95,9.86,9.9,0.1
2025-04-17,9.88,10.0,9.88,9.89,-0.2
2025-04-16,9.87,9.91,9.87,9.91,0.0
2025-04-15,9.88,10.0,9.88,9.91,-1.29
2025-04-13,9.71,10.04,9.71,10.04,1.41
2025-04-10,9.93,9.95,9.9,9.9,-0.5
2025-04-09,9.81,10.0,9.81,9.95,1.43
2025-04-08,9.74,9.93,9.74,9.81,-0.61
2025-04-07,9.87,9.87,9.87,9.87,-0.8
2025-04-02,10.08,10.08,9.8,9.95,0.51
2025-04-01,10.0,10.0,9.81,9.9,0.2
2025-03-30,9.71,9.91,9.71,9.88,-0.2
2025-03-27,10.0,10.09,9.75,9.9,0.81
2025-03-26,9.7,9.82,9.7,9.82,2.19
2025-03-25,9.62,9.63,9.56,9.61,-1.13
2025-03-24,9.51,9.85,9.51,9.72,0.52
2025-03-23,9.85,9.86,9.67,9.67,-1.83
2025-03-20,9.81,9.85,9.8,9.85,0.0
2025-03-19,9.96,9.97,9.85,9.85,0.51
2025-03-18,9.98,9.98,9.8,9.8,0.0
2025-03-17,9.75,9.89,9.75,9.8,-1.01
2025-03-16,9.8,9.96,9.8,9.9,0.0
2025-03-12,9.9,9.9,9.85,9.9,0.0
2025-03-11,9.74,9.93,9.74,9.9,1.02
2025-03-10,10.08,10.08,9.76,9.8,-1.01
2025-03-09,10.0,10.0,9.84,9.9,-1.0
2025-03-06,10.1,10.1,9.99,10.0,0.7
2025-03-05,9.68,10.01,9.68,9.93,0.71
2025-03-04,9.68,10.15,9.68,9.86,-0.1
2025-03-03,9.81,10.0,9.81,9.87,-1.4
2025-03-02,9.69,10.01,9.69,10.01,3.09
2025-02-27,9.55,9.74,9.55,9.71,0.62
2025-02-25,9.6,9.65,9.6,9.65,1.05
2025-02-24,9.9,9.9,9.48,9.55,-2.55
2025-02-23,9.6,9.8,9.6,9.8,2.08
2025-02-20,9.67,9.86,9.5,9.6,-2.54
2025-02-18,9.9,9.97,9.76,9.85,-0.3
2025-02-17,9.89,9.89,9.7,9.88,1.54
2025-02-16,9.56,9.73,9.56,9.73,1.25
2025-02-13,9.61,9.69,9.61,9.61,0.52
2025-02-12,9.51,9.72,9.51,9.56,-0.42
2025-02-11,9.58,9.6,9.58,9.6,0.21
2025-02-10,9.48,9.58,9.46,9.58,-0.73
2025-02-09,9.53,9.65,9.48,9.65,0.52
2025-02-06,9.5,9.6,9.5,9.6,-0.93
2025-02-05,9.5,9.69,9.5,9.69,2.0
2025-02-04,9.5,9.5,9.48,9.5,-1.45
2025-02-03,9.63,9.65,9.63,9.64,0.42
2025-02-02,9.59,9.72,9.58,9.6,1.05
2025-01-28,9.5,9.5,9.5,9.5,-1.14
2025-01-27,9.43,9.61,9.43,9.61,0.95
2025-01-26,9.45,9.52,9.45,9.52,-0.42
2025-01-23,9.39,9.56,9.38,9.56,0.0
2025-01-22,9.5,9.56,9.5,9.56,0.74
2025-01-21,9.6,9.68,9.4,9.49,-0.11
2025-01-20,9.49,9.82,9.47,9.5,0.0
2025-01-19,9.79,9.79,9.49,9.5,-1.25
2025-01-16,9.51,9.78,9.51,9.62,-0.82
2025-01-15,9.6,9.7,9.6,9.7,-0.31
2025-01-13,9.71,9.75,9.56,9.73,0.21
2025-01-12,9.32,9.71,9.32,9.71,2.1
2025-01-09,9.51,9.51,9.51,9.51,-0.42
2025-01-08,9.51,9.56,9.51,9.55,-1.55
2025-01-07,9.7,9.7,9.37,9.7,1.89
2025-01-06,9.6,9.79,9.41,9.52,-0.83
2025-01-05,9.6,9.6,9.6,9.6,-1.13
2025-01-02,9.71,9.71,9.37,9.71,2.0
2025-01-01,9.45,9.52,9.35,9.52,0.74
2024-12-31,9.5,9.5,9.4,9.45,-1.36
2024-12-29,9.56,9.75,9.56,9.58,-1.24
2024-12-26,9.52,9.7,9.52,9.7,0.0
2024-12-24,9.7,9.7,9.51,9.7,1.57
2024-12-23,9.45,9.55,9.45,9.55,0.63
2024-12-22,9.25,9.5,9.25,9.49,0.96
2024-12-19,9.48,9.55,9.4,9.4,-2.08
2024-12-18,9.57,9.6,9.55,9.6,-0.93
2024-12-17,9.47,9.69,9.47,9.69,0.31
2024-12-16,9.9,9.9,9.55,9.66,-2.23
2024-12-12,9.7,9.88,9.68,9.88,1.23
2024-12-11,9.7,9.76,9.7,9.76,0.1
2024-12-10,9.76,9.76,9.75,9.75,-0.2
2024-12-09,9.91,9.95,9.77,9.77,0.51
2024-12-08,9.9,9.99,9.71,9.72,-1.52
2024-12-05,9.8,9.87,9.78,9.87,-0.9
2024-12-04,9.99,10.0,9.81,9.96,-0.4
2024-12-03,9.66,10.04,9.66,10.0,1.52
2024-12-02,9.72,9.91,9.72,9.85,0.51
2024-12-01,9.8,9.82,9.76,9.8,-0.1
2024-11-28,10.0,10.0,9.79,9.81,-2.87
2024-11-27,9.8,10.1,9.79,10.1,1.3
2024-11-26,9.83,10.06,9.83,9.97,-0.3
2024-11-25,9.81,10.03,9.81,10.0,1.83
2024-11-24,9.74,9.96,9.72,9.82,0.0
2024-11-21,9.79,9.85,9.76,9.82,0.82
2024-11-20,9.67,9.74,9.67,9.74,-1.02
2024-11-19,9.75,9.84,9.75,9.84,-0.91
2024-11-17,9.93,9.93,9.74,9.93,1.33
2024-11-14,9.52,9.8,9.52,9.8,1.14
2024-11-13,9.95,10.14,9.6,9.69,-0.72
2024-11-12,10.12,10.12,9.76,9.76,-1.71
2024-11-11,10.26,10.3,9.93,9.93,-1.29
2024-11-10,9.98,10.09,9.88,10.06,2.76
2024-11-06,9.64,9.84,9.6,9.79,3.49
2024-11-05,9.54,9.54,9.46,9.46,-1.56
