date,open,high,low,close,volume
2026-06-08,377.10,409.00,376.20,396.10,"14,529,582.90"
2026-06-05,377.1,409.00,376.2,396.10,2.62
2026-06-04,390.0,396.00,383.3,386.00,-1.03
2026-06-03,400.0,400.00,386.4,390.00,-1.02
2026-06-02,366.0,397.00,366.0,394.00,6.49
2026-06-01,376.0,383.00,365.0,370.00,-1.99
2026-05-27,379.9,383.00,375.0,377.50,-0.13
2026-05-26,378.0,378.00,375.0,378.00,-0.26
2026-05-25,371.0,380.50,367.3,379.00,2.43
2026-05-22,367.1,375.00,366.0,370.00,-0.83
2026-05-21,379.0,379.00,373.0,373.10,-0.48
2026-05-20,375.0,375.00,370.0,374.90,0.81
2026-05-19,367.0,372.00,365.0,371.90,1.53
2026-05-18,367.0,367.00,365.0,366.30,-0.19
2026-05-15,364.9,367.40,363.0,367.00,1.05
2026-05-14,371.0,371.00,363.1,363.20,-2.1
2026-05-13,378.0,383.90,367.0,371.00,-2.37
2026-05-12,390.0,390.00,378.3,380.00,-1.3
2026-05-11,384.9,390.00,380.0,385.00,1.58
2026-05-08,380.0,380.70,373.2,379.00,0.34
2026-05-07,377.0,378.00,373.0,377.70,-0.34
2026-05-06,384.0,384.00,378.0,379.00,0.26
2026-05-05,372.0,379.90,371.1,378.00,1.07
2026-05-04,380.0,382.00,373.0,374.00,-1.58
2026-04-30,375.1,383.00,373.0,380.00,-0.13
2026-04-29,397.3,397.30,377.0,380.50,0.13
2026-04-28,383.1,390.00,380.0,380.00,-0.81
2026-04-27,385.0,390.00,378.3,383.10,-0.49
2026-04-24,368.3,387.00,368.3,385.00,0.39
2026-04-23,390.0,392.50,382.0,383.50,-1.67
2026-04-22,375.0,393.40,374.0,390.00,2.09
2026-04-21,396.9,396.90,381.1,382.00,-2.55
2026-04-20,390.0,400.00,387.9,392.00,0.98
2026-04-17,392.9,393.40,385.0,388.20,0.44
2026-04-16,395.0,395.00,383.1,386.50,-3.13
2026-04-15,404.0,404.00,396.0,399.00,0.5
2026-04-13,395.0,410.90,395.0,397.00,0.0
2026-04-10,409.0,409.00,396.0,397.00,-1.68
2026-04-09,395.0,404.80,388.1,403.80,1.97
2026-04-08,394.5,398.80,393.0,396.00,0.76
2026-04-07,398.0,400.00,392.0,393.00,-1.23
2026-04-06,374.3,398.70,374.3,397.90,4.19
2026-04-05,385.0,390.00,377.3,381.90,-2.75
2026-04-02,400.0,400.00,385.0,392.70,-1.8
2026-04-01,403.0,411.00,392.1,399.90,-2.7
2026-03-31,412.9,414.90,398.7,411.00,1.03
2026-03-30,423.3,423.30,399.0,406.80,-1.98
2026-03-29,430.0,430.00,409.8,415.00,-3.49
2026-03-26,425.1,430.90,424.1,430.00,0.23
2026-03-25,439.0,442.00,428.0,429.00,-2.5
2026-03-24,441.6,450.40,435.0,440.00,1.62
2026-03-23,445.0,450.00,430.4,433.00,-1.37
2026-03-22,426.0,441.00,419.0,439.00,4.28
2026-03-19,414.5,422.00,411.0,421.00,2.68
2026-03-17,407.0,410.00,401.0,410.00,0.74
2026-03-16,410.0,414.00,402.0,407.00,-0.49
2026-03-15,415.0,420.00,408.0,409.00,-1.33
2026-03-12,409.8,415.00,404.0,414.50,1.15
2026-03-11,420.0,420.90,407.0,409.80,-2.2
