date,open,high,low,close,volume
2026-06-08,322.00,322.00,313.50,314.30,"35,963,814.20"
2026-06-05,322.0,322.0,313.5,314.3,-0.54
2026-06-04,315.0,320.5,315.0,316.0,-0.32
2026-06-03,315.1,320.0,315.1,317.0,0.32
2026-06-02,318.0,318.0,313.4,316.0,0.0
2026-06-01,323.0,323.0,313.4,316.0,-2.11
2026-05-27,320.9,325.4,320.0,322.8,0.59
2026-05-26,326.9,326.9,319.2,320.9,-0.9
2026-05-25,315.0,325.0,315.0,323.8,1.82
2026-05-22,313.0,319.5,313.0,318.0,1.27
2026-05-21,317.0,322.8,313.1,314.0,-0.95
2026-05-20,308.5,317.0,308.5,317.0,1.96
2026-05-19,308.1,313.5,308.0,310.9,0.0
2026-05-18,309.0,314.5,309.0,310.9,0.23
2026-05-15,310.0,312.5,308.0,310.2,0.39
2026-05-14,311.8,315.9,307.8,309.0,-0.9
2026-05-13,310.0,312.0,306.0,311.8,-0.06
2026-05-12,317.1,318.0,309.5,312.0,-1.64
2026-05-11,316.0,318.9,313.0,317.2,1.7
2026-05-08,306.0,312.0,304.0,311.9,2.53
2026-05-07,300.1,306.0,300.1,304.2,-0.1
2026-05-06,305.0,307.0,299.3,304.5,-0.16
2026-05-05,303.0,308.0,298.6,305.0,0.96
2026-05-04,307.0,308.0,301.3,302.1,-1.6
2026-04-30,303.0,309.0,302.0,307.0,0.0
2026-04-29,311.0,315.0,305.0,307.0,-1.29
2026-04-28,317.5,319.9,311.0,311.0,-2.05
2026-04-27,314.0,319.0,312.0,317.5,1.11
2026-04-24,314.0,316.8,310.5,314.0,-0.92
2026-04-23,323.7,323.7,313.1,316.9,-0.66
2026-04-22,315.1,324.0,310.1,319.0,0.5
2026-04-21,326.0,326.0,316.1,317.4,-1.55
2026-04-20,309.0,329.0,309.0,322.4,-0.86
2026-04-17,322.1,328.5,321.1,325.2,0.03
2026-04-16,337.4,337.4,325.0,325.1,-2.64
2026-04-15,334.0,338.2,331.2,333.9,1.49
2026-04-13,325.1,333.0,325.1,329.0,0.0
2026-04-10,336.9,336.9,327.0,329.0,-0.6
2026-04-09,325.0,336.0,320.0,331.0,2.76
2026-04-08,307.8,324.9,307.8,322.1,2.58
2026-04-07,316.9,321.0,311.1,314.0,0.0
2026-04-06,297.0,319.0,297.0,314.0,5.62
2026-04-05,322.2,322.2,297.0,297.3,-5.89
2026-04-02,311.0,321.3,308.1,315.9,0.29
2026-04-01,329.0,333.0,311.0,315.0,-4.26
2026-03-31,328.0,331.5,318.0,329.0,0.58
2026-03-30,334.5,338.0,326.0,327.1,-2.21
2026-03-29,354.8,354.8,333.3,334.5,-3.88
2026-03-26,345.0,349.9,340.1,348.0,0.29
2026-03-25,355.9,361.0,345.1,347.0,-2.01
2026-03-24,348.0,358.5,336.0,354.1,2.88
2026-03-23,330.2,346.9,330.2,344.2,2.75
2026-03-22,345.0,345.0,329.1,335.0,-1.09
2026-03-19,344.7,347.0,337.0,338.7,0.21
