date,open,high,low,close,volume
2026-06-08,416.00,419.30,414.20,417.00,"6,990,059.30"
2026-06-05,416.0,419.3,414.2,417.0,0.24
2026-06-04,415.1,417.1,415.0,416.0,-0.72
2026-06-03,432.0,432.0,414.0,419.0,0.31
2026-06-02,415.0,417.8,412.0,417.7,0.89
2026-06-01,410.0,419.0,410.0,414.0,-0.96
2026-05-27,419.0,419.1,415.1,418.0,0.36
2026-05-26,418.0,418.0,412.2,416.5,0.36
2026-05-25,414.9,415.9,412.5,415.0,0.73
2026-05-22,412.0,413.0,406.1,412.0,-0.22
2026-05-21,411.0,414.8,411.0,412.9,0.29
2026-05-20,408.3,413.0,408.3,411.7,0.83
2026-05-19,409.0,411.0,407.6,408.3,-0.17
2026-05-18,406.0,409.9,405.0,409.0,0.17
2026-05-15,430.5,430.5,401.1,408.3,-0.41
2026-05-14,410.5,410.5,405.0,410.0,-0.12
2026-05-13,411.5,411.5,407.0,410.5,-0.24
2026-05-12,412.0,414.0,410.0,411.5,-0.48
2026-05-11,414.8,414.8,408.0,413.5,0.95
2026-05-08,408.0,410.0,405.0,409.6,0.44
2026-05-07,401.1,407.8,401.1,407.8,0.44
2026-05-06,410.0,415.0,401.5,406.0,0.0
2026-05-05,400.1,406.0,398.0,406.0,0.87
2026-05-04,400.1,409.5,400.0,402.5,-0.62
2026-04-30,400.0,407.0,400.0,405.0,0.9
2026-04-29,401.8,405.0,400.1,401.4,-0.1
2026-04-28,404.0,409.0,401.2,401.8,-0.54
2026-04-27,402.1,407.0,402.0,404.0,0.47
2026-04-24,427.4,427.4,396.0,402.1,-1.23
2026-04-23,411.0,411.0,403.0,407.1,-1.05
2026-04-22,427.3,427.3,396.0,411.4,1.08
2026-04-21,410.0,419.0,407.0,407.0,-0.76
2026-04-20,408.2,415.0,408.1,410.1,-1.18
2026-04-17,418.8,418.8,409.1,415.0,-0.17
2026-04-16,420.0,420.0,412.0,415.7,-1.02
2026-04-15,409.0,422.5,409.0,420.0,1.69
2026-04-13,408.0,415.0,408.0,413.0,0.0
2026-04-10,419.0,419.9,410.0,413.0,-1.43
2026-04-09,412.0,420.0,411.3,419.0,1.35
2026-04-08,407.0,414.5,406.2,413.4,1.57
2026-04-07,412.0,414.6,403.3,407.0,-0.73
2026-04-06,405.0,413.0,400.0,410.0,2.76
2026-04-05,418.0,418.0,398.0,399.0,-2.68
2026-04-02,408.0,413.0,402.0,410.0,0.47
2026-04-01,415.1,420.0,406.9,408.1,-3.09
2026-03-31,410.0,426.5,410.0,421.1,0.74
2026-03-30,427.0,430.0,415.5,418.0,-2.11
2026-03-29,440.0,440.0,427.0,427.0,-2.95
2026-03-26,429.7,440.0,429.7,440.0,0.36
2026-03-25,447.0,447.0,438.0,438.4,-2.36
2026-03-24,437.0,449.0,435.8,449.0,2.07
2026-03-23,439.0,444.0,433.0,439.9,-0.9
2026-03-22,441.6,449.7,437.0,443.9,2.52
2026-03-19,422.0,438.5,421.4,433.0,2.36
2026-03-17,424.0,429.9,417.0,423.0,-0.49
2026-03-16,444.2,444.2,424.0,425.1,-2.39
2026-03-15,425.8,437.0,422.0,435.5,2.3
2026-03-12,415.0,426.0,415.0,425.7,1.84
