date,open,high,low,close,volume
2026-06-08,680.00,715.00,667.50,673.00,"63,255,626.50"
2026-06-05,680.00,715.00,667.50,673.00,-0.68
2026-06-04,675.10,679.00,670.00,677.60,0.37
2026-06-03,636.50,685.00,636.50,675.10,0.76
2026-06-02,674.80,710.00,663.50,670.00,-0.16
2026-06-01,686.00,686.00,668.00,671.10,-2.03
2026-05-27,695.00,695.00,684.50,685.00,-0.58
2026-05-26,692.00,693.00,686.10,689.00,-0.58
2026-05-25,684.00,695.00,684.00,693.00,0.89
2026-05-22,680.40,688.00,677.60,686.90,0.96
2026-05-21,708.00,708.00,680.40,680.40,-1.1
2026-05-20,677.00,688.00,676.00,688.00,1.78
2026-05-19,679.50,680.00,673.00,676.00,-0.12
2026-05-18,684.90,684.90,673.80,676.80,0.42
2026-05-15,684.00,684.00,673.10,674.00,-0.15
2026-05-14,685.00,685.00,672.00,675.00,-0.3
2026-05-13,667.00,680.00,667.00,677.00,0.0
2026-05-12,697.00,697.00,675.30,677.00,-2.17
2026-05-11,680.00,695.00,678.00,692.00,2.25
2026-05-08,666.90,676.90,660.00,676.80,1.48
2026-05-07,662.00,669.80,662.00,666.90,0.74
2026-05-06,670.00,670.00,658.50,662.00,0.3
2026-05-05,660.00,665.00,651.30,660.00,0.61
2026-05-04,670.00,670.00,655.00,656.00,-1.23
2026-04-30,658.00,668.00,650.10,664.20,0.94
2026-04-29,666.00,672.00,656.00,658.00,-1.2
2026-04-28,672.00,679.00,665.10,666.00,-0.89
2026-04-27,669.70,679.90,661.30,672.00,0.34
2026-04-24,665.00,680.00,656.10,669.70,-0.49
2026-04-23,700.00,700.00,670.00,673.00,-1.03
2026-04-22,680.00,690.00,666.40,680.00,0.0
2026-04-21,697.90,697.90,678.00,680.00,-0.29
2026-04-20,700.00,700.00,680.10,682.00,-1.87
2026-04-17,678.00,701.00,678.00,695.00,0.7
2026-04-16,708.00,711.00,690.20,690.20,-2.51
2026-04-15,688.00,718.00,688.00,708.00,2.91
2026-04-13,687.50,692.90,683.20,688.00,0.44
2026-04-10,695.00,700.00,682.10,685.00,-1.44
2026-04-09,700.00,700.00,688.10,695.00,0.29
2026-04-08,678.60,696.00,666.00,693.00,4.16
2026-04-07,675.00,679.00,661.00,665.30,-0.11
2026-04-06,644.00,674.90,642.00,666.00,3.1
2026-04-05,661.50,665.00,643.00,646.00,-4.3
2026-04-02,661.00,682.00,660.00,675.00,0.9
2026-04-01,685.00,690.90,660.00,669.00,-2.34
2026-03-31,680.00,693.00,670.20,685.00,1.33
2026-03-30,689.00,697.50,675.10,676.00,-1.89
2026-03-29,710.00,714.00,688.00,689.00,-2.41
2026-03-26,698.00,708.90,691.00,706.00,1.15
2026-03-25,710.00,713.00,695.90,698.00,-1.69
2026-03-24,720.00,730.00,708.00,710.00,-1.39
2026-03-23,700.00,724.80,687.00,720.00,3.15
2026-03-22,675.00,709.00,675.00,698.00,3.88
2026-03-19,654.80,672.00,654.80,671.90,3.21
2026-03-17,650.00,655.00,645.00,651.00,-0.15
2026-03-16,655.00,666.00,652.00,652.00,-1.5
2026-03-15,661.00,669.00,655.00,661.90,0.44
2026-03-12,655.00,665.00,646.50,659.00,0.61
2026-03-11,676.00,676.00,655.00,655.00,-2.24
2026-03-10,680.00,680.00,647.10,670.00,-0.74
2026-03-09,644.60,695.20,644.60,675.00,6.8
2026-03-03,620.00,634.20,611.10,632.00,1.53
2026-03-01,606.00,624.00,606.00,622.50,0.89
2026-02-26,620.00,620.00,611.00,617.00,0.0
2026-02-25,611.80,618.00,608.30,617.00,0.85
2026-02-24,609.00,612.00,598.00,611.80,1.12
2026-02-23,598.10,607.90,598.00,605.00,0.52
2026-02-22,604.00,607.00,598.00,601.90,-0.35
2026-02-17,612.00,614.50,604.00,604.00,-1.15
2026-02-16,616.10,620.00,610.20,611.00,-0.16
2026-02-12,610.10,615.90,610.00,612.00,0.49
2026-02-11,614.00,625.00,607.30,609.00,-0.16
2026-02-10,610.00,618.50,607.00,610.00,-0.73
2026-02-09,617.00,625.00,612.00,614.50,-1.21
2026-02-08,624.70,628.00,615.30,622.00,1.12
2026-02-05,610.00,619.00,606.10,615.10,1.0
2026-02-04,597.00,620.00,597.00,609.00,0.0
2026-02-03,616.00,619.00,607.00,609.00,-0.56
2026-02-02,599.80,618.20,599.80,612.40,0.07
2026-02-01,623.00,623.00,610.00,612.00,-1.11
2026-01-29,624.00,628.30,616.10,618.90,-0.58
2026-01-28,629.00,629.00,615.00,622.50,0.23
2026-01-27,632.20,640.00,620.00,621.10,-1.74
2026-01-26,650.00,650.00,630.10,632.10,-1.7
2026-01-25,627.00,648.00,626.00,643.00,2.88
2026-01-22,621.50,627.00,615.00,625.00,0.71
2026-01-21,630.00,636.00,620.00,620.60,-1.43
2026-01-20,636.40,637.70,625.00,629.60,0.9
2026-01-18,622.90,632.00,616.00,624.00,1.46
