date,open,high,low,close,volume
2026-06-08,645.10,660.00,644.00,656.60,"25,110,023.10"
2026-06-05,645.10,660.00,644.00,656.60,1.33
2026-06-04,675.00,675.00,648.00,648.00,-1.46
2026-06-03,639.50,668.00,638.00,657.60,2.83
2026-06-02,639.90,643.80,620.10,639.50,0.63
2026-06-01,635.00,641.00,623.10,635.50,2.52
2026-05-27,609.10,624.90,609.10,619.90,0.78
2026-05-26,622.00,622.00,611.59,615.10,-1.11
2026-05-25,624.00,624.00,613.00,622.00,0.68
2026-05-22,620.00,621.00,608.10,617.80,0.18
2026-05-21,607.00,616.90,607.00,616.70,0.19
2026-05-20,611.00,616.00,610.20,615.50,0.21
2026-05-19,614.80,617.00,606.00,614.20,-0.1
2026-05-18,611.00,614.80,603.10,614.80,-0.03
2026-05-15,622.90,622.90,609.00,615.00,0.49
2026-05-14,625.00,633.30,610.00,612.00,-0.65
2026-05-13,614.00,616.00,608.00,616.00,0.16
2026-05-12,625.50,625.50,608.00,615.00,0.0
2026-05-11,615.00,619.90,610.00,615.00,0.62
2026-05-08,620.00,620.00,610.00,611.20,0.34
2026-05-07,612.00,612.00,608.20,609.10,-0.47
2026-05-06,615.00,615.00,608.10,612.00,0.25
2026-05-05,604.00,615.00,604.00,610.50,0.33
2026-05-04,614.90,615.00,605.00,608.50,-1.04
2026-04-30,616.00,616.00,605.20,614.90,-0.18
2026-04-29,618.10,620.10,615.30,616.00,-0.34
2026-04-28,620.00,622.00,618.00,618.10,-0.31
2026-04-27,653.10,653.10,617.10,620.00,-0.32
2026-04-24,630.00,630.00,618.00,622.00,-0.4
2026-04-23,625.00,626.90,619.00,624.50,-0.16
2026-04-22,657.30,657.30,619.00,625.50,-0.08
2026-04-21,645.00,647.80,625.10,626.00,-0.48
2026-04-20,662.50,662.50,627.00,629.00,-0.32
2026-04-17,630.00,635.00,625.00,631.00,0.16
2026-04-16,625.10,637.00,624.00,630.00,-0.32
2026-04-15,640.00,640.00,630.00,632.00,-0.32
2026-04-13,640.00,640.00,629.00,634.00,-0.83
2026-04-10,640.00,640.00,628.20,639.30,1.16
2026-04-09,628.00,638.00,627.40,632.00,0.3
2026-04-08,625.00,638.00,625.00,630.10,0.02
2026-04-07,630.00,638.00,624.00,630.00,-0.63
2026-04-06,623.50,634.00,615.00,634.00,1.77
2026-04-05,635.00,637.00,614.50,623.00,-2.2
2026-04-02,637.00,640.40,630.50,637.00,-0.31
2026-04-01,646.00,650.00,636.00,639.00,-2.43
2026-03-31,651.00,660.00,640.00,654.90,0.75
2026-03-30,651.00,663.00,646.00,650.00,-1.96
2026-03-29,674.00,684.80,662.00,663.00,-1.65
2026-03-26,680.00,680.00,669.00,674.10,-0.35
2026-03-25,690.00,690.00,672.00,676.50,-0.5
2026-03-24,683.00,690.00,671.10,679.90,-0.45
2026-03-23,675.10,686.00,675.00,683.00,0.0
2026-03-22,675.00,688.40,666.00,683.00,2.71
2026-03-19,670.20,679.00,658.00,665.00,1.2
2026-03-17,669.00,669.00,650.10,657.10,-0.82
2026-03-16,670.10,679.40,662.00,662.50,-1.71
2026-03-15,667.00,677.00,665.50,674.00,1.35
2026-03-12,664.00,670.00,659.10,665.00,0.15
2026-03-11,674.00,680.00,663.00,664.00,-1.48
2026-03-10,677.90,689.00,650.00,674.00,1.4
2026-03-09,649.90,664.70,649.90,664.70,4.02
2026-03-03,639.90,640.00,630.00,639.00,1.43
2026-03-01,626.10,633.00,625.00,630.00,0.64
2026-02-26,619.00,631.10,619.00,626.00,1.21
2026-02-25,628.30,642.00,615.20,618.50,0.41
2026-02-24,612.00,617.90,611.20,616.00,0.79
