date,open,high,low,close,volume
2026-06-08,550.00,587.00,550.00,572.60,"48,302,658.00"
2026-06-05,550.0,587.0,550.0,572.6,2.25
2026-06-04,550.0,580.0,550.0,560.0,-1.06
2026-06-03,550.0,577.0,550.0,566.0,-1.39
2026-06-02,542.0,583.0,521.0,574.0,7.31
2026-06-01,543.0,543.0,522.1,534.9,-1.49
2026-05-27,548.0,548.0,533.0,543.0,-0.71
2026-05-26,545.0,550.0,538.7,546.9,0.35
2026-05-25,540.0,548.0,535.3,545.0,0.74
2026-05-22,536.0,542.5,530.0,541.0,0.56
2026-05-21,526.1,544.6,526.1,538.0,-0.55
2026-05-20,527.5,542.0,527.4,541.0,1.69
2026-05-19,506.4,537.1,506.4,532.0,-0.19
2026-05-18,530.0,533.0,526.3,533.0,0.4
2026-05-15,534.0,536.0,523.1,530.9,1.12
2026-05-14,525.1,528.5,522.2,525.0,-1.5
2026-05-13,522.5,535.0,521.1,533.0,-0.74
2026-05-12,540.0,540.0,525.0,537.0,-1.29
2026-05-11,540.0,544.7,535.0,544.0,1.68
2026-05-08,521.0,535.0,521.0,535.0,3.4
2026-05-07,520.0,523.0,517.1,517.4,-0.5
2026-05-06,538.6,538.6,520.0,520.0,-0.57
2026-05-05,525.0,539.0,522.1,523.0,-2.06
2026-05-04,537.0,537.0,525.0,534.0,0.75
2026-04-30,530.0,540.0,528.0,530.0,-2.39
2026-04-29,548.5,547.0,535.6,543.0,-1.0
2026-04-28,546.3,555.0,545.0,548.5,0.4
2026-04-27,550.0,563.0,546.2,546.3,-0.67
2026-04-24,537.0,552.0,536.0,550.0,0.92
2026-04-23,598.5,598.5,541.0,545.0,-4.39
2026-04-22,541.0,603.0,537.0,570.0,3.09
2026-04-21,581.7,581.7,546.0,552.9,-0.2
2026-04-20,555.0,570.0,542.0,554.0,-0.02
2026-04-17,545.7,555.0,536.0,554.1,-0.38
2026-04-16,565.0,565.0,545.6,556.2,-1.35
2026-04-15,564.8,578.0,551.2,563.8,1.4
2026-04-13,556.1,556.2,545.3,556.0,-1.58
2026-04-10,562.0,569.8,550.1,564.9,0.04
2026-04-09,555.0,567.0,555.0,564.7,1.02
2026-04-08,564.0,564.0,545.0,559.0,0.54
2026-04-07,562.0,562.0,535.0,556.0,-0.71
2026-04-06,530.0,566.0,530.0,560.0,4.69
2026-04-05,550.1,561.0,518.6,534.9,-4.65
2026-04-02,550.1,570.6,538.4,561.0,0.27
2026-04-01,575.0,578.2,555.1,559.5,-4.36
2026-03-31,571.5,587.0,570.1,585.0,1.05
2026-03-30,584.0,590.0,572.0,578.9,-2.31
2026-03-29,600.0,613.0,585.0,592.6,-2.03
2026-03-26,610.0,610.0,598.4,604.9,0.25
2026-03-25,610.0,621.0,602.0,603.4,-2.63
2026-03-24,610.0,622.9,609.0,619.7,0.76
2026-03-23,625.0,632.8,607.6,615.0,-1.52
2026-03-22,601.8,634.0,601.8,624.5,1.71
2026-03-19,600.0,614.0,592.0,614.0,2.59
2026-03-17,590.5,605.0,590.5,598.5,-0.25
2026-03-16,601.0,613.0,597.4,600.0,-0.5
2026-03-15,615.0,616.9,595.3,603.0,-0.33
2026-03-12,594.1,614.0,594.1,605.0,0.02
2026-03-11,608.1,628.9,600.0,604.9,-2.44
2026-03-10,641.5,641.5,604.8,620.0,-3.35
2026-03-09,616.7,641.5,616.7,641.5,6.09
2026-03-03,588.0,610.0,588.0,604.7,0.78
2026-03-01,573.3,602.5,573.3,600.0,2.58
2026-02-26,573.3,589.0,573.3,584.9,-0.02
2026-02-25,585.0,589.8,582.0,585.0,1.92
