date,open,high,low,close,volume
2026-06-08,817.00,835.00,817.00,830.00,"5,392,224.70"
2026-06-05,817.00,835.00,817.00,830.00,0.0
2026-06-04,820.20,834.00,820.20,830.00,-0.24
2026-06-03,828.90,833.00,817.00,832.00,1.24
2026-06-02,817.00,827.00,816.00,821.80,0.71
2026-06-01,830.00,835.00,815.00,816.00,-2.15
2026-05-27,826.90,834.50,823.10,833.90,0.85
2026-05-26,838.00,838.00,823.00,826.90,-0.55
2026-05-25,825.00,836.40,821.10,831.50,1.07
2026-05-22,820.00,822.70,817.20,822.70,0.67
2026-05-21,822.00,823.00,815.00,817.20,-0.34
2026-05-20,816.10,826.00,816.10,820.00,-0.47
2026-05-19,828.00,828.00,815.10,823.90,0.5
2026-05-18,815.00,824.90,814.00,819.80,0.34
2026-05-15,816.60,825.00,816.00,817.00,0.11
2026-05-14,817.10,830.00,816.00,816.10,-0.44
2026-05-13,825.00,836.90,819.00,819.70,-0.64
2026-05-12,832.90,837.00,823.00,825.00,-0.95
2026-05-11,822.00,836.50,820.00,832.90,1.33
2026-05-08,825.90,825.90,815.00,822.00,0.61
2026-05-07,815.00,822.90,815.00,817.00,-0.23
2026-05-06,810.00,819.00,809.00,818.90,0.66
2026-05-05,801.20,820.00,801.10,813.50,0.43
2026-05-04,850.00,850.00,808.10,810.00,0.0
2026-04-30,816.00,818.00,805.00,810.00,-0.61
2026-04-29,813.90,818.00,810.00,815.00,0.14
2026-04-28,813.20,818.90,810.50,813.90,0.09
2026-04-27,845.00,845.00,808.00,813.20,0.4
2026-04-24,861.00,861.00,806.00,810.00,-1.22
2026-04-23,815.00,825.00,805.50,820.00,-0.27
2026-04-22,810.50,827.50,810.00,822.20,0.21
2026-04-21,826.00,832.00,815.00,820.50,-0.67
2026-04-20,829.00,849.00,824.00,826.00,-0.36
2026-04-17,830.00,830.00,823.00,829.00,-0.83
2026-04-16,827.00,838.00,826.40,835.90,-0.49
2026-04-15,848.00,848.00,834.00,840.00,0.94
2026-04-13,816.30,847.00,816.30,832.20,0.14
2026-04-10,830.00,840.00,825.10,831.00,-1.07
2026-04-09,829.00,842.90,822.00,840.00,1.22
2026-04-08,822.00,832.50,818.00,829.90,1.06
