date,open,high,low,close,volume
2026-06-08,"1,230.00","1,239.00","1,191.00","1,209.00","709,347.00"
2026-06-05,"1,230.00","1,239.00","1,191.00","1,209.00",0.17
2026-06-04,"1,182.00","1,210.00","1,182.00","1,207.00",-0.41
2026-06-03,"1,219.00","1,225.00","1,188.30","1,212.00",0.58
2026-06-02,"1,216.00","1,216.00","1,182.10","1,205.00",1.68
2026-06-01,"1,182.10","1,213.00","1,182.10","1,185.10",-2.58
2026-05-27,"1,210.00","1,218.00","1,201.00","1,216.50",0.54
2026-05-26,"1,208.00","1,210.00","1,200.00","1,210.00",0.17
2026-05-25,"1,180.00","1,208.00","1,180.00","1,208.00",2.37
2026-05-22,"1,204.90","1,204.90","1,180.00","1,180.00",-0.51
2026-05-21,"1,208.00","1,208.00","1,185.00","1,186.00",-1.9
2026-05-20,"1,192.00","1,209.00","1,192.00","1,209.00",0.83
2026-05-19,"1,200.00","1,214.30","1,164.00","1,199.00",-0.08
2026-05-18,"1,218.00","1,218.00","1,190.10","1,200.00",-1.48
2026-05-15,"1,225.00","1,230.00","1,187.30","1,218.00",-0.98
2026-05-14,"1,200.00","1,230.00","1,191.40","1,230.00",2.5
2026-05-13,"1,215.00","1,215.00","1,179.00","1,200.00",-2.6
2026-05-12,"1,240.00","1,240.00","1,198.90","1,232.00",-1.99
2026-05-11,"1,210.00","1,258.00","1,205.00","1,257.00",5.81
2026-05-08,"1,190.00","1,205.00","1,188.00","1,188.00",-0.83
2026-05-07,"1,190.00","1,198.00","1,170.00","1,198.00",0.67
2026-05-06,"1,201.00","1,201.00","1,170.00","1,190.00",-0.92
2026-05-05,"1,171.00","1,205.00","1,170.00","1,201.00",-0.25
2026-05-04,"1,217.00","1,217.00","1,185.10","1,204.00",-1.07
2026-04-30,"1,220.00","1,229.00","1,200.00","1,217.00",-0.25
2026-04-29,"1,231.90","1,220.00","1,195.00","1,220.00",-0.97
2026-04-28,"1,235.10","1,235.00","1,200.80","1,231.90",-0.26
2026-04-27,"1,273.00","1,284.00","1,235.10","1,235.10",-2.98
2026-04-24,"1,250.00","1,273.20","1,228.00","1,273.00",1.84
2026-04-23,"1,202.70","1,277.30","1,202.70","1,250.00",-1.26
2026-04-22,"1,252.10","1,287.50","1,250.00","1,266.00",-1.4
2026-04-21,"1,252.00","1,319.00","1,252.00","1,284.00",-0.08
2026-04-20,"1,318.00","1,318.00","1,278.50","1,285.00",-2.64
2026-04-17,"1,265.00","1,319.80","1,250.20","1,319.80",2.3
2026-04-16,"1,336.00","1,336.00","1,270.00","1,290.10",-2.18
2026-04-15,"1,340.00","1,340.00","1,291.00","1,318.90",-0.3
2026-04-13,"1,348.00","1,348.00","1,253.00","1,322.90",-0.01
2026-04-10,"1,327.10","1,379.00","1,300.00","1,323.00",-2.29
2026-04-09,"1,325.00","1,363.70","1,311.40","1,354.00",1.27
2026-04-08,"1,295.00","1,340.00","1,295.00","1,337.00",1.21
2026-04-07,"1,365.00","1,365.00","1,320.00","1,321.00",-1.71
2026-04-06,"1,298.50","1,350.00","1,298.50","1,344.00",1.43
2026-04-05,"1,408.80","1,408.80","1,299.60","1,325.00",-4.26
2026-04-02,"1,389.20","1,389.20","1,317.80","1,384.00",1.62
2026-04-01,"1,405.00","1,405.00","1,330.00","1,362.00",-2.31
2026-03-31,"1,410.00","1,410.00","1,327.30","1,394.20",-0.15
2026-03-30,"1,384.50","1,410.00","1,350.10","1,396.30",2.87
2026-03-29,"1,441.20","1,441.20","1,357.40","1,357.40",-3.93
2026-03-26,"1,386.00","1,413.00","1,280.00","1,413.00",0.93
2026-03-25,"1,409.00","1,409.00","1,381.10","1,400.00",-0.64
2026-03-24,"1,405.00","1,420.00","1,399.00","1,409.00",0.07
2026-03-23,"1,426.00","1,426.00","1,390.00","1,408.00",-1.19
2026-03-22,"1,369.90","1,430.00","1,369.90","1,425.00",4.02
2026-03-19,"1,344.00","1,369.90","1,332.50","1,369.90",1.87
2026-03-17,"1,331.10","1,344.80","1,318.00","1,344.80",-0.16
2026-03-16,"1,357.00","1,357.00","1,336.00","1,346.90",-0.74
2026-03-15,"1,354.00","1,359.80","1,331.00","1,357.00",0.15
2026-03-12,"1,350.00","1,368.00","1,342.00","1,354.90",-0.52
2026-03-11,"1,358.00","1,384.00","1,350.00","1,362.00",-1.66
2026-03-10,"1,362.90","1,390.00","1,337.00","1,385.00",3.65
2026-03-09,"1,336.20","1,336.20","1,336.20","1,336.20",2.0
2026-03-03,"1,288.00","1,313.30","1,288.00","1,310.00",0.85
2026-03-01,"1,307.90","1,310.00","1,285.00","1,299.00",0.46
2026-02-26,"1,316.50","1,316.50","1,278.00","1,293.10",-0.22
2026-02-25,"1,303.90","1,314.50","1,290.00","1,296.00",-0.61
2026-02-24,"1,300.00","1,305.00","1,290.00","1,303.90",0.3
2026-02-23,"1,290.00","1,301.90","1,280.00","1,300.00",0.78
2026-02-22,"1,319.00","1,319.00","1,285.00","1,290.00",-1.83
2026-02-17,"1,300.00","1,314.00","1,283.00","1,314.00",0.39
2026-02-16,"1,290.00","1,308.90","1,285.00","1,308.90",-0.01
2026-02-12,"1,290.30","1,310.00","1,280.00","1,309.00",1.46
