date,open,high,low,close,volume
2026-06-08,10.15,10.15,9.89,10.00,"11,523.00"
2026-06-05,10.15,10.15,9.89,10.0,-1.48
2026-06-04,9.91,10.3,9.91,10.15,1.5
2026-06-03,10.0,10.01,10.0,10.0,0.0
2026-06-02,9.75,10.09,9.75,10.0,0.0
2026-06-01,10.2,10.2,9.9,10.0,-1.67
2026-05-27,10.05,10.19,10.05,10.17,1.19
2026-05-26,10.01,10.1,9.88,10.05,0.4
2026-05-25,10.3,10.3,10.01,10.01,0.1
2026-05-22,10.0,10.1,10.0,10.0,-1.28
2026-05-21,9.84,10.14,9.84,10.13,1.81
2026-05-20,9.8,9.95,9.8,9.95,-0.1
2026-05-19,9.82,10.0,9.82,9.96,0.1
2026-05-18,9.9,9.99,9.84,9.95,-1.39
2026-05-15,9.9,10.09,9.9,10.09,1.71
2026-05-14,9.92,9.92,9.92,9.92,-0.7
2026-05-13,9.7,9.99,9.7,9.99,-0.1
2026-05-12,9.8,10.0,9.8,10.0,0.5
2026-05-11,9.65,9.99,9.65,9.95,0.51
2026-05-08,9.62,9.9,9.62,9.9,2.91
2026-05-07,9.59,9.62,9.59,9.62,-2.63
2026-05-06,9.46,9.88,9.46,9.88,1.33
2026-05-05,9.72,9.75,9.65,9.75,0.31
2026-05-04,9.55,9.84,9.42,9.72,0.21
2026-04-30,9.53,9.8,9.53,9.7,-1.02
2026-04-29,9.75,9.9,9.51,9.8,0.51
2026-04-28,9.7,9.98,9.7,9.75,0.52
2026-04-27,9.77,9.7,9.5,9.7,-0.72
2026-04-24,9.85,9.85,9.75,9.77,-1.11
2026-04-23,9.83,10.12,9.83,9.88,-1.2
2026-04-22,9.8,10.0,9.8,10.0,1.73
2026-04-21,9.7,10.09,9.7,9.83,-1.21
2026-04-20,9.95,9.95,9.92,9.95,0.0
2026-04-17,9.91,10.1,9.91,9.95,-0.4
2026-04-16,10.0,10.14,9.84,9.99,-0.2
2026-04-15,9.86,10.01,9.75,10.01,-0.4
2026-04-13,9.8,10.05,9.8,10.05,0.9
2026-04-10,9.72,9.96,9.72,9.96,0.5
