date,open,high,low,close,volume
2026-06-08,777.70,780.00,773.10,779.60,"3,284,944.50"
2026-06-05,777.70,780.00,773.10,779.60,0.08
2026-06-04,780.00,784.90,777.00,779.00,0.26
2026-06-03,769.90,780.00,769.90,777.00,0.92
2026-06-02,765.10,770.00,763.10,769.90,0.77
2026-06-01,780.10,780.10,760.40,764.00,-1.16
2026-05-27,795.00,795.00,770.00,773.00,-1.15
2026-05-26,775.00,782.00,765.00,782.00,0.9
2026-05-25,770.00,775.00,765.00,775.00,0.65
2026-05-22,768.90,775.00,756.00,770.00,0.26
2026-05-21,765.00,773.70,765.00,768.00,0.39
2026-05-20,763.00,768.90,760.00,765.00,0.14
2026-05-19,760.00,765.00,760.00,763.90,0.51
2026-05-18,767.40,767.40,759.00,760.00,-0.96
2026-05-15,750.10,770.00,750.10,767.40,-0.2
2026-05-14,760.00,768.90,752.00,768.90,0.1
2026-05-13,777.00,780.00,765.00,768.10,-1.15
2026-05-12,793.00,799.00,766.10,777.00,-0.21
2026-05-11,787.00,790.00,775.00,778.60,0.46
2026-05-08,761.00,782.00,761.00,775.00,1.84
2026-05-07,760.00,767.00,750.00,761.00,-0.13
2026-05-06,770.00,771.00,761.00,762.00,-0.52
2026-05-05,755.00,767.00,750.10,766.00,1.74
2026-05-04,745.10,755.00,745.10,752.90,-0.28
2026-04-30,750.10,767.00,750.10,755.00,-0.66
2026-04-29,766.00,775.00,760.00,760.00,-0.78
2026-04-28,776.90,780.00,766.00,766.00,-1.4
2026-04-27,772.00,784.80,770.00,776.90,0.63
2026-04-24,770.00,777.90,768.10,772.00,-0.77
2026-04-23,778.00,789.00,770.00,778.00,0.1
2026-04-22,780.10,785.00,776.30,777.20,-0.99
2026-04-21,780.00,800.00,780.00,785.00,-0.39
2026-04-20,824.90,824.90,780.10,788.10,-0.49
2026-04-17,781.10,795.00,781.10,792.00,0.13
2026-04-16,786.90,800.00,786.90,791.00,-1.13
2026-04-15,803.00,804.00,790.10,800.00,1.52
2026-04-13,790.00,799.00,786.10,788.00,-0.44
2026-04-10,810.00,810.00,791.50,791.50,-2.16
2026-04-09,808.00,814.70,793.00,809.00,1.76
2026-04-08,785.00,798.00,785.00,795.00,1.53
2026-04-07,795.00,796.00,780.10,783.00,-0.63
2026-04-06,775.00,795.00,770.00,788.00,2.2
2026-04-05,807.80,807.80,765.10,771.00,-2.65
2026-04-02,790.10,808.00,776.00,792.00,-0.89
2026-04-01,822.00,823.90,799.10,799.10,-2.79
2026-03-31,827.00,827.00,801.00,822.00,0.86
2026-03-30,820.00,839.90,812.00,815.00,-1.81
2026-03-29,882.30,882.30,824.20,830.00,-4.05
2026-03-26,851.10,865.00,849.00,865.00,-0.17
2026-03-25,896.00,896.00,849.70,866.50,-3.34
2026-03-24,892.00,909.90,885.00,896.40,0.04
2026-03-23,882.00,896.00,870.00,896.00,1.59
2026-03-22,825.00,885.00,825.00,882.00,6.53
2026-03-19,827.00,839.00,815.00,827.90,2.05
2026-03-17,800.20,820.00,800.20,811.30,-0.45
2026-03-16,844.00,845.00,810.10,815.00,-2.02
2026-03-15,820.50,834.00,812.00,831.80,1.67
2026-03-12,812.00,836.40,810.00,818.10,0.5
2026-03-11,820.00,835.00,810.00,814.00,-2.5
2026-03-10,869.00,869.60,808.80,834.90,-2.09
2026-03-09,815.00,852.70,815.00,852.70,6.6
2026-03-03,805.90,805.90,785.20,799.90,1.24
2026-03-01,775.00,795.00,760.00,790.10,0.66
2026-02-26,779.20,784.90,771.90,784.90,0.82
2026-02-25,775.00,780.00,772.40,778.50,0.95
2026-02-24,770.00,776.00,770.00,771.20,0.12
2026-02-23,780.00,780.00,769.00,770.30,-0.25
2026-02-22,775.00,780.00,772.10,772.20,-1.0
2026-02-17,776.00,786.90,776.00,780.00,0.26
2026-02-16,776.10,782.00,776.00,778.00,-0.38
2026-02-12,775.00,790.00,775.00,781.00,-0.13
2026-02-11,795.60,795.60,773.00,782.00,0.26
2026-02-10,780.00,783.70,775.10,780.00,0.0
2026-02-09,787.10,798.00,780.00,780.00,-2.5
2026-02-08,811.00,811.00,785.00,800.00,0.5
2026-02-05,790.20,800.00,785.00,796.00,0.73
2026-02-04,798.00,802.00,786.10,790.20,0.27
2026-02-03,800.00,801.50,786.00,788.10,0.25
2026-02-02,798.00,798.00,785.10,786.10,-0.91
2026-02-01,794.10,802.00,792.00,793.30,-1.08
2026-01-29,797.00,810.00,797.00,802.00,0.12
2026-01-28,800.00,805.00,796.00,801.00,-0.62
2026-01-27,812.00,820.00,805.00,806.00,-1.83
2026-01-26,832.00,839.00,810.00,821.00,-0.64
2026-01-25,809.20,832.00,809.20,826.30,2.14
2026-01-22,801.00,809.00,795.00,809.00,0.87
2026-01-21,821.60,821.70,800.00,802.00,-0.45
2026-01-20,811.90,820.00,805.00,805.60,1.21
2026-01-18,790.00,815.00,790.00,796.00,2.71
2026-01-14,770.00,790.00,770.00,775.00,0.26
2026-01-13,777.00,781.00,770.00,773.00,-0.53
2026-01-12,790.00,790.00,775.00,777.10,-1.01
2026-01-08,781.50,794.90,775.00,785.00,0.45
2026-01-07,785.00,790.00,780.00,781.50,-0.56
2026-01-06,795.00,795.70,780.00,785.90,0.74
2026-01-05,770.10,787.00,770.10,780.10,0.66
2026-01-04,770.00,790.00,765.00,775.00,1.34
2026-01-01,805.00,806.90,795.40,803.00,0.29
2025-12-31,806.00,818.90,800.20,800.70,-0.53
2025-12-29,806.10,815.00,805.00,805.00,-0.86
2025-12-28,792.00,816.00,792.00,812.00,2.22
2025-12-24,792.00,797.90,790.00,794.40,0.49
2025-12-23,789.00,794.80,788.00,790.50,0.57
2025-12-22,782.00,791.00,782.00,786.00,-0.88
2025-12-21,805.00,805.00,790.50,793.00,-1.49
2025-12-18,808.00,821.10,801.10,805.00,-0.37
2025-12-17,820.10,820.10,804.30,808.00,0.49
2025-12-16,817.00,819.20,804.00,804.10,0.11
2025-12-15,786.00,809.70,786.00,803.20,0.27
2025-12-14,802.00,812.00,800.00,801.00,-1.35
2025-12-11,800.40,820.00,800.40,812.00,1.12
2025-12-10,810.10,815.00,801.00,803.00,-0.86
2025-12-09,811.20,822.00,810.00,810.00,-0.12
2025-12-08,818.00,819.00,808.10,811.00,-0.86
2025-12-07,815.20,824.00,815.20,818.00,0.37
2025-12-03,820.50,835.00,815.00,815.00,-0.73
2025-12-02,826.60,840.00,820.00,821.00,-1.07
2025-12-01,824.10,839.00,820.00,829.90,-0.97
2025-11-30,860.00,860.00,821.60,838.00,-2.22
2025-11-27,849.10,860.90,835.00,857.00,0.94
2025-11-26,825.00,862.00,825.00,849.00,1.07
2025-11-25,864.80,864.80,834.00,840.00,-2.44
2025-11-24,830.00,861.00,830.00,861.00,4.62
2025-11-23,790.00,830.10,790.00,823.00,4.97
2025-11-20,796.00,797.00,782.10,784.00,-1.46
2025-11-19,773.30,795.60,773.30,795.60,0.84
2025-11-18,785.00,794.90,784.60,789.00,0.9
2025-11-17,785.00,788.90,782.00,782.00,0.12
2025-11-16,794.00,794.00,776.00,781.10,0.26
2025-11-13,776.00,789.60,775.20,779.10,0.4
2025-11-12,796.00,796.00,775.20,776.00,-1.27
2025-11-11,809.00,809.00,783.00,786.00,-1.26
2025-11-10,786.30,804.70,785.00,796.00,-0.75
2025-11-09,802.10,818.00,795.00,802.00,-0.27
2025-11-06,815.10,826.30,801.10,804.20,-1.43
2025-11-05,800.80,826.90,800.80,815.90,0.6
2025-11-04,812.00,825.00,800.00,811.00,-1.8
2025-11-03,820.60,854.20,800.00,825.90,-1.33
2025-11-02,847.30,847.30,816.00,837.00,0.72
2025-10-30,820.00,868.90,810.00,831.00,1.34
2025-10-29,828.10,877.00,812.00,820.00,-2.96
2025-10-28,852.60,859.00,802.70,845.00,-2.87
2025-10-26,785.00,878.00,770.30,870.00,8.89
2025-10-19,809.50,810.80,787.00,799.00,-3.15
2025-10-16,862.40,862.40,793.00,825.00,-6.25
2025-10-15,806.60,887.00,775.50,880.00,6.93
2025-10-14,850.00,871.00,797.00,823.00,-4.19
2025-10-13,872.60,884.00,819.30,859.00,-3.53
2025-10-12,900.00,930.00,824.00,890.40,-2.69
2025-10-09,930.00,953.70,888.00,915.00,-1.29
2025-10-08,903.00,948.00,875.00,927.00,0.65
2025-10-07,920.00,955.00,901.00,921.00,-1.71
2025-09-28,930.00,999.00,915.00,937.00,-0.65
2025-09-25,970.20,970.20,914.00,943.10,-4.74
2025-09-24,935.90,993.00,906.00,990.00,3.66
2025-09-23,930.10,980.00,912.00,955.00,0.63
2025-09-21,950.00,969.00,900.10,948.98,-0.63
2025-09-18,955.50,955.50,900.00,955.00,-2.05
2025-09-08,951.00,984.00,917.10,974.97,0.48
2025-09-07,951.70,"1,012.00",933.00,970.36,-0.07
2025-09-04,970.00,"1,008.00",937.00,971.04,-0.44
2025-09-03,983.30,"1,042.00",964.00,975.36,-2.79
2025-09-02,997.80,"1,025.00",950.00,"1,003.32",-1.45
2025-09-01,986.80,"1,055.00",948.10,"1,018.12",1.12
2025-08-31,961.40,"1,019.00",925.00,"1,006.84",2.64
2025-08-28,938.90,"1,037.90",938.90,980.92,2.39
2025-08-27,870.00,963.00,870.00,957.98,9.36
2025-08-26,872.00,906.40,865.00,875.98,-1.43
2025-08-25,894.00,948.00,879.20,888.67,-0.67
2025-08-24,939.00,939.00,892.00,894.66,-3.15
2025-08-21,950.00,950.00,905.60,923.78,-0.83
2025-08-20,922.00,942.90,911.40,931.52,0.74
2025-08-19,947.40,956.00,910.40,924.69,-0.5
2025-08-18,944.10,974.00,915.00,929.31,-3.53
2025-08-17,965.00,"1,000.00",915.60,963.32,-1.98
2025-08-14,987.50,"1,015.00",959.00,982.77,-2.47
2025-08-13,"1,019.00","1,019.00",946.80,"1,007.65",0.83
2025-08-12,"1,015.00","1,077.00",980.00,999.38,-2.81
2025-08-11,"1,057.50","1,096.50","1,000.00","1,028.25",-4.71
2025-08-07,"1,027.60","1,113.00","1,027.60","1,079.06",2.91
2025-08-06,"1,056.40","1,098.50","1,023.00","1,048.53",-2.72
2025-08-05,"1,065.00","1,120.00","1,033.90","1,077.90",-0.44
2025-08-04,"1,074.00","1,118.90","1,055.00","1,082.64",0.92
2025-08-03,"1,170.00","1,200.00","1,072.30","1,072.80",-9.96
2025-07-31,"1,226.00","1,226.00","1,135.50","1,191.45",-2.84
2025-07-30,"1,130.00","1,255.00","1,056.50","1,226.27",6.74
2025-07-29,"1,282.00","1,382.00","1,131.30","1,148.84",-8.6
2025-07-28,"1,150.00","1,256.90","1,150.00","1,256.90",9.99
2025-07-27,"1,040.00","1,142.70","1,040.00","1,142.70",10.0
2025-07-24,997.00,"1,045.00",960.10,"1,038.84",6.19
2025-07-23,"1,000.00","1,020.00",960.00,978.24,-0.77
2025-07-22,960.00,"1,015.00",960.00,985.84,2.2
2025-07-21,985.00,"1,004.00",931.00,964.64,-1.09
2025-07-20,999.90,"1,004.50",970.00,975.31,-1.08
2025-07-17,955.00,993.90,950.00,986.00,4.25
2025-07-16,873.40,958.90,873.40,945.78,6.13
2025-07-15,890.10,920.00,855.00,891.19,2.11
2025-07-14,910.00,915.00,865.00,872.74,-2.72
2025-07-13,898.90,920.00,890.00,897.10,1.79
2025-07-10,843.50,907.00,811.00,881.34,6.57
2025-07-09,799.40,844.50,799.40,826.98,1.39
2025-07-08,828.20,860.00,798.00,815.62,0.44
2025-07-07,829.00,829.00,800.00,812.05,-0.09
2025-07-06,838.00,840.00,808.50,812.81,-1.15
2025-07-03,840.40,849.80,795.00,822.23,-0.21
2025-07-02,842.00,870.00,822.00,823.97,-2.24
2025-07-01,828.00,852.70,801.00,842.86,3.26
2025-06-30,791.00,822.00,791.00,816.22,1.69
2025-06-29,814.00,818.00,796.00,802.68,0.03
2025-06-26,760.10,811.00,760.00,802.42,3.51
2025-06-25,771.00,787.40,748.00,775.20,2.51
2025-06-24,747.50,781.00,747.50,756.22,-0.86
2025-06-23,748.90,775.00,734.10,762.75,-0.18
2025-06-22,759.70,782.00,752.00,764.16,-1.42
2025-06-19,769.10,802.00,769.10,775.15,-1.22
2025-06-18,776.00,806.50,776.00,784.75,-0.89
2025-06-17,741.90,824.00,741.90,791.78,4.6
2025-06-16,756.00,767.00,747.00,756.96,0.22
2025-06-15,755.30,778.30,750.00,755.31,-1.03
2025-06-12,755.00,770.80,755.00,763.20,0.01
2025-06-11,756.80,770.00,756.80,763.09,0.33
2025-06-10,751.00,765.00,751.00,760.55,-0.17
2025-06-09,746.00,764.00,745.20,761.86,0.47
2025-06-08,764.00,764.00,749.10,758.26,-0.85
2025-06-05,760.00,770.00,760.00,764.73,-0.48
2025-06-04,755.50,771.20,755.50,768.43,-0.04
2025-06-03,771.00,773.30,765.90,768.76,-1.17
2025-06-02,790.00,792.30,770.00,777.90,0.14
2025-05-28,771.80,785.00,756.80,776.81,-0.79
2025-05-27,785.40,794.00,780.00,782.99,-2.02
2025-05-26,834.50,836.00,796.00,799.12,-2.32
2025-05-25,795.00,824.90,790.00,818.14,3.06
2025-05-22,770.00,805.00,770.00,793.85,3.05
2025-05-21,789.00,820.00,769.10,770.36,-0.41
2025-05-20,779.90,785.00,751.00,773.54,1.12
2025-05-19,752.10,781.00,752.10,764.94,1.74
2025-05-18,753.90,780.00,750.00,751.89,0.04
2025-05-15,751.00,760.00,745.00,751.59,0.08
2025-05-14,750.00,754.90,735.90,751.00,0.86
2025-05-13,750.00,751.00,740.20,744.61,-0.57
2025-05-11,764.90,766.00,745.50,748.89,-2.09
2025-05-08,770.00,784.00,760.00,764.90,-2.51
2025-05-07,750.00,790.00,735.00,784.59,6.56
2025-05-06,755.00,760.00,735.20,736.30,-2.94
2025-05-05,751.20,775.60,751.20,758.61,-0.24
2025-05-04,758.00,800.00,758.00,760.44,-1.56
2025-04-30,770.00,778.00,768.30,772.53,0.35
2025-04-29,776.00,789.90,763.00,769.85,-1.06
2025-04-28,790.00,793.90,777.30,778.06,-2.42
2025-04-27,810.00,810.00,792.00,797.34,-0.57
2025-04-24,812.00,812.00,796.00,801.90,-1.08
2025-04-23,812.10,815.00,808.00,810.66,-0.65
2025-04-22,820.00,822.00,815.00,816.00,-0.76
2025-04-21,820.00,825.00,811.00,822.29,0.09
2025-04-20,830.00,844.00,820.00,821.52,-1.26
2025-04-17,829.00,835.00,817.00,832.03,0.19
2025-04-16,820.00,845.00,817.00,830.44,-0.12
2025-04-15,801.00,845.50,801.00,831.44,2.62
2025-04-13,811.00,820.00,806.00,810.18,-1.44
2025-04-10,812.00,835.00,812.00,821.98,0.0
2025-04-09,818.00,830.00,810.70,821.95,0.08
2025-04-08,800.10,842.00,800.10,821.32,0.87
2025-04-07,820.00,820.00,807.10,814.21,-1.7
2025-04-03,853.90,853.90,821.50,828.30,-1.09
2025-04-02,820.00,842.90,820.00,837.41,0.41
2025-04-01,820.00,840.00,810.70,834.01,0.25
2025-03-30,809.30,840.90,809.30,831.97,0.81
2025-03-27,800.00,835.00,800.00,825.26,1.78
2025-03-26,787.00,816.00,787.00,810.84,1.07
2025-03-25,814.00,814.00,801.00,802.26,-1.88
2025-03-24,805.00,825.00,802.20,817.63,0.22
2025-03-23,812.10,824.00,812.10,815.82,-1.07
2025-03-20,821.00,834.30,810.10,824.61,0.32
2025-03-19,820.30,827.00,820.00,822.00,-0.36
2025-03-18,822.50,840.00,820.80,825.00,-1.02
2025-03-17,851.70,851.70,833.10,833.50,-0.18
2025-03-16,855.00,857.80,827.30,835.00,-2.34
2025-03-12,852.00,867.00,845.00,855.00,-1.36
2025-03-11,861.00,890.00,852.00,866.80,0.08
2025-03-10,867.20,910.00,860.00,866.10,0.0
2025-03-09,875.00,880.00,865.10,866.10,-1.58
2025-03-06,874.00,890.00,874.00,880.00,0.0
2025-03-05,897.50,897.60,870.00,880.00,0.0
2025-03-04,902.00,903.00,877.00,880.00,-3.3
2025-03-03,902.00,920.00,901.50,910.00,-0.87
2025-03-02,903.00,918.00,903.00,918.00,1.66
2025-02-27,912.90,930.00,901.00,903.00,0.89
2025-02-25,898.00,916.00,829.35,895.00,-0.35
2025-02-24,906.00,920.00,898.10,898.10,-2.38
2025-02-23,891.90,932.00,856.70,920.00,1.09
2025-02-20,911.00,933.10,910.00,910.10,-1.61
2025-02-18,936.00,957.00,923.20,925.00,-2.22
2025-02-17,917.00,965.00,917.00,946.00,3.55
2025-02-16,870.00,915.00,870.00,913.60,4.3
2025-02-13,885.00,885.00,875.20,875.90,-1.36
2025-02-12,920.00,920.00,885.20,888.00,-1.55
2025-02-11,925.00,925.00,891.20,902.00,-0.55
2025-02-10,890.00,907.00,885.00,907.00,1.68
2025-02-09,871.00,899.00,866.00,892.00,1.02
2025-02-06,883.00,883.00,883.00,883.00,0.78
2025-02-05,925.00,934.60,911.50,920.00,-0.54
2025-02-04,965.00,965.00,907.00,925.00,-2.43
2025-02-03,990.00,995.00,948.00,948.00,-2.93
2025-02-02,890.00,976.60,890.00,976.60,9.99
2025-01-28,870.00,889.70,860.00,887.90,2.78
2025-01-27,865.00,869.00,850.90,863.90,0.34
2025-01-26,850.00,876.00,840.00,861.00,2.74
