date,open,high,low,close,volume
2026-06-08,"1,760.00","1,760.00","1,735.10","1,750.00","2,000,186.90"
2026-06-05,"1,760.00","1,760.00","1,735.10","1,750.00",0.29
2026-06-04,"1,725.00","1,768.20","1,722.00","1,745.00",0.87
2026-06-03,"1,711.00","1,748.00","1,710.00","1,730.00",0.29
2026-06-02,"1,702.00","1,760.00","1,702.00","1,725.00",1.35
2026-06-01,"1,792.00","1,792.00","1,700.00","1,702.00",-2.69
2026-05-27,"1,746.00","1,776.00","1,746.00","1,749.00",0.17
2026-05-26,"1,752.00","1,778.00","1,745.00","1,746.00",-0.91
2026-05-25,"1,788.00","1,790.00","1,751.00","1,762.00",1.21
2026-05-22,"1,740.00","1,771.00","1,740.00","1,741.00",0.22
2026-05-21,"1,752.00","1,757.00","1,737.10","1,737.10",-0.85
2026-05-20,"1,740.00","1,782.00","1,738.00","1,752.00",0.69
2026-05-19,"1,750.00","1,750.00","1,734.00","1,740.00",-0.57
2026-05-18,"1,755.00","1,760.00","1,732.00","1,750.00",-0.28
2026-05-15,"1,755.00","1,755.00","1,730.10","1,755.00",0.0
2026-05-14,"1,721.00","1,755.00","1,721.00","1,755.00",1.98
2026-05-13,"1,726.00","1,726.00","1,703.00","1,721.00",-1.09
2026-05-12,"1,761.00","1,789.00","1,740.00","1,740.00",-1.64
2026-05-11,"1,761.00","1,778.00","1,750.00","1,769.00",1.14
2026-05-08,"1,720.00","1,749.80","1,720.00","1,749.00",1.38
2026-05-07,"1,700.00","1,735.00","1,700.00","1,725.20",-1.42
2026-05-06,"1,725.00","1,750.00","1,725.00","1,750.00",0.4
2026-05-05,"1,699.00","1,755.10","1,699.00","1,743.00",2.26
2026-05-04,"1,720.00","1,767.00","1,704.40","1,704.40",-0.79
2026-04-30,"1,700.00","1,720.10","1,700.00","1,718.00",-0.69
2026-04-29,"1,768.00","1,772.00","1,725.00","1,730.00",-2.15
2026-04-28,"1,752.00","1,768.00","1,741.00","1,768.00",0.91
2026-04-27,"1,750.00","1,780.00","1,739.00","1,752.00",0.11
2026-04-24,"1,750.00","1,780.00","1,721.00","1,750.00",0.0
2026-04-23,"1,814.00","1,814.00","1,740.00","1,750.00",-1.41
2026-04-22,"1,830.00","1,830.00","1,750.00","1,775.00",-1.39
2026-04-21,"1,770.00","1,850.00","1,770.00","1,800.00",0.84
2026-04-20,"1,800.00","1,800.00","1,770.00","1,785.00",-0.61
2026-04-17,"1,798.20","1,833.50","1,796.00","1,796.00",-0.12
2026-04-16,"1,801.00","1,844.00","1,798.20","1,798.20",-1.27
2026-04-15,"1,806.00","1,838.00","1,806.00","1,821.30",0.57
2026-04-13,"1,836.00","1,836.00","1,803.60","1,811.00",-1.36
2026-04-10,"1,829.00","1,837.00","1,811.50","1,836.00",0.38
2026-04-09,"1,802.20","1,845.00","1,802.20","1,829.00",1.33
2026-04-08,"1,801.00","1,835.00","1,780.00","1,805.00",0.28
2026-04-07,"1,817.00","1,839.90","1,800.00","1,800.00",-2.17
2026-04-06,"1,801.30","1,850.00","1,801.30","1,840.00",0.11
2026-04-05,"1,835.00","1,838.00","1,741.00","1,838.00",-0.1
2026-04-02,"1,846.00","1,880.00","1,820.00","1,839.90",-2.24
2026-04-01,"1,855.00","1,882.00","1,819.00","1,882.00",-0.11
2026-03-31,"1,860.00","1,884.00","1,851.00","1,884.00",0.21
2026-03-30,"1,890.20","1,920.00","1,880.00","1,880.00",-0.54
2026-03-29,"1,950.00","1,950.00","1,890.00","1,890.20",-3.07
2026-03-26,"1,930.00","1,965.00","1,930.00","1,950.00",1.04
2026-03-25,"1,964.00","1,964.00","1,925.00","1,930.00",-1.73
2026-03-24,"1,951.10","1,964.00","1,929.00","1,964.00",-0.2
2026-03-23,"1,970.00","1,980.00","1,930.10","1,968.00",-0.05
2026-03-22,"1,925.00","1,980.00","1,924.00","1,969.00",2.45
2026-03-19,"1,880.00","1,924.00","1,880.00","1,921.90",1.15
2026-03-17,"1,876.30","1,905.00","1,876.30","1,900.00",-0.26
2026-03-16,"1,890.00","1,905.00","1,870.00","1,904.90",0.79
2026-03-15,"1,921.00","1,921.00","1,870.00","1,890.00",-1.68
2026-03-12,"1,920.00","1,950.00","1,920.00","1,922.20",-1.88
2026-03-11,"1,980.00","1,980.00","1,940.40","1,959.00",-1.06
2026-03-10,"2,029.90","2,029.90","1,950.00","1,980.00",-0.51
2026-03-09,"1,951.10","1,990.10","1,951.10","1,990.10",4.04
2026-03-03,"1,866.00","1,912.90","1,865.00","1,912.90",0.68
2026-03-01,"1,903.00","1,903.00","1,850.00","1,900.00",-1.04
2026-02-26,"1,924.80","1,940.00","1,900.00","1,920.00",-2.24
2026-02-25,"1,985.00","2,001.00","1,906.40","1,964.00",-1.7
2026-02-24,"1,908.10","2,024.00","1,832.60","1,998.00",2.62
2026-02-23,"1,871.70","1,947.00","1,804.00","1,947.00",6.1
2026-02-22,"1,830.00","1,835.00","1,806.00","1,835.00",-0.27
2026-02-17,"1,865.00","1,865.00","1,840.00","1,840.00",-1.35
2026-02-16,"1,890.00","1,890.00","1,862.00","1,865.10",-1.32
2026-02-12,"1,900.00","1,900.00","1,860.20","1,890.00",0.48
2026-02-11,"1,910.00","1,910.00","1,880.10","1,881.00",-0.37
2026-02-10,"1,850.20","1,888.40","1,850.20","1,888.00",0.16
2026-02-09,"1,895.00","1,897.00","1,882.00","1,885.00",-0.95
2026-02-08,"1,911.00","1,919.00","1,900.00","1,903.00",0.0
2026-02-05,"1,924.00","1,924.90","1,896.10","1,903.00",-1.3
2026-02-04,"1,946.00","1,946.00","1,907.20","1,928.00",0.57
2026-02-03,"1,871.00","1,918.00","1,860.00","1,917.00",2.46
2026-02-02,"1,904.00","1,905.00","1,866.00","1,871.00",-1.53
2026-02-01,"1,943.00","1,943.00","1,900.00","1,900.10",-2.61
2026-01-29,"2,000.00","2,040.00","1,951.00","1,951.00",-2.45
2026-01-28,"2,000.00","2,029.00","1,980.00","2,000.00",-1.62
2026-01-27,"1,975.00","2,134.00","1,975.00","2,033.00",4.79
2026-01-26,"1,940.00","1,949.00","1,900.10","1,940.00",1.36
2026-01-25,"1,835.00","1,914.00","1,835.00","1,914.00",2.68
2026-01-22,"1,860.00","1,878.00","1,851.00","1,864.00",0.22
2026-01-21,"1,860.00","1,879.90","1,840.00","1,859.90",0.1
2026-01-20,"1,810.00","1,875.00","1,805.50","1,858.00",3.39
2026-01-18,"1,800.00","1,815.00","1,781.20","1,797.00",0.79
2026-01-14,"1,755.00","1,790.00","1,755.00","1,783.00",-0.11
2026-01-13,"1,751.20","1,784.90","1,745.00","1,784.90",0.28
2026-01-12,"1,770.00","1,805.00","1,740.00","1,780.00",-0.56
2026-01-08,"1,800.00","1,817.00","1,790.00","1,790.00",0.0
2026-01-07,"1,800.00","1,810.00","1,785.00","1,790.00",-1.27
2026-01-06,"1,834.00","1,834.00","1,785.00","1,813.00",0.78
2026-01-05,"1,750.10","1,799.00","1,750.00","1,799.00",2.8
2026-01-04,"1,745.00","1,760.00","1,710.10","1,750.00",0.29
2026-01-01,"1,740.00","1,760.00","1,740.00","1,745.00",0.29
2025-12-31,"1,756.80","1,791.90","1,740.00","1,740.00",1.02
2025-12-29,"1,928.00","1,928.00","1,882.20","1,886.00",-0.26
2025-12-28,"1,900.00","1,910.00","1,886.50","1,891.00",-0.47
2025-12-24,"1,935.00","1,935.00","1,900.00","1,900.00",-1.81
2025-12-23,"1,902.00","1,935.00","1,891.50","1,935.00",0.47
2025-12-22,"1,945.00","1,950.00","1,925.00","1,926.00",-1.33
2025-12-21,"1,980.00","1,990.00","1,950.10","1,952.00",-1.68
2025-12-18,"1,990.10","1,995.00","1,981.00","1,985.30",-0.54
2025-12-17,"2,005.00","2,007.00","1,995.00","1,996.10",-0.94
2025-12-16,"2,005.00","2,015.00","2,000.00","2,015.00",0.5
2025-12-15,"1,985.30","2,018.00","1,985.30","2,005.00",0.4
2025-12-14,"2,010.00","2,020.00","1,990.50","1,997.00",-0.89
2025-12-11,"1,997.00","2,030.00","1,961.00","2,015.00",-1.08
2025-12-10,"2,035.00","2,047.00","1,993.00","2,037.00",0.34
2025-12-09,"2,040.00","2,040.00","2,001.00","2,030.00",-0.49
2025-12-08,"2,108.00","2,108.00","1,935.90","2,040.00",-5.16
2025-12-07,"2,130.00","2,160.00","2,117.00","2,151.00",0.14
2025-12-03,"2,141.00","2,155.00","2,090.00","2,148.00",-0.28
2025-12-02,"2,142.00","2,170.00","2,115.00","2,154.00",-1.42
2025-12-01,"2,238.00","2,238.00","2,185.00","2,185.00",-0.64
2025-11-30,"2,239.90","2,239.90","2,170.00","2,199.00",-0.68
2025-11-27,"2,217.90","2,240.00","2,180.10","2,214.00",0.78
2025-11-26,"2,163.00","2,198.00","2,157.50","2,196.90",-0.14
2025-11-25,"2,175.00","2,205.00","2,156.00","2,199.90",1.23
2025-11-24,"2,159.00","2,198.00","2,156.00","2,173.10",0.51
2025-11-23,"2,111.00","2,208.00","2,100.00","2,162.00",1.27
2025-11-20,"2,100.00","2,134.90","2,097.00","2,134.90",-0.19
2025-11-19,"2,140.00","2,145.00","2,100.00","2,139.00",0.0
2025-11-18,"2,150.00","2,150.00","2,120.00","2,139.00",0.42
2025-11-17,"2,092.00","2,140.00","2,092.00","2,130.00",1.43
2025-11-16,"2,135.00","2,136.00","2,094.00","2,100.00",0.24
2025-11-13,"2,109.00","2,110.00","2,095.00","2,095.00",0.0
2025-11-12,"2,091.00","2,125.00","2,091.00","2,095.00",-1.64
2025-11-11,"2,085.00","2,137.00","2,085.00","2,130.00",0.47
2025-11-10,"2,100.10","2,121.00","2,100.10","2,120.00",-0.42
2025-11-09,"2,135.00","2,135.00","2,104.00","2,129.00",-0.51
2025-11-06,"2,170.00","2,170.00","2,100.00","2,140.00",-1.25
2025-11-05,"2,126.00","2,167.00","2,122.00","2,167.00",0.23
2025-11-04,"2,207.90","2,225.00","2,130.00","2,162.00",-2.08
2025-11-03,"2,190.00","2,207.90","2,172.00","2,207.90",0.73
2025-11-02,"2,246.00","2,289.00","2,192.00","2,192.00",-2.4
2025-10-30,"2,105.00","2,249.00","2,105.00","2,246.00",4.61
2025-10-29,"2,105.00","2,147.00","2,100.00","2,147.00",2.24
2025-10-28,"2,088.00","2,100.00","2,080.00","2,100.00",2.04
2025-10-26,"2,038.40","2,061.00","1,998.00","2,058.00",-1.05
2025-10-19,"2,053.00","2,079.90","2,050.00","2,079.90",-0.63
2025-10-16,"2,077.00","2,125.80","1,995.20","2,093.00",-1.22
2025-10-15,"2,101.50","2,119.70","2,060.00","2,118.80",-1.18
2025-10-14,"2,155.00","2,155.00","2,100.00","2,144.00",-0.51
2025-10-13,"2,116.50","2,190.00","2,115.90","2,155.00",-0.19
2025-10-12,"2,190.30","2,190.30","2,130.00","2,159.00",-3.4
2025-10-09,"2,237.80","2,282.00","2,194.00","2,235.00",1.87
2025-10-08,"2,310.30","2,310.30","2,160.00","2,194.00",-3.13
2025-10-07,"2,210.00","2,265.00","2,170.00","2,265.00",0.44
2025-09-28,"2,279.90","2,279.90","2,235.00","2,255.00",0.76
2025-09-25,"2,210.00","2,248.00","2,200.00","2,238.00",1.04
2025-09-24,"2,193.50","2,215.00","2,152.00","2,215.00",-1.03
2025-09-23,"2,121.00","2,238.00","2,120.00","2,238.00",6.28
2025-09-21,"2,106.00","2,150.00","2,065.00","2,105.81",0.03
2025-09-18,"2,105.10","2,145.00","2,105.10","2,105.10",-2.0
2025-09-08,"2,169.20","2,170.10","2,130.00","2,148.00",-2.76
2025-09-07,"2,170.30","2,222.00","2,165.00","2,209.00",0.71
2025-09-04,"2,200.10","2,201.00","2,186.00","2,193.34",-1.38
2025-09-03,"2,234.68","2,240.00","2,202.00","2,224.00",-0.48
2025-09-02,"2,224.00","2,255.00","2,210.00","2,234.68",-1.3
2025-09-01,"2,241.80","2,264.00","2,220.00","2,264.00",0.99
2025-08-31,"2,291.00","2,291.00","2,240.00","2,241.80",-1.63
2025-08-28,"2,310.00","2,321.00","2,273.00","2,278.90",-0.92
2025-08-27,"2,296.83","2,320.00","2,295.10","2,300.03",0.14
2025-08-26,"2,280.00","2,315.00","2,271.00","2,296.83",0.04
2025-08-25,"2,304.30","2,330.00","2,265.00","2,295.84",1.62
2025-08-24,"2,260.00","2,305.00","2,250.00","2,259.16",-1.34
2025-08-21,"2,302.00","2,303.00","2,262.10","2,289.92",-0.75
2025-08-20,"2,315.73","2,334.00","2,302.00","2,307.12",-0.37
2025-08-19,"2,365.00","2,365.00","2,305.00","2,315.73",-0.18
2025-08-18,"2,301.00","2,355.00","2,260.00","2,319.88",-0.97
2025-08-17,"2,327.00","2,373.50","2,300.00","2,342.51",-1.01
2025-08-14,"2,314.00","2,408.00","2,305.00","2,366.46",2.23
2025-08-13,"2,350.00","2,399.00","2,310.10","2,314.74",-1.71
2025-08-12,"2,419.99","2,419.99","2,351.70","2,354.93",-2.69
2025-08-11,"2,517.00","2,517.00","2,341.00","2,419.99",-1.95
2025-08-07,"2,470.00","2,498.00","2,421.00","2,468.16",0.56
2025-08-06,"2,410.00","2,457.90","2,410.00","2,454.31",1.79
2025-08-05,"2,321.80","2,500.00","2,321.80","2,411.14",2.52
2025-08-04,"2,300.94","2,390.00","2,299.00","2,351.85",2.21
2025-08-03,"2,379.98","2,380.00","2,290.00","2,300.94",-3.32
2025-07-31,"2,385.00","2,420.00","2,370.00","2,379.98",-1.72
2025-07-30,"2,461.00","2,461.00","2,415.00","2,421.60",-2.6
2025-07-29,"2,469.51","2,530.00","2,450.00","2,486.14",0.67
2025-07-28,"2,401.10","2,489.00","2,356.20","2,469.51",1.05
2025-07-27,"2,528.10","2,550.00","2,434.00","2,443.89",-3.66
2025-07-24,"2,453.10","2,600.00","2,453.10","2,536.86",5.48
2025-07-23,"2,468.00","2,468.00","2,375.00","2,405.01",-0.64
2025-07-22,"2,351.50","2,441.00","2,351.50","2,420.41",2.93
2025-07-21,"2,358.46","2,391.00","2,342.20","2,351.50",-0.3
2025-07-20,"2,340.00","2,400.00","2,340.00","2,358.46",0.05
2025-07-17,"2,350.00","2,363.00","2,316.00","2,357.28",2.09
2025-07-16,"2,367.00","2,379.00","2,306.00","2,308.96",-0.57
2025-07-15,"2,343.00","2,348.00","2,305.50","2,322.30",0.84
2025-07-14,"2,305.00","2,309.00","2,270.00","2,302.88",0.06
