date,open,high,low,close,volume
2026-06-08,"1,535.00","1,549.90","1,511.00","1,520.00","1,078,248.40"
2026-06-05,"1,535.00","1,549.90","1,511.00","1,520.00",-0.98
2026-06-04,"1,534.00","1,605.00","1,515.00","1,535.00",1.39
2026-06-03,"1,505.00","1,519.00","1,501.00","1,514.00",0.66
2026-06-02,"1,502.00","1,510.00","1,495.10","1,504.00",-0.99
2026-06-01,"1,505.00","1,519.00","1,501.00","1,519.00",-0.07
2026-05-27,"1,510.00","1,520.10","1,510.00","1,520.00",0.66
2026-05-26,"1,515.10","1,515.10","1,500.00","1,510.00",-1.31
2026-05-25,"1,513.30","1,530.00","1,502.00","1,530.00",-0.33
2026-05-22,"1,525.00","1,535.00","1,525.00","1,535.00",-2.23
2026-05-21,"1,521.00","1,570.00","1,520.00","1,570.00",3.62
2026-05-20,"1,525.00","1,525.00","1,515.00","1,515.20",-0.64
2026-05-19,"1,525.00","1,525.00","1,525.00","1,525.00",0.0
2026-05-18,"1,550.00","1,560.00","1,522.00","1,525.00",-1.87
2026-05-15,"1,512.00","1,555.00","1,512.00","1,554.00",0.0
2026-05-14,"1,555.00","1,555.00","1,554.00","1,554.00",-0.06
2026-05-13,"1,553.00","1,582.00","1,525.00","1,555.00",-2.2
2026-05-12,"1,590.00","1,591.00","1,499.00","1,590.00",-2.15
2026-05-11,"1,600.00","1,630.00","1,580.10","1,624.90",-0.25
2026-05-08,"1,559.60","1,635.00","1,513.00","1,628.90",-0.62
2026-05-07,"1,565.00","1,639.00","1,565.00","1,639.00",2.76
2026-05-06,"1,627.00","1,630.00","1,595.00","1,595.00",0.95
2026-05-05,"1,596.00","1,596.00","1,580.00","1,580.00",-1.0
2026-05-04,"1,611.50","1,611.50","1,596.00","1,596.00",-0.96
2026-04-30,"1,681.00","1,681.00","1,601.20","1,611.50",-1.92
2026-04-29,"1,685.00","1,685.00","1,642.50","1,643.00",-2.49
2026-04-28,"1,689.80","1,685.00","1,650.00","1,685.00",-0.28
2026-04-27,"1,680.00","1,689.80","1,642.10","1,689.80",0.58
2026-04-24,"1,698.00","1,680.00","1,650.00","1,680.00",-1.06
2026-04-23,"1,698.00","1,698.00","1,698.00","1,698.00",0.0
2026-04-22,"1,729.00","1,729.00","1,650.00","1,698.00",1.01
2026-04-21,"1,675.00","1,700.00","1,675.00","1,681.00",-1.11
2026-04-20,"1,652.10","1,705.00","1,652.10","1,699.90",0.05
2026-04-17,"1,698.80","1,699.00","1,666.00","1,699.00",0.01
2026-04-16,"1,674.30","1,720.00","1,674.30","1,698.80",-0.54
2026-04-15,"1,730.00","1,730.00","1,705.00","1,708.00",-1.5
2026-04-13,"1,703.10","1,736.00","1,702.00","1,734.00",-0.06
2026-04-10,"1,717.10","1,735.00","1,713.00","1,735.00",-0.69
2026-04-09,"1,708.00","1,747.00","1,700.00","1,747.00",2.4
2026-04-08,"1,650.10","1,719.00","1,650.10","1,706.00",1.36
2026-04-07,"1,699.90","1,700.00","1,680.10","1,683.10",-0.93
2026-04-06,"1,689.00","1,700.00","1,670.00","1,698.90",2.34
2026-04-05,"1,681.00","1,681.00","1,646.10","1,660.00",-2.52
2026-04-02,"1,651.10","1,704.90","1,650.00","1,703.00",2.04
2026-04-01,"1,668.00","1,700.30","1,667.00","1,669.00",-1.59
2026-03-31,"1,704.00","1,704.00","1,646.00","1,696.00",1.01
2026-03-30,"1,713.00","1,713.00","1,650.00","1,679.00",-0.23
2026-03-29,"1,722.00","1,722.00","1,670.10","1,682.90",-2.16
2026-03-26,"1,745.40","1,745.40","1,678.00","1,720.00",0.51
2026-03-25,"1,706.00","1,714.10","1,706.00","1,711.20",-1.09
2026-03-24,"1,698.30","1,763.70","1,698.30","1,730.00",-0.17
2026-03-23,"1,779.00","1,779.90","1,712.30","1,732.90",-0.69
2026-03-22,"1,700.00","1,745.00","1,666.00","1,745.00",3.99
