date,open,high,low,close,volume
2026-06-08,615.00,615.00,578.80,585.30,"5,979,788.10"
2026-06-05,615.00,615.00,578.80,585.30,-0.46
2026-06-04,587.00,594.90,582.10,588.00,-0.68
2026-06-03,591.10,600.00,587.00,592.00,-1.33
2026-06-02,586.00,600.00,586.00,600.00,1.35
2026-06-01,602.00,605.00,590.00,592.00,-1.66
2026-05-27,604.00,608.00,600.00,602.00,0.05
2026-05-26,600.00,606.00,593.00,601.70,0.75
2026-05-25,594.00,600.00,585.20,597.20,0.54
2026-05-22,600.00,600.00,575.00,594.00,0.95
2026-05-21,599.00,604.00,586.00,588.40,-1.52
2026-05-20,599.90,599.90,590.00,597.50,0.25
2026-05-19,579.00,600.00,578.10,596.00,2.05
2026-05-18,576.50,592.00,572.50,584.00,1.3
2026-05-15,567.10,580.00,567.10,576.50,-0.43
2026-05-14,581.90,598.00,561.60,579.00,2.48
2026-05-13,577.00,577.00,565.00,565.00,-2.27
2026-05-12,590.00,592.00,578.10,578.10,-0.67
2026-05-11,582.00,585.00,576.00,582.00,1.73
2026-05-08,575.00,575.00,563.00,572.10,0.72
2026-05-07,573.00,573.00,562.10,568.00,0.35
2026-05-06,553.00,572.90,550.00,566.00,0.71
2026-05-05,541.10,564.00,541.00,562.00,2.55
2026-05-04,570.00,570.00,546.10,548.00,-1.97
2026-04-30,567.00,567.00,549.20,559.00,1.25
2026-04-29,568.00,585.00,550.00,552.10,-2.8
2026-04-28,572.20,589.00,566.00,568.00,-0.73
2026-04-27,577.00,594.30,572.20,572.20,-0.83
2026-04-24,590.00,599.90,571.00,577.00,-1.87
2026-04-23,595.00,605.00,582.00,588.00,-0.83
2026-04-22,593.00,610.00,585.00,592.90,-0.52
2026-04-21,623.00,623.00,590.00,596.00,0.34
2026-04-20,612.00,612.00,588.00,594.00,-0.8
2026-04-17,613.00,613.00,598.50,598.80,-1.02
2026-04-16,606.50,614.40,600.00,605.00,-0.2
2026-04-15,605.00,614.00,600.00,606.20,1.03
2026-04-13,603.50,615.00,600.00,600.00,-1.64
2026-04-10,616.00,616.00,605.00,610.00,-0.96
2026-04-09,610.00,617.80,609.00,615.90,0.8
2026-04-08,607.00,614.00,605.00,611.00,1.16
2026-04-07,615.00,620.00,604.00,604.00,-1.15
2026-04-06,586.20,614.90,583.00,611.00,2.88
2026-04-05,620.10,620.10,590.00,593.90,-2.32
2026-04-02,607.10,618.00,601.00,608.00,-0.49
2026-04-01,627.10,627.10,611.00,611.00,-2.55
2026-03-31,623.00,629.00,616.00,627.00,0.97
2026-03-30,631.00,634.50,620.00,621.00,-1.66
2026-03-29,640.00,655.00,631.00,631.50,-1.79
2026-03-26,640.50,647.00,635.00,643.00,0.42
2026-03-25,646.00,654.60,639.20,640.30,-0.26
2026-03-24,638.50,643.00,635.00,642.00,0.63
2026-03-23,642.00,642.00,630.00,638.00,0.0
2026-03-22,642.00,645.00,634.00,638.00,-0.31
2026-03-19,638.00,642.00,630.00,640.00,1.59
2026-03-17,620.00,638.00,620.00,630.00,-0.32
2026-03-16,639.00,639.00,630.00,632.00,-0.8
2026-03-15,645.00,650.00,636.00,637.10,-0.3
2026-03-12,652.00,657.00,614.50,639.00,-1.24
2026-03-11,667.00,667.00,615.50,647.00,-1.97
2026-03-10,673.20,686.20,652.00,660.00,0.0
2026-03-09,647.00,660.00,647.00,660.00,3.94
2026-03-03,627.00,635.00,622.30,635.00,1.44
2026-03-01,612.50,626.00,612.50,626.00,0.16
2026-02-26,646.00,671.00,618.00,625.00,-3.25
2026-02-25,603.00,650.70,603.00,646.00,9.18
2026-02-24,712.80,727.00,703.00,710.00,1.57
2026-02-23,701.00,711.00,698.50,699.00,-0.13
2026-02-22,716.50,716.50,689.00,699.90,-4.27
2026-02-17,796.10,796.10,731.10,731.10,-10.0
2026-02-16,806.90,835.00,800.00,812.30,-1.34
2026-02-12,834.00,849.00,818.00,823.30,-1.4
2026-02-11,900.00,900.00,811.00,835.00,-6.39
2026-02-10,907.20,907.20,875.00,892.00,0.22
2026-02-09,950.30,"1,024.80",861.00,890.00,-4.48
2026-02-08,863.90,931.70,863.90,931.70,10.0
2026-02-05,785.40,847.00,785.40,847.00,10.0
2026-02-04,714.00,770.00,714.00,770.00,10.0
2026-02-03,723.80,723.80,696.30,700.00,-1.41
2026-02-02,720.00,724.50,695.00,710.00,-1.39
2026-02-01,733.00,733.00,719.40,720.00,-3.73
2026-01-29,753.00,765.00,731.00,747.90,-0.68
2026-01-28,754.90,758.00,738.00,753.00,0.4
2026-01-27,716.00,769.00,716.00,750.00,3.88
2026-01-26,725.00,725.00,720.00,722.00,-0.41
2026-01-25,728.00,732.00,718.90,725.00,-0.41
2026-01-22,739.00,739.00,719.00,728.00,0.0
2026-01-21,745.00,745.00,720.70,728.00,-0.68
2026-01-20,740.00,749.00,720.20,733.00,0.41
2026-01-18,730.00,770.00,702.00,730.00,1.96
2026-01-14,712.00,731.80,712.00,716.00,-0.83
2026-01-13,711.00,735.00,685.10,722.00,-0.41
2026-01-12,740.00,740.00,713.70,725.00,-0.41
2026-01-08,738.00,738.00,716.10,728.00,0.4
2026-01-07,719.00,745.00,705.20,725.10,2.13
2026-01-06,710.00,717.00,700.40,710.00,0.28
2026-01-05,691.10,714.00,691.10,708.00,0.71
2026-01-04,696.10,714.80,690.00,703.00,-0.99
