date,open,high,low,close,volume
2026-06-08,504.00,505.00,500.00,501.00,"16,400,995.50"
2026-06-05,504.00,505.00,500.00,501.00,-0.6
2026-06-04,504.00,509.00,500.00,504.00,0.0
2026-06-03,504.00,507.00,503.00,504.00,0.0
2026-06-02,502.60,506.00,500.10,504.00,-0.18
2026-06-01,510.00,515.00,500.00,504.90,-1.0
2026-05-27,506.00,519.80,505.00,510.00,0.99
2026-05-26,504.60,508.00,503.00,505.00,0.16
2026-05-25,500.10,508.00,500.10,504.20,1.04
2026-05-22,497.00,500.00,493.20,499.00,0.81
2026-05-21,501.60,503.00,494.40,495.00,-1.26
2026-05-20,492.10,504.00,492.10,501.30,0.87
2026-05-19,495.00,500.70,490.30,497.00,0.4
2026-05-18,494.00,499.90,492.00,495.00,0.2
2026-05-15,495.00,499.00,490.00,494.00,0.0
2026-05-14,485.60,499.30,485.10,494.00,-0.4
2026-05-13,521.30,521.30,491.50,496.00,-0.1
2026-05-12,512.00,515.00,496.20,496.50,-2.91
2026-05-11,500.30,511.90,498.10,511.40,2.77
2026-05-08,493.10,499.90,490.00,497.60,0.55
2026-05-07,496.00,499.90,490.00,494.90,-0.42
2026-05-06,501.00,505.00,491.90,497.00,0.2
2026-05-05,480.00,498.00,480.00,496.00,1.85
2026-05-04,486.40,498.00,482.00,487.00,0.14
2026-04-30,487.00,494.00,486.10,486.30,-0.86
2026-04-29,498.00,501.00,490.00,490.50,-1.51
2026-04-28,501.20,505.00,496.10,498.00,-0.64
2026-04-27,506.00,514.00,501.00,501.20,-0.95
2026-04-24,505.00,506.90,491.00,506.00,0.2
2026-04-23,507.00,515.00,501.50,505.00,-0.24
2026-04-22,511.00,511.00,495.70,506.20,-0.94
2026-04-21,513.10,520.00,505.00,511.00,-0.97
2026-04-20,540.00,540.00,513.50,516.00,-1.34
2026-04-17,518.00,525.00,517.00,523.00,0.19
2026-04-16,522.00,523.00,513.10,522.00,0.0
2026-04-15,511.00,523.00,505.30,522.00,3.37
2026-04-13,510.00,511.00,504.00,505.00,0.0
2026-04-10,515.00,515.90,502.50,505.00,-0.79
2026-04-09,512.00,512.50,501.00,509.00,0.81
2026-04-08,499.80,508.00,499.00,504.90,2.39
2026-04-07,510.00,514.00,493.10,493.10,-2.36
2026-04-06,482.00,515.00,477.30,505.00,4.77
2026-04-05,501.10,501.10,478.00,482.00,-5.12
2026-04-02,521.00,521.00,501.00,508.00,-0.59
2026-04-01,520.00,520.00,501.00,511.00,-1.54
2026-03-31,519.00,529.00,502.00,519.00,0.78
2026-03-30,520.20,539.80,514.50,515.00,-2.98
2026-03-29,554.00,554.00,529.00,530.80,-4.07
2026-03-26,557.00,557.00,545.20,553.30,-0.52
2026-03-25,550.00,575.00,505.00,556.20,2.04
2026-03-24,535.00,548.20,535.00,545.10,2.79
2026-03-23,528.00,540.00,525.00,530.30,0.44
2026-03-22,550.00,550.00,526.00,528.00,-3.15
2026-03-19,529.00,552.50,527.00,545.20,3.45
2026-03-17,516.50,530.00,511.00,527.00,2.13
2026-03-16,527.00,527.00,515.00,516.00,-1.71
2026-03-15,530.00,535.00,515.50,525.00,-0.38
2026-03-12,520.00,530.00,513.80,527.00,2.57
2026-03-11,500.00,518.00,493.60,513.80,3.8
2026-03-10,512.00,514.00,482.00,495.00,-2.75
2026-03-09,477.80,515.00,477.80,509.00,8.64
2026-03-03,455.00,468.90,455.00,468.50,1.63
2026-03-01,461.50,464.70,452.30,461.00,-0.11
2026-02-26,472.00,472.00,457.00,461.50,-0.41
2026-02-25,464.00,467.00,459.00,463.40,0.89
2026-02-24,460.10,463.00,450.20,459.30,1.82
2026-02-23,465.00,465.00,451.00,451.10,-2.68
2026-02-22,443.20,474.00,443.10,463.50,4.16
2026-02-17,456.10,459.00,443.00,445.00,-2.43
2026-02-16,467.00,469.90,453.10,456.10,-1.7
2026-02-12,469.70,469.80,455.40,464.00,0.65
2026-02-11,459.60,469.00,451.00,461.00,-1.68
2026-02-10,490.00,490.00,456.00,468.90,-4.27
2026-02-09,495.70,496.00,478.00,489.80,0.78
2026-02-08,484.30,500.00,444.70,486.00,-1.64
2026-02-05,538.00,538.00,494.10,494.10,-9.98
2026-02-04,508.00,548.90,508.00,548.90,10.0
2026-02-03,512.90,512.90,495.00,499.00,-1.77
2026-02-02,520.00,521.00,505.00,508.00,-2.12
2026-02-01,535.50,540.00,519.00,519.00,-1.14
2026-01-29,545.00,545.00,522.00,525.00,-2.05
2026-01-28,525.30,537.00,517.00,536.00,1.13
2026-01-27,555.00,555.00,530.00,530.00,-4.16
2026-01-26,570.00,570.00,542.00,553.00,-2.12
2026-01-25,536.00,581.00,532.00,565.00,3.48
2026-01-22,560.00,560.00,535.00,546.00,-1.6
2026-01-21,563.00,574.00,546.00,554.90,-1.44
2026-01-20,583.00,590.00,555.00,563.00,-3.43
2026-01-18,593.00,612.00,567.10,583.00,-1.98
2026-01-14,550.00,595.10,540.90,594.80,9.94
2026-01-13,497.00,541.00,492.00,541.00,9.07
2026-01-12,525.00,525.00,490.10,496.00,-4.25
2026-01-08,539.00,539.00,510.60,518.00,-3.9
2026-01-07,559.00,560.00,520.00,539.00,-3.54
2026-01-06,564.00,564.00,549.00,558.80,-0.9
2026-01-05,541.90,586.00,541.90,563.90,1.99
2026-01-04,551.00,560.00,537.90,552.90,-1.27
2026-01-01,560.00,571.20,548.80,560.00,-1.04
2025-12-31,588.00,588.00,560.00,565.90,-2.09
2025-12-29,612.00,637.50,578.00,578.00,-3.83
2025-12-28,616.90,616.90,599.80,601.00,-0.69
2025-12-24,615.60,666.40,605.20,605.20,-3.65
2025-12-23,625.30,689.00,625.30,628.10,-1.55
2025-12-22,630.10,680.10,617.50,638.00,-0.62
2025-12-21,672.00,680.00,639.30,642.00,-4.9
