date,open,high,low,close,volume
2026-06-08,838.00,841.00,831.20,833.00,"1,624,133.00"
2026-06-05,838.00,841.00,831.20,833.00,-0.6
2026-06-04,840.00,845.00,836.00,838.00,-0.12
2026-06-03,855.00,855.00,829.40,839.00,0.96
2026-06-02,855.00,855.00,821.00,831.00,-1.65
2026-06-01,849.00,849.00,835.00,844.90,-0.01
2026-05-27,840.00,845.00,833.20,845.00,-0.12
2026-05-26,855.00,855.00,835.00,846.00,0.36
2026-05-25,838.00,854.00,838.00,843.00,0.6
2026-05-22,855.00,855.00,834.10,838.00,0.04
2026-05-21,830.20,840.00,830.20,837.70,-0.51
2026-05-20,834.90,842.00,830.20,842.00,0.85
2026-05-19,840.00,840.00,830.50,834.90,-0.49
2026-05-18,826.00,844.90,826.00,839.00,-0.71
2026-05-15,858.00,858.00,832.50,845.00,0.24
2026-05-14,848.00,849.70,825.00,843.00,-0.59
2026-05-13,869.90,869.90,836.00,848.00,0.36
2026-05-12,874.00,874.00,839.00,845.00,-0.59
2026-05-11,830.10,890.00,830.10,850.00,1.19
2026-05-08,835.00,847.00,830.00,840.00,0.0
2026-05-07,829.10,843.00,829.00,840.00,0.38
2026-05-06,849.00,849.00,825.00,836.80,-0.14
2026-05-05,846.00,846.00,825.00,838.00,1.09
2026-05-04,869.00,869.00,825.50,829.00,-1.88
2026-04-30,838.00,848.90,825.40,844.90,0.82
2026-04-29,846.30,859.00,821.10,838.00,-0.98
2026-04-28,847.10,892.00,846.00,846.30,-0.09
2026-04-27,853.00,862.00,840.00,847.10,-0.69
2026-04-24,871.00,871.00,833.70,853.00,-0.23
2026-04-23,887.00,887.00,847.50,855.00,-1.16
2026-04-22,846.00,883.00,821.00,865.00,-0.8
2026-04-21,899.00,899.00,858.00,872.00,-1.25
2026-04-20,850.30,900.00,850.30,883.00,0.91
2026-04-17,855.00,882.00,855.00,875.00,0.57
2026-04-16,885.00,885.00,863.00,870.00,-0.11
2026-04-15,876.00,889.00,870.00,871.00,1.28
2026-04-13,870.10,875.00,855.00,860.00,-2.15
2026-04-10,893.00,893.00,865.00,878.90,-0.01
2026-04-09,889.00,889.00,860.00,879.00,0.6
2026-04-08,874.00,877.20,862.00,873.80,1.6
2026-04-07,880.00,880.00,855.10,860.00,-0.46
2026-04-06,856.80,872.00,838.00,864.00,2.86
2026-04-05,889.00,889.00,840.00,840.00,-3.66
2026-04-02,860.00,878.00,856.00,871.90,1.0
2026-04-01,873.00,900.00,861.30,863.30,-3.0
2026-03-31,885.00,896.00,857.50,890.00,0.56
2026-03-30,881.10,895.00,881.10,885.00,-1.45
2026-03-29,931.20,931.20,898.00,898.00,-1.64
2026-03-26,891.10,915.00,891.10,913.00,0.88
2026-03-25,921.10,925.60,902.60,905.00,-2.9
2026-03-24,935.00,937.00,923.00,932.00,-0.32
2026-03-23,949.00,949.00,925.00,935.00,-0.43
2026-03-22,908.00,940.00,907.00,939.00,4.33
2026-03-19,894.90,904.00,885.00,900.00,0.96
2026-03-17,876.00,891.40,871.00,891.40,0.95
2026-03-16,882.00,900.00,882.00,883.00,-1.88
2026-03-15,877.10,902.00,877.10,899.90,1.11
2026-03-12,894.70,899.10,887.00,890.00,0.45
2026-03-11,885.00,912.00,885.00,886.00,-1.88
2026-03-10,928.00,928.00,893.30,903.00,-0.8
2026-03-09,892.50,910.30,892.50,910.30,4.03
2026-03-03,881.90,882.90,873.00,875.00,0.36
2026-03-01,857.00,872.00,856.00,871.90,-0.24
2026-02-26,861.80,875.90,861.80,874.00,-0.11
2026-02-25,861.20,875.00,860.00,875.00,0.93
2026-02-24,855.30,872.00,855.30,866.90,0.53
2026-02-23,861.00,868.00,860.00,862.30,-0.16
2026-02-22,857.00,866.90,852.00,863.70,0.43
2026-02-17,860.50,872.00,858.00,860.00,-0.81
2026-02-16,866.00,870.00,861.10,867.00,-0.34
2026-02-12,879.90,882.00,863.10,870.00,0.0
2026-02-11,882.30,899.90,862.40,870.00,0.58
2026-02-10,878.60,890.00,865.00,865.00,-1.09
2026-02-09,876.00,881.00,873.00,874.50,-0.63
2026-02-08,885.00,890.00,878.00,880.00,0.34
2026-02-05,886.90,886.90,876.50,877.00,-0.34
2026-02-04,877.10,888.00,875.10,880.00,-0.56
2026-02-03,885.20,889.00,880.00,885.00,-0.11
2026-02-02,889.90,895.00,885.30,886.00,-0.55
2026-02-01,880.00,890.90,880.00,890.90,0.67
2026-01-29,890.00,904.70,877.30,885.00,-1.02
2026-01-28,882.10,915.00,882.10,894.10,-0.55
2026-01-27,922.00,930.00,892.10,899.00,-2.49
