date,open,high,low,close,volume
2026-06-08,440.00,451.00,432.00,448.00,"29,673,568.50"
2026-06-05,440.0,451.0,432.0,448.0,0.9
2026-06-04,449.0,454.0,443.1,444.0,-1.11
2026-06-03,444.0,455.0,444.0,449.0,0.45
2026-06-02,445.0,452.4,445.0,447.0,-0.49
2026-06-01,451.0,460.9,447.0,449.2,-3.0
2026-05-27,445.0,471.9,445.0,463.1,-0.84
2026-05-26,457.1,470.0,457.1,467.0,-0.43
2026-05-25,475.0,475.0,455.1,469.0,1.52
2026-05-22,472.5,472.5,445.0,462.0,2.67
2026-05-21,446.0,458.9,446.0,450.0,-0.44
2026-05-20,443.0,453.4,441.1,452.0,2.03
2026-05-19,435.6,447.0,435.6,443.0,0.89
2026-05-18,444.0,444.1,437.3,439.1,0.0
2026-05-15,437.2,444.0,437.0,439.1,-0.3
2026-05-14,464.1,464.1,437.7,440.4,-0.36
2026-05-13,440.0,442.0,431.4,442.0,1.17
2026-05-12,445.0,446.0,434.3,436.9,-1.58
2026-05-11,440.2,444.1,436.1,443.9,1.56
2026-05-08,433.0,440.0,430.0,437.1,0.95
2026-05-07,426.3,433.9,426.3,433.0,0.7
2026-05-06,431.0,434.7,426.8,430.0,-0.35
2026-05-05,422.0,435.0,421.0,431.5,1.05
2026-05-04,430.0,433.0,425.5,427.0,-1.39
2026-04-30,431.1,436.9,424.0,433.0,0.0
2026-04-29,437.0,436.0,431.2,433.0,-0.92
2026-04-28,442.1,448.0,435.0,437.0,-1.15
2026-04-27,440.0,449.0,437.1,442.1,0.48
2026-04-24,427.0,440.0,427.0,440.0,0.0
2026-04-23,449.0,449.0,437.0,440.0,-1.76
2026-04-22,442.4,454.0,436.0,447.9,0.43
2026-04-21,448.0,460.0,445.0,446.0,-1.76
2026-04-20,484.9,484.9,450.0,454.0,-1.71
2026-04-17,455.0,463.5,450.1,461.9,0.2
2026-04-16,472.0,472.0,457.1,461.0,-2.31
2026-04-15,466.0,478.0,458.1,471.9,3.26
2026-04-13,451.5,465.3,451.1,457.0,-0.72
2026-04-10,460.0,464.0,452.3,460.3,0.07
