date,open,high,low,close,volume
2026-06-08,691.30,720.00,691.30,711.00,"870,750.30"
2026-06-05,691.30,720.00,691.30,711.00,1.51
2026-06-04,705.00,713.50,700.40,700.40,-1.21
2026-06-03,715.00,718.70,701.20,709.00,1.16
2026-06-02,707.00,707.00,698.50,700.90,-1.13
2026-06-01,700.20,708.90,700.20,708.90,-0.71
2026-05-27,696.00,720.00,696.00,714.00,0.56
2026-05-26,718.00,718.00,708.20,710.00,-1.11
2026-05-25,705.00,725.00,686.80,718.00,1.41
2026-05-22,695.00,709.00,692.30,708.00,0.0
2026-05-21,699.00,708.00,690.10,708.00,0.28
2026-05-20,720.00,720.00,698.60,706.00,0.83
2026-05-19,710.00,710.00,700.00,700.20,-1.38
2026-05-18,695.50,712.00,695.50,710.00,0.85
2026-05-15,706.00,714.90,704.00,704.00,-1.95
2026-05-14,710.00,718.00,704.50,718.00,-1.1
2026-05-13,686.00,726.00,686.00,726.00,2.98
2026-05-12,703.10,731.00,703.10,705.00,-1.26
2026-05-11,703.00,714.00,703.00,714.00,2.0
2026-05-08,700.00,705.00,696.10,700.00,0.43
2026-05-07,696.00,700.00,680.00,697.00,0.14
2026-05-06,684.00,704.40,684.00,696.00,-1.0
2026-05-05,686.10,709.90,686.10,703.00,1.3
2026-05-04,702.10,712.00,693.20,694.00,-2.25
2026-04-30,700.10,719.00,700.10,710.00,-1.25
2026-04-29,724.00,722.90,710.00,719.00,-0.69
2026-04-28,730.00,733.00,717.00,724.00,-1.36
2026-04-27,710.20,746.70,705.20,734.00,3.35
2026-04-24,685.00,739.00,685.00,710.20,-1.5
2026-04-23,710.00,740.00,705.10,721.00,1.41
2026-04-22,717.00,717.00,700.00,711.00,-0.84
2026-04-21,712.00,721.00,704.00,717.00,-0.55
2026-04-20,711.00,731.00,711.00,721.00,-1.1
2026-04-17,709.20,729.00,709.20,729.00,0.83
2026-04-16,750.00,750.00,711.60,723.00,-2.17
2026-04-15,725.00,749.00,721.10,739.00,1.93
2026-04-13,711.00,745.40,711.00,725.00,0.01
2026-04-10,719.00,728.10,715.00,724.90,-0.28
2026-04-09,715.00,730.00,715.00,726.90,0.48
2026-04-08,710.00,723.40,700.30,723.40,2.48
2026-04-07,717.00,722.90,700.00,705.90,0.13
2026-04-06,680.00,711.00,680.00,705.00,5.16
2026-04-05,716.10,717.00,670.40,670.40,-7.66
2026-04-02,719.00,733.00,714.00,726.00,0.41
2026-04-01,740.20,751.80,720.00,723.00,-3.34
2026-03-31,767.00,767.00,737.00,748.00,-0.53
2026-03-30,760.00,772.90,746.00,752.00,-1.83
2026-03-29,805.00,805.00,757.00,766.00,-4.84
2026-03-26,750.00,805.00,747.10,805.00,5.8
2026-03-25,753.00,765.00,745.90,760.90,0.52
2026-03-24,743.00,770.00,743.00,757.00,0.13
2026-03-23,757.30,763.80,748.00,756.00,-0.53
2026-03-22,758.00,769.00,755.00,760.00,0.8
2026-03-19,732.00,773.00,732.00,754.00,1.21
2026-03-17,750.00,764.60,737.00,745.00,-1.05
2026-03-16,737.10,754.00,737.10,752.90,2.3
2026-03-15,741.00,750.00,735.00,736.00,-1.35
2026-03-12,736.20,750.00,736.20,746.10,-0.39
2026-03-11,731.80,775.00,731.80,749.00,0.54
2026-03-10,779.00,779.00,736.70,745.00,-4.24
2026-03-09,721.00,778.00,721.00,778.00,9.95
2026-03-03,726.00,753.00,707.60,707.60,-2.53
2026-03-01,718.10,739.00,705.10,726.00,-0.82
2026-02-26,735.00,735.00,722.00,732.00,-1.59
2026-02-25,738.50,749.00,726.00,743.80,2.59
2026-02-24,702.00,730.00,696.30,725.00,1.31
2026-02-23,725.10,735.00,715.00,715.60,-3.17
2026-02-22,741.00,768.00,725.10,739.00,-1.6
2026-02-17,770.10,770.50,750.60,751.00,-2.85
2026-02-16,790.00,790.00,771.10,773.00,-3.25
2026-02-12,796.00,810.00,769.00,799.00,-0.13
2026-02-11,860.00,860.00,800.00,800.00,-6.21
2026-02-10,845.00,918.00,774.00,853.00,-0.81
2026-02-09,865.00,867.00,810.00,860.00,0.7
2026-02-08,866.00,880.00,852.30,854.00,-1.39
2026-02-05,872.80,874.00,852.00,866.00,0.7
2026-02-04,833.00,861.80,833.00,860.00,1.2
2026-02-03,834.30,863.00,834.30,849.80,-0.07
2026-02-02,845.50,865.00,829.00,850.40,-1.35
2026-02-01,896.30,896.30,844.30,862.00,-5.59
2026-01-29,846.00,913.00,845.00,913.00,5.92
2026-01-28,863.10,865.00,850.00,862.00,-2.05
2026-01-27,901.50,901.50,866.70,880.00,-4.14
2026-01-26,872.20,961.00,855.00,918.00,3.15
2026-01-25,876.40,929.00,840.50,890.00,-0.39
2026-01-22,852.20,917.00,852.20,893.50,2.76
2026-01-21,831.50,869.50,831.50,869.50,2.54
2026-01-20,834.50,851.10,834.50,848.00,-0.25
2026-01-18,840.50,858.00,840.50,850.10,-0.79
2026-01-14,828.10,875.00,815.10,856.90,1.41
2026-01-13,836.60,854.00,836.30,845.00,-0.38
2026-01-12,850.50,864.00,840.30,848.20,-2.18
2026-01-08,828.70,900.00,828.70,867.10,2.62
2026-01-07,807.00,870.00,807.00,845.00,2.67
2026-01-06,803.00,863.10,803.00,823.00,0.49
2026-01-05,798.40,822.90,798.30,819.00,0.86
2026-01-04,815.00,821.00,802.10,812.00,-1.81
2026-01-01,820.20,839.20,820.20,827.00,-0.96
2025-12-31,840.00,850.00,834.00,835.00,-2.11
2025-12-29,850.00,854.80,838.10,853.00,0.59
2025-12-28,837.60,859.00,815.00,848.00,3.26
2025-12-24,819.50,823.00,819.50,821.20,0.11
2025-12-23,825.10,825.10,818.20,820.30,-0.58
2025-12-22,817.00,847.00,817.00,825.10,0.62
2025-12-21,835.00,836.50,820.00,820.00,-1.81
2025-12-18,842.00,856.50,835.10,835.10,-1.29
2025-12-17,884.00,884.00,845.00,846.00,-2.64
2025-12-16,845.00,868.90,837.20,868.90,2.83
2025-12-15,848.00,860.00,832.00,845.00,-0.35
2025-12-14,855.00,860.00,848.00,848.00,-1.97
2025-12-11,867.50,877.00,860.00,865.00,-2.26
2025-12-10,882.30,896.00,882.30,885.00,-1.67
2025-12-09,890.10,905.00,883.00,900.00,-0.88
2025-12-08,896.00,908.00,879.00,908.00,-0.66
