date,open,high,low,close,volume
2026-06-08,395.40,410.00,395.20,410.00,"11,912,890.20"
2026-06-05,395.4,410.0,395.2,410.0,2.53
2026-06-04,406.4,406.4,398.5,399.9,-1.6
2026-06-03,390.2,410.0,390.2,406.4,2.37
2026-06-02,390.0,397.0,390.0,397.0,0.79
2026-06-01,390.0,396.2,390.0,393.9,0.23
2026-05-27,397.3,397.3,391.0,393.0,0.1
2026-05-26,397.0,398.5,389.1,392.6,-0.86
2026-05-25,389.3,397.5,389.3,396.0,0.53
2026-05-22,388.0,394.0,388.0,393.9,0.74
2026-05-21,389.5,392.0,389.5,391.0,-0.23
2026-05-20,388.1,392.0,387.1,391.9,1.06
2026-05-19,387.2,391.8,387.2,387.8,-0.49
2026-05-18,388.0,390.0,387.3,389.7,0.18
2026-05-15,386.2,393.7,386.2,389.0,-0.61
2026-05-14,390.0,392.0,389.0,391.4,0.1
2026-05-13,390.0,392.0,387.4,391.0,-0.48
2026-05-12,390.2,395.1,390.2,392.9,-0.53
2026-05-11,395.0,395.0,390.0,395.0,0.51
2026-05-08,385.0,395.0,385.0,393.0,1.55
2026-05-07,385.1,390.0,385.1,387.0,-0.26
2026-05-06,386.2,391.0,384.0,388.0,0.0
2026-05-05,388.0,392.0,385.3,388.0,0.0
2026-05-04,386.1,390.0,385.0,388.0,-0.51
2026-04-30,385.3,393.7,385.3,390.0,-0.26
2026-04-29,394.0,392.0,387.1,391.0,-0.76
2026-04-28,395.0,399.9,391.5,394.0,-0.25
2026-04-27,390.0,400.0,390.0,395.0,1.15
2026-04-24,390.0,392.0,387.0,390.5,-0.64
2026-04-23,392.0,395.0,391.2,393.0,-0.76
2026-04-22,391.0,396.0,380.3,396.0,-0.08
2026-04-21,401.9,406.8,396.0,396.3,-1.42
2026-04-20,405.0,405.5,396.0,402.0,-0.86
2026-04-17,397.0,409.5,392.1,405.5,2.4
2026-04-16,395.5,402.5,395.5,396.0,-1.47
2026-04-15,404.9,404.9,398.0,401.9,0.42
2026-04-13,402.0,405.9,400.0,400.2,-0.45
2026-04-10,401.0,405.0,396.0,402.0,0.25
2026-04-09,398.0,404.0,393.2,401.0,0.78
2026-04-08,398.0,398.0,391.0,397.9,1.51
2026-04-07,393.0,397.9,390.0,392.0,-0.23
2026-04-06,383.0,397.0,381.0,392.9,2.72
2026-04-05,389.0,395.0,380.3,382.5,-3.41
2026-04-02,395.0,400.0,389.3,396.0,-0.25
2026-04-01,405.0,405.0,395.0,397.0,-1.98
2026-03-31,395.5,407.6,395.5,405.0,0.5
2026-03-30,406.0,410.0,401.0,403.0,-1.23
2026-03-29,416.0,418.0,407.9,408.0,-2.02
2026-03-26,417.0,419.9,412.1,416.4,-0.38
2026-03-25,422.5,429.7,417.0,418.0,-1.65
2026-03-24,428.0,431.7,423.0,425.0,-1.16
2026-03-23,430.0,437.7,425.0,430.0,0.16
