date,open,high,low,close,volume
2026-06-08,"2,380.00","2,385.00","2,340.00","2,379.00","2,063,106.60"
2026-06-05,"2,380.00","2,385.00","2,340.00","2,379.00",0.3
2026-06-04,"2,400.00","2,400.00","2,370.00","2,372.00",-0.13
2026-06-03,"2,405.00","2,405.00","2,375.10","2,375.10",-2.26
2026-06-02,"2,318.30","2,440.00","2,318.30","2,430.00",1.67
2026-06-01,"2,380.00","2,390.00","2,350.00","2,390.00",0.0
2026-05-27,"2,399.00","2,420.00","2,388.00","2,390.00",-0.42
2026-05-26,"2,401.00","2,408.00","2,386.00","2,400.00",-2.0
2026-05-25,"2,415.00","2,473.90","2,375.00","2,449.00",2.04
2026-05-22,"2,360.10","2,400.00","2,300.10","2,400.00",1.6
2026-05-21,"2,401.00","2,401.00","2,355.10","2,362.30",-1.57
2026-05-20,"2,351.00","2,400.00","2,351.00","2,399.90",0.41
2026-05-19,"2,344.00","2,390.00","2,326.80","2,390.00",1.92
2026-05-18,"2,448.90","2,455.00","2,341.00","2,345.00",-1.68
2026-05-15,"2,400.00","2,420.00","2,380.10","2,385.10",-1.44
2026-05-14,"2,406.00","2,470.00","2,396.00","2,420.00",0.25
2026-05-13,"2,400.00","2,440.00","2,400.00","2,414.00",-1.11
2026-05-12,"2,480.00","2,490.00","2,440.00","2,441.00",-2.32
2026-05-11,"2,488.10","2,500.00","2,460.10","2,499.00",0.56
2026-05-08,"2,439.00","2,495.00","2,439.00","2,485.00",2.04
2026-05-07,"2,449.00","2,450.00","2,431.00","2,435.30",-1.0
2026-05-06,"2,450.00","2,475.00","2,440.00","2,460.00",0.41
2026-05-05,"2,400.30","2,469.90","2,400.30","2,450.00",1.62
2026-05-04,"2,407.00","2,450.00","2,407.00","2,411.00",-1.79
2026-04-30,"2,462.00","2,462.00","2,420.00","2,455.00",-1.01
2026-04-29,"2,517.00","2,500.00","2,454.20","2,480.00",-1.47
2026-04-28,"2,550.00","2,585.00","2,511.00","2,517.00",-1.29
2026-04-27,"2,550.00","2,550.00","2,510.30","2,550.00",0.0
2026-04-24,"2,545.00","2,550.00","2,500.00","2,550.00",0.2
2026-04-23,"2,619.00","2,619.00","2,540.00","2,545.00",-2.83
2026-04-22,"2,702.90","2,702.90","2,543.30","2,619.00",1.71
2026-04-21,"2,550.00","2,600.00","2,550.00","2,575.00",-0.23
2026-04-20,"2,556.10","2,610.00","2,556.10","2,581.00",-0.54
2026-04-17,"2,596.00","2,600.00","2,580.00","2,595.00",-1.26
2026-04-16,"2,630.00","2,645.00","2,602.00","2,628.00",-1.94
2026-04-15,"2,708.00","2,708.00","2,606.30","2,679.90",0.82
2026-04-13,"2,700.00","2,700.00","2,650.10","2,658.00",-1.56
2026-04-10,"2,711.00","2,715.00","2,670.00","2,700.00",-2.17
2026-04-09,"2,700.00","2,780.00","2,700.00","2,760.00",2.22
2026-04-08,"2,620.00","2,705.00","2,600.00","2,700.00",4.05
2026-04-07,"2,645.00","2,645.00","2,580.00","2,595.00",-0.19
2026-04-06,"2,550.00","2,651.00","2,547.00","2,600.00",4.0
2026-04-05,"2,670.00","2,700.00","2,500.00","2,500.00",-8.09
2026-04-02,"2,700.10","2,800.00","2,700.00","2,720.00",0.37
2026-04-01,"2,751.10","2,765.00","2,705.10","2,710.00",-3.15
2026-03-31,"2,752.00","2,798.00","2,750.00","2,798.00",1.75
2026-03-30,"2,780.00","2,828.00","2,742.00","2,750.00",-1.11
2026-03-29,"2,852.00","2,888.00","2,781.00","2,781.00",-3.94
2026-03-26,"2,850.00","2,900.00","2,850.00","2,895.00",0.35
2026-03-25,"2,908.00","2,929.00","2,850.00","2,885.00",0.35
2026-03-24,"2,860.00","2,910.00","2,850.00","2,875.00",0.45
2026-03-23,"2,920.00","2,956.00","2,850.00","2,862.10",-2.75
2026-03-22,"2,890.00","2,969.00","2,851.00","2,943.00",2.83
2026-03-19,"2,817.00","2,890.00","2,808.00","2,862.00",1.6
2026-03-17,"2,821.00","2,877.30","2,800.20","2,817.00",-0.7
2026-03-16,"2,850.00","2,900.00","2,832.00","2,837.00",-0.46
2026-03-15,"2,870.00","2,920.00","2,845.00","2,850.10",-1.46
2026-03-12,"2,983.00","2,983.00","2,891.00","2,892.40",-1.69
2026-03-11,"2,955.10","3,025.30","2,941.00","2,942.00",-1.51
2026-03-10,"3,100.00","3,100.00","2,945.00","2,987.00",-2.09
2026-03-09,"2,932.50","3,050.90","2,932.50","3,050.90",6.12
2026-03-03,"2,809.00","2,875.00","2,809.00","2,875.00",2.32
2026-03-01,"2,752.00","2,820.00","2,752.00","2,809.90",0.71
2026-02-26,"2,811.00","2,830.00","2,780.00","2,790.00",-2.62
2026-02-25,"2,860.00","2,889.90","2,800.00","2,865.00",1.4
2026-02-24,"2,800.00","2,825.40","2,760.00","2,825.40",2.0
2026-02-23,"2,760.00","2,770.00","2,730.10","2,770.00",0.69
2026-02-22,"2,761.00","2,790.00","2,749.00","2,751.00",-1.36
2026-02-17,"2,831.10","2,835.00","2,788.00","2,788.90",-1.8
2026-02-16,"2,900.00","2,900.00","2,831.00","2,840.00",-1.05
2026-02-12,"2,853.10","2,905.00","2,825.90","2,870.00",0.17
2026-02-11,"2,937.50","2,937.60","2,862.00","2,865.00",-0.52
2026-02-10,"2,870.10","2,915.00","2,870.00","2,880.00",-0.86
2026-02-09,"2,885.20","2,940.00","2,880.00","2,905.00",-1.29
2026-02-08,"2,980.00","3,020.00","2,943.00","2,943.00",-1.47
2026-02-05,"2,950.00","2,994.90","2,950.00","2,987.00",0.91
2026-02-04,"2,988.00","3,002.00","2,960.00","2,960.00",-1.0
2026-02-03,"2,952.00","3,050.00","2,952.00","2,990.00",-0.3
2026-02-02,"2,960.00","3,050.00","2,926.00","2,999.00",1.32
2026-02-01,"2,972.00","3,010.00","2,950.00","2,960.00",-2.34
2026-01-29,"3,095.00","3,110.00","3,000.00","3,031.00",-1.27
2026-01-28,"3,031.50","3,089.00","3,000.00","3,070.00",1.25
2026-01-27,"3,240.00","3,240.00","3,032.00","3,032.00",-4.65
2026-01-26,"3,300.00","3,300.00","3,160.00","3,180.00",-2.76
2026-01-25,"3,000.00","3,299.90","3,000.00","3,270.10",9.0
2026-01-22,"2,945.00","3,000.00","2,935.40","3,000.00",0.94
2026-01-21,"3,005.00","3,030.00","2,945.10","2,972.00",-1.1
2026-01-20,"2,988.60","3,039.80","2,968.00","3,005.00",2.56
2026-01-18,"2,900.00","2,965.00","2,867.00","2,930.00",2.95
2026-01-14,"2,926.00","2,927.90","2,846.00","2,846.00",-1.52
2026-01-13,"2,871.00","2,920.00","2,871.00","2,890.00",0.17
