date,open,high,low,close,volume
2026-06-08,744.00,744.00,736.00,743.90,"1,589,794.70"
2026-06-05,744.00,744.00,736.00,743.90,-0.13
2026-06-04,741.00,746.00,736.00,744.90,0.8
2026-06-03,773.80,773.80,739.00,739.00,0.27
2026-06-02,745.00,745.00,730.00,737.00,0.55
2026-06-01,785.40,785.40,730.00,733.00,-2.01
2026-05-27,780.00,780.00,741.50,748.00,0.67
2026-05-26,780.00,780.00,740.00,743.00,-1.45
2026-05-25,778.10,778.10,746.00,753.90,1.73
2026-05-22,749.90,751.90,729.40,741.10,-0.64
2026-05-21,745.00,749.00,730.10,745.90,0.12
2026-05-20,744.60,745.00,735.00,745.00,0.28
2026-05-19,733.10,743.70,733.10,742.90,0.87
2026-05-18,777.00,777.00,735.10,736.50,-0.47
2026-05-15,727.00,744.00,727.00,740.00,0.0
2026-05-14,780.00,780.00,730.30,740.00,-0.8
2026-05-13,783.30,783.30,738.00,746.00,0.0
2026-05-12,761.00,761.00,742.20,746.00,-1.84
2026-05-11,794.80,794.80,741.50,760.00,0.4
2026-05-08,770.00,770.00,730.10,757.00,-6.54
2026-05-07,722.00,810.00,720.00,810.00,12.19
2026-05-06,724.00,724.00,718.10,722.00,-0.4
2026-05-05,722.00,733.00,720.00,724.90,-0.01
2026-05-04,756.00,756.00,717.00,725.00,0.69
2026-04-30,718.00,729.00,718.00,720.00,-0.69
2026-04-29,729.00,727.00,720.00,725.00,-0.55
2026-04-28,730.00,739.90,717.00,729.00,-0.14
2026-04-27,752.00,752.00,725.00,730.00,0.0
2026-04-24,755.00,755.00,727.40,730.00,-0.68
2026-04-23,760.00,760.00,731.00,735.00,-1.32
2026-04-22,731.00,745.00,728.10,744.80,0.78
2026-04-21,760.00,760.00,739.00,739.00,-0.79
2026-04-20,750.00,750.00,741.50,744.90,-0.81
2026-04-17,737.00,753.90,730.00,751.00,1.32
2026-04-16,760.00,760.00,736.00,741.20,-1.17
2026-04-15,738.10,752.70,738.10,750.00,1.61
2026-04-13,747.00,747.00,738.10,738.10,-1.59
2026-04-10,765.00,765.00,743.00,750.00,-0.92
2026-04-09,735.00,757.80,735.00,757.00,2.3
2026-04-08,727.00,741.60,727.00,740.00,1.76
2026-04-07,740.00,740.00,726.30,727.20,-0.38
2026-04-06,715.00,740.50,711.00,730.00,2.37
2026-04-05,739.00,739.00,713.10,713.10,-4.92
2026-04-02,748.20,760.00,747.80,750.00,-1.7
2026-04-01,752.20,763.00,748.00,763.00,-0.12
2026-03-31,768.50,770.00,751.20,763.90,0.51
2026-03-30,765.20,774.00,749.90,760.00,-1.55
2026-03-29,772.30,793.00,765.00,772.00,-2.03
2026-03-26,803.00,803.00,774.30,788.00,-0.25
