date,open,high,low,close,volume
2026-06-08,664.10,665.00,663.00,665.00,"1,272,482.00"
2026-06-05,664.10,665.00,663.00,665.00,-0.89
2026-06-04,666.00,672.00,666.00,671.00,-0.56
2026-06-03,674.00,674.90,665.00,674.80,-0.03
2026-06-02,660.00,675.00,660.00,675.00,1.5
2026-06-01,653.80,671.00,651.00,665.00,-1.34
2026-05-27,670.00,681.00,665.00,674.00,0.6
2026-05-26,665.00,676.00,662.00,670.00,-0.74
2026-05-25,670.00,678.90,662.10,675.00,0.88
2026-05-22,668.00,669.60,663.00,669.10,0.62
2026-05-21,660.00,665.00,660.00,665.00,-0.3
2026-05-20,662.00,668.00,661.00,667.00,0.68
2026-05-19,646.20,662.50,646.20,662.50,1.15
2026-05-18,641.00,658.20,641.00,655.00,-0.46
2026-05-15,658.00,660.00,656.00,658.00,-0.45
2026-05-14,664.00,664.00,660.00,661.00,-0.45
2026-05-13,665.00,665.00,660.00,664.00,-0.15
2026-05-12,668.00,670.00,661.50,665.00,-1.48
2026-05-11,668.00,677.00,667.00,675.00,1.81
2026-05-08,656.00,666.00,655.00,663.00,1.07
2026-05-07,663.50,663.50,646.00,656.00,0.43
2026-05-06,653.30,659.00,653.20,653.20,-1.03
2026-05-05,660.00,663.30,653.00,660.00,0.63
2026-05-04,647.00,659.00,647.00,655.90,-1.63
2026-04-30,649.00,666.80,648.10,666.80,1.03
2026-04-29,661.00,661.00,653.20,660.00,-0.15
2026-04-28,664.80,665.00,650.20,661.00,-0.57
2026-04-27,666.00,669.90,652.20,664.80,-0.18
2026-04-24,668.70,666.00,652.10,666.00,-0.4
2026-04-23,670.00,670.00,660.00,668.70,-0.19
2026-04-22,667.30,670.00,660.40,670.00,0.4
2026-04-21,681.00,681.00,666.00,667.30,-1.87
2026-04-20,664.50,680.00,664.00,680.00,1.49
2026-04-17,683.00,683.00,660.10,670.00,-1.11
2026-04-16,685.00,685.00,669.00,677.50,-1.09
2026-04-15,688.00,688.00,670.00,685.00,1.33
2026-04-13,702.00,702.00,676.00,676.00,-1.86
2026-04-10,707.90,707.90,678.00,688.80,-1.29
2026-04-09,673.10,698.00,673.00,697.80,1.68
2026-04-08,672.90,686.30,663.10,686.30,1.99
2026-04-07,687.00,688.40,669.00,672.90,-0.75
2026-04-06,669.00,678.00,660.00,678.00,2.88
2026-04-05,668.00,668.00,650.00,659.00,-3.2
2026-04-02,676.20,683.00,663.00,680.80,-1.32
2026-04-01,697.90,698.00,669.50,689.90,-1.15
2026-03-31,705.00,706.80,675.00,697.90,0.71
2026-03-30,690.10,706.00,685.00,693.00,-1.42
2026-03-29,711.10,723.10,696.00,703.00,-2.77
2026-03-26,719.00,723.00,708.10,723.00,0.56
2026-03-25,736.00,736.00,712.00,719.00,-2.24
2026-03-24,741.50,741.50,718.00,735.50,1.17
2026-03-23,747.00,747.90,720.10,727.00,-1.76
2026-03-22,714.90,754.00,708.00,740.00,5.11
2026-03-19,685.10,707.90,685.10,704.00,1.44
2026-03-17,681.00,694.00,681.00,694.00,0.0
2026-03-16,690.10,700.00,690.10,694.00,-0.98
2026-03-15,694.00,700.90,688.00,700.90,1.88
2026-03-12,683.00,696.00,683.00,688.00,-1.15
2026-03-11,690.10,700.00,688.10,696.00,-0.34
2026-03-10,696.00,710.00,686.00,698.40,2.25
2026-03-09,683.00,683.00,683.00,683.00,1.94
2026-03-03,663.00,673.80,660.00,670.00,1.06
2026-03-01,645.00,666.00,645.00,663.00,1.05
2026-02-26,659.60,668.00,655.00,656.10,-0.53
2026-02-25,657.10,672.00,657.10,659.60,-0.74
2026-02-24,660.00,665.00,652.00,664.50,0.68
2026-02-23,646.60,660.00,646.60,660.00,0.61
2026-02-22,655.00,660.00,655.00,656.00,-0.76
2026-02-17,657.00,669.00,656.10,661.00,-1.2
2026-02-16,670.00,670.00,664.00,669.00,-0.89
2026-02-12,650.20,676.00,650.20,675.00,2.43
2026-02-11,670.00,670.00,659.00,659.00,-0.18
2026-02-10,662.00,672.00,660.00,660.20,-1.46
2026-02-09,672.00,673.00,651.70,670.00,-0.45
2026-02-08,677.10,686.00,673.00,673.00,-0.44
2026-02-05,673.00,681.00,669.00,676.00,-1.31
2026-02-04,669.00,685.00,669.00,685.00,0.74
2026-02-03,671.10,681.90,668.10,680.00,0.15
2026-02-02,671.00,683.00,670.00,679.00,1.19
2026-02-01,701.00,701.00,671.00,671.00,-2.47
2026-01-29,682.10,690.00,682.10,688.00,-1.01
2026-01-28,680.10,697.90,680.10,695.00,0.71
2026-01-27,708.00,714.00,690.00,690.10,-2.53
2026-01-26,707.10,721.20,706.00,708.00,-1.53
2026-01-25,697.10,722.00,697.00,719.00,2.86
2026-01-22,681.10,700.00,671.10,699.00,0.58
2026-01-21,713.90,713.90,694.00,695.00,-1.0
2026-01-20,686.00,710.00,686.00,702.00,2.48
2026-01-18,683.00,686.20,677.60,685.00,1.48
2026-01-14,666.00,675.00,664.50,675.00,-0.44
2026-01-13,670.00,679.00,666.20,678.00,0.18
2026-01-12,668.00,680.00,665.00,676.80,0.1
2026-01-08,666.40,680.00,666.40,676.10,-0.57
2026-01-07,680.00,680.00,673.00,680.00,0.18
2026-01-06,669.00,695.00,664.10,678.80,0.41
2026-01-05,680.00,680.00,669.00,676.00,0.37
2026-01-04,673.00,675.00,662.00,673.50,0.07
2026-01-01,681.00,685.00,668.00,673.00,-1.61
2025-12-31,668.30,684.00,668.30,684.00,0.59
2025-12-29,691.00,691.00,667.00,680.00,0.15
2025-12-28,667.00,679.00,662.00,679.00,1.66
2025-12-24,655.00,673.00,653.80,667.90,0.13
2025-12-23,661.20,671.00,656.10,667.00,0.15
2025-12-22,665.10,671.10,662.00,666.00,-1.26
2025-12-21,679.10,679.10,666.00,674.50,-2.66
2025-12-18,695.00,698.00,681.20,692.90,-0.86
2025-12-17,697.00,706.90,689.50,698.90,0.27
2025-12-16,686.00,703.90,677.00,697.00,1.75
2025-12-15,670.20,694.00,670.10,685.00,0.44
2025-12-14,689.00,690.00,675.40,682.00,-0.07
2025-12-11,677.00,685.00,677.00,682.50,-0.36
2025-12-10,677.00,689.90,677.00,685.00,-0.01
2025-12-09,683.00,699.90,683.00,685.10,-0.71
2025-12-08,694.00,703.00,686.00,690.00,-0.58
2025-12-07,686.00,695.00,686.00,694.00,-0.43
2025-12-03,688.00,709.80,688.00,697.00,-0.71
2025-12-02,709.70,709.70,696.10,702.00,-0.21
2025-12-01,692.10,706.90,690.00,703.50,1.01
2025-11-30,692.80,709.00,690.00,696.50,-1.47
2025-11-27,704.90,709.80,694.00,706.90,0.28
2025-11-26,704.00,704.90,692.10,704.90,0.13
2025-11-25,718.80,718.80,695.00,704.00,-0.11
2025-11-24,712.00,713.70,695.30,704.80,0.71
2025-11-23,700.50,714.60,692.60,699.80,1.88
2025-11-20,680.40,689.00,677.10,686.90,-0.43
2025-11-19,703.00,703.00,679.40,689.90,-0.73
2025-11-18,691.80,702.00,683.00,695.00,0.46
2025-11-17,675.30,694.00,675.30,691.80,0.41
2025-11-16,686.00,691.80,674.30,689.00,0.44
2025-11-13,687.00,690.00,677.00,686.00,1.03
2025-11-12,667.00,680.00,667.00,679.00,0.44
2025-11-11,682.90,682.90,661.50,676.00,0.15
2025-11-10,679.00,705.00,669.00,675.00,0.75
2025-11-09,662.50,672.00,662.50,670.00,-0.74
2025-11-06,684.00,686.00,671.20,675.00,-0.3
2025-11-05,668.70,678.40,668.70,677.00,-0.29
2025-11-04,670.00,680.00,670.00,679.00,-0.44
2025-11-03,693.60,693.60,670.00,682.00,0.29
2025-11-02,669.00,682.00,669.00,680.00,1.64
2025-10-30,674.00,674.00,657.00,669.00,0.0
2025-10-29,662.00,683.40,650.00,669.00,-0.89
2025-10-28,658.00,680.00,646.10,675.00,4.13
2025-10-26,647.00,660.00,647.00,648.20,-1.79
2025-10-19,652.10,663.90,641.10,660.00,0.92
2025-10-16,653.00,660.00,646.80,654.00,-0.89
2025-10-15,653.10,660.00,648.00,659.90,-0.17
2025-10-14,663.10,666.00,651.00,661.00,-2.22
2025-10-13,668.00,681.00,665.00,676.00,1.2
2025-10-12,687.00,688.00,660.10,668.00,-4.57
2025-10-09,704.30,719.00,675.00,700.00,1.38
2025-10-08,705.00,705.00,676.00,690.50,-1.78
2025-10-07,701.00,703.10,687.00,703.00,-1.4
2025-09-28,713.00,715.00,702.00,713.00,0.28
2025-09-25,715.00,715.00,704.00,711.00,-0.82
2025-09-24,713.00,716.90,710.10,716.90,-0.43
2025-09-23,722.00,722.00,710.00,720.00,1.1
2025-09-21,678.70,734.00,670.00,712.19,2.84
2025-09-08,698.00,701.00,691.10,692.49,-0.85
2025-09-07,695.00,705.00,695.00,698.43,-0.59
2025-09-04,705.00,705.00,699.00,702.60,0.25
2025-09-03,708.50,719.00,700.40,700.85,-1.08
2025-09-02,720.00,720.00,705.00,708.50,-0.96
2025-09-01,718.76,720.00,701.70,715.36,-0.47
2025-08-31,735.00,739.90,714.00,718.76,-2.08
2025-08-28,734.00,746.70,732.20,734.02,-1.19
2025-08-27,734.00,749.80,732.00,742.85,0.79
2025-08-26,730.00,740.00,730.00,737.00,0.46
2025-08-25,750.00,755.00,725.00,733.66,-0.32
2025-08-24,736.00,740.00,736.00,736.01,-0.69
2025-08-21,749.30,749.30,737.30,741.15,-1.09
2025-08-20,759.60,774.60,735.00,749.30,0.62
2025-08-19,758.10,763.00,742.10,744.71,0.2
2025-08-18,730.10,750.00,730.10,743.25,0.47
2025-08-17,740.20,750.00,732.00,739.75,-0.71
2025-08-14,741.10,764.00,740.00,745.05,-0.55
2025-08-13,765.00,772.80,746.00,749.16,-1.17
2025-08-12,775.00,775.00,756.40,758.01,-1.76
2025-08-11,808.40,808.40,769.30,771.62,-2.65
2025-08-07,790.10,804.00,790.00,792.63,0.25
2025-08-06,775.00,805.00,771.00,790.68,1.8
2025-08-05,793.50,793.50,769.30,776.72,-0.16
2025-08-04,785.00,797.00,770.00,778.00,-0.54
2025-08-03,805.00,808.00,780.10,782.21,-3.6
2025-07-31,825.00,828.00,810.00,811.42,-0.97
2025-07-30,854.00,854.00,818.00,819.40,-4.23
2025-07-29,844.00,862.80,836.10,855.57,3.1
2025-07-28,816.50,833.00,814.90,829.86,-0.19
2025-07-27,840.00,861.00,830.00,831.47,-0.98
2025-07-24,842.00,853.00,828.00,839.71,-0.22
2025-07-23,868.10,868.10,812.30,841.56,-1.12
2025-07-22,803.00,864.80,803.00,851.13,7.75
2025-07-21,777.00,792.00,766.00,789.93,3.28
2025-07-20,770.00,795.00,751.00,764.85,-2.07
2025-07-17,762.00,783.00,762.00,781.04,2.79
2025-07-16,729.80,770.10,729.80,759.81,2.04
2025-07-15,737.00,748.00,734.00,744.63,0.66
2025-07-14,751.00,755.00,735.00,739.74,-1.05
