date,open,high,low,close,volume
2026-06-08,470.00,470.00,461.00,464.00,"24,936,732.70"
2026-06-05,470.0,470.0,461.0,464.0,-1.28
2026-06-04,460.2,470.0,460.0,470.0,1.45
2026-06-03,472.0,473.0,462.0,463.3,-1.0
2026-06-02,460.0,470.0,460.0,468.0,0.43
2026-06-01,508.2,508.2,462.3,466.0,-3.72
2026-05-27,476.0,489.8,475.0,484.0,1.68
2026-05-26,461.0,478.0,460.5,476.0,3.05
2026-05-25,456.0,465.0,450.1,461.9,1.52
2026-05-22,444.1,455.0,444.0,455.0,1.34
2026-05-21,451.1,456.8,448.1,449.0,-1.32
2026-05-20,444.1,455.0,444.1,455.0,1.56
2026-05-19,442.0,455.0,442.0,448.0,0.18
2026-05-18,442.0,452.0,442.0,447.2,0.02
2026-05-15,451.0,456.9,445.0,447.1,-0.86
2026-05-14,444.0,454.0,438.1,451.0,2.22
2026-05-13,436.0,442.0,430.3,441.2,0.75
2026-05-12,430.0,442.0,430.0,437.9,-0.59
2026-05-11,433.0,443.0,432.1,440.5,1.57
2026-05-08,427.0,434.0,426.4,433.7,1.57
2026-05-07,430.1,433.0,427.0,427.0,-0.93
2026-05-06,429.0,433.9,427.1,431.0,0.19
2026-05-05,428.4,434.0,425.3,430.2,-0.21
2026-05-04,434.0,440.0,430.4,431.1,-0.67
2026-04-30,440.0,440.0,430.7,434.0,-1.14
2026-04-29,465.0,465.0,436.5,439.0,-0.9
2026-04-28,438.5,446.8,438.5,443.0,1.03
2026-04-27,439.3,443.9,437.0,438.5,-0.18
2026-04-24,454.2,454.2,436.1,439.3,-0.39
2026-04-23,444.0,448.9,438.1,441.0,-0.68
2026-04-22,440.0,444.9,437.1,444.0,0.91
2026-04-21,422.8,449.0,422.8,440.0,-1.12
2026-04-20,443.4,445.4,440.2,445.0,-0.22
2026-04-17,450.0,452.0,444.0,446.0,0.43
2026-04-16,455.0,455.0,444.0,444.1,-1.96
2026-04-15,463.0,463.0,450.0,453.0,-0.22
2026-04-13,452.5,459.0,449.0,454.0,2.32
2026-04-10,450.0,450.0,443.2,443.7,-0.76
2026-04-09,449.0,455.9,442.2,447.1,0.68
2026-04-08,442.0,450.1,441.0,444.1,0.48
2026-04-07,451.0,455.0,441.0,442.0,-0.96
2026-04-06,431.0,454.0,427.0,446.3,2.6
2026-04-05,441.2,444.0,431.3,435.0,-2.95
2026-04-02,446.1,456.0,441.0,448.2,-1.06
2026-04-01,464.9,464.9,448.0,453.0,-1.09
2026-03-31,459.0,462.0,446.0,458.0,-0.02
2026-03-30,460.0,464.9,455.0,458.1,-0.41
2026-03-29,470.0,472.0,455.0,460.0,-1.5
2026-03-26,470.0,470.0,456.0,467.0,0.43
2026-03-25,450.0,466.0,450.0,465.0,1.31
2026-03-24,445.0,467.0,445.0,459.0,2.46
2026-03-23,446.0,448.9,437.5,448.0,0.34
2026-03-22,412.6,452.3,396.4,446.5,6.06
2026-03-19,422.0,430.0,418.0,421.0,-0.71
2026-03-17,414.0,426.3,413.6,424.0,0.47
2026-03-16,430.0,430.0,417.1,422.0,-1.63
2026-03-15,433.0,438.0,427.0,429.0,-0.72
2026-03-12,426.2,436.0,426.2,432.1,0.02
2026-03-11,436.0,445.0,432.0,432.0,-1.82
2026-03-10,455.0,455.0,433.0,440.0,-1.39
2026-03-09,437.5,455.1,437.5,446.2,4.01
2026-03-03,417.0,433.9,417.0,429.0,2.95
2026-03-01,410.1,420.9,410.0,416.7,0.65
2026-02-26,418.5,418.5,412.6,414.0,0.0
2026-02-25,415.0,418.0,411.0,414.0,-0.48
2026-02-24,411.0,416.0,409.0,416.0,0.73
2026-02-23,413.1,417.0,411.0,413.0,-0.02
2026-02-22,411.0,425.0,411.0,413.1,-1.41
2026-02-17,428.3,430.0,418.1,419.0,-2.13
2026-02-16,440.0,440.0,428.1,428.1,-1.63
2026-02-12,443.9,448.0,430.3,435.2,-0.02
2026-02-11,445.9,445.9,435.1,435.3,-0.84
2026-02-10,445.0,448.0,437.2,439.0,-1.13
2026-02-09,442.4,448.0,442.3,444.0,-0.89
2026-02-08,448.0,455.0,446.0,448.0,0.0
2026-02-05,445.0,449.9,443.0,448.0,0.45
2026-02-04,456.9,456.9,442.1,446.0,-0.45
2026-02-03,450.0,450.0,440.0,448.0,0.18
2026-02-02,446.0,454.0,446.0,447.2,-0.84
2026-02-01,450.1,458.0,449.0,451.0,-1.53
2026-01-29,454.0,469.0,453.0,458.0,-1.08
2026-01-28,451.2,465.0,449.2,463.0,1.14
2026-01-27,464.0,467.0,450.2,457.8,-1.29
2026-01-26,461.0,475.0,452.3,463.8,0.87
2026-01-25,451.5,461.0,451.5,459.8,0.9
2026-01-22,447.0,455.9,447.0,455.7,1.47
2026-01-21,463.0,463.0,448.2,449.1,-1.28
2026-01-20,444.2,455.9,443.2,454.9,1.77
2026-01-18,442.1,450.0,442.1,447.0,-0.45
2026-01-14,453.0,453.0,441.3,449.0,0.0
2026-01-13,443.0,450.0,441.2,449.0,1.35
2026-01-12,444.0,454.0,440.0,443.0,-1.12
2026-01-08,440.2,450.0,440.2,448.0,0.22
2026-01-07,445.3,463.0,445.3,447.0,-1.54
2026-01-06,455.1,460.0,450.0,454.0,-1.33
2026-01-05,437.0,460.1,437.0,460.1,4.5
2026-01-04,445.0,461.8,440.0,440.3,-0.83
2026-01-01,441.6,448.0,441.6,444.0,-0.45
2025-12-31,450.0,454.0,445.5,446.0,-1.11
2025-12-29,443.3,459.0,443.3,451.0,0.0
2025-12-28,447.0,454.1,444.0,451.0,1.53
2025-12-24,460.0,460.0,442.1,444.2,-2.16
2025-12-23,447.0,454.0,446.9,454.0,0.67
2025-12-22,447.0,465.0,447.0,451.0,-0.53
