date,open,high,low,close,volume
2026-06-08,575.10,584.00,575.10,584.00,"16,590,835.00"
2026-06-05,575.1,584.0,575.1,584.0,0.34
2026-06-04,575.1,583.0,575.1,582.0,0.34
2026-06-03,570.1,580.0,570.0,580.0,0.03
2026-06-02,571.2,579.8,562.5,579.8,0.49
2026-06-01,593.0,593.0,570.0,577.0,-1.7
2026-05-27,592.0,592.0,580.3,587.0,0.69
2026-05-26,575.0,610.0,565.1,583.0,1.25
2026-05-25,550.0,575.8,550.0,575.8,2.09
2026-05-22,568.8,568.8,551.0,564.0,-0.35
2026-05-21,580.0,592.2,564.1,566.0,0.35
2026-05-20,569.0,569.0,555.0,564.0,0.71
2026-05-19,567.0,567.0,550.0,560.0,0.36
2026-05-18,570.0,570.0,555.1,558.0,-0.3
2026-05-15,552.1,561.0,552.1,559.7,0.7
2026-05-14,547.0,560.0,547.0,555.8,-0.39
2026-05-13,555.59,560.0,555.0,558.0,-1.17
2026-05-12,573.7,575.0,560.0,564.6,-1.59
2026-05-11,568.0,575.0,564.0,573.7,1.38
2026-05-08,560.0,566.0,559.0,565.9,0.18
2026-05-07,570.0,570.0,556.0,564.9,0.18
2026-05-06,567.0,571.7,557.0,563.9,0.7
2026-05-05,560.0,565.0,551.0,560.0,0.0
2026-05-04,570.0,576.3,555.0,560.0,-1.91
2026-04-30,569.0,575.0,566.1,570.9,-0.68
2026-04-29,580.0,575.0,566.7,574.8,-0.9
2026-04-28,585.0,590.0,571.0,580.0,-0.85
2026-04-27,589.9,594.0,576.2,585.0,-0.83
2026-04-24,571.0,589.9,571.0,589.9,0.67
2026-04-23,618.7,618.7,579.0,586.0,-1.5
2026-04-22,565.3,599.0,565.3,594.9,-0.02
2026-04-21,605.0,607.0,589.0,595.0,-1.65
2026-04-20,574.0,624.0,574.0,605.0,0.2
2026-04-17,615.8,615.8,592.9,603.8,0.01
2026-04-16,642.8,655.6,637.1,646.0,0.5
2026-04-15,627.0,644.0,627.0,642.8,0.59
2026-04-13,630.0,649.0,630.0,639.0,0.24
2026-04-10,625.0,640.0,618.0,637.5,2.49
2026-04-09,623.6,623.6,610.0,622.0,0.97
2026-04-08,602.0,622.0,602.0,616.0,1.67
2026-04-07,618.9,618.9,601.0,605.9,-0.35
2026-04-06,572.4,616.0,572.4,608.0,4.11
2026-04-05,601.0,601.0,581.5,584.0,-3.31
2026-04-02,605.0,610.0,592.0,604.0,0.52
2026-04-01,620.0,620.0,590.1,600.9,-2.77
2026-03-31,623.0,623.0,610.1,618.0,0.96
2026-03-30,625.0,628.0,610.0,612.1,-2.38
2026-03-29,640.0,640.0,623.0,627.0,-1.57
2026-03-26,631.0,643.0,626.0,637.0,0.95
2026-03-25,642.8,642.8,630.0,631.0,-1.1
2026-03-24,643.0,647.0,631.0,638.0,0.31
2026-03-23,641.0,644.0,631.0,636.0,-0.58
2026-03-22,635.0,647.7,630.0,639.7,1.54
2026-03-19,620.0,639.5,620.0,630.0,0.0
2026-03-17,621.0,631.0,620.0,630.0,0.8
2026-03-16,623.6,633.0,623.1,625.0,-0.32
2026-03-15,628.0,632.9,624.0,627.0,0.02
2026-03-12,628.5,644.0,625.0,626.9,-0.74
2026-03-11,638.0,645.0,631.0,631.6,-1.62
2026-03-10,669.0,669.0,632.0,642.0,-4.04
2026-03-09,643.1,680.0,643.1,669.0,6.11
2026-03-03,630.0,633.9,622.2,630.5,1.37
2026-03-01,619.0,627.5,618.7,622.0,-0.32
2026-02-26,639.0,639.0,621.0,624.0,-1.09
2026-02-25,628.3,634.0,624.0,630.9,1.45
2026-02-24,616.0,625.0,614.1,621.9,0.96
2026-02-23,620.0,620.0,610.6,616.0,0.33
2026-02-22,613.0,620.9,605.0,614.0,0.16
2026-02-17,620.0,621.8,606.0,613.0,0.16
2026-02-16,622.0,622.9,610.0,612.0,-0.33
2026-02-12,610.0,622.0,610.0,614.0,-0.26
2026-02-11,605.0,626.0,605.0,615.6,0.24
2026-02-10,615.0,628.0,612.0,614.1,-0.79
2026-02-09,625.2,648.0,618.0,619.0,-2.67
2026-02-08,642.0,644.5,632.0,636.0,-0.78
2026-02-05,633.0,646.0,633.0,641.0,1.26
2026-02-04,628.0,645.0,625.4,633.0,0.8
2026-02-03,643.0,643.0,620.2,628.0,-2.33
2026-02-02,654.0,658.0,632.0,643.0,-2.13
2026-02-01,673.3,698.0,640.0,657.0,-4.37
2026-01-29,658.5,706.0,657.3,687.0,4.85
2026-01-28,656.6,705.0,650.1,655.2,-2.19
2026-01-27,660.0,674.0,654.0,669.9,0.46
2026-01-26,660.9,679.0,648.0,666.8,2.9
2026-01-25,622.2,648.0,622.2,648.0,2.69
2026-01-22,612.1,632.0,612.1,631.0,1.94
2026-01-21,600.1,620.0,600.1,619.0,1.91
2026-01-20,585.1,610.0,585.1,607.4,1.74
2026-01-18,585.0,615.0,580.1,597.0,2.24
2026-01-14,560.1,600.0,560.1,583.9,2.82
2026-01-13,563.0,569.0,563.0,567.9,0.39
2026-01-12,553.6,567.0,553.6,565.7,0.28
2026-01-08,555.0,565.0,555.0,564.1,-0.16
2026-01-07,564.9,566.4,562.0,565.0,0.04
2026-01-06,555.1,569.59,555.1,564.8,-0.04
2026-01-05,560.0,569.59,560.0,565.0,0.36
2026-01-04,560.0,566.8,558.3,563.0,-0.18
2026-01-01,568.2,568.2,560.1,564.0,0.02
2025-12-31,569.0,569.0,561.3,563.9,0.5
2025-12-29,570.0,572.7,561.1,561.1,-1.56
2025-12-28,560.1,572.0,560.1,570.0,0.02
2025-12-24,560.2,570.0,560.1,569.9,1.05
2025-12-23,559.0,565.0,559.0,564.0,0.89
2025-12-22,575.0,575.0,559.0,559.0,-1.41
2025-12-21,560.0,569.9,560.0,567.0,-0.53
2025-12-18,558.6,626.0,558.6,570.0,0.02
2025-12-17,569.0,571.0,562.0,569.9,0.0
2025-12-16,560.2,570.0,560.0,569.9,0.51
2025-12-15,560.0,582.0,560.0,567.0,-0.54
2025-12-14,560.0,574.0,560.0,570.1,-0.02
2025-12-11,560.0,590.0,560.0,570.2,0.05
2025-12-10,560.6,596.0,560.6,569.9,-0.37
2025-12-09,575.0,575.0,565.0,572.0,0.35
2025-12-08,560.6,571.8,560.6,570.0,-0.35
2025-12-07,578.2,597.7,568.0,572.0,-3.03
2025-12-03,576.5,605.0,576.5,589.9,0.49
2025-12-02,580.0,602.0,579.0,587.0,-0.66
2025-12-01,557.1,610.0,557.1,590.9,4.4
2025-11-30,555.0,580.0,555.0,566.0,0.23
2025-11-27,540.0,566.9,535.1,564.7,4.13
2025-11-26,541.2,545.0,538.0,542.3,0.2
2025-11-25,547.0,547.0,540.0,541.2,0.22
2025-11-24,529.5,548.9,529.5,540.0,0.0
2025-11-23,525.0,545.7,525.0,540.0,0.93
2025-11-20,532.1,535.0,530.0,535.0,0.13
2025-11-19,533.0,536.9,530.0,534.3,0.24
2025-11-18,525.0,534.9,525.0,533.0,1.62
2025-11-17,523.3,530.0,523.3,524.5,-0.47
2025-11-16,530.0,531.5,523.0,527.0,-0.57
2025-11-13,515.5,534.0,515.5,530.0,0.76
2025-11-12,521.0,530.0,518.0,526.0,0.02
2025-11-11,525.2,530.0,523.1,525.9,-0.49
2025-11-10,525.6,533.8,525.1,528.5,-0.09
2025-11-09,525.0,530.0,522.2,529.0,0.19
2025-11-06,530.0,540.0,526.1,528.0,0.0
2025-11-05,527.1,531.0,522.3,528.0,-0.75
2025-11-04,527.3,539.0,527.3,532.0,-0.56
2025-11-03,542.0,550.0,532.3,535.0,-1.29
2025-11-02,530.2,545.0,530.2,542.0,1.31
2025-10-30,528.0,538.7,525.4,535.0,0.38
2025-10-29,518.5,535.9,518.5,533.0,0.79
2025-10-28,519.6,532.0,515.0,528.8,3.08
2025-10-26,515.5,519.9,512.0,513.0,-0.19
2025-10-19,502.1,540.0,502.1,514.0,0.78
2025-10-16,500.1,510.0,500.1,510.0,0.2
2025-10-15,504.1,509.9,500.0,509.0,-0.59
2025-10-14,517.0,518.0,504.2,512.0,-0.39
2025-10-13,511.0,517.0,501.0,514.0,0.61
2025-10-12,525.1,525.1,495.0,510.9,-2.5
2025-10-09,530.0,542.6,514.1,524.0,0.38
