date,open,high,low,close,volume
2026-06-08,"1,366.00","1,400.00","1,365.00","1,399.90","1,838,983.00"
2026-06-05,"1,366.00","1,400.00","1,365.00","1,399.90",-0.01
2026-06-04,"1,450.00","1,454.00","1,384.00","1,400.00",-0.14
2026-06-03,"1,383.00","1,409.00","1,383.00","1,401.90",0.14
2026-06-02,"1,380.00","1,400.00","1,375.00","1,400.00",0.0
2026-06-01,"1,446.90","1,447.00","1,363.00","1,400.00",-0.36
2026-05-27,"1,400.00","1,420.00","1,385.00","1,405.00",0.0
2026-05-26,"1,395.00","1,430.00","1,395.00","1,405.00",0.79
2026-05-25,"1,385.00","1,421.00","1,385.00","1,394.00",-2.11
2026-05-22,"1,400.00","1,430.00","1,350.00","1,424.00",-0.07
2026-05-21,"1,425.00","1,425.00","1,393.00","1,425.00",0.0
2026-05-20,"1,418.90","1,486.00","1,418.90","1,425.00",0.43
2026-05-19,"1,400.00","1,420.00","1,400.00","1,418.90",-1.33
2026-05-18,"1,395.10","1,438.00","1,395.10","1,438.00",0.0
2026-05-15,"1,420.00","1,438.00","1,407.00","1,438.00",-0.07
2026-05-14,"1,450.00","1,450.00","1,400.00","1,439.00",-0.76
2026-05-13,"1,425.10","1,450.00","1,425.00","1,450.00",1.75
2026-05-12,"1,430.00","1,431.00","1,425.00","1,425.00",-2.66
2026-05-11,"1,470.00","1,493.90","1,380.10","1,464.00",0.27
2026-05-08,"1,420.00","1,462.00","1,420.00","1,460.00",0.34
2026-05-07,"1,401.00","1,469.90","1,401.00","1,455.00",0.83
2026-05-06,"1,430.00","1,443.00","1,401.00","1,443.00",1.05
2026-05-05,"1,380.00","1,483.00","1,380.00","1,428.00",0.46
2026-05-04,"1,400.00","1,500.00","1,371.00","1,421.40",-0.73
2026-04-30,"1,392.00","1,433.00","1,392.00","1,431.90",-0.22
2026-04-29,"1,455.50","1,469.00","1,422.00","1,435.00",-1.41
2026-04-28,"1,475.00","1,519.20","1,440.00","1,455.50",-1.32
2026-04-27,"1,479.00","1,519.90","1,474.40","1,475.00",-0.27
2026-04-24,"1,450.00","1,494.90","1,450.00","1,479.00",-0.54
2026-04-23,"1,436.10","1,523.10","1,407.00","1,487.00",0.55
2026-04-22,"1,460.00","1,479.90","1,435.00","1,478.80",-1.08
2026-04-21,"1,490.00","1,512.00","1,470.10","1,495.00",0.34
2026-04-20,"1,550.00","1,550.00","1,466.00","1,490.00",-1.72
2026-04-17,"1,540.00","1,540.00","1,499.00","1,516.00",-1.56
2026-04-16,"1,560.00","1,590.00","1,530.00","1,540.00",0.2
2026-04-15,"1,580.00","1,583.00","1,521.00","1,537.00",-0.97
2026-04-13,"1,578.00","1,585.00","1,550.00","1,552.00",-3.6
2026-04-10,"1,630.00","1,650.00","1,605.00","1,610.00",-1.64
2026-04-09,"1,633.00","1,650.00","1,610.00","1,636.90",0.24
2026-04-08,"1,575.00","1,662.60","1,569.00","1,633.00",2.06
2026-04-07,"1,580.00","1,730.00","1,576.00","1,600.00",0.13
2026-04-06,"1,540.00","1,609.90","1,540.00","1,598.00",1.78
2026-04-05,"1,632.00","1,667.90","1,569.00","1,570.00",-5.71
2026-04-02,"1,690.00","1,690.00","1,650.00","1,665.00",-1.71
2026-04-01,"1,775.00","1,775.00","1,671.20","1,694.00",-2.92
2026-03-31,"1,679.90","1,749.00","1,679.90","1,745.00",3.87
2026-03-30,"1,774.80","1,790.00","1,640.00","1,680.00",-7.23
2026-03-29,"1,895.00","1,895.00","1,806.00","1,811.00",-6.17
2026-03-26,"1,925.00","1,952.90","1,895.00","1,930.00",0.26
2026-03-25,"1,950.00","1,950.00","1,917.00","1,925.00",-1.28
2026-03-24,"1,960.30","1,960.30","1,930.30","1,950.00",-0.53
2026-03-23,"1,984.00","1,984.00","1,940.00","1,960.30",0.45
2026-03-22,"1,927.00","1,960.00","1,893.60","1,951.50",3.25
2026-03-19,"1,858.00","1,900.00","1,857.00","1,890.00",0.05
2026-03-17,"1,827.10","1,890.00","1,827.10","1,889.00",1.83
2026-03-16,"1,871.00","1,900.00","1,855.00","1,855.00",-1.96
2026-03-15,"1,900.10","1,909.90","1,890.00","1,892.00",-1.36
2026-03-12,"1,900.00","1,937.80","1,890.10","1,918.00",-0.98
2026-03-11,"1,945.00","1,945.00","1,911.10","1,936.90",1.14
2026-03-10,"1,966.30","1,966.30","1,911.00","1,915.00",-0.66
2026-03-09,"1,927.80","1,927.80","1,927.80","1,927.80",2.0
2026-03-03,"1,887.90","1,890.00","1,863.00","1,890.00",0.11
2026-03-01,"1,815.00","1,888.00","1,815.00","1,887.90",3.39
2026-02-26,"1,820.00","1,865.60","1,820.00","1,826.00",0.88
2026-02-25,"1,830.00","1,830.00","1,810.00","1,810.00",-1.09
2026-02-24,"1,833.00","1,833.00","1,820.00","1,830.00",0.01
2026-02-23,"1,830.00","1,833.00","1,820.00","1,829.90",-0.01
2026-02-22,"1,880.00","1,880.00","1,823.00","1,830.00",-1.08
2026-02-17,"1,830.10","1,850.00","1,821.70","1,850.00",0.16
2026-02-16,"1,835.00","1,847.00","1,835.00","1,847.00",0.27
2026-02-12,"1,855.00","1,860.00","1,835.00","1,842.00",-0.7
2026-02-11,"1,865.00","1,865.00","1,851.50","1,855.00",0.22
2026-02-10,"1,851.00","1,861.00","1,851.00","1,851.00",-1.54
2026-02-09,"1,876.00","1,880.00","1,850.00","1,880.00",0.16
2026-02-08,"1,870.10","1,899.00","1,849.00","1,877.00",0.54
2026-02-05,"1,885.00","1,900.00","1,858.00","1,867.00",-0.53
2026-02-04,"1,860.00","1,879.00","1,850.00","1,877.00",0.91
2026-02-03,"1,870.00","1,870.00","1,844.40","1,860.00",-1.17
2026-02-02,"1,919.00","1,919.00","1,881.00","1,882.00",0.03
2026-02-01,"1,876.00","1,887.00","1,876.00","1,881.40",-0.98
