date,open,high,low,close,volume
2026-06-08,621.00,621.00,603.10,610.00,"570,006.40"
2026-06-05,621.0,621.0,603.1,610.0,0.0
2026-06-04,580.0,622.0,580.0,610.0,0.49
2026-06-03,618.5,618.5,600.0,607.0,-2.1
2026-06-02,638.0,638.0,600.0,620.0,-0.8
2026-06-01,642.0,642.0,615.1,625.0,-1.51
2026-05-27,660.0,660.0,625.0,634.6,0.75
2026-05-26,625.0,630.9,621.0,629.9,0.78
2026-05-25,630.0,640.0,617.2,625.0,0.0
2026-05-22,615.0,634.0,615.0,625.0,-1.34
2026-05-21,630.0,633.5,617.0,633.5,0.56
2026-05-20,604.0,644.0,604.0,630.0,2.77
2026-05-19,618.0,618.0,600.1,613.0,-0.33
2026-05-18,605.0,615.0,600.0,615.0,-0.45
2026-05-15,615.0,629.3,601.1,617.8,-2.39
2026-05-14,640.0,640.0,607.1,632.9,0.65
2026-05-13,621.1,630.0,618.5,628.8,-1.75
2026-05-12,626.0,644.0,615.0,640.0,-0.78
2026-05-11,621.0,648.5,621.0,645.0,0.78
2026-05-08,620.2,649.0,620.0,640.0,0.16
2026-05-07,660.0,660.0,613.2,639.0,-1.24
2026-05-06,630.5,669.0,630.5,647.0,-0.46
2026-05-05,598.5,692.0,598.5,650.0,3.17
2026-05-04,626.0,635.0,625.0,630.0,-2.33
2026-04-30,631.0,660.0,616.0,645.0,-0.62
2026-04-29,650.0,649.0,630.0,649.0,-0.15
2026-04-28,656.0,655.0,630.5,650.0,-0.91
2026-04-27,660.0,676.5,651.0,656.0,-0.61
2026-04-24,673.9,673.9,640.0,660.0,-1.2
2026-04-23,656.0,675.0,654.8,668.0,-1.04
2026-04-22,680.0,685.0,651.0,675.0,-0.74
2026-04-21,674.1,690.0,669.3,680.0,-1.45
2026-04-20,722.4,722.4,630.9,690.0,0.29
2026-04-17,681.1,694.7,681.1,688.0,-1.01
2026-04-16,691.0,707.9,682.0,695.0,-0.57
2026-04-15,706.0,706.0,690.0,699.0,0.14
2026-04-13,710.0,711.0,690.0,698.0,-0.29
2026-04-10,698.8,717.0,684.9,700.0,-1.82
2026-04-09,682.0,750.0,682.0,713.0,2.6
2026-04-08,668.0,704.0,668.0,694.9,2.04
2026-04-07,703.2,710.0,680.1,681.0,-1.23
2026-04-06,670.0,693.8,660.2,689.5,4.95
2026-04-05,685.0,697.0,657.0,657.0,-5.74
2026-04-02,713.0,713.0,690.0,697.0,-0.98
2026-04-01,705.0,722.0,693.9,703.9,-2.1
2026-03-31,700.0,723.0,696.0,719.0,0.98
2026-03-30,700.0,771.0,696.1,712.0,-0.28
2026-03-29,737.0,742.5,708.0,714.0,-3.12
2026-03-26,715.2,739.9,715.1,737.0,1.11
2026-03-25,710.5,730.0,710.5,728.9,0.54
2026-03-24,734.9,734.9,723.0,725.0,-1.33
2026-03-23,733.0,743.9,726.0,734.8,0.38
2026-03-22,735.0,740.0,717.4,732.0,0.0
2026-03-19,711.1,738.6,710.0,732.0,0.97
2026-03-17,744.4,744.4,708.0,725.0,-0.67
2026-03-16,728.2,754.7,720.0,729.9,-1.67
2026-03-15,753.9,759.9,725.0,742.3,-1.54
2026-03-12,744.7,765.0,736.0,753.9,-0.78
2026-03-11,768.9,783.3,740.0,759.8,-1.18
2026-03-10,804.0,804.0,735.0,768.9,-2.55
2026-03-09,744.3,789.0,744.3,789.0,8.11
2026-03-03,717.0,744.9,706.1,729.8,3.81
2026-03-01,701.0,720.0,701.0,703.0,-1.54
2026-02-26,722.0,735.0,710.1,714.0,0.73
2026-02-25,720.0,723.8,700.0,708.8,-0.21
2026-02-24,721.0,721.0,707.0,710.3,0.04
2026-02-23,708.6,722.7,699.1,710.0,-1.8
2026-02-22,729.1,739.0,708.2,723.0,-2.81
2026-02-17,816.0,816.0,726.0,743.9,-7.01
2026-02-16,725.0,804.0,721.0,800.0,8.18
2026-02-12,733.1,750.0,725.0,739.5,-1.0
2026-02-11,768.0,768.0,715.2,747.0,-0.8
2026-02-10,749.0,760.0,735.0,753.0,-0.91
2026-02-09,779.9,779.9,746.0,759.9,-1.3
2026-02-08,770.0,780.0,763.0,769.9,1.97
2026-02-05,779.9,781.4,740.0,755.0,-1.55
2026-02-04,765.0,779.0,745.0,766.9,-0.4
2026-02-03,805.6,805.6,761.0,770.0,-2.52
2026-02-02,781.1,824.0,775.1,789.9,-0.89
2026-02-01,820.9,820.9,777.7,797.0,-0.98
2026-01-29,808.5,824.6,780.0,804.9,-2.44
2026-01-28,830.1,850.0,795.0,825.0,-2.6
2026-01-27,840.0,856.8,823.2,847.0,0.83
2026-01-26,820.0,865.0,810.0,840.0,2.44
2026-01-25,840.0,840.0,808.0,820.0,-0.61
2026-01-22,829.0,830.0,783.0,825.0,0.32
2026-01-21,832.1,865.0,821.0,822.4,-3.13
2026-01-20,804.4,874.6,804.4,849.0,3.44
2026-01-18,801.0,825.0,801.0,820.8,0.47
2026-01-14,810.0,824.9,801.6,817.0,0.12
2026-01-13,795.0,828.0,795.0,816.0,0.59
2026-01-12,812.5,832.0,811.2,811.2,-2.15
2026-01-08,817.4,833.0,811.0,829.0,-0.6
2026-01-07,823.2,854.9,822.0,834.0,-0.71
2026-01-06,821.3,852.0,805.0,840.0,0.24
2026-01-05,831.1,840.0,816.0,838.0,-1.18
2026-01-04,831.0,874.0,814.4,848.0,0.01
2026-01-01,835.0,858.0,835.0,847.9,-0.13
2025-12-31,842.8,859.0,840.1,849.0,-1.28
2025-12-29,864.4,881.0,842.0,860.0,-2.49
2025-12-28,811.5,882.0,800.0,882.0,6.52
2025-12-24,830.0,851.0,825.1,828.0,-2.13
2025-12-23,823.2,856.0,814.0,846.0,0.71
2025-12-22,808.5,856.0,808.5,840.0,1.82
2025-12-21,874.0,890.0,825.0,825.0,-7.45
2025-12-18,892.0,933.0,850.0,891.4,-2.02
2025-12-17,921.2,921.2,868.0,909.8,-3.21
2025-12-16,876.0,945.0,856.8,940.0,5.38
2025-12-15,869.0,892.0,845.5,892.0,2.65
2025-12-14,813.4,869.0,813.4,869.0,4.7
2025-12-11,840.0,840.0,811.1,830.0,-2.35
2025-12-10,846.6,861.0,815.4,850.0,2.41
2025-12-09,790.0,837.5,790.0,830.0,7.15
2025-12-08,690.2,774.6,690.2,774.6,10.0
2025-12-07,707.6,724.2,701.0,704.2,-2.47
2025-12-03,684.1,725.0,684.1,722.0,3.44
2025-12-02,704.0,704.0,682.2,698.0,1.01
2025-12-01,689.0,697.5,680.0,691.0,2.22
2025-11-30,682.0,704.3,676.0,676.0,-1.89
2025-11-27,688.0,692.0,681.5,689.0,0.15
2025-11-26,691.0,691.0,678.0,688.0,-0.43
2025-11-25,683.0,691.0,674.0,691.0,-0.3
2025-11-24,705.0,732.0,684.0,693.1,0.16
2025-11-23,685.0,698.0,685.0,692.0,1.02
2025-11-20,686.0,690.0,675.0,685.0,-0.44
2025-11-19,690.0,690.0,681.0,688.0,-0.72
2025-11-18,703.0,703.0,683.5,693.0,-0.29
2025-11-17,691.1,700.0,678.1,695.0,-0.43
2025-11-16,715.0,715.0,691.0,698.0,-0.7
2025-11-13,714.0,720.0,696.2,702.9,0.41
2025-11-12,702.0,715.0,700.0,700.0,-1.69
2025-11-11,697.1,723.0,697.1,712.0,0.28
2025-11-10,709.1,712.0,709.0,710.0,-1.66
2025-11-09,704.1,722.0,704.1,722.0,0.98
2025-11-06,718.0,731.0,710.0,715.0,-2.32
2025-11-05,704.7,732.0,703.1,732.0,1.81
2025-11-04,711.0,723.0,710.0,719.0,0.56
2025-11-03,718.9,724.8,703.7,715.0,-0.54
2025-11-02,723.0,723.0,707.1,718.9,1.4
2025-10-30,703.2,719.0,703.2,709.0,-1.1
2025-10-29,691.9,729.9,691.9,716.9,1.54
2025-10-28,695.8,720.0,695.0,706.0,-0.56
2025-10-26,690.0,717.9,676.5,710.0,0.85
2025-10-19,660.1,704.0,660.1,704.0,4.53
2025-10-16,693.9,699.9,655.0,673.5,-4.87
2025-10-15,709.0,711.8,695.1,708.0,1.14
2025-10-14,714.5,714.5,700.0,700.0,-3.98
2025-10-13,707.0,729.0,704.0,729.0,2.39
2025-10-12,731.3,731.3,685.1,712.0,-0.7
2025-10-09,738.3,738.3,717.0,717.0,-0.97
2025-10-08,728.0,728.0,704.0,724.0,1.4
2025-10-07,759.9,759.9,708.1,714.0,-4.16
