date,open,high,low,close,volume
2026-06-08,"1,250.00","1,260.00","1,245.00","1,255.00","692,731.40"
2026-06-05,"1,250.00","1,260.00","1,245.00","1,255.00",-0.48
2026-06-04,"1,272.00","1,272.00","1,260.00","1,261.10",-0.7
2026-06-03,"1,252.00","1,276.00","1,242.00","1,270.00",-0.47
2026-06-02,"1,268.00","1,279.90","1,250.10","1,276.00",0.63
2026-06-01,"1,285.00","1,285.00","1,262.00","1,268.00",-2.39
2026-05-27,"1,280.00","1,300.00","1,280.00","1,299.00",1.48
2026-05-26,"1,270.00","1,292.00","1,270.00","1,280.00",-0.62
2026-05-25,"1,260.00","1,288.00","1,260.00","1,288.00",2.55
2026-05-22,"1,248.00","1,260.00","1,240.00","1,256.00",0.64
2026-05-21,"1,231.00","1,249.00","1,231.00","1,248.00",0.32
2026-05-20,"1,229.00","1,249.00","1,229.00","1,244.00",0.73
2026-05-19,"1,250.00","1,250.00","1,225.00","1,235.00",-1.2
2026-05-18,"1,236.00","1,255.00","1,226.10","1,250.00",1.08
2026-05-15,"1,240.00","1,261.10","1,236.60","1,236.60",0.03
2026-05-14,"1,240.00","1,260.00","1,236.10","1,236.20",-2.27
2026-05-13,"1,253.00","1,264.90","1,250.00","1,264.90",1.19
2026-05-12,"1,274.90","1,274.90","1,250.00","1,250.00",-1.96
2026-05-11,"1,271.00","1,276.00","1,259.00","1,275.00",1.38
2026-05-08,"1,269.60","1,269.70","1,255.00","1,257.60",-0.35
2026-05-07,"1,240.00","1,267.00","1,238.00","1,262.00",0.8
2026-05-06,"1,248.00","1,259.00","1,240.00","1,252.00",0.32
2026-05-05,"1,270.00","1,280.00","1,246.00","1,248.00",-1.74
2026-05-04,"1,295.00","1,295.00","1,270.10","1,270.10",-1.85
2026-04-30,"1,298.00","1,300.00","1,280.00","1,294.00",-0.31
2026-04-29,"1,324.00","1,319.00","1,298.00","1,298.00",-1.96
2026-04-28,"1,340.00","1,341.10","1,318.00","1,324.00",-1.19
2026-04-27,"1,330.00","1,350.00","1,330.00","1,340.00",0.75
2026-04-24,"1,316.00","1,360.00","1,300.10","1,330.00",-0.37
2026-04-23,"1,350.00","1,350.00","1,325.00","1,335.00",-1.04
2026-04-22,"1,321.00","1,350.00","1,315.00","1,349.00",-0.44
2026-04-21,"1,381.00","1,381.00","1,355.00","1,355.00",-0.29
2026-04-20,"1,350.60","1,390.00","1,350.60","1,359.00",0.62
2026-04-17,"1,352.00","1,364.90","1,337.00","1,350.60",-0.54
2026-04-16,"1,370.00","1,375.00","1,357.00","1,358.00",-1.67
2026-04-15,"1,365.10","1,389.90","1,365.00","1,381.00",-0.48
2026-04-13,"1,387.00","1,400.00","1,355.00","1,387.70",0.05
2026-04-10,"1,400.00","1,410.00","1,370.00","1,387.00",-1.63
2026-04-09,"1,364.00","1,428.00","1,364.00","1,410.00",3.45
2026-04-08,"1,334.00","1,380.10","1,334.00","1,363.00",0.2
2026-04-07,"1,380.00","1,385.00","1,360.00","1,360.30",-1.21
2026-04-06,"1,356.00","1,383.10","1,345.00","1,377.00",3.53
2026-04-05,"1,392.00","1,400.00","1,322.00","1,330.00",-6.34
2026-04-02,"1,427.00","1,443.00","1,399.00","1,420.00",-0.56
2026-04-01,"1,445.00","1,450.00","1,420.00","1,428.00",-2.99
2026-03-31,"1,496.00","1,496.00","1,444.00","1,472.00",-0.06
2026-03-30,"1,444.00","1,495.00","1,444.00","1,472.90",0.33
2026-03-29,"1,514.80","1,514.80","1,456.00","1,468.00",-2.78
2026-03-26,"1,501.50","1,517.50","1,496.00","1,510.00",0.0
