date,open,high,low,close,volume
2026-06-08,702.70,714.00,702.70,705.30,"1,357,438.90"
2026-06-05,702.70,714.00,702.70,705.30,-0.94
2026-06-04,747.00,747.00,703.00,712.00,-4.69
2026-06-03,680.20,747.00,680.20,747.00,8.73
2026-06-02,715.00,715.00,675.00,687.00,0.44
2026-06-01,685.00,688.00,661.00,684.00,-0.87
2026-05-27,685.00,700.00,685.00,690.00,-0.72
2026-05-26,690.00,700.00,690.00,695.00,-1.14
2026-05-25,691.20,708.00,691.20,703.00,1.17
2026-05-22,675.50,694.90,675.50,694.90,1.74
2026-05-21,680.00,689.00,680.00,683.00,-0.03
2026-05-20,670.00,690.00,670.00,683.20,0.38
2026-05-19,680.00,692.00,678.20,680.60,-1.39
2026-05-18,687.00,697.00,686.00,690.20,-0.4
2026-05-15,660.80,701.00,660.80,693.00,-0.36
2026-05-14,688.00,700.00,688.00,695.50,-1.14
2026-05-13,710.00,710.00,700.10,703.50,-1.48
2026-05-12,735.00,735.00,713.00,714.10,-1.65
2026-05-11,715.90,726.10,698.10,726.10,4.31
2026-05-08,680.00,700.40,680.00,696.10,0.45
2026-05-07,686.00,695.00,686.00,693.00,0.26
2026-05-06,690.20,706.00,690.20,691.20,-1.68
2026-05-05,695.00,709.90,695.00,703.00,0.14
2026-05-04,691.00,705.00,690.00,702.00,0.85
2026-04-30,672.00,706.00,672.00,696.10,-1.26
2026-04-29,724.90,724.10,703.00,705.00,-2.75
2026-04-28,736.00,740.00,720.50,724.90,-1.51
2026-04-27,735.00,750.00,734.00,736.00,0.14
2026-04-24,740.00,740.00,727.10,735.00,-0.68
2026-04-23,732.40,748.00,732.40,740.00,-1.33
2026-04-22,755.00,759.00,740.00,750.00,-1.96
2026-04-21,755.00,765.00,750.10,765.00,-1.03
2026-04-20,778.00,778.00,754.70,773.00,-0.64
2026-04-17,755.00,778.20,755.00,778.00,1.7
2026-04-16,789.00,789.00,760.00,765.00,-1.16
2026-04-15,780.00,789.00,765.00,774.00,-0.77
2026-04-13,765.40,780.00,765.40,780.00,-0.13
2026-04-10,787.40,795.00,765.60,781.00,1.15
2026-04-09,770.00,787.00,766.10,772.10,0.73
2026-04-08,762.10,776.00,755.00,766.50,0.58
2026-04-07,751.00,775.00,751.00,762.10,1.61
2026-04-06,721.30,762.90,721.30,750.00,2.03
2026-04-05,748.10,759.00,735.00,735.10,-3.57
2026-04-02,758.00,775.00,755.00,762.30,-1.27
2026-04-01,782.20,791.00,771.10,772.10,-2.64
2026-03-31,780.00,800.00,780.00,793.00,0.37
2026-03-30,790.00,815.00,780.10,790.10,-0.11
2026-03-29,820.00,822.10,785.00,791.00,-3.54
2026-03-26,810.00,820.00,805.00,820.00,0.74
2026-03-25,815.00,847.70,809.00,814.00,-2.06
2026-03-24,863.90,863.90,825.00,831.10,-1.88
2026-03-23,865.00,876.00,830.00,847.00,-0.35
2026-03-22,775.00,850.40,775.00,850.00,9.95
2026-03-19,771.00,782.40,740.50,773.10,0.27
2026-03-17,781.00,781.00,761.00,771.00,0.61
2026-03-16,778.00,778.20,766.00,766.30,-1.52
2026-03-15,778.10,789.70,777.00,778.10,0.14
2026-03-12,780.00,790.00,770.00,777.00,-0.77
2026-03-11,805.60,805.60,781.50,783.00,-0.87
2026-03-10,770.00,795.00,770.00,789.90,4.3
2026-03-03,760.00,760.00,750.00,757.30,1.24
2026-03-01,740.20,752.90,740.20,748.00,0.12
2026-02-26,750.00,757.00,747.10,747.10,0.01
2026-02-25,758.90,758.90,745.60,747.00,0.27
2026-02-24,755.00,759.00,745.00,745.00,-1.32
2026-02-23,770.00,770.00,755.00,755.00,-1.11
2026-02-22,760.00,769.90,750.00,763.50,0.46
2026-02-17,751.20,782.30,740.00,760.00,1.33
2026-02-16,775.00,775.00,750.00,750.00,-1.32
2026-02-12,770.00,770.00,750.00,760.00,-0.65
2026-02-11,785.00,785.00,765.00,765.00,-0.65
2026-02-10,775.00,779.00,770.00,770.00,-0.52
2026-02-09,786.00,786.00,771.00,774.00,0.13
2026-02-08,769.00,786.00,769.00,773.00,0.52
2026-02-05,765.00,781.00,760.00,769.00,0.35
