date,open,high,low,close,volume
2026-06-08,481.10,491.00,481.10,490.00,"1,214,051.20"
2026-06-05,481.1,491.0,481.1,490.0,0.62
2026-06-04,481.0,495.5,481.0,487.0,-1.62
2026-06-03,491.0,500.1,485.1,495.0,-0.5
2026-06-02,485.0,497.5,483.5,497.5,2.58
2026-06-01,484.2,496.0,482.0,485.0,-2.81
2026-05-27,513.0,513.0,494.0,499.0,0.16
2026-05-26,500.0,509.0,496.2,498.2,-1.74
2026-05-25,514.7,514.7,495.0,507.0,1.4
2026-05-22,488.0,500.0,488.0,500.0,-0.3
2026-05-21,502.5,510.0,491.2,501.5,-0.2
2026-05-20,477.2,519.0,477.2,502.5,3.16
2026-05-19,475.2,490.0,475.2,487.1,-0.39
2026-05-18,482.1,490.0,482.1,489.0,0.41
2026-05-15,471.0,487.0,471.0,487.0,2.94
2026-05-14,489.0,489.0,472.0,473.1,-1.62
2026-05-13,474.0,485.0,470.8,480.9,-0.85
2026-05-12,509.7,509.7,485.0,485.0,-2.0
2026-05-11,486.0,510.7,485.0,494.9,2.04
2026-05-08,471.0,485.0,471.0,485.0,1.68
2026-05-07,475.1,478.0,470.5,477.0,-0.83
2026-05-06,471.0,481.0,470.3,481.0,0.71
2026-05-05,470.0,479.9,470.0,477.6,1.06
2026-05-04,496.0,496.0,471.2,472.6,-4.49
2026-04-30,481.0,496.0,481.0,494.8,-0.04
2026-04-29,512.2,510.3,495.0,495.0,-3.36
2026-04-28,519.0,521.0,512.0,512.2,-1.31
2026-04-27,520.0,525.0,510.0,519.0,-0.19
2026-04-24,510.0,520.0,510.0,520.0,0.0
2026-04-23,539.0,539.0,518.2,520.0,-1.7
2026-04-22,544.5,544.5,520.0,529.0,-0.21
2026-04-21,562.2,562.2,525.0,530.1,-2.89
2026-04-20,552.0,552.0,520.1,545.9,1.85
2026-04-17,540.0,540.0,523.0,536.0,1.09
2026-04-16,550.5,550.5,528.0,530.2,-2.34
2026-04-15,540.0,550.0,535.0,542.9,0.54
2026-04-13,527.6,545.0,522.0,540.0,0.37
2026-04-10,537.0,542.1,532.0,538.0,-0.76
2026-04-09,540.0,550.0,523.0,542.1,0.95
2026-04-08,517.0,542.6,517.0,537.0,2.48
2026-04-07,517.0,539.0,514.1,524.0,0.77
2026-04-06,508.0,538.0,508.0,520.0,0.37
2026-04-05,530.3,540.0,515.1,518.1,-4.06
2026-04-02,533.0,560.9,523.0,540.0,-0.39
2026-04-01,558.0,559.0,537.1,542.1,-2.94
2026-03-31,560.0,564.0,553.4,558.5,-0.27
2026-03-30,566.0,577.0,560.0,560.0,-1.23
2026-03-29,573.2,584.0,567.0,567.0,-3.04
2026-03-26,576.2,586.0,572.0,584.8,0.65
2026-03-25,577.0,591.0,577.0,581.0,-0.68
2026-03-24,576.1,600.0,570.0,585.0,0.86
2026-03-23,573.3,585.8,573.3,580.0,-0.85
2026-03-22,578.2,592.0,578.2,585.0,-0.85
2026-03-19,580.0,600.0,576.1,590.0,0.43
2026-03-17,575.0,597.0,570.1,587.5,1.63
2026-03-16,576.3,610.0,575.0,578.1,-1.68
2026-03-15,576.3,588.0,576.3,588.0,0.0
2026-03-12,572.4,624.0,572.4,588.0,0.68
2026-03-11,571.5,594.6,571.5,584.0,0.15
2026-03-10,600.0,600.0,575.1,583.1,-1.17
2026-03-09,579.0,590.0,579.0,590.0,3.91
2026-03-03,566.0,574.8,555.2,567.8,0.3
2026-03-01,548.0,566.1,548.0,566.1,1.63
2026-02-26,560.0,564.0,553.1,557.0,-0.36
2026-02-25,557.0,564.0,557.0,559.0,-1.06
2026-02-24,545.3,567.0,545.3,565.0,1.62
2026-02-23,553.1,560.0,553.0,556.0,-1.42
2026-02-22,571.9,571.9,551.0,564.0,0.53
2026-02-17,561.1,570.0,560.0,561.0,-1.08
2026-02-16,568.0,580.0,563.0,567.1,-0.51
2026-02-12,560.5,576.3,560.5,570.0,1.06
2026-02-11,570.0,577.0,563.0,564.0,-1.05
2026-02-10,581.4,604.8,563.0,570.0,0.0
2026-02-09,570.0,579.9,567.0,570.0,-1.72
2026-02-08,590.0,596.2,578.0,580.0,-2.31
2026-02-05,565.0,600.0,565.0,593.7,3.78
2026-02-04,572.0,585.0,570.5,572.1,-0.52
2026-02-03,577.9,583.1,566.5,575.1,1.41
2026-02-02,570.4,582.0,567.0,567.1,-2.56
2026-02-01,590.0,599.0,569.0,582.0,-2.37
2026-01-29,610.0,628.4,596.0,596.1,-3.23
2026-01-28,608.5,627.3,608.5,616.0,-0.79
2026-01-27,587.2,652.0,587.2,620.9,3.69
2026-01-26,580.0,604.1,575.0,598.8,3.24
2026-01-25,572.0,580.0,565.0,580.0,3.02
2026-01-22,572.0,572.0,551.8,563.0,0.0
2026-01-21,570.0,581.5,557.0,563.0,-0.53
2026-01-20,575.0,579.9,559.1,566.0,0.37
2026-01-18,547.9,570.0,547.9,563.9,0.88
2026-01-14,555.0,568.9,555.0,559.0,-0.18
2026-01-13,556.2,563.0,556.2,560.0,0.0
2026-01-12,577.0,577.0,558.0,560.0,-1.15
2026-01-08,565.0,570.0,560.0,566.5,0.43
2026-01-07,578.0,580.0,560.1,564.1,-0.74
2026-01-06,566.2,575.0,566.2,568.3,0.04
2026-01-05,577.0,577.0,563.1,568.1,0.37
2026-01-04,560.0,576.0,560.0,566.0,0.27
2026-01-01,565.0,575.0,554.5,564.5,-0.96
2025-12-31,570.0,590.0,565.0,570.0,0.88
2025-12-29,565.0,580.0,562.4,565.0,-0.88
2025-12-28,570.0,581.4,559.0,570.0,1.44
2025-12-24,563.1,565.0,561.9,561.9,-1.94
2025-12-23,558.6,579.0,558.6,573.0,0.53
2025-12-22,556.7,570.0,556.7,570.0,0.35
2025-12-21,571.0,575.0,560.1,568.0,-1.9
2025-12-18,590.0,590.0,571.0,579.0,-0.09
2025-12-17,572.3,589.0,572.3,579.5,0.26
2025-12-16,566.0,586.7,566.0,578.0,0.49
2025-12-15,579.1,596.8,563.1,575.2,0.56
2025-12-14,579.0,608.0,571.6,572.0,-3.05
2025-12-11,599.0,601.5,588.0,590.0,-1.62
2025-12-10,592.9,614.3,592.9,599.7,-0.86
2025-12-09,556.1,613.9,556.1,604.9,7.25
