date,open,high,low,close,volume
2026-06-08,"1,430.00","1,472.90","1,430.00","1,451.00","137,824.00"
2026-06-05,"1,430.00","1,472.90","1,430.00","1,451.00",1.47
2026-06-04,"1,429.00","1,431.00","1,429.00","1,430.00",-1.38
2026-06-03,"1,432.00","1,450.00","1,431.00","1,450.00",0.9
2026-06-02,"1,431.00","1,450.00","1,431.00","1,437.10",0.43
2026-06-01,"1,470.00","1,499.00","1,430.20","1,431.00",-2.65
2026-05-27,"1,451.00","1,499.00","1,451.00","1,470.00",-1.67
2026-05-26,"1,454.00","1,505.00","1,454.00","1,495.00",-0.1
2026-05-25,"1,499.00","1,499.00","1,455.00","1,496.50",1.11
2026-05-22,"1,485.00","1,485.00","1,441.00","1,480.00",1.78
2026-05-21,"1,484.00","1,499.00","1,454.10","1,454.10",-0.4
2026-05-20,"1,430.00","1,469.90","1,430.00","1,460.00",1.96
2026-05-19,"1,430.00","1,470.00","1,430.00","1,432.00",0.14
2026-05-18,"1,493.00","1,530.00","1,428.00","1,430.00",-1.38
2026-05-15,"1,460.00","1,460.00","1,435.00","1,450.00",-0.68
2026-05-14,"1,460.00","1,460.00","1,450.00","1,460.00",0.0
2026-05-13,"1,500.00","1,500.00","1,450.00","1,460.00",0.0
2026-05-12,"1,503.00","1,503.00","1,458.50","1,460.00",-2.87
2026-05-11,"1,450.00","1,550.00","1,450.00","1,503.10",5.11
2026-05-08,"1,437.80","1,437.80","1,390.00","1,430.00",2.44
2026-05-07,"1,378.10","1,405.00","1,378.10","1,396.00",-0.64
2026-05-06,"1,450.00","1,450.00","1,400.00","1,405.00",-0.71
2026-05-05,"1,414.00","1,442.00","1,376.00","1,415.00",-0.08
2026-05-04,"1,382.00","1,441.00","1,375.00","1,416.10",-0.06
2026-04-30,"1,460.00","1,460.00","1,417.00","1,417.00",-2.95
2026-04-29,"1,482.00","1,470.00","1,441.10","1,460.00",-1.48
2026-04-28,"1,500.00","1,490.00","1,480.00","1,482.00",-1.2
2026-04-27,"1,500.00","1,500.00","1,485.00","1,500.00",0.0
2026-04-24,"1,530.00","1,530.00","1,490.00","1,500.00",-0.92
2026-04-23,"1,485.00","1,529.50","1,485.00","1,514.00",0.6
2026-04-22,"1,500.00","1,510.00","1,486.00","1,505.00",0.27
2026-04-21,"1,498.00","1,510.00","1,481.00","1,501.00",-0.6
2026-04-20,"1,540.00","1,591.00","1,490.00","1,510.00",0.67
2026-04-17,"1,510.00","1,520.00","1,500.00","1,500.00",-0.66
2026-04-16,"1,502.00","1,532.00","1,502.00","1,510.00",0.53
2026-04-15,"1,515.20","1,545.50","1,502.00","1,502.00",-0.87
2026-04-13,"1,510.00","1,542.00","1,510.00","1,515.20",0.08
2026-04-10,"1,550.10","1,550.10","1,507.30","1,514.00",-1.37
2026-04-09,"1,488.00","1,550.10","1,488.00","1,535.00",1.29
2026-04-08,"1,516.10","1,550.00","1,500.00","1,515.50",-0.3
2026-04-07,"1,516.00","1,540.00","1,516.00","1,520.00",0.33
2026-04-06,"1,516.80","1,535.00","1,490.00","1,515.00",1.88
2026-04-05,"1,555.00","1,555.00","1,457.20","1,487.10",-4.37
2026-04-02,"1,542.00","1,614.00","1,515.00","1,555.00",0.8
2026-04-01,"1,580.00","1,588.00","1,542.60","1,542.60",-1.75
2026-03-31,"1,585.00","1,600.00","1,560.00","1,570.00",-0.45
2026-03-30,"1,585.00","1,630.00","1,575.00","1,577.10",-1.37
2026-03-29,"1,662.00","1,662.00","1,565.10","1,599.00",-3.79
2026-03-26,"1,630.00","1,723.00","1,630.00","1,662.00",1.96
2026-03-25,"1,670.00","1,670.00","1,630.00","1,630.00",-3.21
2026-03-24,"1,725.00","1,725.00","1,680.00","1,684.00",-2.09
2026-03-23,"1,656.00","1,751.00","1,656.00","1,720.00",5.85
2026-03-22,"1,590.00","1,625.00","1,590.00","1,625.00",3.71
2026-03-19,"1,585.00","1,591.00","1,565.00","1,566.90",0.44
2026-03-17,"1,582.00","1,596.00","1,560.00","1,560.00",-1.27
2026-03-16,"1,607.90","1,607.90","1,550.00","1,580.00",-0.06
2026-03-15,"1,600.00","1,632.00","1,572.00","1,581.00",-1.19
2026-03-12,"1,595.00","1,620.00","1,595.00","1,600.00",0.31
2026-03-11,"1,657.50","1,657.50","1,585.00","1,595.00",-1.85
2026-03-10,"1,581.00","1,705.00","1,581.00","1,625.00",4.84
2026-03-03,"1,505.00","1,550.00","1,505.00","1,550.00",0.98
2026-03-01,"1,539.00","1,550.00","1,519.00","1,535.00",-2.23
2026-02-26,"1,610.00","1,635.00","1,545.50","1,570.00",-0.57
2026-02-25,"1,455.00","1,583.00","1,455.00","1,579.00",9.66
2026-02-24,"1,420.00","1,440.00","1,400.00","1,439.90",1.98
2026-02-23,"1,408.00","1,426.90","1,408.00","1,412.00",0.28
2026-02-22,"1,439.00","1,450.00","1,382.10","1,408.00",-4.09
2026-02-17,"1,482.00","1,490.00","1,461.00","1,468.00",-0.95
2026-02-16,"1,500.00","1,500.00","1,482.00","1,482.10",-1.26
2026-02-12,"1,502.00","1,502.00","1,477.00","1,501.00",-0.07
2026-02-11,"1,515.00","1,522.00","1,500.00","1,502.00",-0.2
2026-02-10,"1,501.00","1,533.00","1,501.00","1,505.00",0.0
2026-02-09,"1,540.00","1,541.00","1,505.00","1,505.00",-1.38
2026-02-08,"1,500.00","1,550.00","1,500.00","1,526.00",0.07
2026-02-05,"1,527.00","1,539.00","1,515.00","1,525.00",0.99
2026-02-04,"1,547.30","1,577.90","1,510.00","1,510.00",-0.46
2026-02-03,"1,532.00","1,540.00","1,513.00","1,517.00",-1.17
2026-02-02,"1,530.00","1,569.00","1,530.00","1,535.00",-0.32
2026-02-01,"1,560.00","1,580.00","1,530.00","1,540.00",-1.7
2026-01-29,"1,609.00","1,609.00","1,561.60","1,566.60",-1.16
2026-01-28,"1,565.00","1,588.50","1,565.00","1,585.00",-0.13
2026-01-27,"1,587.50","1,615.00","1,587.00","1,587.00",-0.06
2026-01-26,"1,595.00","1,600.00","1,570.00","1,588.00",-0.38
2026-01-25,"1,624.00","1,624.00","1,590.00","1,594.00",-0.19
2026-01-22,"1,600.00","1,600.00","1,570.00","1,597.00",-0.5
2026-01-21,"1,635.00","1,665.00","1,605.00","1,605.00",0.12
2026-01-20,"1,624.00","1,630.00","1,593.00","1,603.00",0.63
2026-01-18,"1,502.00","1,654.50","1,502.00","1,593.00",5.85
2026-01-14,"1,560.00","1,560.00","1,498.60","1,505.00",-1.63
2026-01-13,"1,600.00","1,600.00","1,530.00","1,530.00",-3.77
2026-01-12,"1,604.00","1,667.00","1,590.00","1,590.00",-0.84
2026-01-08,"1,589.00","1,606.00","1,550.00","1,603.50",-0.16
2026-01-07,"1,734.00","1,734.00","1,576.00","1,606.00",-5.53
2026-01-06,"1,791.90","1,791.90","1,581.30","1,700.00",-3.24
2026-01-05,"1,660.00","1,789.00","1,629.00","1,757.00",7.84
2026-01-04,"1,510.70","1,629.20","1,490.00","1,629.20",10.0
2026-01-01,"1,319.60","1,481.10","1,242.10","1,481.10",10.0
2025-12-31,"1,466.20","1,466.20","1,346.50","1,346.50",-10.0
2025-12-29,"1,629.10","1,629.10","1,496.10","1,496.10",-10.0
2025-12-28,"1,810.10","1,810.10","1,662.30","1,662.30",-10.0
2025-12-24,"1,840.00","1,908.00","1,836.60","1,847.00",-1.44
2025-12-23,"1,860.00","1,889.50","1,855.00","1,874.00",-0.85
2025-12-22,"1,901.00","1,939.00","1,863.00","1,890.00",-1.91
2025-12-21,"1,900.00","1,926.90","1,900.00","1,926.90",0.1
2025-12-18,"1,950.00","1,950.20","1,905.00","1,925.00",0.68
2025-12-17,"1,955.00","1,955.00","1,912.00","1,912.00",-0.34
2025-12-16,"1,940.00","1,950.00","1,918.50","1,918.50",-0.9
2025-12-15,"1,930.00","1,963.00","1,930.00","1,936.00",-0.21
2025-12-14,"1,950.00","1,970.00","1,930.00","1,940.00",-0.51
2025-12-11,"1,947.00","1,949.90","1,930.00","1,949.90",0.15
2025-12-10,"1,921.00","1,994.00","1,921.00","1,947.00",-0.41
2025-12-09,"1,950.10","1,965.00","1,920.00","1,955.00",0.46
2025-12-08,"1,931.00","1,959.00","1,930.40","1,946.00",-0.46
2025-12-07,"1,930.20","1,975.00","1,930.10","1,955.00",-0.56
2025-12-03,"1,976.00","1,985.00","1,966.00","1,966.00",-0.46
2025-12-02,"1,980.00","1,985.00","1,968.00","1,975.00",-0.1
2025-12-01,"1,960.50","1,999.00","1,960.50","1,977.00",-0.95
2025-11-30,"2,015.00","2,025.00","1,960.00","1,995.90",-0.13
2025-11-27,"1,982.00","2,015.00","1,980.00","1,998.50",-0.57
2025-11-26,"2,034.00","2,034.00","1,983.00","2,010.00",-0.45
2025-11-25,"2,001.10","2,019.00","1,991.00","2,019.00",-0.54
2025-11-24,"2,048.00","2,048.10","1,979.60","2,030.00",1.1
2025-11-23,"2,000.00","2,009.00","1,966.10","2,008.00",1.93
2025-11-20,"1,968.90","1,995.00","1,950.00","1,970.00",-1.94
2025-11-19,"1,990.00","2,009.00","1,942.30","2,009.00",0.1
2025-11-18,"2,028.70","2,028.70","1,949.40","2,007.00",0.9
2025-11-17,"1,935.00","1,989.00","1,935.00","1,989.00",1.04
2025-11-16,"1,930.10","2,010.00","1,911.20","1,968.60",1.21
2025-11-13,"1,999.00","1,999.00","1,941.00","1,945.00",-0.77
2025-11-12,"1,960.00","1,965.00","1,955.30","1,960.00",-1.51
2025-11-11,"2,000.00","2,000.00","1,990.00","1,990.00",-2.16
2025-11-10,"1,997.00","2,036.90","1,969.00","2,034.00",-0.15
2025-11-09,"2,000.00","2,040.00","1,960.20","2,037.00",-0.1
2025-11-06,"1,975.00","2,039.90","1,975.00","2,039.00",1.95
2025-11-05,"1,990.00","2,017.50","1,978.00","2,000.00",-1.48
2025-11-04,"2,000.00","2,040.00","1,970.00","2,030.00",-0.1
2025-11-03,"2,056.20","2,092.00","2,030.20","2,032.10",-3.14
2025-11-02,"2,005.00","2,121.60","2,005.00","2,098.00",3.35
2025-10-30,"1,955.00","2,072.00","1,951.20","2,030.00",1.96
2025-10-29,"1,995.00","2,005.00","1,991.00","1,991.00",0.05
2025-10-28,"1,968.60","2,000.00","1,968.60","1,990.00",3.11
2025-10-26,"1,932.00","1,940.00","1,925.00","1,930.00",-1.53
2025-10-19,"1,945.00","1,960.00","1,945.00","1,960.00",0.77
2025-10-16,"1,946.10","1,946.10","1,903.00","1,945.00",-1.77
2025-10-15,"1,970.00","1,999.20","1,960.00","1,980.00",-1.0
2025-10-14,"2,010.00","2,020.00","2,000.00","2,000.00",-0.5
2025-10-13,"2,050.00","2,050.00","2,006.00","2,010.00",-1.95
2025-10-12,"2,053.10","2,053.10","2,005.00","2,049.90",-2.15
2025-10-09,"2,161.00","2,161.00","2,094.00","2,095.00",-1.18
2025-10-08,"2,010.00","2,120.00","2,005.00","2,120.00",3.67
2025-10-07,"2,100.00","2,100.00","2,017.00","2,045.00",-2.62
2025-09-28,"2,110.00","2,114.40","2,080.00","2,100.00",1.3
2025-09-25,"2,100.00","2,134.00","2,072.00","2,073.00",-2.31
2025-09-24,"2,211.30","2,255.00","2,122.00","2,122.00",-2.12
2025-09-23,"2,116.00","2,190.00","2,116.00","2,168.00",4.49
2025-09-21,"1,907.00","2,089.70","1,900.00","2,074.88",8.83
2025-09-18,"1,945.40","1,945.40","1,906.50","1,906.50",-3.96
2025-09-08,"2,025.50","2,036.20","1,970.00","1,985.06",-2.94
2025-09-07,"2,035.00","2,137.00","2,035.00","2,045.22",0.52
2025-09-04,"2,130.00","2,130.00","2,020.00","2,034.72",-2.59
2025-09-03,"2,129.30","2,171.00","2,050.10","2,088.88",0.06
2025-09-02,"2,104.51","2,146.60","2,061.10","2,087.63",-0.8
2025-09-01,"2,085.20","2,135.00","2,085.20","2,104.51",-0.48
2025-08-31,"2,140.00","2,160.00","2,105.30","2,114.64",-1.19
2025-08-28,"2,210.00","2,210.00","2,137.00","2,140.20",-1.37
2025-08-27,"2,190.00","2,233.00","2,149.00","2,170.00",0.91
2025-08-26,"2,150.10","2,224.00","2,150.00","2,150.48",-1.77
2025-08-25,"2,221.00","2,248.00","2,166.10","2,189.19",0.51
2025-08-24,"2,200.00","2,219.80","2,169.00","2,178.16",-0.1
2025-08-21,"2,172.00","2,214.00","2,151.00","2,180.33",0.35
2025-08-20,"2,166.50","2,250.00","2,166.50","2,172.78",-1.7
2025-08-19,"2,190.00","2,244.00","2,170.00","2,210.46",2.17
2025-08-18,"2,161.00","2,195.00","2,160.20","2,163.59",-1.21
2025-08-17,"2,155.00","2,200.00","2,155.00","2,190.10",-0.37
2025-08-14,"2,242.50","2,242.50","2,185.00","2,198.26",-0.02
2025-08-13,"2,210.00","2,243.00","2,190.00","2,198.62",-0.18
2025-08-12,"2,240.00","2,274.00","2,195.20","2,202.58",-2.91
2025-08-11,"2,406.50","2,406.50","2,260.00","2,268.52",-5.72
2025-08-07,"2,414.00","2,561.00","2,325.00","2,406.21",1.65
2025-08-06,"2,195.00","2,367.20","2,195.00","2,367.20",10.0
