date,open,high,low,close,symbol
2021-09-01,544.0,554.0,538.0,548.5,ADBL
2021-09-02,548.0,555.0,540.3,547.0,ADBL
2021-09-05,539.0,542.0,517.1,529.0,ADBL
2021-09-06,529.0,555.0,519.1,555.0,ADBL
2021-09-07,555.0,555.0,544.0,544.0,ADBL
2021-09-08,544.4,544.4,530.0,535.0,ADBL
2021-09-09,538.0,543.0,530.0,535.3,ADBL
2021-09-12,535.0,544.0,535.0,539.0,ADBL
2021-09-13,548.0,553.0,540.0,546.0,ADBL
2021-09-14,550.0,552.0,540.0,547.0,ADBL
2021-09-15,547.0,547.0,535.0,536.0,ADBL
2021-09-16,535.0,535.0,515.0,520.2,ADBL
2021-09-20,525.0,526.0,503.0,507.9,ADBL
2021-09-21,500.0,518.0,492.0,507.0,ADBL
2021-09-22,517.0,535.0,510.0,529.0,ADBL
2021-09-23,539.5,559.0,532.0,545.0,ADBL
2021-09-26,555.7,560.0,536.0,540.0,ADBL
2021-09-27,539.0,539.0,515.0,523.0,ADBL
2021-09-28,525.0,525.0,506.0,509.0,ADBL
2021-09-29,510.0,512.0,494.9,512.0,ADBL
2021-09-30,515.0,517.0,505.0,508.0,ADBL
2021-10-03,508.0,508.0,498.0,498.0,ADBL
2021-10-04,498.0,502.0,491.0,497.0,ADBL
2021-10-05,495.0,507.0,492.0,504.0,ADBL
2021-10-06,514.0,514.9,500.0,506.0,ADBL
2021-10-10,506.0,524.0,505.0,509.5,ADBL
2021-10-11,509.0,510.9,500.0,509.0,ADBL
2021-10-17,509.0,514.9,505.0,507.9,ADBL
2021-10-18,508.0,508.0,494.2,496.0,ADBL
2021-10-19,502.0,502.0,482.0,493.0,ADBL
2021-10-20,502.8,517.1,492.0,503.8,ADBL
2021-10-21,494.0,505.0,494.0,500.2,ADBL
2021-10-24,501.0,505.0,492.0,503.0,ADBL
2021-10-25,504.0,513.0,499.0,512.0,ADBL
2021-10-26,520.0,525.0,513.0,525.0,ADBL
2021-10-27,527.0,558.5,516.0,551.0,ADBL
2021-10-28,555.0,560.0,538.0,538.0,ADBL
2021-10-31,530.0,544.0,524.0,532.0,ADBL
2021-11-01,521.4,535.0,520.0,521.0,ADBL
2021-11-02,521.0,529.9,515.0,528.5,ADBL
2021-11-03,539.0,549.0,533.0,542.9,ADBL
2021-11-08,543.0,544.0,528.0,528.0,ADBL
2021-11-09,528.1,530.0,512.0,515.0,ADBL
2021-11-11,512.0,520.0,500.0,507.0,ADBL
2021-11-14,503.0,510.0,497.0,508.9,ADBL
2021-11-15,510.0,514.9,506.0,506.5,ADBL
2021-11-16,507.0,513.0,500.0,508.0,ADBL
2021-11-17,518.0,518.0,508.2,512.9,ADBL
2021-11-18,503.1,511.0,503.1,508.2,ADBL
2021-11-21,508.0,510.0,502.5,504.0,ADBL
2021-11-22,504.0,509.0,503.0,504.2,ADBL
2021-11-23,500.0,505.0,495.0,497.1,ADBL
2021-11-24,497.0,498.9,495.1,495.9,ADBL
2021-11-25,496.0,499.5,491.0,495.0,ADBL
2021-11-28,491.0,495.0,470.0,476.0,ADBL
2021-11-29,471.0,483.0,469.0,477.5,ADBL
2021-11-30,474.0,480.0,468.0,473.0,ADBL
2021-12-01,472.0,475.0,470.0,473.0,ADBL
2021-12-02,475.0,476.9,467.0,467.0,ADBL
2021-12-05,461.0,465.0,444.0,446.0,ADBL
2021-12-06,446.0,459.0,430.0,451.0,ADBL
2021-12-07,452.1,456.9,448.0,448.0,ADBL
2021-12-08,445.0,445.0,437.0,441.0,ADBL
2021-12-09,440.0,440.0,410.0,439.0,ADBL
2021-12-12,437.0,438.8,421.0,421.0,ADBL
2021-12-13,421.0,421.7,406.1,421.0,ADBL
2021-12-14,429.0,440.0,420.5,437.0,ADBL
2021-12-15,445.0,453.0,430.0,435.0,ADBL
2021-12-16,435.0,441.0,430.1,441.0,ADBL
2021-12-20,449.8,471.9,449.8,463.0,ADBL
2021-12-21,472.1,472.2,458.7,468.0,ADBL
2021-12-22,475.0,488.0,468.0,486.0,ADBL
2021-12-23,494.9,497.0,481.0,496.0,ADBL
2021-12-26,499.1,502.0,495.0,500.0,ADBL
2021-12-27,510.0,510.0,491.0,493.0,ADBL
2021-12-28,493.0,498.0,488.0,494.0,ADBL
2021-12-29,499.0,499.0,488.0,492.0,ADBL
2022-01-02,410.0,412.0,400.1,411.0,ADBL
2022-01-03,416.0,418.0,412.0,415.0,ADBL
2022-01-04,422.0,424.0,410.0,422.0,ADBL
2022-01-05,426.0,430.0,418.0,419.0,ADBL
2022-01-06,420.0,422.0,415.5,421.0,ADBL
2022-01-09,424.0,434.0,420.0,431.0,ADBL
2022-01-10,435.0,437.5,427.0,429.0,ADBL
2022-01-11,429.5,432.9,426.1,428.9,ADBL
2022-01-12,435.0,435.0,422.0,424.0,ADBL
2022-01-13,421.5,426.9,421.5,426.9,ADBL
2022-01-16,433.0,437.0,430.1,435.0,ADBL
2022-01-17,441.0,442.0,435.0,441.0,ADBL
2022-01-18,441.0,448.0,436.9,440.0,ADBL
2022-01-19,440.0,442.0,426.3,433.0,ADBL
