date,open,high,low,close,symbol
2021-09-01,737.0,760.0,725.0,726.0,AHPC
2021-09-02,730.0,744.6,672.0,694.0,AHPC
2021-09-05,680.2,684.0,624.6,641.5,AHPC
2021-09-06,640.0,705.6,637.0,705.6,AHPC
2021-09-07,719.0,719.0,668.0,680.1,AHPC
2021-09-08,690.0,690.0,661.1,675.0,AHPC
2021-09-09,685.0,708.0,676.0,703.6,AHPC
2021-09-12,717.6,745.0,715.0,735.1,AHPC
2021-09-13,749.8,749.8,695.0,704.9,AHPC
2021-09-14,700.0,715.0,686.0,695.0,AHPC
2021-09-15,700.0,700.0,675.3,675.3,AHPC
2021-09-16,688.0,688.0,644.0,654.0,AHPC
2021-09-20,667.0,679.0,590.0,601.0,AHPC
2021-09-21,591.0,623.0,580.0,599.0,AHPC
2021-09-22,610.0,648.0,600.0,642.0,AHPC
2021-09-23,650.0,652.0,609.0,614.0,AHPC
2021-09-26,626.2,626.2,572.0,575.0,AHPC
2021-09-27,533.4,554.0,490.0,492.0,AHPC
2021-09-28,501.2,504.0,446.0,458.0,AHPC
2021-09-29,455.0,495.0,445.0,490.0,AHPC
2021-09-30,499.8,499.8,461.6,467.0,AHPC
2021-10-03,476.3,476.3,430.0,432.0,AHPC
2021-10-04,425.0,442.0,413.0,426.0,AHPC
2021-10-05,426.0,441.0,426.0,437.7,AHPC
2021-10-06,441.1,447.0,431.0,443.0,AHPC
2021-10-10,451.8,452.0,418.5,424.9,AHPC
2021-10-11,433.3,439.0,400.0,405.0,AHPC
2021-10-17,412.0,412.0,400.0,403.0,AHPC
2021-10-18,400.0,403.0,381.6,387.9,AHPC
2021-10-19,384.0,389.0,349.2,354.1,AHPC
2021-10-20,361.1,389.0,361.1,387.0,AHPC
2021-10-21,387.0,400.0,371.0,382.0,AHPC
2021-10-24,384.0,412.0,375.0,403.5,AHPC
2021-10-25,411.0,443.8,409.0,443.8,AHPC
2021-10-26,452.0,482.0,448.0,478.0,AHPC
2021-10-27,485.0,493.6,460.0,471.0,AHPC
2021-10-28,465.0,512.0,461.0,505.0,AHPC
2021-10-31,510.0,545.0,500.0,536.0,AHPC
2021-11-01,545.0,553.0,511.7,514.0,AHPC
2021-11-02,514.0,526.0,499.8,517.0,AHPC
2021-11-03,527.3,545.0,518.0,523.5,AHPC
2021-11-08,530.0,530.1,513.0,518.0,AHPC
2021-11-09,528.3,528.3,483.2,488.0,AHPC
2021-11-11,489.0,493.0,465.0,469.0,AHPC
2021-11-14,469.0,486.0,462.0,475.0,AHPC
2021-11-15,484.5,499.0,478.1,490.0,AHPC
2021-11-16,499.8,510.0,485.0,509.0,AHPC
2021-11-17,515.0,524.0,498.0,498.0,AHPC
2021-11-18,495.0,508.0,487.0,487.0,AHPC
2021-11-21,487.0,504.9,483.0,487.2,AHPC
2021-11-22,496.0,500.0,487.0,490.0,AHPC
2021-11-23,488.0,490.0,474.9,477.0,AHPC
2021-11-24,477.0,493.0,461.0,480.0,AHPC
2021-11-25,483.0,489.0,470.4,474.0,AHPC
2021-11-28,464.6,474.0,447.0,452.7,AHPC
2021-11-29,445.0,470.2,445.0,459.0,AHPC
2021-11-30,461.0,468.0,450.0,462.0,AHPC
2021-12-01,471.2,471.2,456.0,460.0,AHPC
2021-12-02,465.0,465.0,442.5,444.0,AHPC
2021-12-05,445.0,445.0,413.6,424.0,AHPC
2021-12-06,424.0,440.5,401.1,438.0,AHPC
2021-12-07,442.0,448.8,416.5,420.0,AHPC
2021-12-08,420.0,420.0,400.0,401.5,AHPC
2021-12-09,396.0,408.0,389.0,401.0,AHPC
2021-12-12,396.2,399.0,379.1,380.0,AHPC
2021-12-13,373.0,380.0,359.0,362.0,AHPC
2021-12-14,369.0,398.2,367.5,398.2,AHPC
2021-12-15,406.1,425.0,395.0,400.0,AHPC
2021-12-16,400.0,405.0,385.2,386.0,AHPC
2021-12-20,380.0,390.0,375.0,377.0,AHPC
2021-12-21,380.0,398.0,380.0,398.0,AHPC
2021-12-22,405.0,437.8,400.0,437.8,AHPC
2021-12-23,446.5,461.0,431.0,447.0,AHPC
2021-12-26,447.0,455.0,435.0,440.9,AHPC
2021-12-27,441.0,460.0,418.1,423.0,AHPC
2021-12-28,415.0,430.0,410.0,427.0,AHPC
2021-12-29,430.0,435.0,423.0,429.8,AHPC
2022-01-02,434.5,444.0,425.9,442.0,AHPC
2022-01-03,447.0,448.0,435.0,435.0,AHPC
2022-01-04,430.0,448.0,430.0,445.0,AHPC
2022-01-05,447.0,462.0,439.0,450.0,AHPC
2022-01-06,451.0,463.0,435.1,458.1,AHPC
