date,open,high,low,close,symbol
2021-09-01,599.0,606.0,585.0,588.0,BPCL
2021-09-02,588.0,598.0,565.0,575.0,BPCL
2021-09-05,575.0,575.0,519.0,535.0,BPCL
2021-09-06,540.0,588.5,525.0,587.0,BPCL
2021-09-07,596.0,598.0,563.9,575.0,BPCL
2021-09-08,565.0,574.8,551.0,557.0,BPCL
2021-09-09,558.0,565.0,550.0,554.9,BPCL
2021-09-12,565.9,595.6,565.0,592.0,BPCL
2021-09-13,598.0,610.0,580.0,584.0,BPCL
2021-09-14,595.0,595.0,573.0,573.6,BPCL
2021-09-15,570.0,580.0,562.0,564.0,BPCL
2021-09-16,575.2,575.2,535.0,543.8,BPCL
2021-09-20,533.0,551.0,510.0,510.0,BPCL
2021-09-21,500.0,538.0,483.0,508.0,BPCL
2021-09-22,510.0,540.0,510.0,537.0,BPCL
2021-09-23,541.0,550.0,529.0,532.0,BPCL
2021-09-26,532.0,535.0,511.0,511.0,BPCL
2021-09-27,521.2,535.0,500.0,500.3,BPCL
2021-09-28,501.0,508.0,475.0,477.5,BPCL
2021-09-29,475.0,504.0,463.0,500.0,BPCL
2021-09-30,500.0,510.0,488.1,490.0,BPCL
2021-10-03,497.0,497.0,473.4,478.0,BPCL
2021-10-04,470.0,478.0,460.0,467.0,BPCL
2021-10-05,475.0,480.0,465.0,480.0,BPCL
2021-10-06,489.0,493.5,483.0,491.0,BPCL
2021-10-10,500.0,512.2,495.9,500.0,BPCL
2021-10-11,500.0,510.0,490.0,502.0,BPCL
2021-10-17,492.0,509.0,492.0,500.0,BPCL
2021-10-18,493.0,497.0,485.1,485.1,BPCL
2021-10-19,478.0,481.0,459.0,463.0,BPCL
2021-10-20,472.2,492.0,472.0,473.0,BPCL
2021-10-21,480.0,485.0,465.0,466.0,BPCL
2021-10-24,460.0,473.0,460.0,470.0,BPCL
2021-10-25,478.9,507.0,478.9,498.0,BPCL
2021-10-26,507.9,524.8,506.0,518.0,BPCL
2021-10-27,520.0,530.0,505.0,517.6,BPCL
2021-10-28,517.6,521.0,510.0,516.0,BPCL
2021-10-31,520.0,545.0,510.0,543.0,BPCL
2021-11-01,550.0,560.0,534.0,538.0,BPCL
2021-11-02,531.0,540.0,528.0,536.0,BPCL
2021-11-03,546.0,546.0,530.2,530.2,BPCL
2021-11-08,540.8,546.0,534.0,536.0,BPCL
2021-11-09,536.1,538.0,511.0,515.0,BPCL
2021-11-11,517.0,517.0,496.0,497.0,BPCL
2021-11-14,497.0,513.0,497.0,502.0,BPCL
2021-11-15,502.0,515.0,502.0,506.0,BPCL
2021-11-16,506.0,521.0,505.0,519.0,BPCL
2021-11-17,529.0,539.0,520.0,520.0,BPCL
2021-11-18,510.0,527.0,510.0,510.0,BPCL
2021-11-21,515.0,520.0,505.2,515.0,BPCL
2021-11-22,516.0,520.0,509.0,512.0,BPCL
2021-11-23,513.0,513.0,495.0,498.0,BPCL
2021-11-24,496.0,505.0,488.3,505.0,BPCL
2021-11-25,505.0,509.9,497.1,500.0,BPCL
2021-11-28,491.0,495.0,481.0,485.0,BPCL
2021-11-29,485.0,491.0,479.0,484.9,BPCL
2021-11-30,490.0,493.0,479.0,484.0,BPCL
2021-12-01,485.2,490.0,480.2,480.2,BPCL
2021-12-02,482.0,489.7,475.0,476.0,BPCL
2021-12-05,480.0,484.0,457.1,460.0,BPCL
2021-12-06,455.0,474.0,436.0,472.0,BPCL
2021-12-07,479.8,480.0,463.0,463.0,BPCL
2021-12-08,461.6,465.0,442.9,445.0,BPCL
2021-12-09,439.0,447.7,434.0,445.0,BPCL
2021-12-12,440.0,453.0,429.3,430.0,BPCL
2021-12-13,422.0,422.0,398.0,409.0,BPCL
2021-12-14,417.1,438.6,412.0,438.6,BPCL
