date,open,high,low,close,symbol
2023-08-14,10.0,10.0,9.81,9.81,C30MF
2023-08-15,9.62,9.62,9.62,9.62,C30MF
2023-08-16,9.43,9.43,9.25,9.25,C30MF
2023-08-17,9.07,9.07,9.07,9.07,C30MF
2023-08-22,8.89,8.89,8.89,8.89,C30MF
2023-08-23,8.72,8.72,8.06,8.23,C30MF
2023-08-24,8.07,8.23,7.94,8.1,C30MF
2023-08-27,7.94,8.1,7.94,8.1,C30MF
2023-08-28,8.06,8.25,8.06,8.25,C30MF
2023-08-29,8.25,8.25,8.25,8.25,C30MF
2023-08-30,8.15,8.25,8.15,8.25,C30MF
2023-09-03,8.2,8.36,8.2,8.25,C30MF
2023-09-04,8.2,8.36,8.2,8.36,C30MF
2023-09-05,8.35,8.53,8.35,8.4,C30MF
2023-09-07,8.35,8.35,8.35,8.35,C30MF
2023-09-10,8.22,8.46,8.22,8.46,C30MF
2023-09-11,8.35,8.45,8.34,8.45,C30MF
2023-09-12,8.46,8.46,8.33,8.38,C30MF
2023-09-13,8.33,8.4,8.33,8.4,C30MF
2023-09-17,8.4,8.4,8.3,8.32,C30MF
2023-09-18,8.32,8.32,8.32,8.32,C30MF
2023-09-19,8.32,8.32,8.3,8.3,C30MF
2023-09-21,8.14,8.32,8.14,8.14,C30MF
2023-09-24,8.01,8.12,8.01,8.12,C30MF
2023-09-25,7.99,8.1,7.95,7.96,C30MF
2023-09-26,7.83,7.92,7.83,7.91,C30MF
2023-09-27,7.9,8.16,7.9,8.09,C30MF
2023-10-01,7.95,8.25,7.95,8.09,C30MF
2023-10-02,8.01,8.01,7.96,8.0,C30MF
2023-10-03,7.93,7.94,7.93,7.94,C30MF
2023-10-04,7.84,7.95,7.84,7.95,C30MF
2023-10-05,7.83,7.93,7.83,7.93,C30MF
2023-10-08,7.9,7.93,7.9,7.93,C30MF
2023-10-09,7.93,7.93,7.88,7.88,C30MF
2023-10-10,7.92,8.0,7.92,8.0,C30MF
2023-10-11,8.1,8.15,7.91,8.0,C30MF
2023-10-12,7.9,8.0,7.9,8.0,C30MF
2023-10-16,7.89,8.0,7.89,7.9,C30MF
