date,open,high,low,close,symbol
2021-09-01,1836.0,1871.0,1789.0,1794.0,CBBL
2021-09-02,1800.0,1828.0,1781.0,1795.0,CBBL
2021-09-05,1775.0,1798.0,1740.0,1780.0,CBBL
2021-09-06,1780.0,1824.0,1779.0,1824.0,CBBL
2021-09-07,1831.0,1850.0,1782.7,1796.0,CBBL
2021-09-08,1781.0,1800.0,1767.0,1781.0,CBBL
2021-09-09,1790.0,1799.9,1766.1,1777.0,CBBL
2021-09-12,1800.0,1810.0,1780.0,1808.0,CBBL
2021-09-13,1826.0,1839.0,1795.0,1798.0,CBBL
2021-09-14,1800.0,1815.0,1780.0,1783.0,CBBL
2021-09-15,1800.0,1800.0,1760.0,1775.0,CBBL
2021-09-16,1760.0,1760.0,1725.1,1741.0,CBBL
2021-09-20,1775.8,1775.8,1683.0,1686.0,CBBL
2021-09-21,1686.0,1705.0,1630.0,1680.0,CBBL
2021-09-22,1713.0,1738.0,1698.0,1738.0,CBBL
2021-09-23,1750.0,1755.0,1706.0,1725.0,CBBL
2021-09-26,1725.0,1743.0,1696.0,1698.0,CBBL
2021-09-27,1698.0,1698.0,1649.0,1660.0,CBBL
2021-09-28,1660.0,1660.0,1570.0,1580.0,CBBL
2021-09-29,1600.0,1610.0,1550.0,1599.0,CBBL
2021-09-30,1630.0,1630.0,1595.0,1595.2,CBBL
2021-10-03,1600.0,1625.0,1598.0,1600.0,CBBL
2021-10-04,1600.2,1687.0,1580.0,1665.0,CBBL
2021-10-05,1697.0,1742.0,1681.0,1720.0,CBBL
2021-10-06,1754.0,1808.0,1750.0,1790.0,CBBL
2021-10-10,1810.0,1912.5,1779.0,1779.0,CBBL
2021-10-11,1780.0,1780.0,1731.0,1770.0,CBBL
2021-10-17,1799.0,1799.9,1750.0,1770.0,CBBL
2021-10-18,1750.0,1765.0,1690.0,1700.0,CBBL
2021-10-19,1675.1,1675.1,1620.0,1644.0,CBBL
2021-10-20,1676.8,1740.0,1650.0,1669.0,CBBL
2021-10-21,1676.0,1702.0,1647.0,1665.0,CBBL
2021-10-24,1698.0,1698.0,1660.1,1689.9,CBBL
2021-10-25,1710.0,1721.0,1695.0,1720.0,CBBL
2021-10-26,1730.0,1744.9,1718.0,1723.0,CBBL
2021-10-27,1745.0,1745.0,1715.0,1725.0,CBBL
2021-10-28,1725.0,1775.0,1718.0,1759.0,CBBL
2021-10-31,1794.0,1794.0,1770.0,1784.0,CBBL
2021-11-01,1818.0,1818.0,1750.0,1765.0,CBBL
2021-11-02,1779.0,1779.0,1748.0,1768.0,CBBL
2021-11-03,1786.0,1797.0,1765.0,1780.0,CBBL
2021-11-08,1767.0,1792.2,1752.0,1760.0,CBBL
2021-11-09,1755.0,1755.0,1711.0,1718.0,CBBL
2021-11-11,1700.0,1715.0,1680.0,1684.0,CBBL
2021-11-14,1681.0,1724.0,1670.0,1720.0,CBBL
