date,open,high,low,close,symbol
2021-09-01,1200.0,1247.0,1190.0,1206.0,CHDC
2021-09-02,1190.0,1210.0,1153.0,1180.0,CHDC
2021-09-05,1160.0,1160.0,1062.0,1062.0,CHDC
2021-09-06,1050.0,1168.2,1017.0,1160.0,CHDC
2021-09-07,1182.0,1183.0,1088.8,1109.0,CHDC
2021-09-08,1087.0,1100.0,1070.1,1080.0,CHDC
2021-09-09,1089.9,1122.0,1060.0,1098.0,CHDC
2021-09-12,1119.0,1155.0,1100.0,1139.0,CHDC
2021-09-13,1139.0,1157.0,1109.5,1120.0,CHDC
2021-09-14,1108.6,1142.0,1107.0,1129.0,CHDC
2021-09-15,1113.0,1119.0,1093.0,1100.0,CHDC
2021-09-16,1078.0,1100.0,1021.0,1035.0,CHDC
2021-09-20,1015.0,1018.0,931.5,960.0,CHDC
2021-09-21,940.8,980.0,905.2,950.0,CHDC
2021-09-22,967.5,1035.0,967.5,1024.0,CHDC
2021-09-23,1044.0,1044.4,980.0,1015.0,CHDC
2021-09-26,994.7,1035.3,955.0,960.0,CHDC
2021-09-27,960.0,980.0,905.1,922.0,CHDC
2021-09-28,903.6,915.0,845.9,870.0,CHDC
2021-09-29,852.7,917.4,852.7,906.5,CHDC
2021-09-30,920.0,920.0,862.4,864.1,CHDC
2021-10-03,869.0,869.0,785.0,829.0,CHDC
2021-10-04,812.5,828.0,775.0,800.0,CHDC
2021-10-05,784.0,830.0,784.0,830.0,CHDC
2021-10-06,844.9,913.0,829.1,908.0,CHDC
2021-10-10,926.1,926.1,860.0,860.0,CHDC
2021-10-11,860.0,877.2,825.2,831.0,CHDC
2021-10-17,823.0,847.5,800.3,820.0,CHDC
2021-10-18,804.0,804.0,759.1,779.0,CHDC
2021-10-19,763.5,763.5,708.0,735.9,CHDC
2021-10-20,750.6,809.4,741.5,809.4,CHDC
2021-10-21,825.0,825.5,766.1,790.0,CHDC
2021-10-24,774.2,858.8,774.2,835.0,CHDC
2021-10-25,850.0,882.0,840.0,881.9,CHDC
2021-10-26,899.5,916.0,880.0,900.0,CHDC
2021-10-27,900.0,920.0,869.2,910.0,CHDC
2021-10-28,905.0,949.0,887.0,949.0,CHDC
2021-10-31,930.1,979.0,920.0,974.0,CHDC
2021-11-01,990.0,990.0,930.0,930.0,CHDC
2021-11-02,912.0,945.0,894.0,943.6,CHDC
2021-11-03,962.0,975.0,935.0,942.0,CHDC
2021-11-08,935.0,960.0,925.0,935.0,CHDC
2021-11-09,937.0,937.0,863.1,875.4,CHDC
2021-11-11,857.9,889.0,843.0,850.0,CHDC
2021-11-14,845.0,868.0,819.0,850.0,CHDC
2021-11-15,850.0,879.0,850.0,868.8,CHDC
2021-11-16,886.1,907.0,869.0,907.0,CHDC
2021-11-17,912.0,965.0,905.0,923.0,CHDC
2021-11-18,905.1,926.0,892.0,906.0,CHDC
2021-11-21,898.0,910.0,888.1,900.0,CHDC
2021-11-22,886.0,918.0,886.0,903.1,CHDC
2021-11-23,885.2,900.0,875.0,885.0,CHDC
2021-11-24,875.0,890.0,860.0,881.0,CHDC
2021-11-25,880.0,897.0,872.0,884.0,CHDC
