date,open,high,low,close,symbol
2021-09-01,600.0,624.1,577.0,590.0,CHL
2021-09-02,588.0,601.0,557.0,573.0,CHL
2021-09-05,568.0,568.0,515.7,525.0,CHL
2021-09-06,515.0,577.5,515.0,577.5,CHL
2021-09-07,580.0,592.0,558.0,570.0,CHL
2021-09-08,570.0,570.0,540.0,545.0,CHL
2021-09-09,555.0,584.0,546.0,569.0,CHL
2021-09-12,580.3,625.9,580.3,625.9,CHL
2021-09-13,638.4,650.0,590.0,606.9,CHL
2021-09-14,606.0,627.2,601.0,610.1,CHL
2021-09-15,622.0,663.0,608.0,635.0,CHL
2021-09-16,625.0,625.0,593.0,602.0,CHL
2021-09-20,612.0,612.0,545.0,549.0,CHL
2021-09-21,545.0,577.0,515.0,557.0,CHL
2021-09-22,568.1,600.0,568.1,588.0,CHL
2021-09-23,599.7,599.7,568.2,574.9,CHL
2021-09-26,563.6,569.5,538.1,540.1,CHL
2021-09-27,550.9,570.0,499.5,516.0,CHL
2021-09-28,511.0,525.0,475.0,480.0,CHL
2021-09-29,488.0,524.2,464.0,524.2,CHL
2021-09-30,524.2,545.2,503.6,513.0,CHL
2021-10-03,505.0,506.0,470.4,472.0,CHL
2021-10-04,475.0,495.0,451.0,455.0,CHL
2021-10-05,464.1,500.5,464.1,500.0,CHL
2021-10-06,509.9,518.0,490.0,501.1,CHL
2021-10-10,509.8,509.8,475.0,496.9,CHL
2021-10-11,491.0,491.0,447.3,460.0,CHL
2021-10-17,469.2,477.0,460.0,465.0,CHL
2021-10-18,456.0,464.0,431.0,433.1,CHL
2021-10-19,425.0,441.0,389.9,407.0,CHL
2021-10-20,415.0,439.6,412.0,433.0,CHL
2021-10-21,439.0,450.4,417.0,428.0,CHL
2021-10-24,436.5,444.2,421.0,437.1,CHL
2021-10-25,428.5,474.3,428.5,471.0,CHL
2021-10-26,480.0,502.0,473.0,489.0,CHL
2021-10-27,498.6,508.0,477.0,485.0,CHL
2021-10-28,475.3,503.0,475.3,498.0,CHL
2021-10-31,507.0,534.0,497.0,528.0,CHL
2021-11-01,538.0,538.5,510.0,514.0,CHL
2021-11-02,515.0,524.0,500.0,519.0,CHL
2021-11-03,529.0,530.0,490.0,490.0,CHL
2021-11-08,480.2,519.1,480.2,501.9,CHL
2021-11-09,492.0,511.9,467.0,475.0,CHL
2021-11-11,467.0,478.0,454.0,457.0,CHL
2021-11-14,450.0,489.0,447.9,466.0,CHL
2021-11-15,475.0,501.0,475.0,501.0,CHL
2021-11-16,500.0,530.0,499.0,524.9,CHL
2021-11-17,535.0,545.0,515.5,515.5,CHL
2021-11-18,506.1,522.1,500.5,504.0,CHL
2021-11-21,514.0,524.0,503.3,514.0,CHL
2021-11-22,524.0,530.0,517.0,520.0,CHL
2021-11-23,529.0,529.0,500.0,509.0,CHL
2021-11-24,509.0,517.0,491.0,512.0,CHL
2021-11-25,522.2,528.0,507.0,519.0,CHL
2021-11-28,509.0,511.0,494.0,494.3,CHL
2021-11-29,485.0,508.9,484.5,497.0,CHL
2021-11-30,494.0,506.0,490.0,500.0,CHL
2021-12-01,508.9,532.0,508.9,526.2,CHL
2021-12-02,535.0,535.0,500.0,516.0,CHL
2021-12-05,505.7,515.0,496.0,507.0,CHL
2021-12-06,507.0,527.0,500.0,527.0,CHL
2021-12-07,527.1,540.6,508.0,509.0,CHL
2021-12-08,501.0,510.0,485.0,490.0,CHL
2021-12-09,490.0,509.7,481.0,495.8,CHL
2021-12-12,486.1,502.0,468.6,469.0,CHL
2021-12-13,460.0,461.0,425.1,435.0,CHL
2021-12-14,443.0,478.5,443.0,478.5,CHL
2021-12-15,488.0,497.7,467.0,479.0,CHL
2021-12-16,488.5,488.5,458.0,468.9,CHL
2021-12-20,478.2,487.7,445.0,445.0,CHL
2021-12-21,453.9,470.0,444.0,460.0,CHL
2021-12-22,469.2,482.8,463.0,482.7,CHL
2021-12-23,490.0,490.0,466.0,474.9,CHL
2021-12-26,484.3,500.0,480.0,490.0,CHL
2021-12-27,490.0,494.0,466.0,466.0,CHL
2021-12-28,466.0,475.3,457.0,475.0,CHL
2021-12-29,466.1,480.0,466.1,470.0,CHL
2022-01-02,475.0,478.0,461.0,474.0,CHL
2022-01-03,480.0,480.0,463.1,474.8,CHL
2022-01-04,484.0,490.0,474.6,485.0,CHL
2022-01-05,396.0,434.0,396.0,417.9,CHL
2022-01-06,426.0,426.0,411.0,417.8,CHL
2022-01-09,419.0,451.0,418.0,424.0,CHL
2022-01-10,432.4,441.0,424.0,438.0,CHL
2022-01-11,446.0,473.3,425.0,462.0,CHL
2022-01-12,465.0,471.7,440.0,440.0,CHL
2022-01-13,447.9,465.0,439.3,460.1,CHL
2022-01-16,469.3,481.0,459.0,461.0,CHL
2022-01-17,461.0,470.2,449.9,455.0,CHL
2022-01-18,463.0,464.0,441.0,445.0,CHL
2022-01-19,437.0,466.0,437.0,456.0,CHL
2022-01-20,464.0,472.0,458.0,468.0,CHL
2022-01-23,458.7,485.0,458.7,470.0,CHL
2022-01-24,475.0,475.0,439.1,443.0,CHL
2022-01-25,435.0,453.0,434.2,443.0,CHL
2022-01-26,440.0,451.8,425.0,437.0,CHL
2022-01-27,445.0,462.0,428.4,439.9,CHL
2022-01-30,448.6,470.0,448.6,468.0,CHL
2022-01-31,458.7,514.8,455.0,510.0,CHL
2022-02-01,515.0,537.0,498.0,520.0,CHL
2022-02-03,509.6,542.2,509.6,513.0,CHL
2022-02-06,513.0,513.0,489.0,490.5,CHL
2022-02-07,490.0,535.0,485.1,524.0,CHL
2022-02-08,534.4,550.8,507.0,509.0,CHL
2022-02-09,507.0,512.0,495.1,496.0,CHL
2022-02-10,496.0,498.0,487.0,493.0,CHL
2022-02-13,483.2,484.0,466.0,469.0,CHL
2022-02-14,478.0,480.0,453.0,460.0,CHL
2022-02-15,460.0,497.0,456.0,495.0,CHL
2022-02-16,504.0,510.0,475.0,480.0,CHL
2022-02-17,488.9,488.9,475.0,479.7,CHL
2022-02-20,470.2,505.0,452.1,480.0,CHL
2022-02-21,489.0,501.0,471.0,490.0,CHL
2022-02-22,499.8,508.0,491.0,496.0,CHL
2022-02-23,505.9,505.9,489.0,489.0,CHL
2022-02-24,489.0,493.0,470.4,472.0,CHL
