date,open,high,low,close,symbol
2021-05-31,12.2,12.3,12.15,12.25,CMF2
2021-06-01,12.24,12.4,12.01,12.4,CMF2
2021-06-02,12.2,12.4,12.2,12.2,CMF2
2021-06-03,12.2,12.3,12.16,12.24,CMF2
2021-06-06,12.25,12.59,12.25,12.42,CMF2
2021-06-07,12.4,12.64,12.4,12.62,CMF2
2021-06-08,12.5,13.36,12.5,13.36,CMF2
2021-06-09,13.6,14.11,13.39,13.85,CMF2
2021-06-10,13.85,13.9,13.85,13.9,CMF2
2021-06-13,13.7,13.77,13.43,13.57,CMF2
2021-06-14,13.3,13.6,13.3,13.53,CMF2
2021-06-15,13.4,13.5,13.31,13.5,CMF2
2021-06-16,13.7,13.7,13.2,13.2,CMF2
2021-06-17,13.2,13.6,13.2,13.46,CMF2
2021-06-20,13.46,13.5,13.15,13.39,CMF2
2021-06-21,13.14,13.35,13.13,13.13,CMF2
2021-06-22,12.88,13.13,12.65,13.0,CMF2
2021-06-23,12.8,13.1,12.8,12.98,CMF2
2021-06-24,12.77,12.98,12.77,12.87,CMF2
2021-06-27,12.8,13.0,12.8,13.0,CMF2
2021-06-28,13.0,13.25,12.99,12.99,CMF2
2021-06-29,12.74,13.0,12.74,12.95,CMF2
2021-06-30,13.0,13.0,12.78,12.8,CMF2
2021-07-01,12.75,13.0,12.75,12.86,CMF2
2021-07-04,12.8,13.0,12.58,13.0,CMF2
2021-07-05,12.8,13.24,12.8,13.01,CMF2
2021-07-06,13.0,13.4,13.0,13.3,CMF2
2021-07-07,13.05,13.31,13.05,13.3,CMF2
2021-07-08,13.1,13.15,13.0,13.15,CMF2
2021-07-11,12.96,13.15,12.96,13.15,CMF2
2021-07-12,13.0,13.67,13.0,13.64,CMF2
2021-07-13,13.64,13.9,13.5,13.9,CMF2
2021-07-14,13.64,13.9,13.63,13.66,CMF2
2021-07-15,13.7,14.15,13.4,14.15,CMF2
2021-07-18,14.25,14.81,14.25,14.7,CMF2
2021-07-19,14.51,14.65,14.5,14.6,CMF2
2021-07-20,14.65,15.4,14.65,15.34,CMF2
2021-07-22,15.64,16.87,15.64,16.7,CMF2
2021-07-25,16.8,16.85,15.9,16.37,CMF2
2021-07-26,16.69,16.69,15.9,16.0,CMF2
2021-07-27,15.68,16.0,15.41,16.0,CMF2
2021-07-28,15.68,15.86,15.68,15.8,CMF2
2021-07-29,15.8,15.9,15.65,15.83,CMF2
2021-08-01,16.1,16.12,15.81,15.85,CMF2
2021-08-02,15.85,16.0,15.78,15.82,CMF2
2021-08-03,15.52,15.6,15.52,15.55,CMF2
2021-08-04,15.26,15.6,15.26,15.6,CMF2
2021-08-05,15.29,15.5,15.0,15.25,CMF2
2021-08-08,15.5,15.55,15.13,15.22,CMF2
2021-08-09,14.98,15.5,14.98,15.42,CMF2
2021-08-10,15.2,15.26,14.96,15.26,CMF2
2021-08-11,15.0,15.27,14.97,15.25,CMF2
2021-08-12,14.95,15.15,14.95,15.11,CMF2
2021-08-15,15.0,15.15,14.92,15.14,CMF2
2021-08-16,15.14,15.4,14.98,14.99,CMF2
2021-08-17,15.01,15.01,14.73,14.9,CMF2
2021-08-18,15.19,16.09,15.19,15.76,CMF2
2021-08-19,15.99,16.0,15.59,15.75,CMF2
2021-08-24,15.5,16.0,15.5,16.0,CMF2
2021-08-25,16.0,16.0,15.6,15.99,CMF2
2021-08-26,15.7,15.81,15.4,15.44,CMF2
2021-08-29,15.45,15.75,15.35,15.35,CMF2
2021-08-31,15.5,16.04,14.8,15.11,CMF2
2021-09-01,15.3,15.71,15.25,15.54,CMF2
2021-09-02,15.6,15.6,15.3,15.35,CMF2
2021-09-05,15.35,15.96,15.3,15.45,CMF2
2021-09-06,15.4,15.49,15.22,15.4,CMF2
2021-09-07,15.5,15.7,15.25,15.4,CMF2
2021-09-08,15.5,15.78,15.4,15.49,CMF2
2021-09-09,11.27,11.37,10.45,10.9,CMF2
2021-09-12,10.69,10.89,10.5,10.72,CMF2
2021-09-13,10.54,11.14,10.54,11.14,CMF2
2021-09-14,11.0,11.36,10.72,10.72,CMF2
2021-09-15,10.55,10.56,10.53,10.53,CMF2
2021-09-16,10.54,10.54,10.36,10.36,CMF2
2021-09-20,10.3,10.3,9.91,9.91,CMF2
2021-09-21,9.9,10.06,9.68,9.68,CMF2
2021-09-22,9.52,10.27,9.52,10.27,CMF2
