date,open,high,low,close,symbol
2021-09-01,1107.4,1151.0,1021.0,1065.0,CORBL
2021-09-02,1065.0,1065.0,996.0,996.0,CORBL
2021-09-05,977.0,980.0,901.0,920.0,CORBL
2021-09-06,902.0,1010.0,891.0,1008.0,CORBL
2021-09-07,988.0,1046.5,978.0,1012.0,CORBL
2021-09-08,1000.0,1000.0,980.0,980.0,CORBL
2021-09-09,999.0,999.0,975.0,989.9,CORBL
2021-09-12,1005.0,1005.0,979.1,981.0,CORBL
2021-09-13,999.9,1020.6,980.0,981.0,CORBL
2021-09-14,999.9,1000.0,963.0,975.0,CORBL
2021-09-15,975.0,1045.1,968.0,1040.0,CORBL
2021-09-16,1019.2,1019.2,936.0,955.0,CORBL
2021-09-20,940.0,958.8,859.5,872.0,CORBL
2021-09-21,855.0,906.7,790.0,875.0,CORBL
2021-09-22,892.0,962.5,892.0,962.5,CORBL
2021-09-23,981.7,981.7,910.0,925.0,CORBL
2021-09-26,907.0,930.0,873.5,889.0,CORBL
2021-09-27,873.0,890.0,826.0,837.0,CORBL
2021-09-28,822.0,835.0,775.0,820.0,CORBL
2021-09-29,820.0,864.9,803.6,853.0,CORBL
2021-09-30,870.0,870.0,790.0,805.0,CORBL
2021-10-03,790.1,807.0,776.0,777.0,CORBL
2021-10-04,770.0,789.0,732.2,760.0,CORBL
2021-10-05,775.0,816.0,775.0,795.0,CORBL
2021-10-06,810.0,874.5,805.0,835.0,CORBL
2021-10-10,840.0,860.0,798.0,825.0,CORBL
2021-10-11,808.5,824.6,777.0,810.0,CORBL
2021-10-17,825.0,826.0,780.0,790.0,CORBL
2021-10-18,800.0,800.0,750.0,761.0,CORBL
2021-10-19,750.0,780.0,706.0,749.2,CORBL
2021-10-20,764.0,779.0,748.8,779.0,CORBL
2021-10-21,790.0,790.0,752.0,760.0,CORBL
2021-10-24,765.0,785.4,748.0,762.0,CORBL
2021-10-25,777.0,814.0,750.0,808.0,CORBL
2021-10-26,824.0,861.0,807.7,845.0,CORBL
2021-10-27,830.0,877.2,830.0,849.0,CORBL
2021-10-28,835.0,850.0,817.0,842.1,CORBL
2021-10-31,827.0,889.0,827.0,872.0,CORBL
2021-11-01,872.0,875.0,849.0,850.0,CORBL
2021-11-02,833.0,865.0,833.0,850.0,CORBL
2021-11-03,865.0,867.0,835.0,846.8,CORBL
2021-11-08,832.0,880.9,832.0,840.0,CORBL
2021-11-09,831.0,835.0,782.0,787.0,CORBL
2021-11-11,772.0,802.0,772.0,800.0,CORBL
2021-11-14,816.0,816.0,800.0,803.7,CORBL
2021-11-15,818.9,835.0,815.0,820.0,CORBL
2021-11-16,836.0,855.0,836.0,845.0,CORBL
2021-11-17,832.0,859.9,831.0,859.9,CORBL
2021-11-18,842.8,888.0,829.0,850.0,CORBL
2021-11-21,867.0,934.0,867.0,918.0,CORBL
2021-11-22,936.3,936.3,877.1,884.0,CORBL
2021-11-23,899.9,912.0,866.5,885.0,CORBL
2021-11-24,885.0,902.0,868.0,896.0,CORBL
2021-11-25,878.2,928.3,878.2,928.3,CORBL
2021-11-28,909.8,909.8,870.0,870.0,CORBL
2021-11-29,853.0,934.0,853.0,862.0,CORBL
2021-11-30,879.0,905.0,879.0,895.9,CORBL
2021-12-01,912.0,985.4,896.0,980.0,CORBL
2021-12-02,999.0,999.0,913.4,913.4,CORBL
2021-12-05,931.6,969.0,905.0,920.0,CORBL
2021-12-06,938.4,945.1,875.0,927.0,CORBL
2021-12-07,945.0,963.0,890.0,904.0,CORBL
2021-12-08,922.0,922.0,880.0,885.0,CORBL
2021-12-09,867.3,893.0,860.0,893.0,CORBL
2021-12-12,880.0,881.0,835.0,844.0,CORBL
2021-12-13,827.3,850.0,783.0,787.0,CORBL
2021-12-14,801.0,849.0,801.0,848.0,CORBL
2021-12-15,864.9,899.6,834.1,857.0,CORBL
2021-12-16,841.1,909.0,826.0,891.4,CORBL
2021-12-20,909.2,930.0,850.0,850.0,CORBL
2021-12-21,866.0,883.0,833.0,855.0,CORBL
2021-12-22,860.0,873.1,845.0,872.9,CORBL
2021-12-23,890.3,890.3,849.7,851.0,CORBL
2021-12-26,868.0,875.0,842.8,860.0,CORBL
2021-12-27,877.0,877.0,825.0,856.0,CORBL
2021-12-28,856.0,856.0,821.3,849.9,CORBL
2021-12-29,833.0,851.4,815.0,851.4,CORBL
2022-01-02,868.0,921.0,868.0,917.0,CORBL
2022-01-03,925.0,949.9,922.0,928.0,CORBL
2022-01-04,939.0,946.0,920.0,935.0,CORBL
2022-01-05,953.0,965.0,912.0,920.0,CORBL
2022-01-06,921.0,925.0,902.0,904.0,CORBL
2022-01-09,904.0,994.0,904.0,987.0,CORBL
2022-01-10,460.0,500.2,460.0,500.2,CORBL
2022-01-11,510.2,550.2,510.2,550.2,CORBL
2022-01-12,561.0,605.2,561.0,605.2,CORBL
2022-01-13,617.3,665.7,576.3,634.0,CORBL
2022-01-16,646.6,663.0,624.0,660.0,CORBL
2022-01-17,673.0,673.0,637.0,650.0,CORBL
2022-01-18,651.0,659.9,618.0,620.0,CORBL
2022-01-19,620.0,628.0,607.0,608.0,CORBL
2022-01-20,600.0,659.8,585.0,650.0,CORBL
2022-01-23,650.0,655.0,620.0,630.0,CORBL
2022-01-24,617.5,620.0,605.0,608.0,CORBL
2022-01-25,605.0,620.0,596.0,608.0,CORBL
2022-01-26,601.0,612.0,595.0,605.0,CORBL
2022-01-27,595.0,631.0,595.0,602.0,CORBL
2022-01-30,614.0,638.0,614.0,625.5,CORBL
2022-01-31,626.0,626.0,605.0,610.0,CORBL
2022-02-01,611.5,622.0,606.5,610.0,CORBL
2022-02-03,610.1,620.0,601.2,601.2,CORBL
2022-02-06,601.0,606.0,590.0,590.0,CORBL
2022-02-07,585.0,599.7,580.0,593.0,CORBL
2022-02-08,604.0,604.8,588.0,599.0,CORBL
2022-02-09,594.0,594.0,587.2,590.0,CORBL
2022-02-10,582.0,585.0,572.0,573.0,CORBL
2022-02-13,562.0,562.0,531.2,531.2,CORBL
2022-02-14,540.0,550.0,535.0,539.2,CORBL
2022-02-15,540.0,549.5,540.0,545.0,CORBL
2022-02-16,545.0,550.0,535.0,538.0,CORBL
2022-02-17,545.0,545.0,534.2,538.0,CORBL
2022-02-20,548.7,548.7,520.0,538.0,CORBL
2022-02-21,545.0,546.0,530.0,530.0,CORBL
2022-02-22,530.0,571.0,520.0,562.0,CORBL
2022-02-23,562.0,618.0,560.0,581.0,CORBL
2022-02-24,581.0,581.0,538.0,560.0,CORBL
2022-02-27,565.0,565.0,545.0,546.0,CORBL
2022-02-28,555.0,556.9,531.3,535.0,CORBL
2022-03-02,525.0,530.0,512.0,512.0,CORBL
2022-03-06,522.0,522.0,500.0,505.9,CORBL
2022-03-07,506.0,512.0,480.2,485.0,CORBL
2022-03-09,490.0,495.0,478.0,478.0,CORBL
2022-03-10,470.0,500.0,470.0,499.5,CORBL
2022-03-13,501.0,549.4,500.0,549.4,CORBL
2022-03-14,560.3,581.4,560.3,570.0,CORBL
2022-03-15,581.4,600.2,565.0,570.0,CORBL
2022-03-16,558.6,569.0,549.0,565.0,CORBL
2022-03-20,555.0,568.0,543.9,555.0,CORBL
2022-03-21,566.0,575.0,552.3,552.3,CORBL
2022-03-22,554.0,574.0,551.9,551.9,CORBL
2022-03-23,542.1,563.0,542.1,545.0,CORBL
2022-03-24,541.1,550.0,538.0,538.0,CORBL
2022-03-27,528.1,548.0,510.0,514.0,CORBL
2022-03-28,524.0,529.9,510.0,514.0,CORBL
2022-03-29,524.2,524.2,510.0,520.0,CORBL
2022-03-30,525.0,525.0,510.0,520.0,CORBL
2022-03-31,530.0,530.0,511.0,511.0,CORBL
2022-04-03,511.0,511.0,500.0,500.0,CORBL
2022-04-04,500.0,505.0,482.0,483.0,CORBL
2022-04-05,480.0,485.0,472.0,472.0,CORBL
2022-04-06,481.0,481.0,470.0,470.0,CORBL
2022-04-07,470.0,481.9,465.0,475.0,CORBL
2022-04-11,482.0,510.0,465.0,465.0,CORBL
2022-04-12,456.1,456.1,440.2,441.3,CORBL
2022-04-13,441.0,461.0,441.0,460.0,CORBL
2022-04-17,460.0,484.0,452.0,452.0,CORBL
2022-04-18,461.0,470.2,445.0,449.0,CORBL
2022-04-19,441.0,478.2,441.0,455.0,CORBL
2022-04-20,446.1,452.1,442.0,445.0,CORBL
2022-04-21,436.2,462.0,429.0,446.0,CORBL
2022-04-24,454.0,490.6,446.1,489.9,CORBL
2022-04-25,498.0,518.0,490.0,495.0,CORBL
2022-04-26,504.9,524.0,472.3,481.7,CORBL
2022-04-27,480.0,493.6,476.0,480.0,CORBL
2022-04-28,489.6,496.9,475.0,476.0,CORBL
2022-05-02,470.0,470.0,450.0,458.0,CORBL
2022-05-04,450.0,459.0,442.0,444.0,CORBL
2022-05-05,444.0,468.0,433.0,433.0,CORBL
2022-05-08,433.0,444.9,423.4,438.0,CORBL
2022-05-09,445.0,450.0,440.0,440.0,CORBL
2022-05-10,434.0,454.9,433.0,452.0,CORBL
2022-05-11,461.0,479.0,445.1,479.0,CORBL
2022-05-12,488.0,497.7,460.6,475.0,CORBL
2022-05-17,465.5,465.5,456.0,465.0,CORBL
2022-05-18,463.0,471.2,437.0,461.0,CORBL
2022-05-19,468.0,468.0,441.0,466.5,CORBL
2022-05-20,475.0,475.0,457.0,465.0,CORBL
2022-05-23,455.7,469.0,435.0,469.0,CORBL
2022-05-24,459.7,459.7,422.1,422.1,CORBL
2022-05-25,413.7,413.7,379.9,392.0,CORBL
2022-05-26,387.0,398.9,383.2,387.0,CORBL
2022-05-27,394.7,394.7,377.0,385.0,CORBL
2022-05-30,382.0,383.9,357.0,365.0,CORBL
2022-05-31,358.0,358.0,340.0,344.0,CORBL
2022-06-01,350.8,355.0,332.0,355.0,CORBL
2022-06-02,348.0,351.0,339.0,340.0,CORBL
2022-06-03,345.0,349.0,328.0,336.0,CORBL
2022-06-06,341.0,341.0,325.2,330.0,CORBL
2022-06-07,325.0,340.0,318.5,324.4,CORBL
2022-06-08,320.0,340.0,315.0,333.0,CORBL
2022-06-09,330.0,344.8,320.5,327.9,CORBL
2022-06-10,321.4,325.0,309.0,317.0,CORBL
2022-06-13,317.0,321.0,305.0,308.0,CORBL
2022-06-14,303.0,304.0,295.9,295.9,CORBL
2022-06-15,292.1,292.1,280.1,285.0,CORBL
2022-06-16,279.3,293.0,275.0,287.0,CORBL
2022-06-17,287.0,287.0,280.0,280.0,CORBL
2022-06-19,280.0,280.0,260.0,260.1,CORBL
2022-06-20,255.0,269.0,239.0,239.0,CORBL
2022-06-21,241.0,252.7,238.0,252.0,CORBL
